State,Pov,,,
Abia,1.12,3178950,,
Adamawa,3.34,4865007,,
Akwaibom,5.08,5278100,,
Anambra,1.64,5221330,,
Bauchi,5.71,5875950,,
Bayelsa,2.61,2174000,,
Benue,4.71,6113979,,
Borno,2.25,6591565,,
Crossriver,3.44,3633265,,
Delta,2.73,5935224,,
Ebonyi,3.66,2982406,,
Edo,1.4,3233366,,
Ekiti,1.31,2896322,,
Enugu,2.63,4290460,,
FCT,1.59,4290460,,
Gombe,3.02,2963654,,
Imo,1.8,4588404,,
Jigawa,5.76,5937907,,
Kaduna,8.04,8243136,,
Kano,10.51,9401288,,
Katsina,6.92,7504419,,
Kebbi,4.28,4534632,,
Kogi,2.88,,,
Kwara,1.72,,,
Lagos,4.22,,,
Nasarawa,1.36,,,
Niger,3.6,,,
Ogun,3.78,,,
Ondo,1.3,,,
Osun,1.88,,,
Oyo,3.79,,,
Plateau,4.32,,,
Rivers,4.4,,,
Sokoto,5.81,,,
Taraba,2.81,,,
Yobe,3.23,,,
Zamfara,4.17,,,
