 Observation period,Clear sky GHI
2013-01-02,689.5256
2013-01-03,690.3062
2013-01-04,689.0984
2013-01-05,695.8081
2013-01-06,629.0823
2013-01-07,632.7167
2013-01-08,664.1444
2013-01-09,685.3188
2013-01-10,686.7084
2013-01-11,671.7909
2013-01-12,682.0861
2013-01-13,650.3887
2013-01-14,670.3072
2013-01-15,682.4379
2013-01-16,679.84
2013-01-17,663.6156
2013-01-18,699.6125
2013-01-19,684.1045
2013-01-20,682.2615
2013-01-21,668.6626
2013-01-22,658.8237
2013-01-23,736.9475
2013-01-24,710.4687
2013-01-25,729.6403
2013-01-26,750.7228
2013-01-27,699.2761
2013-01-28,708.3829
2013-01-29,712.7015
2013-01-30,764.0852
2013-01-31,746.6479
2013-02-01,741.344
2013-02-02,738.7024
2013-02-03,671.9903
2013-02-04,679.9618
2013-02-05,655.1909
2013-02-06,707.3518
2013-02-07,738.204
2013-02-08,728.4291
2013-02-09,710.0478
2013-02-10,650.3224
2013-02-11,706.6357
2013-02-12,710.8605
2013-02-13,747.6901
2013-02-14,711.8951
2013-02-15,730.6589
2013-02-16,719.9631
2013-02-17,743.4589
2013-02-18,759.0586
2013-02-19,732.443
2013-02-20,780.85
2013-02-21,732.9878
2013-02-22,774.9699
2013-02-23,774.871
2013-02-24,785.8195
2013-02-25,788.049
2013-02-26,798.3684
2013-02-27,784.6971
2013-02-28,799.7411
2013-03-01,814.4256
2013-03-02,819.9959
2013-03-03,816.0394
2013-03-04,809.4716
2013-03-05,856.2407
2013-03-06,825.7976
2013-03-07,827.9047
2013-03-08,832.4546
2013-03-09,823.8049
2013-03-10,806.5365
2013-03-11,817.8846
2013-03-12,802.8177
2013-03-13,857.2604
2013-03-14,844.3646
2013-03-15,831.2479
2013-03-16,833.1927
2013-03-17,845.5925
2013-03-18,837.0826
2013-03-19,824.9666
2013-03-20,736.7092
2013-03-21,680.9222
2013-03-22,765.213
2013-03-23,794.0732
2013-03-24,805.2422
2013-03-25,823.3407
2013-03-26,796.9824
2013-03-27,814.7568
2013-03-28,810.4297
2013-03-29,796.5503
2013-03-30,799.0416
2013-03-31,836.8362
2013-04-01,862.5936
2013-04-02,882.2412
2013-04-03,868.8777
2013-04-04,873.2617
2013-04-05,849.1316
2013-04-06,845.5456
2013-04-07,872.1741
2013-04-08,840.7234
2013-04-09,821.1883
2013-04-10,823.9271
