 Observation period,Clear sky GHI
2013-01-02,780.6102
2013-01-03,780.3773
2013-01-04,810.7101
2013-01-05,809.1774
2013-01-06,802.5925
2013-01-07,800.4134
2013-01-08,771.6432
2013-01-09,746.3719
2013-01-10,753.978
2013-01-11,802.5234
2013-01-12,780.3989
2013-01-13,810.676
2013-01-14,843.3165
2013-01-15,825.0214
2013-01-16,799.3551
2013-01-17,786.213
2013-01-18,804.2532
2013-01-19,822.284
2013-01-20,795.8686
2013-01-21,780.2118
2013-01-22,791.2994
2013-01-23,838.032
2013-01-24,790.3389
2013-01-25,805.8391
2013-01-26,792.3505
2013-01-27,775.5687
2013-01-28,768.3997
2013-01-29,793.6492
2013-01-30,828.669
2013-01-31,788.5375
2013-02-01,790.2033
2013-02-02,767.6305
2013-02-03,754.4851
2013-02-04,750.9335
2013-02-05,827.3288
2013-02-06,855.0406
2013-02-07,796.3007
2013-02-08,819.3882
2013-02-09,779.7215
2013-02-10,849.7512
2013-02-11,847.8727
2013-02-12,826.088
2013-02-13,852.493
2013-02-14,860.6852
2013-02-15,854.5049
2013-02-16,874.2654
2013-02-17,843.7443
2013-02-18,821.7087
2013-02-19,816.5436
2013-02-20,880.463
2013-02-21,879.9732
2013-02-22,910.8453
2013-02-23,911.6074
2013-02-24,912.0685
2013-02-25,876.8547
2013-02-26,858.4073
2013-02-27,840.5154
2013-02-28,906.0026
2013-03-01,920.023
2013-03-02,901.2632
2013-03-03,899.9865
2013-03-04,906.145
2013-03-05,924.2067
2013-03-06,880.7769
2013-03-07,899.0465
2013-03-08,887.3553
2013-03-09,904.2458
2013-03-10,938.1314
2013-03-11,912.852
2013-03-12,917.6516
2013-03-13,927.5486
2013-03-14,904.6761
2013-03-15,898.0738
2013-03-16,910.0142
2013-03-17,923.8983
2013-03-18,869.0091
2013-03-19,790.8805
2013-03-20,733.8311
2013-03-21,801.0723
2013-03-22,837.5377
2013-03-23,842.7886
2013-03-24,865.7175
2013-03-25,814.5796
2013-03-26,819.8409
2013-03-27,824.4746
2013-03-28,844.9862
2013-03-29,831.8781
2013-03-30,824.5785
2013-03-31,879.6785
2013-04-01,884.1043
2013-04-02,888.2152
2013-04-03,892.8053
2013-04-04,896.2501
2013-04-05,908.8904
2013-04-06,918.9078
2013-04-07,889.6404
2013-04-08,842.5964
2013-04-09,849.5683
2013-04-10,855.4772
2013-04-11,908.12
2013-04-12,909.4819
2013-04-13,894.9772
2013-04-14,906.2476
2013-04-15,885.4866
2013-04-16,914.2812
2013-04-17,906.44
2013-04-18,906.4971
2013-04-19,896.5112
2013-04-20,887.7702
2013-04-21,875.4085
2013-04-22,903.269
2013-04-23,887.7966
2013-04-24,849.3824
2013-04-25,884.5447
2013-04-26,851.9692
2013-04-27,859.2603
2013-04-28,839.4984
2013-04-29,842.3207
2013-04-30,887.253
2013-05-01,876.3439
2013-05-02,872.0045
2013-05-03,865.305
2013-05-04,879.7654
2013-05-05,897.5327
2013-05-06,901.0632
2013-05-07,901.0436
2013-05-08,904.9711
2013-05-09,903.3016
2013-05-10,805.0079
2013-05-11,716.0546
2013-05-12,719.8326
2013-05-13,794.8636
2013-05-14,882.6132
2013-05-15,906.262
2013-05-16,898.9466
2013-05-17,891.0606
2013-05-18,876.7613
2013-05-19,890.9663
2013-05-20,900.8569
2013-05-21,875.2866
2013-05-22,918.9957
2013-05-23,917.4149
2013-05-24,869.6102
2013-05-25,894.3765
2013-05-26,884.4334
2013-05-27,897.7927
2013-05-28,866.4396
2013-05-29,849.5204
2013-05-30,843.6145
2013-05-31,833.6675
2013-06-01,835.5536
2013-06-02,873.8944
2013-06-03,876.8612
2013-06-04,859.8093
2013-06-05,840.5746
2013-06-06,819.6323
2013-06-07,863.5223
2013-06-08,803.7564
2013-06-09,783.7517
2013-06-10,769.4529
2013-06-11,820.6323
2013-06-12,840.109
2013-06-13,826.6341
2013-06-14,815.4658
2013-06-15,837.5181
2013-06-16,850.2543
2013-06-17,839.0713
2013-06-18,862.8362
2013-06-19,859.1468
2013-06-20,841.2758
2013-06-21,854.6861
2013-06-22,887.5549
2013-06-23,900.6434
2013-06-24,888.9804
2013-06-25,878.6752
2013-06-26,839.935
2013-06-27,894.415
2013-06-28,848.2745
2013-06-29,864.6356
2013-06-30,891.5353
2013-07-01,879.9305
2013-07-02,831.8017
2013-07-03,845.007
2013-07-04,889.1215
2013-07-05,892.8068
2013-07-06,906.5092
2013-07-07,888.3584
2013-07-08,894.748
2013-07-09,885.8639
2013-07-10,900.5009
2013-07-11,900.4266
2013-07-12,891.2542
2013-07-13,850.4656
2013-07-14,860.2175
2013-07-15,880.1774
2013-07-16,864.0687
2013-07-17,861.4616
2013-07-18,880.7022
2013-07-19,871.5365
2013-07-20,901.3984
2013-07-21,865.0289
2013-07-22,867.6869
2013-07-23,823.2812
2013-07-24,806.1034
2013-07-25,842.163
2013-07-26,874.0545
2013-07-27,876.8065
2013-07-28,867.1
2013-07-29,870.2366
2013-07-30,865.5613
2013-07-31,876.04
2013-08-01,896.7685
2013-08-02,868.982
2013-08-03,831.4238
2013-08-04,869.7494
2013-08-05,880.2736
2013-08-06,882.7154
2013-08-07,882.7288
2013-08-08,895.8187
2013-08-09,875.2064
2013-08-10,886.0689
2013-08-11,894.4379
2013-08-12,866.2529
2013-08-13,844.0806
2013-08-14,834.57
2013-08-15,875.8179
2013-08-16,915.6021
2013-08-17,909.2506
2013-08-18,906.2651
2013-08-19,861.3207
2013-08-20,880.7055
2013-08-21,879.36
2013-08-22,857.3386
2013-08-23,874.1356
2013-08-24,836.1607
2013-08-25,865.2897
2013-08-26,880.9672
2013-08-27,873.98
2013-08-28,894.3842
2013-08-29,873.0557
2013-08-30,905.5867
2013-08-31,918.0075
2013-09-01,875.7377
2013-09-02,904.615
2013-09-03,934.8302
2013-09-04,933.6934
2013-09-05,899.3548
2013-09-06,920.8375
2013-09-07,905.1041
2013-09-08,865.8018
2013-09-09,893.4836
2013-09-10,900.2422
2013-09-11,921.7197
