 Observation period,Clear sky GHI
2013-01-02,698.4584
2013-01-03,691.1895
2013-01-04,695.0126
2013-01-05,718.4764
2013-01-06,643.8834
2013-01-07,666.668
2013-01-08,694.0736
2013-01-09,699.166
2013-01-10,701.3904
2013-01-11,684.8599
2013-01-12,680.0002
2013-01-13,669.2007
2013-01-14,679.356
2013-01-15,695.7518
2013-01-16,698.5569
2013-01-17,686.0429
2013-01-18,718.4348
2013-01-19,719.3812
2013-01-20,705.8248
2013-01-21,693.9168
2013-01-22,686.8944
2013-01-23,749.3901
2013-01-24,723.3513
2013-01-25,751.9568
2013-01-26,772.5472
2013-01-27,719.6585
2013-01-28,735.1069
2013-01-29,731.3807
2013-01-30,787.7341
2013-01-31,765.9062
2013-02-01,754.637
2013-02-02,730.1044
2013-02-03,658.2453
2013-02-04,714.5305
2013-02-05,686.183
2013-02-06,729.1647
2013-02-07,753.9979
2013-02-08,742.0278
2013-02-09,722.5454
2013-02-10,655.972
2013-02-11,730.4606
2013-02-12,742.1843
2013-02-13,767.417
2013-02-14,727.3684
2013-02-15,742.2369
2013-02-16,739.7407
2013-02-17,760.3581
2013-02-18,769.9445
2013-02-19,745.1762
2013-02-20,785.9099
2013-02-21,748.2145
2013-02-22,796.7618
2013-02-23,792.2956
2013-02-24,794.9957
2013-02-25,801.9388
2013-02-26,814.8174
2013-02-27,796.3657
2013-02-28,811.4156
2013-03-01,828.2125
2013-03-02,829.7615
2013-03-03,827.196
2013-03-04,817.8751
2013-03-05,867.9529
2013-03-06,837.9262
2013-03-07,842.3258
2013-03-08,838.615
2013-03-09,833.3824
2013-03-10,821.2459
2013-03-11,824.491
2013-03-12,819.8207
2013-03-13,868.078
2013-03-14,864.6027
2013-03-15,853.0046
2013-03-16,853.8661
2013-03-17,862.1845
2013-03-18,854.8079
2013-03-19,848.0806
2013-03-20,769.7427
2013-03-21,710.817
2013-03-22,769.0693
2013-03-23,795.5164
2013-03-24,819.7576
2013-03-25,835.8234
2013-03-26,829.6341
2013-03-27,834.9141
2013-03-28,828.0903
2013-03-29,815.8418
2013-03-30,817.431
2013-03-31,854.7588
2013-04-01,872.9426
2013-04-02,899.562
2013-04-03,895.0292
2013-04-04,895.7659
2013-04-05,867.2421
2013-04-06,857.8272
2013-04-07,881.429
2013-04-08,854.1672
2013-04-09,833.6776
2013-04-10,849.3613
2013-04-11,866.1478
2013-04-12,875.7341
2013-04-13,882.2037
2013-04-14,862.6813
2013-04-15,840.9249
2013-04-16,873.68
2013-04-17,892.6271
2013-04-18,894.7025
2013-04-19,864.2269
2013-04-20,877.4194
2013-04-21,845.7269
2013-04-22,872.9481
2013-04-23,853.32
2013-04-24,863.4544
2013-04-25,871.6834
2013-04-26,830.0782
2013-04-27,815.0248
2013-04-28,825.8717
2013-04-29,805.9293
2013-04-30,819.105
2013-05-01,853.6524
2013-05-02,868.2038
2013-05-03,822.4961
2013-05-04,816.5323
2013-05-05,845.9527
2013-05-06,859.4696
2013-05-07,845.9222
2013-05-08,839.4856
2013-05-09,854.0318
2013-05-10,824.191
2013-05-11,815.9282
2013-05-12,786.7508
2013-05-13,818.447
2013-05-14,826.1274
2013-05-15,852.7093
2013-05-16,859.7836
2013-05-17,824.0427
2013-05-18,835.3262
2013-05-19,820.0107
2013-05-20,835.415
2013-05-21,824.7462
2013-05-22,828.5068
2013-05-23,820.9892
2013-05-24,807.8159
2013-05-25,823.6449
2013-05-26,801.4384
2013-05-27,807.3566
2013-05-28,798.8794
2013-05-29,813.0171
2013-05-30,818.9572
2013-05-31,809.3583
2013-06-01,770.5072
2013-06-02,787.8029
2013-06-03,802.1807
2013-06-04,819.3236
2013-06-05,811.6083
2013-06-06,793.5624
2013-06-07,846.3638
2013-06-08,814.9704
2013-06-09,767.467
2013-06-10,775.7672
2013-06-11,736.9791
2013-06-12,772.8006
2013-06-13,785.3498
2013-06-14,768.0151
2013-06-15,799.2513
2013-06-16,758.9048
2013-06-17,766.899
2013-06-18,764.0886
2013-06-19,779.2618
2013-06-20,809.8174
2013-06-21,816.0668
2013-06-22,793.968
2013-06-23,768.4905
2013-06-24,791.8059
2013-06-25,715.6422
2013-06-26,726.5117
2013-06-27,739.4081
2013-06-28,794.1802
2013-06-29,823.9363
2013-06-30,771.0421
2013-07-01,775.0302
2013-07-02,761.5988
2013-07-03,793.7352
2013-07-04,821.1757
2013-07-05,829.1928
2013-07-06,820.7194
2013-07-07,825.6206
2013-07-08,847.651
2013-07-09,825.8431
2013-07-10,782.7133
2013-07-11,814.6284
2013-07-12,834.7042
2013-07-13,844.8545
2013-07-14,838.5165
2013-07-15,838.4015
2013-07-16,796.9336
2013-07-17,804.7797
2013-07-18,810.6847
2013-07-19,804.8768
2013-07-20,797.3209
2013-07-21,796.9244
2013-07-22,786.844
2013-07-23,805.2977
2013-07-24,821.1588
2013-07-25,821.1632
2013-07-26,753.6439
2013-07-27,729.5656
2013-07-28,760.7583
2013-07-29,777.3306
2013-07-30,759.4274
2013-07-31,748.2886
2013-08-01,761.8562
2013-08-02,790.1933
2013-08-03,755.3856
2013-08-04,768.7434
2013-08-05,735.9617
2013-08-06,810.9276
2013-08-07,777.39
2013-08-08,774.7757
2013-08-09,792.535
2013-08-10,787.5109
2013-08-11,807.7566
2013-08-12,820.6594
2013-08-13,792.1139
2013-08-14,768.79
2013-08-15,795.3987
2013-08-16,826.1804
2013-08-17,852.2105
2013-08-18,829.2839
2013-08-19,838.9032
2013-08-20,811.6191
2013-08-21,801.7606
2013-08-22,852.0539
2013-08-23,785.3682
2013-08-24,829.6934
2013-08-25,849.5396
2013-08-26,823.4308
2013-08-27,797.7319
2013-08-28,820.5339
2013-08-29,860.9658
2013-08-30,873.2364
2013-08-31,827.3774
2013-09-01,847.3075
2013-09-02,859.7545
2013-09-03,804.2696
2013-09-04,793.6417
2013-09-05,847.0201
2013-09-06,872.0013
2013-09-07,869.0161
2013-09-08,857.355
2013-09-09,885.6386
2013-09-10,853.6467
2013-09-11,852.8913
2013-09-12,830.0851
2013-09-13,890.4346
2013-09-14,888.5646
2013-09-15,891.2579
2013-09-16,877.9663
2013-09-17,858.1292
2013-09-18,886.0323
2013-09-19,878.5288
2013-09-20,881.345
2013-09-21,885.2326
2013-09-22,889.7676
2013-09-23,887.118
2013-09-24,905.3902
2013-09-25,891.6824
2013-09-26,878.0612
2013-09-27,879.9718
2013-09-28,896.2826
2013-09-29,884.298
2013-09-30,884.3919
2013-10-01,866.9642
2013-10-02,869.6083
2013-10-03,884.744
2013-10-04,900.622
2013-10-05,886.6818
2013-10-06,865.8367
2013-10-07,879.8707
2013-10-08,881.6697
2013-10-09,888.0975
2013-10-10,874.7785
2013-10-11,873.404
2013-10-12,866.4192
2013-10-13,818.9873
2013-10-14,831.6192
2013-10-15,852.5176
2013-10-16,868.3063
2013-10-17,838.3882
2013-10-18,862.3984
2013-10-19,837.89
2013-10-20,827.4298
2013-10-21,820.8204
2013-10-22,828.2731
2013-10-23,844.9098
2013-10-24,832.5057
2013-10-25,823.934
2013-10-26,818.9864
2013-10-27,794.9808
2013-10-28,791.1321
2013-10-29,822.1558
2013-10-30,828.9703
2013-10-31,829.0911
2013-11-01,821.4218
2013-11-02,827.6561
2013-11-03,819.0904
2013-11-04,804.8768
2013-11-05,827.2032
2013-11-06,805.142
2013-11-07,782.2598
2013-11-08,794.033
2013-11-09,793.4852
2013-11-10,801.8322
2013-11-11,803.417
2013-11-12,798.4799
2013-11-13,761.1979
2013-11-14,756.4868
2013-11-15,752.2725
2013-11-16,772.8299
2013-11-17,775.0721
2013-11-18,791.4236
2013-11-19,774.5324
2013-11-20,771.4623
2013-11-21,775.1289
2013-11-22,771.2897
2013-11-23,768.505
2013-11-24,783.8826
2013-11-25,749.0659
2013-11-26,756.4847
2013-11-27,755.7933
2013-11-28,762.02
2013-11-29,754.593
2013-11-30,761.709
2013-12-01,742.86
2013-12-02,726.4423
2013-12-03,715.7433
2013-12-04,748.1421
2013-12-05,756.2166
2013-12-06,741.5419
2013-12-07,746.8971
2013-12-08,749.3315
2013-12-09,723.3001
2013-12-10,711.6253
2013-12-11,719.8937
2013-12-12,735.6187
2013-12-13,704.729
2013-12-14,739.1716
2013-12-15,722.9854
2013-12-16,693.6882
2013-12-17,710.7232
2013-12-18,724.3942
2013-12-19,733.8152
2013-12-20,710.8057
2013-12-21,703.1421
2013-12-22,655.0509
2013-12-23,647.928
2013-12-24,681.6986
2013-12-25,696.942
2013-12-26,695.5109
2013-12-27,711.3374
2013-12-28,753.2888
2013-12-29,714.6726
2013-12-30,710.2974
2013-12-31,721.5785
2014-01-01,690.435
2014-01-02,708.4996
2014-01-03,691.7198
2014-01-04,710.4888
2014-01-05,747.0039
2014-01-06,709.1185
2014-01-07,661.0888
2014-01-08,694.1803
2014-01-09,694.537
2014-01-10,716.549
2014-01-11,705.7815
2014-01-12,708.8012
2014-01-13,701.8406
2014-01-14,690.5334
2014-01-15,702.8431
2014-01-16,644.3456
2014-01-17,690.5211
2014-01-18,725.2461
2014-01-19,724.6902
2014-01-20,749.7441
2014-01-21,740.0156
2014-01-22,756.5677
2014-01-23,767.413
2014-01-24,732.109
2014-01-25,698.7822
2014-01-26,758.5825
2014-01-27,740.318
2014-01-28,730.7388
2014-01-29,752.2975
2014-01-30,778.4215
2014-01-31,762.642
2014-02-01,739.8034
2014-02-02,721.3367
2014-02-03,728.231
2014-02-04,748.3144
2014-02-05,782.0616
2014-02-06,746.7405
2014-02-07,737.4426
2014-02-08,739.5026
2014-02-09,739.2827
2014-02-10,688.7994
2014-02-11,756.7135
2014-02-12,768.5169
2014-02-13,759.4556
2014-02-14,807.4188
2014-02-15,797.3
2014-02-16,769.3324
2014-02-17,718.6229
2014-02-18,707.5839
2014-02-19,731.9368
2014-02-20,718.3151
2014-02-21,757.7087
2014-02-22,754.4412
2014-02-23,709.9092
2014-02-24,746.5427
2014-02-25,800.8973
2014-02-26,755.9234
2014-02-27,723.0806
2014-02-28,725.0044
2014-03-01,737.3027
2014-03-02,801.7692
2014-03-03,818.4963
2014-03-04,816.674
2014-03-05,771.1766
2014-03-06,790.6791
2014-03-07,818.6418
2014-03-08,802.0523
2014-03-09,818.1636
2014-03-10,832.4564
2014-03-11,852.9056
2014-03-12,849.6258
2014-03-13,836.9882
2014-03-14,851.1124
2014-03-15,867.8889
2014-03-16,789.286
2014-03-17,836.1328
2014-03-18,862.0927
2014-03-19,830.2851
2014-03-20,841.2339
2014-03-21,840.7732
2014-03-22,816.3234
2014-03-23,779.8478
2014-03-24,801.7919
2014-03-25,794.907
2014-03-26,810.1879
2014-03-27,820.8328
2014-03-28,841.2853
2014-03-29,849.943
2014-03-30,884.5148
2014-03-31,862.2024
2014-04-01,863.3849
2014-04-02,859.0684
2014-04-03,858.3558
2014-04-04,838.5029
2014-04-05,811.0866
2014-04-06,841.266
2014-04-07,873.1593
2014-04-08,857.934
2014-04-09,845.2869
2014-04-10,870.0341
2014-04-11,827.2822
2014-04-12,877.6581
2014-04-13,848.1096
2014-04-14,892.6504
2014-04-15,895.8209
2014-04-16,845.4894
2014-04-17,855.9344
2014-04-18,893.6211
2014-04-19,893.2423
2014-04-20,863.5238
2014-04-21,877.342
2014-04-22,883.5803
2014-04-23,851.2574
2014-04-24,809.4518
2014-04-25,853.5108
2014-04-26,856.2139
2014-04-27,872.6583
2014-04-28,862.5601
2014-04-29,826.519
2014-04-30,874.1902
2014-05-01,871.1465
2014-05-02,835.826
2014-05-03,860.8618
2014-05-04,869.5379
2014-05-05,872.2853
2014-05-06,849.5278
2014-05-07,857.6951
2014-05-08,869.3106
2014-05-09,857.2554
2014-05-10,837.0029
2014-05-11,806.221
2014-05-12,800.7687
2014-05-13,807.4661
2014-05-14,836.5168
2014-05-15,842.8809
2014-05-16,847.4806
2014-05-17,836.2253
2014-05-18,863.122
2014-05-19,846.4754
2014-05-20,835.0676
2014-05-21,809.5867
2014-05-22,811.6236
2014-05-23,814.9934
2014-05-24,831.7742
2014-05-25,857.4618
2014-05-26,837.8777
2014-05-27,826.91
2014-05-28,794.5574
2014-05-29,824.8257
2014-05-30,858.8083
2014-05-31,843.9431
2014-06-01,802.6935
2014-06-02,821.9643
2014-06-03,811.9778
2014-06-04,807.2908
2014-06-05,821.2623
2014-06-06,834.2989
2014-06-07,805.1914
2014-06-08,802.6587
2014-06-09,820.1682
2014-06-10,822.4191
2014-06-11,814.0048
2014-06-12,791.7615
2014-06-13,820.8677
2014-06-14,803.113
2014-06-15,804.0782
2014-06-16,771.8978
2014-06-17,802.6414
2014-06-18,766.6644
2014-06-19,793.749
2014-06-20,801.4864
2014-06-21,811.6642
2014-06-22,807.777
2014-06-23,788.3299
2014-06-24,800.4949
2014-06-25,803.7259
2014-06-26,802.3294
2014-06-27,787.4717
2014-06-28,778.5912
2014-06-29,782.1499
2014-06-30,817.4185
2014-07-01,828.9026
2014-07-02,802.8684
2014-07-03,785.1909
2014-07-04,768.2884
2014-07-05,776.1598
2014-07-06,765.4025
2014-07-07,794.9797
2014-07-08,758.8876
2014-07-09,729.398
2014-07-10,803.3979
2014-07-11,790.6331
2014-07-12,792.586
2014-07-13,806.5173
2014-07-14,767.553
2014-07-15,788.3955
2014-07-16,798.1551
2014-07-17,817.8097
2014-07-18,780.6354
2014-07-19,786.8526
2014-07-20,799.0398
2014-07-21,752.7101
2014-07-22,725.1637
2014-07-23,694.8715
2014-07-24,727.0759
2014-07-25,735.6594
2014-07-26,699.626
2014-07-27,744.6341
2014-07-28,831.7807
2014-07-29,821.2458
2014-07-30,769.3468
2014-07-31,770.9586
2014-08-01,845.2834
2014-08-02,795.5172
2014-08-03,760.8906
2014-08-04,745.6602
2014-08-05,786.7988
2014-08-06,828.4793
2014-08-07,801.7665
2014-08-08,771.8115
2014-08-09,782.5837
2014-08-10,764.7116
2014-08-11,793.7008
2014-08-12,799.3988
2014-08-13,802.4321
2014-08-14,818.4207
2014-08-15,812.306
2014-08-16,848.6288
2014-08-17,849.445
2014-08-18,851.2493
2014-08-19,858.3779
2014-08-20,880.9525
2014-08-21,872.4369
2014-08-22,861.009
2014-08-23,878.0287
2014-08-24,837.9164
2014-08-25,866.5821
2014-08-26,849.2701
2014-08-27,863.6783
2014-08-28,836.2964
2014-08-29,849.4244
2014-08-30,878.6218
2014-08-31,854.305
2014-09-01,856.0195
2014-09-02,858.9611
2014-09-03,859.4175
2014-09-04,870.3392
2014-09-05,870.1779
2014-09-06,863.1908
2014-09-07,814.7604
2014-09-08,839.7997
2014-09-09,867.0033
2014-09-10,860.8077
2014-09-11,843.5598
2014-09-12,856.3775
2014-09-13,869.3631
2014-09-14,870.4712
2014-09-15,829.1666
2014-09-16,849.2192
2014-09-17,844.6685
2014-09-18,790.8967
2014-09-19,830.2919
2014-09-20,853.5681
2014-09-21,874.9156
2014-09-22,879.455
2014-09-23,853.4877
2014-09-24,861.7186
2014-09-25,895.2761
2014-09-26,891.476
2014-09-27,881.0678
2014-09-28,892.8251
2014-09-29,877.6512
2014-09-30,883.0893
2014-10-01,884.7499
2014-10-02,896.6237
2014-10-03,862.0081
2014-10-04,869.3265
2014-10-05,894.0598
2014-10-06,886.9387
2014-10-07,858.3234
2014-10-08,863.6581
2014-10-09,860.6242
2014-10-10,858.2873
2014-10-11,860.2023
2014-10-12,867.8599
2014-10-13,872.9161
2014-10-14,870.8122
2014-10-15,828.6678
2014-10-16,816.2691
2014-10-17,801.0486
2014-10-18,830.2138
2014-10-19,874.1167
2014-10-20,875.1685
2014-10-21,859.5033
2014-10-22,854.4828
2014-10-23,846.7698
2014-10-24,847.4319
2014-10-25,837.9285
2014-10-26,858.4879
2014-10-27,856.4574
2014-10-28,836.2681
2014-10-29,820.9834
2014-10-30,842.3571
2014-10-31,830.1948
2014-11-01,806.2308
2014-11-02,781.6842
2014-11-03,808.871
2014-11-04,830.1948
2014-11-05,809.1393
2014-11-06,839.5664
2014-11-07,806.7282
2014-11-08,799.6535
2014-11-09,820.4559
2014-11-10,805.9919
2014-11-11,786.8531
2014-11-12,798.351
2014-11-13,782.5577
2014-11-14,768.7904
2014-11-15,796.8992
2014-11-16,775.2457
2014-11-17,777.143
2014-11-18,768.856
2014-11-19,755.8866
2014-11-20,755.6628
2014-11-21,761.8036
2014-11-22,788.3648
2014-11-23,775.9493
2014-11-24,780.42
2014-11-25,749.6034
2014-11-26,695.0082
2014-11-27,743.0684
2014-11-28,698.0997
2014-11-29,735.9143
2014-11-30,750.4494
2014-12-01,785.4443
2014-12-02,733.683
2014-12-03,723.3134
2014-12-04,756.4312
2014-12-05,776.7255
2014-12-06,764.8444
2014-12-07,735.5474
2014-12-08,760.0826
2014-12-09,735.158
2014-12-10,749.3159
2014-12-11,735.9024
2014-12-12,697.7958
2014-12-13,685.6782
2014-12-14,645.0008
2014-12-15,650.7821
2014-12-16,580.1935
2014-12-17,583.172
2014-12-18,606.2182
2014-12-19,620.893
2014-12-20,620.5846
2014-12-21,663.7858
2014-12-22,693.5021
2014-12-23,704.6642
2014-12-24,641.4307
2014-12-25,636.0002
2014-12-26,610.662
2014-12-27,619.3875
2014-12-28,589.6456
2014-12-29,619.8914
2014-12-30,611.2949
2014-12-31,685.7517
2015-01-01,616.5703
2015-01-02,683.126
2015-01-03,738.3843
2015-01-04,690.0615
2015-01-05,642.9507
2015-01-06,601.5096
2015-01-07,603.3852
2015-01-08,603.7061
2015-01-09,574.2627
2015-01-10,636.8281
2015-01-11,654.1156
2015-01-12,630.4392
2015-01-13,636.9713
2015-01-14,670.8627
2015-01-15,648.0084
