 Observation period,Clear sky GHI
2013-01-02,669.9522
2013-01-03,703.8226
2013-01-04,685.2018
2013-01-05,683.1049
2013-01-06,643.2114
2013-01-07,594.5799
2013-01-08,650.7905
2013-01-09,678.634
2013-01-10,691.1849
2013-01-11,665.9438
2013-01-12,705.1372
2013-01-13,651.8005
2013-01-14,669.2284
2013-01-15,690.5756
2013-01-16,671.9344
2013-01-17,668.8653
2013-01-18,686.5864
2013-01-19,681.7515
2013-01-20,682.0904
2013-01-21,676.0049
2013-01-22,658.8537
2013-01-23,725.0695
2013-01-24,703.6334
2013-01-25,726.1942
2013-01-26,740.3857
2013-01-27,708.5168
2013-01-28,711.524
2013-01-29,703.2604
2013-01-30,749.5309
2013-01-31,738.2352
2013-02-01,731.4
2013-02-02,756.2106
2013-02-03,704.5956
2013-02-04,630.2222
2013-02-05,626.4515
2013-02-06,677.845
2013-02-07,735.7009
2013-02-08,716.8739
2013-02-09,704.8685
2013-02-10,668.3431
2013-02-11,693.3178
2013-02-12,679.5821
2013-02-13,728.5481
2013-02-14,720.1537
2013-02-15,746.456
2013-02-16,722.8925
2013-02-17,744.6846
2013-02-18,764.7282
2013-02-19,733.6069
2013-02-20,774.8682
2013-02-21,728.12
2013-02-22,768.632
2013-02-23,781.7302
2013-02-24,791.7648
2013-02-25,790.3248
2013-02-26,797.476
2013-02-27,781.7958
2013-02-28,794.4511
2013-03-01,807.3878
2013-03-02,817.1718
2013-03-03,813.3984
2013-03-04,813.9249
2013-03-05,845.1149
2013-03-06,835.3663
2013-03-07,828.8611
2013-03-08,853.9352
2013-03-09,821.2846
2013-03-10,817.6671
2013-03-11,828.1091
2013-03-12,797.8773
2013-03-13,844.8082
2013-03-14,839.2327
2013-03-15,825.6928
2013-03-16,826.0067
2013-03-17,834.7734
2013-03-18,820.3302
2013-03-19,819.2832
2013-03-20,757.2081
2013-03-21,682.5251
2013-03-22,749.6735
2013-03-23,793.5707
2013-03-24,811.2875
2013-03-25,816.1998
2013-03-26,769.0759
2013-03-27,804.8878
2013-03-28,804.5861
2013-03-29,793.6968
2013-03-30,795.6805
2013-03-31,841.9698
2013-04-01,846.8276
2013-04-02,873.3533
2013-04-03,859.38
2013-04-04,853.6744
2013-04-05,849.0931
2013-04-06,856.6214
2013-04-07,873.6899
2013-04-08,835.647
2013-04-09,811.5521
2013-04-10,811.3534
2013-04-11,852.7698
2013-04-12,847.7992
2013-04-13,853.034
2013-04-14,844.9863
2013-04-15,813.6221
2013-04-16,907.9227
2013-04-17,848.8143
2013-04-18,872.2483
2013-04-19,850.6332
2013-04-20,850.5036
2013-04-21,836.7825
2013-04-22,821.2407
2013-04-23,852.9155
2013-04-24,836.5568
2013-04-25,822.1305
2013-04-26,799.2635
2013-04-27,800.5406
2013-04-28,814.608
2013-04-29,791.8926
2013-04-30,788.3635
2013-05-01,811.054
2013-05-02,849.9905
2013-05-03,815.596
2013-05-04,803.0229
2013-05-05,819.0129
2013-05-06,828.7732
2013-05-07,829.3832
2013-05-08,833.4681
2013-05-09,847.0168
2013-05-10,788.5223
2013-05-11,723.8476
2013-05-12,721.0748
2013-05-13,784.097
2013-05-14,816.496
2013-05-15,844.7207
2013-05-16,854.7334
2013-05-17,808.433
2013-05-18,824.7985
2013-05-19,813.6518
2013-05-20,837.7446
2013-05-21,809.1508
2013-05-22,826.0231
2013-05-23,843.295
2013-05-24,811.9185
2013-05-25,810.0466
2013-05-26,805.8831
2013-05-27,809.0532
2013-05-28,794.7142
2013-05-29,820.9379
2013-05-30,820.2439
2013-05-31,792.3924
2013-06-01,781.5361
2013-06-02,777.6752
2013-06-03,795.3267
2013-06-04,813.4579
2013-06-05,811.1686
2013-06-06,802.3211
2013-06-07,828.3138
2013-06-08,803.6642
2013-06-09,748.9963
2013-06-10,761.8859
2013-06-11,757.6395
2013-06-12,786.5859
2013-06-13,779.2524
2013-06-14,784.077
2013-06-15,784.757
2013-06-16,772.1249
2013-06-17,791.8552
