 Observation period,Clear sky GHI
2013-01-02,766.652
2013-01-03,770.2524
2013-01-04,778.8074
2013-01-05,780.1339
2013-01-06,794.1368
2013-01-07,775.4573
2013-01-08,770.6384
2013-01-09,745.5443
2013-01-10,747.9048
2013-01-11,779.7494
2013-01-12,757.9332
2013-01-13,752.6696
2013-01-14,801.4611
2013-01-15,816.2828
2013-01-16,792.6697
2013-01-17,775.4428
2013-01-18,797.8909
2013-01-19,815.993
2013-01-20,785.4405
2013-01-21,763.7709
2013-01-22,763.0523
2013-01-23,822.398
2013-01-24,794.029
2013-01-25,801.5174
2013-01-26,814.1564
2013-01-27,807.3848
2013-01-28,780.6215
2013-01-29,795.032
2013-01-30,797.7363
2013-01-31,808.5723
2013-02-01,795.3945
2013-02-02,797.5054
2013-02-03,800.4416
2013-02-04,754.852
2013-02-05,761.4595
2013-02-06,816.4548
2013-02-07,801.6229
2013-02-08,833.3973
2013-02-09,812.364
2013-02-10,850.328
2013-02-11,880.5013
2013-02-12,819.0759
2013-02-13,837.9659
2013-02-14,844.4571
2013-02-15,851.727
2013-02-16,854.2945
2013-02-17,853.3861
2013-02-18,831.427
2013-02-19,807.2748
2013-02-20,857.5988
2013-02-21,896.2659
2013-02-22,887.8809
2013-02-23,882.9062
2013-02-24,880.4745
2013-02-25,858.4423
2013-02-26,875.8552
2013-02-27,869.0762
2013-02-28,909.1489
2013-03-01,932.0481
2013-03-02,933.5557
2013-03-03,928.3593
2013-03-04,926.397
2013-03-05,930.3316
2013-03-06,921.218
2013-03-07,909.1112
2013-03-08,930.5184
2013-03-09,934.7506
2013-03-10,971.0095
2013-03-11,943.6573
2013-03-12,921.2478
2013-03-13,934.8918
2013-03-14,906.6727
2013-03-15,940.6294
2013-03-16,930.5165
2013-03-17,925.698
2013-03-18,877.8126
2013-03-19,827.8101
2013-03-20,862.0432
2013-03-21,880.2251
2013-03-22,911.9312
2013-03-23,913.0292
2013-03-24,938.7928
2013-03-25,835.8763
2013-03-26,833.1456
2013-03-27,863.3669
2013-03-28,846.5366
2013-03-29,851.4378
2013-03-30,879.7717
2013-03-31,903.7172
2013-04-01,920.6558
2013-04-02,920.2092
2013-04-03,880.5687
2013-04-04,870.6992
2013-04-05,921.1495
2013-04-06,964.7072
2013-04-07,936.6907
2013-04-08,869.7309
2013-04-09,854.8248
2013-04-10,853.4089
2013-04-11,891.7853
2013-04-12,953.2861
2013-04-13,931.1365
2013-04-14,917.4708
2013-04-15,870.5524
2013-04-16,927.9679
2013-04-17,909.9036
2013-04-18,900.0811
2013-04-19,903.3086
2013-04-20,880.0051
2013-04-21,880.218
2013-04-22,868.6583
2013-04-23,884.8439
2013-04-24,878.6007
2013-04-25,892.4833
2013-04-26,858.5538
2013-04-27,867.6592
2013-04-28,883.6669
2013-04-29,888.0191
2013-04-30,878.6419
2013-05-01,886.0367
2013-05-02,919.6382
2013-05-03,888.3222
2013-05-04,890.9281
2013-05-05,900.3752
2013-05-06,923.8588
2013-05-07,919.626
2013-05-08,907.4044
2013-05-09,901.337
2013-05-10,777.2434
2013-05-11,751.462
2013-05-12,800.0512
2013-05-13,829.8469
2013-05-14,851.3621
2013-05-15,895.2786
2013-05-16,906.4562
2013-05-17,916.3262
2013-05-18,920.0665
2013-05-19,892.2653
2013-05-20,898.629
2013-05-21,891.3917
2013-05-22,894.3516
2013-05-23,934.9896
2013-05-24,888.9008
2013-05-25,906.4611
2013-05-26,888.7534
2013-05-27,900.5208
2013-05-28,887.3232
2013-05-29,861.6581
2013-05-30,864.8106
2013-05-31,863.8016
2013-06-01,867.628
2013-06-02,890.0696
2013-06-03,886.4794
2013-06-04,877.1246
2013-06-05,841.0906
2013-06-06,797.8551
2013-06-07,808.2985
2013-06-08,822.306
2013-06-09,761.2875
2013-06-10,802.6077
2013-06-11,819.5514
2013-06-12,850.1294
2013-06-13,857.2347
2013-06-14,839.9716
2013-06-15,855.8305
2013-06-16,825.0264
2013-06-17,858.1311
2013-06-18,852.5044
2013-06-19,849.0991
2013-06-20,840.4522
2013-06-21,838.5258
2013-06-22,880.6318
2013-06-23,899.0272
2013-06-24,906.0732
2013-06-25,910.6753
2013-06-26,854.541
2013-06-27,893.2992
2013-06-28,888.1042
2013-06-29,845.4577
2013-06-30,905.8669
2013-07-01,903.0384
2013-07-02,862.0324
2013-07-03,851.8529
2013-07-04,871.2206
2013-07-05,856.2701
2013-07-06,910.1404
2013-07-07,907.3389
2013-07-08,913.6467
2013-07-09,906.966
2013-07-10,923.3268
2013-07-11,896.1658
2013-07-12,906.2752
2013-07-13,877.8295
2013-07-14,869.5247
2013-07-15,873.3248
2013-07-16,883.4247
2013-07-17,882.6155
2013-07-18,885.4676
2013-07-19,889.717
2013-07-20,894.8074
2013-07-21,878.5629
2013-07-22,878.8071
2013-07-23,830.3297
2013-07-24,834.5951
2013-07-25,834.4062
2013-07-26,870.0041
2013-07-27,853.3814
2013-07-28,860.4111
2013-07-29,874.1944
2013-07-30,883.1169
2013-07-31,915.422
2013-08-01,908.1258
2013-08-02,927.9972
2013-08-03,901.5293
2013-08-04,913.1512
2013-08-05,905.3408
2013-08-06,883.0852
2013-08-07,897.902
2013-08-08,931.8702
2013-08-09,922.3122
2013-08-10,915.5132
2013-08-11,918.5668
2013-08-12,910.5524
2013-08-13,876.4478
2013-08-14,841.1584
2013-08-15,916.0408
2013-08-16,920.0879
2013-08-17,924.0638
2013-08-18,930.0314
2013-08-19,897.8989
2013-08-20,902.1329
2013-08-21,906.1672
2013-08-22,910.8481
2013-08-23,902.3416
2013-08-24,868.8516
2013-08-25,823.1166
2013-08-26,911.7862
2013-08-27,903.1606
2013-08-28,912.542
2013-08-29,885.6841
2013-08-30,910.8836
2013-08-31,937.741
2013-09-01,893.2759
2013-09-02,910.5244
2013-09-03,936.1024
2013-09-04,936.1894
2013-09-05,910.156
2013-09-06,928.3591
2013-09-07,927.7936
2013-09-08,889.0347
2013-09-09,902.9774
2013-09-10,895.7502
2013-09-11,921.329
2013-09-12,932.1297
2013-09-13,926.1442
2013-09-14,879.2896
2013-09-15,888.989
2013-09-16,912.7896
2013-09-17,902.3202
2013-09-18,876.6678
2013-09-19,861.8784
2013-09-20,859.9589
2013-09-21,881.4075
2013-09-22,866.6266
2013-09-23,854.1016
2013-09-24,909.8445
2013-09-25,891.4862
2013-09-26,847.7349
2013-09-27,849.8884
2013-09-28,883.6504
2013-09-29,892.5121
2013-09-30,877.9296
2013-10-01,895.8195
2013-10-02,911.8962
2013-10-03,874.3752
2013-10-04,889.9565
2013-10-05,903.2839
2013-10-06,900.4272
2013-10-07,877.647
2013-10-08,869.2574
2013-10-09,847.5214
2013-10-10,836.3944
2013-10-11,869.7996
2013-10-12,885.3788
2013-10-13,852.5716
2013-10-14,817.6222
2013-10-15,875.9611
2013-10-16,846.0839
2013-10-17,844.9739
2013-10-18,875.7992
2013-10-19,868.6042
2013-10-20,902.9808
2013-10-21,890.2241
2013-10-22,869.9994
2013-10-23,874.5765
2013-10-24,856.4152
2013-10-25,859.0267
2013-10-26,837.2814
2013-10-27,823.4504
2013-10-28,808.3275
2013-10-29,796.6816
2013-10-30,797.7139
2013-10-31,814.4819
2013-11-01,836.1196
2013-11-02,838.1688
