 Observation period,Clear sky GHI
2013-01-02,732.5685
2013-01-03,761.0346
2013-01-04,743.8292
2013-01-05,743.9726
2013-01-06,678.8659
2013-01-07,668.7319
2013-01-08,712.4379
2013-01-09,724.5089
2013-01-10,727.897
2013-01-11,743.9732
2013-01-12,774.8248
2013-01-13,726.4652
2013-01-14,787.1092
2013-01-15,749.964
2013-01-16,735.9949
2013-01-17,717.2858
2013-01-18,737.5322
2013-01-19,725.2375
2013-01-20,681.5105
2013-01-21,687.6728
2013-01-22,682.5157
2013-01-23,742.6415
2013-01-24,709.1053
2013-01-25,738.8369
2013-01-26,747.4344
2013-01-27,709.5039
2013-01-28,710.7676
2013-01-29,712.5718
2013-01-30,789.5068
2013-01-31,739.5543
2013-02-01,796.4384
2013-02-02,766.6701
2013-02-03,706.5616
2013-02-04,707.9279
2013-02-05,689.4703
2013-02-06,776.6304
2013-02-07,766.6307
2013-02-08,781.1726
2013-02-09,738.1079
2013-02-10,766.1201
2013-02-11,766.0213
2013-02-12,708.7256
2013-02-13,742.2473
2013-02-14,737.6278
2013-02-15,745.7378
2013-02-16,743.2634
2013-02-17,788.9928
2013-02-18,756.5699
2013-02-19,733.2604
2013-02-20,791.5966
2013-02-21,762.5563
2013-02-22,786.798
2013-02-23,795.0177
2013-02-24,810.2831
2013-02-25,801.4119
2013-02-26,804.7673
2013-02-27,780.9302
2013-02-28,813.8476
2013-03-01,824.3442
2013-03-02,825.8657
2013-03-03,818.7305
2013-03-04,834.1959
2013-03-05,853.0876
2013-03-06,846.3951
2013-03-07,829.3362
2013-03-08,855.038
2013-03-09,836.5343
2013-03-10,838.5953
2013-03-11,843.8898
2013-03-12,815.1943
2013-03-13,872.5303
2013-03-14,858.0259
2013-03-15,849.432
2013-03-16,847.5599
2013-03-17,845.3067
2013-03-18,822.4935
2013-03-19,824.512
2013-03-20,748.1738
2013-03-21,714.2764
2013-03-22,768.9977
2013-03-23,806.1726
2013-03-24,821.2826
2013-03-25,797.4911
2013-03-26,787.8997
2013-03-27,815.2709
2013-03-28,808.2333
2013-03-29,788.1822
2013-03-30,811.0801
2013-03-31,842.0195
2013-04-01,900.2034
2013-04-02,873.8727
2013-04-03,857.0606
2013-04-04,856.1741
2013-04-05,853.2669
2013-04-06,867.051
2013-04-07,873.5601
2013-04-08,816.4092
2013-04-09,806.7897
2013-04-10,805.6942
2013-04-11,854.9694
2013-04-12,877.9635
2013-04-13,854.0508
2013-04-14,849.8807
2013-04-15,839.0058
2013-04-16,903.9306
2013-04-17,865.0397
2013-04-18,868.0999
2013-04-19,851.4701
2013-04-20,843.3355
2013-04-21,835.4153
2013-04-22,845.241
2013-04-23,865.95
2013-04-24,843.575
2013-04-25,856.0534
2013-04-26,805.7269
2013-04-27,811.0845
2013-04-28,799.6005
2013-04-29,817.7597
2013-04-30,840.0786
2013-05-01,831.7789
2013-05-02,849.2657
2013-05-03,816.2795
2013-05-04,813.8728
2013-05-05,840.8128
2013-05-06,860.3153
2013-05-07,837.0566
2013-05-08,853.433
2013-05-09,865.4408
2013-05-10,771.905
2013-05-11,693.113
2013-05-12,712.1895
2013-05-13,799.0245
2013-05-14,831.4972
2013-05-15,875.0132
2013-05-16,863.2572
2013-05-17,821.9244
2013-05-18,843.1298
2013-05-19,838.8072
2013-05-20,854.628
2013-05-21,818.9164
2013-05-22,855.4161
2013-05-23,863.7626
2013-05-24,822.4876
2013-05-25,832.9316
2013-05-26,819.1579
2013-05-27,827.2151
2013-05-28,827.9743
2013-05-29,825.0615
2013-05-30,837.4796
2013-05-31,784.3389
2013-06-01,792.3962
2013-06-02,792.7938
2013-06-03,818.3536
2013-06-04,829.2102
2013-06-05,804.3218
2013-06-06,796.3171
2013-06-07,844.195
2013-06-08,816.7539
2013-06-09,753.2904
2013-06-10,760.9604
2013-06-11,778.4028
2013-06-12,801.1306
2013-06-13,788.9022
2013-06-14,797.9547
2013-06-15,797.0504
2013-06-16,773.0902
2013-06-17,805.3989
2013-06-18,804.8906
2013-06-19,821.3614
2013-06-20,815.8574
2013-06-21,805.3148
2013-06-22,839.9448
2013-06-23,820.3942
2013-06-24,815.7672
2013-06-25,804.4026
2013-06-26,762.033
2013-06-27,785.1082
2013-06-28,808.9221
2013-06-29,834.954
2013-06-30,849.4146
