 Observation period,Clear sky GHI
2013-01-02,771.944
2013-01-03,773.4531
2013-01-04,805.4186
2013-01-05,817.724
2013-01-06,805.8771
2013-01-07,807.1798
2013-01-08,760.9376
2013-01-09,749.7817
2013-01-10,750.3773
2013-01-11,804.8422
2013-01-12,785.3856
2013-01-13,817.397
2013-01-14,844.2559
2013-01-15,811.0266
2013-01-16,797.4296
2013-01-17,771.6696
2013-01-18,805.4251
2013-01-19,813.877
2013-01-20,793.1646
2013-01-21,782.9039
2013-01-22,791.3685
2013-01-23,837.1601
2013-01-24,789.595
2013-01-25,814.353
2013-01-26,805.0957
2013-01-27,803.8258
2013-01-28,778.2023
2013-01-29,792.8134
2013-01-30,838.2971
2013-01-31,775.0376
2013-02-01,799.5261
2013-02-02,768.5029
2013-02-03,752.9482
2013-02-04,751.773
2013-02-05,827.2506
2013-02-06,859.6651
2013-02-07,800.9684
2013-02-08,821.4518
2013-02-09,776.4427
2013-02-10,844.4296
2013-02-11,839.8959
2013-02-12,824.0629
2013-02-13,856.7443
2013-02-14,864.9062
2013-02-15,874.0875
2013-02-16,874.3624
2013-02-17,844.2658
2013-02-18,820.38
2013-02-19,829.0004
2013-02-20,888.6835
2013-02-21,875.9073
2013-02-22,911.6014
2013-02-23,919.9394
2013-02-24,917.0286
2013-02-25,886.6115
2013-02-26,861.1694
2013-02-27,846.614
2013-02-28,905.855
2013-03-01,923.3435
2013-03-02,903.6718
2013-03-03,896.679
2013-03-04,902.3462
2013-03-05,928.3364
2013-03-06,885.3706
2013-03-07,910.3506
2013-03-08,895.6146
2013-03-09,917.2282
2013-03-10,946.9888
2013-03-11,920.4753
2013-03-12,938.4512
2013-03-13,934.0845
2013-03-14,910.2198
2013-03-15,902.937
2013-03-16,908.6868
2013-03-17,931.639
2013-03-18,879.1544
2013-03-19,783.057
2013-03-20,719.7628
2013-03-21,792.42
2013-03-22,843.0414
2013-03-23,828.4274
2013-03-24,856.7823
2013-03-25,823.8597
2013-03-26,827.8433
2013-03-27,828.4314
2013-03-28,850.2629
2013-03-29,833.2509
2013-03-30,809.5383
2013-03-31,874.5634
2013-04-01,866.7168
2013-04-02,874.4542
2013-04-03,896.3527
2013-04-04,909.4822
2013-04-05,906.3007
2013-04-06,928.2726
2013-04-07,894.0104
2013-04-08,863.3936
2013-04-09,850.0074
2013-04-10,854.8577
2013-04-11,917.8101
2013-04-12,910.6916
2013-04-13,902.986
2013-04-14,918.8336
2013-04-15,895.3706
2013-04-16,917.0629
2013-04-17,915.5916
2013-04-18,916.8782
2013-04-19,900.4646
2013-04-20,888.8505
2013-04-21,878.307
2013-04-22,918.0216
