 Observation period,Clear sky GHI
2013-01-02,708.8713
2013-01-03,739.571
2013-01-04,738.7182
2013-01-05,732.3565
2013-01-06,676.3651
2013-01-07,677.4362
2013-01-08,703.9134
2013-01-09,713.0576
2013-01-10,730.3187
2013-01-11,711.4213
2013-01-12,738.7271
2013-01-13,699.0003
2013-01-14,711.8002
2013-01-15,710.0527
2013-01-16,720.8215
2013-01-17,694.9562
2013-01-18,744.4836
2013-01-19,729.2662
2013-01-20,709.1738
2013-01-21,702.76
2013-01-22,690.4122
2013-01-23,754.9822
2013-01-24,724.4742
2013-01-25,757.9412
2013-01-26,768.6124
2013-01-27,713.6571
2013-01-28,738.1678
2013-01-29,723.0247
2013-01-30,790.0853
2013-01-31,763.2366
2013-02-01,764.5145
2013-02-02,738.77
2013-02-03,670.6131
2013-02-04,670.635
2013-02-05,676.9193
2013-02-06,747.4943
2013-02-07,749.1769
2013-02-08,729.287
2013-02-09,717.8238
2013-02-10,672.6275
2013-02-11,741.6365
2013-02-12,736.8809
2013-02-13,767.0842
2013-02-14,730.176
2013-02-15,739.7679
2013-02-16,743.8132
2013-02-17,783.494
2013-02-18,765.1805
2013-02-19,751.4897
2013-02-20,799.1747
2013-02-21,764.7206
2013-02-22,801.3677
2013-02-23,793.2422
2013-02-24,802.6042
2013-02-25,806.1852
2013-02-26,811.4216
2013-02-27,789.3368
2013-02-28,819.8517
2013-03-01,829.0119
2013-03-02,829.2385
2013-03-03,825.1857
2013-03-04,827.1752
2013-03-05,864.6959
2013-03-06,847.3236
2013-03-07,836.2148
2013-03-08,836.9711
2013-03-09,834.6655
2013-03-10,828.7897
2013-03-11,840.8492
2013-03-12,814.4831
2013-03-13,869.0577
2013-03-14,873.0967
2013-03-15,857.2642
2013-03-16,853.9475
2013-03-17,861.0945
2013-03-18,850.7494
2013-03-19,841.9752
2013-03-20,747.8591
2013-03-21,700.5023
2013-03-22,773.2822
2013-03-23,800.2225
2013-03-24,821.1776
2013-03-25,813.0654
2013-03-26,815.3631
2013-03-27,824.4018
2013-03-28,821.4455
2013-03-29,813.997
2013-03-30,806.3319
2013-03-31,855.6922
2013-04-01,895.261
2013-04-02,898.2601
2013-04-03,889.8402
2013-04-04,891.349
2013-04-05,860.0681
2013-04-06,865.4842
2013-04-07,882.4849
2013-04-08,845.9392
2013-04-09,833.8354
2013-04-10,841.3788
2013-04-11,874.8789
2013-04-12,881.4645
2013-04-13,874.9682
2013-04-14,854.6037
2013-04-15,844.2938
2013-04-16,891.1639
2013-04-17,903.9587
2013-04-18,897.3455
2013-04-19,866.5781
2013-04-20,879.6238
2013-04-21,851.5316
2013-04-22,864.8843
2013-04-23,860.2115
2013-04-24,858.6529
2013-04-25,878.5836
2013-04-26,835.0355
2013-04-27,813.8934
2013-04-28,818.5944
2013-04-29,812.3903
2013-04-30,831.9183
2013-05-01,852.0607
2013-05-02,858.6965
2013-05-03,829.234
2013-05-04,816.077
2013-05-05,858.9039
2013-05-06,863.0246
2013-05-07,853.0205
2013-05-08,857.3252
2013-05-09,880.4702
2013-05-10,809.2904
2013-05-11,763.1448
2013-05-12,752.6711
2013-05-13,818.1403
2013-05-14,839.6058
2013-05-15,869.9652
2013-05-16,860.1601
2013-05-17,826.548
2013-05-18,841.1472
2013-05-19,837.658
2013-05-20,851.2375
2013-05-21,829.88
2013-05-22,861.1584
2013-05-23,846.149
2013-05-24,820.4614
2013-05-25,833.4993
2013-05-26,812.202
2013-05-27,822.531
2013-05-28,819.6504
2013-05-29,831.5863
2013-05-30,831.5519
2013-05-31,817.9356
2013-06-01,784.7155
2013-06-02,797.7918
2013-06-03,814.1336
2013-06-04,827.8795
2013-06-05,819.0524
2013-06-06,803.5817
2013-06-07,858.9338
2013-06-08,822.0176
2013-06-09,764.7457
2013-06-10,777.6077
2013-06-11,765.4508
2013-06-12,788.6432
2013-06-13,801.5101
2013-06-14,787.7982
2013-06-15,808.8593
2013-06-16,775.3345
2013-06-17,785.812
2013-06-18,785.2385
2013-06-19,807.5642
2013-06-20,820.9694
2013-06-21,823.7299
2013-06-22,830.3506
2013-06-23,789.4958
2013-06-24,801.8685
2013-06-25,751.0711
2013-06-26,748.4524
2013-06-27,773.0847
2013-06-28,816.8075
2013-06-29,854.8128
2013-06-30,808.5919
2013-07-01,775.4348
2013-07-02,792.6559
2013-07-03,805.7327
2013-07-04,834.5068
2013-07-05,857.3071
2013-07-06,834.0203
2013-07-07,835.6696
2013-07-08,866.7877
2013-07-09,845.6038
2013-07-10,795.6677
2013-07-11,834.4772
2013-07-12,848.3391
2013-07-13,857.9074
