 Observation period,Clear sky GHI
2013-01-02,656.585
2013-01-03,677.2786
2013-01-04,688.2517
2013-01-05,686.7703
2013-01-06,664.1019
2013-01-07,621.4523
2013-01-08,647.2337
2013-01-09,671.3433
2013-01-10,680.1945
2013-01-11,669.7842
2013-01-12,665.4092
2013-01-13,657.8936
2013-01-14,644.4894
2013-01-15,689.3928
2013-01-16,667.4197
2013-01-17,659.3282
2013-01-18,685.1458
2013-01-19,694.8975
2013-01-20,711.2147
2013-01-21,708.8635
2013-01-22,670.091
2013-01-23,725.8237
2013-01-24,720.768
2013-01-25,742.3365
2013-01-26,758.2411
2013-01-27,738.2982
2013-01-28,739.5391
2013-01-29,733.3118
2013-01-30,775.6584
2013-01-31,762.6748
2013-02-01,734.2316
2013-02-02,742.3762
2013-02-03,670.595
2013-02-04,612.7811
2013-02-05,626.7027
2013-02-06,673.7348
2013-02-07,746.771
2013-02-08,725.4621
2013-02-09,712.4334
2013-02-10,664.7009
2013-02-11,693.947
2013-02-12,690.9058
2013-02-13,737.3196
2013-02-14,737.5312
2013-02-15,767.235
2013-02-16,739.3787
2013-02-17,766.0649
2013-02-18,788.7768
2013-02-19,760.8202
2013-02-20,787.7001
2013-02-21,753.0582
2013-02-22,787.1199
2013-02-23,800.4102
2013-02-24,801.5588
2013-02-25,800.5592
2013-02-26,815.3876
2013-02-27,798.3496
2013-02-28,805.3378
2013-03-01,822.2328
2013-03-02,839.9554
2013-03-03,835.5724
2013-03-04,829.5999
2013-03-05,859.7476
2013-03-06,851.9495
2013-03-07,858.6933
2013-03-08,877.1732
2013-03-09,843.4705
2013-03-10,829.7762
2013-03-11,842.572
2013-03-12,821.831
2013-03-13,868.1199
2013-03-14,869.7225
2013-03-15,857.2149
2013-03-16,852.2032
2013-03-17,855.11
2013-03-18,844.997
2013-03-19,835.066
2013-03-20,796.7541
2013-03-21,704.8243
2013-03-22,760.5384
2013-03-23,816.1973
2013-03-24,834.2417
2013-03-25,833.8635
2013-03-26,785.9786
2013-03-27,841.1705
2013-03-28,825.7933
2013-03-29,817.6354
2013-03-30,822.3341
2013-03-31,863.5649
2013-04-01,840.8568
