 Observation period,Clear sky GHI
2013-01-02,690.3939
2013-01-03,737.894
2013-01-04,713.8244
2013-01-05,701.5117
2013-01-06,642.8418
2013-01-07,629.8048
2013-01-08,678.5376
2013-01-09,696.0078
2013-01-10,721.5464
2013-01-11,697.3973
2013-01-12,741.9656
2013-01-13,678.3128
2013-01-14,715.2177
2013-01-15,692.6666
2013-01-16,696.351
2013-01-17,681.1851
2013-01-18,717.2675
2013-01-19,697.6863
2013-01-20,683.9103
2013-01-21,680.4825
2013-01-22,668.3008
2013-01-23,738.5602
2013-01-24,704.7602
2013-01-25,732.5527
2013-01-26,744.1161
2013-01-27,699.7375
2013-01-28,710.4789
2013-01-29,705.8769
2013-01-30,763.6842
2013-01-31,743.2552
2013-02-01,762.6871
2013-02-02,751.3179
2013-02-03,694.9379
2013-02-04,658.5432
2013-02-05,650.0153
2013-02-06,722.9832
2013-02-07,734.9509
2013-02-08,716.4757
2013-02-09,703.0244
2013-02-10,669.7112
2013-02-11,725.8409
2013-02-12,703.3157
2013-02-13,742.5532
2013-02-14,718.8558
2013-02-15,738.1617
2013-02-16,731.0951
2013-02-17,763.0562
2013-02-18,754.2418
2013-02-19,739.6521
2013-02-20,791.6478
2013-02-21,741.4138
2013-02-22,781.3461
2013-02-23,781.7581
2013-02-24,793.0283
2013-02-25,794.7936
2013-02-26,800.4528
2013-02-27,781.9748
2013-02-28,804.2478
2013-03-01,814.6377
2013-03-02,819.8646
2013-03-03,816.8032
2013-03-04,821.4329
2013-03-05,851.5702
2013-03-06,834.5089
2013-03-07,824.6909
2013-03-08,840.5908
2013-03-09,828.2497
2013-03-10,814.8237
2013-03-11,833.6497
2013-03-12,803.9042
2013-03-13,861.4898
2013-03-14,851.6001
2013-03-15,836.8794
2013-03-16,834.1409
2013-03-17,841.1151
2013-03-18,832.0076
2013-03-19,828.677
2013-03-20,741.7248
2013-03-21,691.603
2013-03-22,768.9301
2013-03-23,793.2705
2013-03-24,808.2955
2013-03-25,807.5627
2013-03-26,789.0172
2013-03-27,813.1954
2013-03-28,804.5486
2013-03-29,800.9654
2013-03-30,799.0565
2013-03-31,840.4563
2013-04-01,886.7835
2013-04-02,876.2682
2013-04-03,860.4329
2013-04-04,864.8314
2013-04-05,845.9411
2013-04-06,854.3821
2013-04-07,872.6107
2013-04-08,831.9478
2013-04-09,813.941
2013-04-10,812.8457
2013-04-11,856.6128
2013-04-12,863.2165
2013-04-13,856.7525
2013-04-14,846.7905
2013-04-15,822.8228
2013-04-16,896.434
2013-04-17,878.2515
2013-04-18,881.0019
2013-04-19,851.9753
2013-04-20,855.322
2013-04-21,833.5773
2013-04-22,837.1531
2013-04-23,848.9162
2013-04-24,844.9042
2013-04-25,853.2828
2013-04-26,815.3867
2013-04-27,796.7302
2013-04-28,806.8409
2013-04-29,796.4209
2013-04-30,809.772
2013-05-01,826.4263
2013-05-02,850.5803
2013-05-03,814.7452
2013-05-04,794.7787
2013-05-05,834.7261
2013-05-06,845.7612
2013-05-07,836.9784
2013-05-08,841.4196
2013-05-09,861.917
2013-05-10,783.145
2013-05-11,724.2542
2013-05-12,724.3151
2013-05-13,794.8552
2013-05-14,821.0493
2013-05-15,855.8474
2013-05-16,848.8402
2013-05-17,808.9681
2013-05-18,830.2607
2013-05-19,820.5026
2013-05-20,836.8286
2013-05-21,811.7528
2013-05-22,846.4577
2013-05-23,838.0378
2013-05-24,812.86
2013-05-25,819.0596
2013-05-26,807.0718
2013-05-27,807.7442
2013-05-28,803.8709
2013-05-29,818.7811
2013-05-30,822.1786
2013-05-31,797.8522
2013-06-01,776.7268
2013-06-02,781.8466
2013-06-03,797.916
2013-06-04,812.6639
2013-06-05,804.824
2013-06-06,792.551
2013-06-07,841.0187
2013-06-08,807.8862
2013-06-09,743.8518
2013-06-10,761.8706
2013-06-11,755.9672
2013-06-12,781.8062
2013-06-13,781.6909
2013-06-14,778.3771
2013-06-15,788.9567
2013-06-16,762.9558
2013-06-17,785.7305
2013-06-18,773.1488
2013-06-19,799.4349
2013-06-20,806.202
2013-06-21,803.3489
2013-06-22,826.7789
2013-06-23,788.4441
2013-06-24,800.5882
2013-06-25,767.3301
2013-06-26,739.8665
2013-06-27,755.9377
2013-06-28,797.9259
2013-06-29,836.6602
2013-06-30,807.1984
2013-07-01,765.1874
2013-07-02,773.6901
2013-07-03,783.572
2013-07-04,815.0231
2013-07-05,841.3542
2013-07-06,826.9515
2013-07-07,819.2062
2013-07-08,852.1338
2013-07-09,844.4045
2013-07-10,794.5943
2013-07-11,818.9546
2013-07-12,833.8588
2013-07-13,847.5581
2013-07-14,838.3974
2013-07-15,829.1839
2013-07-16,809.8091
2013-07-17,809.1109
2013-07-18,821.0665
2013-07-19,812.7383
2013-07-20,816.7988
2013-07-21,818.3408
2013-07-22,831.4919
2013-07-23,817.2064
2013-07-24,814.1487
2013-07-25,818.8578
2013-07-26,812.5034
2013-07-27,766.0301
2013-07-28,768.3706
2013-07-29,810.4479
2013-07-30,766.2827
2013-07-31,761.2254
2013-08-01,773.4799
2013-08-02,784.642
2013-08-03,767.9255
2013-08-04,752.7198
2013-08-05,763.033
2013-08-06,818.0743
2013-08-07,817.157
2013-08-08,775.4772
2013-08-09,766.4594
2013-08-10,790.0804
2013-08-11,807.761
2013-08-12,818.061
2013-08-13,798.6314
2013-08-14,759.1168
2013-08-15,780.9602
2013-08-16,838.2112
2013-08-17,841.1057
2013-08-18,814.6983
2013-08-19,800.1573
2013-08-20,787.4978
2013-08-21,764.5911
2013-08-22,840.4473
2013-08-23,816.538
2013-08-24,820.5408
2013-08-25,841.2441
2013-08-26,829.1384
2013-08-27,781.9841
2013-08-28,795.5897
2013-08-29,849.5549
2013-08-30,867.007
2013-08-31,830.7027
2013-09-01,847.6243
2013-09-02,871.2773
