 Observation period,Clear sky GHI
2013-01-02,730.4689
2013-01-03,769.9863
2013-01-04,743.1927
2013-01-05,723.1413
2013-01-06,673.3842
2013-01-07,623.8354
2013-01-08,700.4174
2013-01-09,724.1895
2013-01-10,732.8231
2013-01-11,735.0466
2013-01-12,790.8962
2013-01-13,734.6228
2013-01-14,789.6677
2013-01-15,737.2448
2013-01-16,720.1898
2013-01-17,721.0905
2013-01-18,725.4123
2013-01-19,716.1238
2013-01-20,686.5773
2013-01-21,697.6751
2013-01-22,691.7697
2013-01-23,748.6768
2013-01-24,721.3563
2013-01-25,743.3625
2013-01-26,756.6621
2013-01-27,730.4791
2013-01-28,726.7102
2013-01-29,721.3165
2013-01-30,771.3498
2013-01-31,750.4921
2013-02-01,801.628
2013-02-02,790.335
2013-02-03,748.5569
2013-02-04,719.4742
2013-02-05,688.7787
2013-02-06,737.501
2013-02-07,760.93
2013-02-08,772.8232
2013-02-09,758.8831
2013-02-10,748.6319
2013-02-11,748.7372
2013-02-12,705.347
2013-02-13,752.9673
2013-02-14,752.3336
2013-02-15,769.9341
2013-02-16,756.4474
2013-02-17,782.806
2013-02-18,778.7205
2013-02-19,754.7109
2013-02-20,795.5247
2013-02-21,768.3835
2013-02-22,796.2717
2013-02-23,808.4739
2013-02-24,827.8243
2013-02-25,818.4731
2013-02-26,818.6699
2013-02-27,803.5375
2013-02-28,818.3395
2013-03-01,829.2624
2013-03-02,834.0635
2013-03-03,830.628
2013-03-04,841.6636
2013-03-05,861.2604
2013-03-06,860.7098
2013-03-07,849.2404
2013-03-08,878.2961
2013-03-09,850.187
2013-03-10,848.5516
2013-03-11,862.4358
2013-03-12,827.5972
2013-03-13,878.32
2013-03-14,854.2759
2013-03-15,851.186
2013-03-16,851.5302
2013-03-17,852.0887
2013-03-18,834.2089
2013-03-19,844.5333
2013-03-20,792.2621
2013-03-21,732.4977
2013-03-22,771.7441
2013-03-23,827.1095
2013-03-24,837.9938
2013-03-25,827.9706
2013-03-26,800.4025
2013-03-27,826.8016
2013-03-28,830.9415
2013-03-29,807.0482
2013-03-30,827.6957
2013-03-31,859.7181
2013-04-01,893.7758
2013-04-02,883.2869
2013-04-03,877.4002
2013-04-04,856.0222
2013-04-05,866.7986
2013-04-06,880.8394
2013-04-07,887.6258
2013-04-08,841.2169
2013-04-09,827.8946
2013-04-10,821.6577
2013-04-11,861.1853
2013-04-12,880.2064
2013-04-13,868.7286
2013-04-14,858.3121
2013-04-15,831.1188
2013-04-16,923.5199
2013-04-17,849.5314
2013-04-18,869.9073
2013-04-19,866.8186
2013-04-20,854.5929
2013-04-21,852.4793
2013-04-22,842.5071
2013-04-23,876.3039
2013-04-24,862.2143
2013-04-25,849.2042
2013-04-26,813.0164
2013-04-27,830.5616
2013-04-28,823.0068
2013-04-29,854.5212
2013-04-30,840.7166
2013-05-01,832.6506
2013-05-02,857.176
2013-05-03,833.4714
2013-05-04,827.7917
2013-05-05,844.4369
2013-05-06,860.0666
2013-05-07,848.3585
2013-05-08,859.5984
2013-05-09,867.4863
2013-05-10,798.8873
2013-05-11,717.2352
2013-05-12,731.6061
2013-05-13,794.0286
2013-05-14,836.2627
2013-05-15,869.4935
2013-05-16,876.9065
2013-05-17,834.4292
2013-05-18,854.9382
2013-05-19,841.2294
2013-05-20,863.1008
2013-05-21,826.7635
2013-05-22,852.1113
2013-05-23,871.4197
2013-05-24,838.7602
2013-05-25,842.5695
2013-05-26,830.1906
2013-05-27,835.9195
2013-05-28,843.6497
2013-05-29,833.0099
2013-05-30,842.5562
2013-05-31,801.5128
2013-06-01,813.5283
2013-06-02,803.0342
2013-06-03,828.3393
2013-06-04,846.5124
2013-06-05,817.6386
2013-06-06,814.513
