 Observation period,Clear sky GHI
2013-01-02,750.5673
2013-01-03,759.0109
2013-01-04,738.9969
2013-01-05,777.0867
2013-01-06,734.3915
2013-01-07,706.4609
2013-01-08,673.4139
2013-01-09,721.5599
2013-01-10,735.9568
2013-01-11,724.1464
2013-01-12,776.6439
2013-01-13,744.6127
2013-01-14,750.4415
2013-01-15,744.9568
2013-01-16,686.2853
2013-01-17,753.6384
2013-01-18,731.2494
2013-01-19,730.0846
2013-01-20,708.3594
2013-01-21,708.0413
2013-01-22,697.296
2013-01-23,720.2169
2013-01-24,734.2927
2013-01-25,758.6281
2013-01-26,769.9324
2013-01-27,746.9652
2013-01-28,739.1576
2013-01-29,745.2195
2013-01-30,778.926
2013-01-31,764.3418
2013-02-01,767.0499
2013-02-02,798.2773
2013-02-03,757.4599
2013-02-04,681.1902
2013-02-05,663.3578
2013-02-06,706.8903
2013-02-07,739.5373
2013-02-08,756.2035
2013-02-09,794.2072
2013-02-10,735.2467
2013-02-11,752.4796
2013-02-12,729.8155
2013-02-13,761.1634
2013-02-14,763.1533
2013-02-15,814.2181
2013-02-16,803.7826
2013-02-17,786.0447
2013-02-18,798.1258
2013-02-19,773.4961
2013-02-20,757.3221
2013-02-21,782.8544
2013-02-22,813.0021
2013-02-23,810.2411
2013-02-24,841.4674
2013-02-25,829.4966
2013-02-26,808.535
2013-02-27,804.9871
2013-02-28,830.1721
2013-03-01,835.324
2013-03-02,864.9968
2013-03-03,845.216
2013-03-04,873.7076
2013-03-05,868.2336
2013-03-06,863.3357
2013-03-07,867.1055
2013-03-08,890.2521
2013-03-09,868.2612
2013-03-10,876.5352
2013-03-11,890.6221
2013-03-12,865.3754
2013-03-13,891.14
2013-03-14,864.9623
2013-03-15,877.0331
2013-03-16,871.5022
2013-03-17,854.2536
2013-03-18,857.2112
2013-03-19,857.4914
2013-03-20,822.6454
2013-03-21,774.9206
2013-03-22,795.3054
2013-03-23,858.2305
2013-03-24,856.9221
2013-03-25,848.4114
2013-03-26,844.8161
2013-03-27,869.669
2013-03-28,843.6113
2013-03-29,812.7719
2013-03-30,841.6708
2013-03-31,876.0483
2013-04-01,910.2807
2013-04-02,900.9629
2013-04-03,920.1658
2013-04-04,861.4296
2013-04-05,877.1406
2013-04-06,881.4928
2013-04-07,910.7919
2013-04-08,856.209
2013-04-09,843.5676
2013-04-10,848.7523
2013-04-11,845.2236
2013-04-12,886.9617
2013-04-13,891.6581
2013-04-14,886.5016
2013-04-15,842.9898
2013-04-16,923.7101
2013-04-17,885.7116
2013-04-18,890.838
2013-04-19,872.5388
2013-04-20,873.7443
2013-04-21,878.4233
2013-04-22,867.4382
2013-04-23,902.7261
2013-04-24,895.3035
2013-04-25,864.2583
2013-04-26,847.943
2013-04-27,865.8417
2013-04-28,861.9033
2013-04-29,890.7491
2013-04-30,898.1879
2013-05-01,888.496
2013-05-02,877.2002
2013-05-03,855.7307
2013-05-04,860.5231
2013-05-05,852.6962
2013-05-06,860.2612
2013-05-07,880.0484
2013-05-08,875.1825
2013-05-09,870.7328
2013-05-10,843.6649
2013-05-11,754.382
2013-05-12,766.3361
2013-05-13,801.753
2013-05-14,845.3737
2013-05-15,882.8436
2013-05-16,895.2048
2013-05-17,872.8152
2013-05-18,872.9736
2013-05-19,827.1185
2013-05-20,864.4189
2013-05-21,847.9579
2013-05-22,860.5473
2013-05-23,894.0441
2013-05-24,863.8043
2013-05-25,858.7598
2013-05-26,853.9871
2013-05-27,859.0064
2013-05-28,864.0633
2013-05-29,848.1419
2013-05-30,841.7379
2013-05-31,827.9326
2013-06-01,846.4487
2013-06-02,820.368
2013-06-03,854.556
2013-06-04,869.4238
2013-06-05,822.6801
2013-06-06,834.3711
2013-06-07,851.5602
2013-06-08,852.3646
2013-06-09,783.4072
2013-06-10,798.3878
2013-06-11,811.1725
2013-06-12,827.4346
2013-06-13,826.4154
2013-06-14,829.9536
2013-06-15,833.4664
2013-06-16,816.6056
2013-06-17,856.0317
2013-06-18,848.375
2013-06-19,854.9877
2013-06-20,829.8424
2013-06-21,840.5419
2013-06-22,860.7128
2013-06-23,864.9144
2013-06-24,866.1267
2013-06-25,870.3367
2013-06-26,784.4242
2013-06-27,802.3317
2013-06-28,845.3601
2013-06-29,831.8839
2013-06-30,864.8226
2013-07-01,832.4559
2013-07-02,845.3024
2013-07-03,842.4437
2013-07-04,853.0318
2013-07-05,856.704
2013-07-06,886.6804
2013-07-07,882.3903
2013-07-08,877.3947
2013-07-09,891.439
2013-07-10,878.4864
2013-07-11,881.246
2013-07-12,872.1137
2013-07-13,875.7641
2013-07-14,869.8506
2013-07-15,862.517
2013-07-16,891.3138
2013-07-17,867.9763
2013-07-18,870.2149
2013-07-19,866.2737
2013-07-20,878.009
2013-07-21,867.097
2013-07-22,863.047
2013-07-23,856.2873
2013-07-24,833.1132
2013-07-25,827.6451
2013-07-26,876.3228
2013-07-27,884.7505
2013-07-28,850.6522
2013-07-29,858.9528
2013-07-30,874.4103
2013-07-31,816.9934
2013-08-01,874.7507
2013-08-02,898.7357
2013-08-03,830.9857
2013-08-04,828.9096
2013-08-05,888.7996
2013-08-06,892.1127
2013-08-07,869.2772
2013-08-08,872.9765
2013-08-09,860.3998
2013-08-10,826.231
2013-08-11,838.4021
2013-08-12,853.899
2013-08-13,866.9769
2013-08-14,810.2258
2013-08-15,839.4488
2013-08-16,900.9443
2013-08-17,886.8274
2013-08-18,851.1066
2013-08-19,832.2448
2013-08-20,861.0344
2013-08-21,849.9678
2013-08-22,871.1215
2013-08-23,866.6555
2013-08-24,855.3047
2013-08-25,855.1987
2013-08-26,875.517
2013-08-27,826.5418
2013-08-28,809.9315
2013-08-29,854.8837
2013-08-30,892.0433
2013-08-31,877.3245
2013-09-01,882.3885
2013-09-02,886.8167
2013-09-03,848.6306
2013-09-04,847.649
2013-09-05,888.6193
2013-09-06,887.6875
2013-09-07,906.5496
2013-09-08,884.2845
2013-09-09,883.1054
2013-09-10,877.5586
2013-09-11,902.6692
2013-09-12,912.8419
2013-09-13,914.2601
2013-09-14,884.2263
2013-09-15,880.4499
2013-09-16,903.0038
2013-09-17,893.8777
2013-09-18,869.8937
2013-09-19,861.5341
2013-09-20,850.5736
2013-09-21,862.2408
2013-09-22,872.1943
2013-09-23,859.7632
2013-09-24,891.5161
2013-09-25,916.3537
2013-09-26,895.8803
2013-09-27,862.8144
2013-09-28,864.6033
2013-09-29,885.304
2013-09-30,887.8651
2013-10-01,880.7915
2013-10-02,890.9647
2013-10-03,864.7747
2013-10-04,859.6003
2013-10-05,898.0459
2013-10-06,880.8854
2013-10-07,861.2033
2013-10-08,864.2444
2013-10-09,877.6253
2013-10-10,855.2479
2013-10-11,868.0697
2013-10-12,841.0805
2013-10-13,883.7842
2013-10-14,831.7907
2013-10-15,829.4716
2013-10-16,879.2609
2013-10-17,859.6088
2013-10-18,852.2291
2013-10-19,845.6273
2013-10-20,843.0934
2013-10-21,840.5844
2013-10-22,840.1786
2013-10-23,830.2525
2013-10-24,821.7156
2013-10-25,822.6955
2013-10-26,792.537
2013-10-27,816.2139
2013-10-28,842.4781
2013-10-29,808.1101
2013-10-30,792.9907
2013-10-31,791.7761
2013-11-01,806.4083
2013-11-02,805.6335
2013-11-03,809.6831
2013-11-04,827.4428
2013-11-05,843.6522
2013-11-06,835.7091
2013-11-07,806.7421
2013-11-08,818.5167
2013-11-09,793.8413
2013-11-10,802.5626
2013-11-11,790.1242
2013-11-12,776.8997
2013-11-13,767.6575
2013-11-14,761.222
2013-11-15,762.1658
2013-11-16,771.0794
2013-11-17,795.7057
2013-11-18,786.0217
2013-11-19,805.8279
2013-11-20,772.6591
2013-11-21,783.1564
2013-11-22,764.6138
2013-11-23,792.7517
2013-11-24,784.498
2013-11-25,778.376
2013-11-26,770.7842
2013-11-27,760.3106
2013-11-28,774.5104
2013-11-29,752.4592
2013-11-30,784.4051
2013-12-01,775.9294
2013-12-02,755.27
2013-12-03,747.1332
2013-12-04,731.4065
2013-12-05,774.6836
2013-12-06,767.8482
2013-12-07,765.1144
2013-12-08,753.3574
2013-12-09,724.744
2013-12-10,738.3083
2013-12-11,754.5401
2013-12-12,749.5289
2013-12-13,727.3908
2013-12-14,734.9533
2013-12-15,711.2872
2013-12-16,734.6115
2013-12-17,764.0184
2013-12-18,780.7148
2013-12-19,807.1232
2013-12-20,761.1918
2013-12-21,743.3103
2013-12-22,696.431
2013-12-23,695.8334
2013-12-24,716.8618
2013-12-25,728.3808
2013-12-26,752.2911
2013-12-27,761.9014
2013-12-28,747.8597
2013-12-29,722.66
2013-12-30,755.2656
2013-12-31,730.9876
2014-01-01,725.5284
2014-01-02,693.83
2014-01-03,697.6003
2014-01-04,740.9789
2014-01-05,745.8349
2014-01-06,689.8108
2014-01-07,663.6832
2014-01-08,707.2319
2014-01-09,730.0148
2014-01-10,731.1678
2014-01-11,750.2004
2014-01-12,749.9332
2014-01-13,742.5206
2014-01-14,752.535
2014-01-15,704.4534
2014-01-16,689.721
2014-01-17,700.5615
2014-01-18,679.5253
2014-01-19,740.7532
2014-01-20,771.3991
2014-01-21,748.1664
2014-01-22,767.0308
2014-01-23,734.7753
2014-01-24,750.5721
2014-01-25,691.3166
2014-01-26,755.2849
2014-01-27,786.9476
2014-01-28,787.0402
2014-01-29,796.7659
2014-01-30,769.9182
2014-01-31,750.5119
2014-02-01,730.0256
2014-02-02,768.9325
2014-02-03,784.3336
2014-02-04,771.1298
2014-02-05,758.2083
2014-02-06,731.178
2014-02-07,808.1863
2014-02-08,782.4961
2014-02-09,765.5346
2014-02-10,762.323
2014-02-11,741.0657
2014-02-12,740.1047
2014-02-13,785.5832
2014-02-14,828.2584
2014-02-15,827.824
2014-02-16,822.1213
2014-02-17,763.9856
