 Observation period,Clear sky GHI
2013-01-02,687.7797
2013-01-03,736.8534
2013-01-04,704.452
2013-01-05,689.5402
2013-01-06,636.8475
2013-01-07,596.5382
2013-01-08,665.4123
2013-01-09,691.4499
2013-01-10,716.6627
2013-01-11,691.0353
2013-01-12,744.0095
2013-01-13,673.15
2013-01-14,718.9556
2013-01-15,692.7951
2013-01-16,683.2399
2013-01-17,677.1866
2013-01-18,696.0646
2013-01-19,686.6282
2013-01-20,676.9446
2013-01-21,673.2528
2013-01-22,663.2324
2013-01-23,730.1782
2013-01-24,702.8482
2013-01-25,726.4628
2013-01-26,739.2166
2013-01-27,706.253
2013-01-28,708.2244
2013-01-29,704.0857
2013-01-30,749.7377
2013-01-31,736.6965
2013-02-01,758.2648
2013-02-02,765.5252
2013-02-03,718.4277
2013-02-04,659.0284
2013-02-05,643.8618
2013-02-06,698.3511
2013-02-07,735.6757
2013-02-08,718.5997
2013-02-09,708.8926
2013-02-10,678.3812
2013-02-11,708.3407
2013-02-12,686.3597
2013-02-13,735.5524
2013-02-14,721.2672
2013-02-15,742.2096
2013-02-16,726.62
2013-02-17,751.0684
2013-02-18,762.7133
2013-02-19,736.4723
2013-02-20,782.8258
2013-02-21,732.4954
2013-02-22,772.5245
2013-02-23,781.072
2013-02-24,794.4604
2013-02-25,796.4811
2013-02-26,799.557
2013-02-27,783.6904
2013-02-28,798.6834
2013-03-01,808.4461
2013-03-02,817.495
2013-03-03,814.4703
2013-03-04,817.5437
2013-03-05,845.1257
2013-03-06,835.4251
2013-03-07,825.0836
2013-03-08,849.3876
2013-03-09,824.1496
2013-03-10,816.4447
2013-03-11,834.2846
2013-03-12,798.2509
2013-03-13,853.2872
2013-03-14,836.7968
2013-03-15,826.0678
2013-03-16,824.6178
2013-03-17,834.4495
2013-03-18,820.7515
2013-03-19,825.3656
2013-03-20,756.0613
2013-03-21,688.3718
2013-03-22,758.3351
2013-03-23,794.9415
2013-03-24,808.8172
2013-03-25,812.8046
2013-03-26,777.3712
2013-03-27,804.577
2013-03-28,805.6589
2013-03-29,796.9129
2013-03-30,798.8088
2013-03-31,839.3141
2013-04-01,872.7992
2013-04-02,870.1206
2013-04-03,855.71
2013-04-04,850.7287
2013-04-05,845.4099
2013-04-06,854.9603
2013-04-07,870.1786
2013-04-08,830.6834
2013-04-09,808.895
2013-04-10,807.3495
2013-04-11,850.8608
2013-04-12,853.1746
2013-04-13,848.1516
2013-04-14,841.8582
2013-04-15,810.0169
2013-04-16,905.4849
2013-04-17,855.3686
2013-04-18,870.1558
2013-04-19,849.5626
2013-04-20,846.8273
2013-04-21,834.5089
2013-04-22,819.5644
2013-04-23,852.8383
2013-04-24,842.8449
2013-04-25,831.9905
2013-04-26,801.1785
2013-04-27,803.7258
2013-04-28,809.1935
2013-04-29,800.222
2013-04-30,797.5953
2013-05-01,811.6818
2013-05-02,848.4233
2013-05-03,815.1124
2013-05-04,795.8885
2013-05-05,824.5676
2013-05-06,837.3925
2013-05-07,833.7342
2013-05-08,835.7855
2013-05-09,853.5319
2013-05-10,781.4572
2013-05-11,718.4396
2013-05-12,722.5031
