 Observation period,Clear sky GHI
2013-01-02,752.439
2013-01-03,758.8989
2013-01-04,750.5883
2013-01-05,774.7274
2013-01-06,710.9254
2013-01-07,691.9653
2013-01-08,750.2495
2013-01-09,748.4319
2013-01-10,721.318
2013-01-11,749.2334
2013-01-12,774.9604
2013-01-13,739.2958
2013-01-14,799.8236
2013-01-15,801.406
2013-01-16,762.6498
2013-01-17,762.3217
2013-01-18,760.8266
2013-01-19,750.641
2013-01-20,680.4377
2013-01-21,688.9958
2013-01-22,691.7932
2013-01-23,753.1669
2013-01-24,753.4558
2013-01-25,749.761
2013-01-26,759.7971
2013-01-27,735.24
2013-01-28,734.9319
2013-01-29,741.4341
2013-01-30,798.9092
2013-01-31,779.0953
2013-02-01,789.087
2013-02-02,783.1593
2013-02-03,767.4251
2013-02-04,730.5408
2013-02-05,718.8289
2013-02-06,781.0867
2013-02-07,785.6874
2013-02-08,785.5021
2013-02-09,798.3872
2013-02-10,755.3725
2013-02-11,793.1177
2013-02-12,705.421
2013-02-13,755.6891
2013-02-14,760.7936
2013-02-15,788.2974
2013-02-16,782.4038
2013-02-17,810.0928
2013-02-18,779.5721
2013-02-19,741.4934
2013-02-20,749.2492
2013-02-21,778.6524
2013-02-22,809.9306
2013-02-23,823.7996
2013-02-24,840.9291
2013-02-25,820.3168
2013-02-26,807.69
2013-02-27,800.8276
2013-02-28,828.2047
2013-03-01,838.0716
2013-03-02,851.996
2013-03-03,841.7458
2013-03-04,867.0117
2013-03-05,860.6489
2013-03-06,868.3317
2013-03-07,858.741
2013-03-08,879.8248
2013-03-09,868.1764
2013-03-10,883.3267
2013-03-11,878.1435
2013-03-12,850.6993
2013-03-13,882.4812
2013-03-14,846.038
2013-03-15,880.0361
2013-03-16,863.4561
2013-03-17,848.4277
2013-03-18,847.7961
2013-03-19,836.8269
2013-03-20,796.617
2013-03-21,765.4725
2013-03-22,788.2414
2013-03-23,860.1118
2013-03-24,855.9545
2013-03-25,839.542
2013-03-26,823.7555
2013-03-27,840.8219
2013-03-28,825.6169
2013-03-29,800.9779
2013-03-30,827.8564
2013-03-31,871.7831
2013-04-01,906.6436
2013-04-02,905.7045
2013-04-03,878.6014
2013-04-04,838.7636
2013-04-05,868.1605
2013-04-06,902.0283
2013-04-07,903.2628
2013-04-08,853.4986
2013-04-09,842.046
2013-04-10,820.8315
2013-04-11,835.9629
2013-04-12,901.9544
2013-04-13,892.2892
2013-04-14,865.9886
2013-04-15,833.049
2013-04-16,912.577
2013-04-17,856.5577
2013-04-18,859.226
2013-04-19,869.6191
2013-04-20,850.3747
2013-04-21,878.335
2013-04-22,866.8733
2013-04-23,884.3008
2013-04-24,880.9911
2013-04-25,868.8677
2013-04-26,847.0118
2013-04-27,849.335
2013-04-28,843.9128
2013-04-29,908.0274
2013-04-30,883.6293
2013-05-01,869.7775
2013-05-02,865.7133
2013-05-03,838.8559
2013-05-04,850.2719
2013-05-05,833.5282
2013-05-06,857.2321
2013-05-07,863.9758
2013-05-08,879.0568
2013-05-09,867.9932
2013-05-10,790.3201
2013-05-11,725.2823
2013-05-12,737.7084
2013-05-13,810.3423
2013-05-14,849.2337
2013-05-15,882.4152
2013-05-16,874.4282
2013-05-17,875.06
2013-05-18,865.8164
2013-05-19,826.0167
2013-05-20,861.647
2013-05-21,851.5278
2013-05-22,845.0364
2013-05-23,898.1032
2013-05-24,857.83
2013-05-25,862.4938
2013-05-26,837.3052
2013-05-27,851.4244
2013-05-28,883.5602
2013-05-29,841.6495
2013-05-30,843.5071
2013-05-31,820.5536
2013-06-01,824.2026
2013-06-02,836.9612
2013-06-03,854.3514
2013-06-04,867.8473
2013-06-05,811.4783
2013-06-06,806.149
2013-06-07,826.7252
2013-06-08,830.4283
2013-06-09,759.0281
2013-06-10,795.9088
2013-06-11,802.7044
2013-06-12,820.2258
2013-06-13,836.226
2013-06-14,826.5748
2013-06-15,837.4322
2013-06-16,809.6141
2013-06-17,843.2786
2013-06-18,827.3306
2013-06-19,836.7263
2013-06-20,815.0859
2013-06-21,823.6271
2013-06-22,857.7178
2013-06-23,868.1039
2013-06-24,846.3857
2013-06-25,880.0781
2013-06-26,802.0274
2013-06-27,844.5474
2013-06-28,852.6447
2013-06-29,853.0116
2013-06-30,902.0876
2013-07-01,882.0951
2013-07-02,836.4044
2013-07-03,833.995
2013-07-04,844.1538
2013-07-05,848.6032
2013-07-06,884.422
2013-07-07,895.1129
2013-07-08,882.4217
2013-07-09,886.1894
2013-07-10,894.2006
2013-07-11,892.3113
2013-07-12,872.6163
2013-07-13,873.4846
2013-07-14,858.0673
2013-07-15,854.6514
2013-07-16,892.9523
2013-07-17,858.4248
2013-07-18,877.7197
2013-07-19,861.4954
2013-07-20,887.219
2013-07-21,874.5418
2013-07-22,867.3266
2013-07-23,838.779
2013-07-24,825.5195
2013-07-25,832.4056
2013-07-26,866.4334
2013-07-27,854.2961
2013-07-28,863.4319
2013-07-29,848.1974
2013-07-30,872.5842
2013-07-31,841.6978
2013-08-01,886.4587
2013-08-02,888.9388
2013-08-03,835.9847
2013-08-04,856.1561
2013-08-05,878.9626
2013-08-06,853.2565
2013-08-07,867.9666
2013-08-08,886.0489
2013-08-09,870.3223
2013-08-10,846.3442
2013-08-11,849.7645
2013-08-12,858.2297
2013-08-13,850.7643
2013-08-14,792.7651
2013-08-15,840.5695
2013-08-16,911.826
2013-08-17,904.1605
2013-08-18,861.4291
2013-08-19,831.1598
2013-08-20,864.4456
2013-08-21,850.9351
2013-08-22,870.464
2013-08-23,869.6588
2013-08-24,848.5217
2013-08-25,813.5788
2013-08-26,884.4604
2013-08-27,830.667
2013-08-28,830.5787
2013-08-29,867.7896
2013-08-30,893.9678
2013-08-31,905.7027
2013-09-01,876.0947
2013-09-02,917.4097
2013-09-03,875.0757
2013-09-04,875.318
2013-09-05,924.5312
2013-09-06,908.9995
2013-09-07,920.0336
2013-09-08,874.537
2013-09-09,884.9243
2013-09-10,875.9604
2013-09-11,894.9755
2013-09-12,917.6114
2013-09-13,927.8975
2013-09-14,880.1544
2013-09-15,904.066
2013-09-16,914.9657
2013-09-17,892.9509
2013-09-18,865.0314
2013-09-19,855.6503
2013-09-20,835.1913
2013-09-21,863.3104
2013-09-22,853.1227
2013-09-23,848.6319
2013-09-24,910.7436
2013-09-25,905.1879
2013-09-26,866.1834
2013-09-27,843.5021
2013-09-28,856.4069
2013-09-29,877.1852
2013-09-30,874.495
2013-10-01,882.2348
2013-10-02,882.3934
2013-10-03,856.7632
2013-10-04,883.3495
2013-10-05,897.055
2013-10-06,869.4532
2013-10-07,854.1908
2013-10-08,863.9493
2013-10-09,857.6628
2013-10-10,833.9949
2013-10-11,858.39
2013-10-12,854.5065
2013-10-13,874.762
2013-10-14,801.6038
2013-10-15,852.7816
2013-10-16,865.4445
2013-10-17,848.8222
2013-10-18,859.7328
2013-10-19,839.4501
2013-10-20,844.7012
2013-10-21,850.9722
2013-10-22,836.5828
2013-10-23,829.7243
2013-10-24,812.355
2013-10-25,816.7994
2013-10-26,779.4445
2013-10-27,803.7751
2013-10-28,824.5572
2013-10-29,772.2818
2013-10-30,772.7701
2013-10-31,750.7912
2013-11-01,794.3916
2013-11-02,812.9171
2013-11-03,831.1763
2013-11-04,847.9142
2013-11-05,849.6885
2013-11-06,844.1294
2013-11-07,795.5836
2013-11-08,806.988
2013-11-09,798.9133
2013-11-10,812.7637
2013-11-11,775.1607
2013-11-12,759.4786
2013-11-13,762.9754
2013-11-14,757.9367
2013-11-15,773.5317
2013-11-16,758.4327
2013-11-17,802.9884
2013-11-18,782.2378
2013-11-19,815.3959
2013-11-20,784.3449
2013-11-21,778.431
2013-11-22,779.0718
2013-11-23,793.577
2013-11-24,786.3807
2013-11-25,778.5691
2013-11-26,767.7082
2013-11-27,739.8988
2013-11-28,790.0561
2013-11-29,763.6358
2013-11-30,797.8255
2013-12-01,755.1121
2013-12-02,745.1516
2013-12-03,755.956
2013-12-04,741.7625
2013-12-05,753.9963
2013-12-06,748.7907
2013-12-07,756.4253
2013-12-08,740.3734
2013-12-09,757.3541
2013-12-10,735.25
2013-12-11,750.8768
2013-12-12,735.802
2013-12-13,707.3776
2013-12-14,730.6456
2013-12-15,728.0112
2013-12-16,751.1597
2013-12-17,772.5093
2013-12-18,791.7494
2013-12-19,810.0012
2013-12-20,795.4486
2013-12-21,766.462
2013-12-22,712.0743
2013-12-23,735.188
2013-12-24,716.1655
2013-12-25,752.3564
2013-12-26,777.3431
2013-12-27,786.4206
2013-12-28,785.3373
2013-12-29,756.988
2013-12-30,780.3694
2013-12-31,754.4254
2014-01-01,689.3176
2014-01-02,670.8763
2014-01-03,709.1114
2014-01-04,752.1851
2014-01-05,767.628
2014-01-06,744.3882
2014-01-07,703.9943
2014-01-08,733.8872
2014-01-09,763.4774
2014-01-10,808.0942
2014-01-11,790.2922
2014-01-12,791.7652
2014-01-13,782.0261
2014-01-14,771.9332
2014-01-15,736.617
2014-01-16,682.4084
2014-01-17,710.75
2014-01-18,748.3837
2014-01-19,805.4489
2014-01-20,816.6799
