 Observation period,Clear sky GHI
2013-01-02,769.336
2013-01-03,770.9481
2013-01-04,784.0306
2013-01-05,782.2952
2013-01-06,785.9482
2013-01-07,774.193
2013-01-08,769.1348
2013-01-09,740.6
2013-01-10,745.1718
2013-01-11,771.5117
2013-01-12,752.1389
2013-01-13,759.2684
2013-01-14,814.7342
2013-01-15,813.4166
2013-01-16,789.8862
2013-01-17,783.0823
2013-01-18,796.1779
2013-01-19,808.521
2013-01-20,800.173
2013-01-21,779.8118
2013-01-22,777.0112
2013-01-23,826.8636
2013-01-24,785.8751
2013-01-25,792.2761
2013-01-26,796.3779
2013-01-27,804.3544
2013-01-28,776.3575
2013-01-29,795.895
2013-01-30,792.0175
2013-01-31,795.7472
2013-02-01,781.0162
2013-02-02,786.6811
2013-02-03,782.7911
2013-02-04,745.1304
2013-02-05,778.7278
2013-02-06,817.8402
2013-02-07,791.9473
2013-02-08,807.9671
2013-02-09,805.5582
2013-02-10,852.7794
2013-02-11,869.4457
2013-02-12,826.3578
2013-02-13,840.6146
2013-02-14,848.8382
2013-02-15,847.3156
2013-02-16,859.8043
2013-02-17,836.8078
2013-02-18,822.2526
2013-02-19,811.2096
2013-02-20,868.0188
2013-02-21,888.4007
2013-02-22,894.8973
2013-02-23,886.0919
2013-02-24,892.7753
2013-02-25,865.696
2013-02-26,869.3616
2013-02-27,854.3305
2013-02-28,909.8568
2013-03-01,927.4841
2013-03-02,914.911
2013-03-03,921.5911
2013-03-04,923.1404
2013-03-05,921.9086
2013-03-06,900.4105
2013-03-07,899.7919
2013-03-08,913.4037
2013-03-09,922.0961
2013-03-10,961.1972
2013-03-11,925.7199
2013-03-12,915.9713
2013-03-13,932.1545
2013-03-14,905.3456
2013-03-15,934.8005
2013-03-16,923.4138
2013-03-17,918.325
2013-03-18,860.3121
2013-03-19,800.7984
2013-03-20,812.9744
2013-03-21,867.6092
2013-03-22,901.4705
2013-03-23,884.7152
2013-03-24,917.7537
2013-03-25,811.9356
2013-03-26,802.3368
2013-03-27,824.1209
2013-03-28,842.9075
2013-03-29,847.2436
2013-03-30,876.9183
2013-03-31,887.5856
2013-04-01,905.8651
2013-04-02,909.5088
2013-04-03,890.6036
2013-04-04,867.9687
2013-04-05,923.3469
2013-04-06,930.6899
2013-04-07,908.5601
2013-04-08,836.6371
2013-04-09,845.6781
2013-04-10,860.7962
2013-04-11,893.4986
2013-04-12,929.054
2013-04-13,904.9025
2013-04-14,901.7029
2013-04-15,876.9822
2013-04-16,922.9234
2013-04-17,900.2406
2013-04-18,895.7922
2013-04-19,897.2414
2013-04-20,883.7314
2013-04-21,877.0964
2013-04-22,867.5496
2013-04-23,882.7413
2013-04-24,868.5733
2013-04-25,886.3114
2013-04-26,880.6122
2013-04-27,860.4605
2013-04-28,855.8816
2013-04-29,860.1344
2013-04-30,877.1285
2013-05-01,874.8265
2013-05-02,904.6518
2013-05-03,869.5369
2013-05-04,881.6714
2013-05-05,890.3105
2013-05-06,915.5296
2013-05-07,910.1608
2013-05-08,900.1761
2013-05-09,896.8655
2013-05-10,767.9999
2013-05-11,729.7001
2013-05-12,779.2188
2013-05-13,808.2252
2013-05-14,831.7816
2013-05-15,895.7075
2013-05-16,910.1142
2013-05-17,907.0595
2013-05-18,903.8486
2013-05-19,896.4054
2013-05-20,893.3179
2013-05-21,889.3302
2013-05-22,898.2432
2013-05-23,926.857
2013-05-24,872.7869
2013-05-25,906.9088
2013-05-26,883.933
2013-05-27,894.2784
2013-05-28,872.2712
2013-05-29,847.9536
2013-05-30,846.2501
2013-05-31,857.2932
2013-06-01,852.9871
2013-06-02,889.4004
2013-06-03,883.4432
2013-06-04,860.3909
2013-06-05,834.1594
2013-06-06,782.6801
2013-06-07,821.036
2013-06-08,806.436
2013-06-09,763.5002
2013-06-10,786.307
2013-06-11,819.4524
2013-06-12,853.2839
2013-06-13,842.8496
2013-06-14,830.187
2013-06-15,848.1773
2013-06-16,831.1019
2013-06-17,845.6026
2013-06-18,869.538
2013-06-19,852.7924
2013-06-20,827.8253
2013-06-21,834.0339
2013-06-22,881.7322
2013-06-23,898.9733
2013-06-24,908.4942
2013-06-25,898.3826
2013-06-26,846.7776
2013-06-27,899.3091
2013-06-28,869.0717
2013-06-29,837.3293
2013-06-30,891.0147
2013-07-01,887.9966
2013-07-02,843.052
2013-07-03,840.0477
2013-07-04,874.4235
2013-07-05,872.5679
2013-07-06,913.3115
2013-07-07,897.5902
2013-07-08,896.6263
2013-07-09,902.9304
2013-07-10,913.6879
2013-07-11,893.2506
2013-07-12,896.1897
2013-07-13,863.2161
2013-07-14,871.8655
2013-07-15,871.7787
2013-07-16,872.6572
2013-07-17,873.5156
2013-07-18,873.0904
2013-07-19,878.5911
2013-07-20,887.1084
2013-07-21,871.923
2013-07-22,868.2255
2013-07-23,816.511
2013-07-24,814.2401
2013-07-25,833.8454
2013-07-26,858.6749
2013-07-27,852.631
2013-07-28,849.8566
2013-07-29,861.6046
2013-07-30,869.3124
2013-07-31,887.6962
2013-08-01,899.7958
2013-08-02,905.6802
2013-08-03,888.8735
2013-08-04,901.2493
2013-08-05,887.746
2013-08-06,881.2889
2013-08-07,879.4031
2013-08-08,916.0546
2013-08-09,900.8672
2013-08-10,905.7154
2013-08-11,917.299
2013-08-12,895.2789
2013-08-13,857.0885
2013-08-14,844.2263
2013-08-15,904.9135
2013-08-16,905.2908
