 Observation period,Clear sky GHI
2013-01-02,673.2053
2013-01-03,682.3547
2013-01-04,682.9843
2013-01-05,683.7919
2013-01-06,637.2244
2013-01-07,615.8445
2013-01-08,654.1793
2013-01-09,677.4711
2013-01-10,680.1788
2013-01-11,664.9807
2013-01-12,674.4587
2013-01-13,645.2821
2013-01-14,658.7563
2013-01-15,680.941
2013-01-16,671.192
2013-01-17,661.962
2013-01-18,688.2132
2013-01-19,678.017
2013-01-20,688.7535
2013-01-21,672.4389
2013-01-22,658.2015
2013-01-23,729.0055
2013-01-24,708.8755
2013-01-25,728.0435
2013-01-26,746.9177
2013-01-27,706.553
2013-01-28,714.3628
2013-01-29,715.725
2013-01-30,759.3927
2013-01-31,744.327
2013-02-01,729.2375
2013-02-02,741.7513
2013-02-03,682.6785
2013-02-04,652.3546
2013-02-05,642.5253
2013-02-06,687.8673
2013-02-07,737.4968
2013-02-08,726.7607
2013-02-09,708.7687
2013-02-10,654.8498
2013-02-11,697.0784
2013-02-12,698.1432
2013-02-13,740.7545
2013-02-14,717.3666
2013-02-15,736.8556
2013-02-16,719.532
2013-02-17,743.0721
2013-02-18,767.2467
2013-02-19,734.7966
2013-02-20,778.5223
2013-02-21,728.2768
2013-02-22,769.5697
2013-02-23,779.8529
2013-02-24,790.6199
2013-02-25,788.4041
2013-02-26,800.1244
2013-02-27,785.2183
2013-02-28,798.705
2013-03-01,811.8777
2013-03-02,822.7786
2013-03-03,819.9523
2013-03-04,811.5434
2013-03-05,852.696
2013-03-06,831.4261
2013-03-07,832.3506
2013-03-08,845.8252
2013-03-09,826.2721
2013-03-10,812.3464
2013-03-11,823.0203
2013-03-12,804.832
2013-03-13,856.279
2013-03-14,846.2133
2013-03-15,833.0686
2013-03-16,834.3257
2013-03-17,845.5776
2013-03-18,833.4075
2013-03-19,822.354
2013-03-20,745.9501
2013-03-21,679.4078
2013-03-22,763.4223
2013-03-23,798.2225
2013-03-24,810.2792
2013-03-25,825.6991
2013-03-26,782.6293
2013-03-27,814.5091
2013-03-28,810.0278
2013-03-29,799.5
2013-03-30,799.8527
2013-03-31,843.4324
2013-04-01,847.5976
2013-04-02,882.3838
2013-04-03,867.1826
2013-04-04,868.5992
2013-04-05,851.5861
2013-04-06,853.0156
2013-04-07,873.9855
2013-04-08,841.2506
2013-04-09,817.4261
2013-04-10,817.9208
2013-04-11,852.4893
2013-04-12,851.8896
2013-04-13,861.9683
2013-04-14,847.9904
2013-04-15,819.4379
2013-04-16,890.7272
2013-04-17,872.0008
2013-04-18,883.6984
2013-04-19,857.915
2013-04-20,857.6753
2013-04-21,830.1912
2013-04-22,838.4734
2013-04-23,846.5275
2013-04-24,843.9586
2013-04-25,835.5168
2013-04-26,811.504
2013-04-27,797.6145
2013-04-28,817.4591
2013-04-29,782.4524
2013-04-30,794.4996
2013-05-01,823.328
2013-05-02,855.7667
2013-05-03,810.6195
2013-05-04,798.9098
2013-05-05,816.4985
2013-05-06,833.8887
2013-05-07,832.565
2013-05-08,831.8135
2013-05-09,840.7187
2013-05-10,797.3093
2013-05-11,762.9612
2013-05-12,745.7607
2013-05-13,794.0428
2013-05-14,813.5154
2013-05-15,842.5676
2013-05-16,854.1343
2013-05-17,807.0819
2013-05-18,825.4299
2013-05-19,808.6024
2013-05-20,830.8165
2013-05-21,813.9982
2013-05-22,818.0035
2013-05-23,827.452
2013-05-24,804.4438
2013-05-25,809.467
2013-05-26,797.6524
2013-05-27,799.3451
2013-05-28,785.1165
2013-05-29,815.3652
2013-05-30,812.4716
2013-05-31,798.437
2013-06-01,768.7717
2013-06-02,773.1284
2013-06-03,788.4315
2013-06-04,813.7222
2013-06-05,808.733
2013-06-06,793.4822
2013-06-07,831.6446
2013-06-08,800.3023
2013-06-09,753.1211
2013-06-10,762.9018
2013-06-11,737.9058
2013-06-12,772.1037
2013-06-13,782.81
2013-06-14,771.7521
2013-06-15,786.9363
2013-06-16,763.2314
2013-06-17,772.8964
2013-06-18,766.5517
2013-06-19,781.2994
2013-06-20,806.7448
2013-06-21,808.8077
2013-06-22,804.7696
2013-06-23,791.871
2013-06-24,805.6719
2013-06-25,752.8231
2013-06-26,726.837
2013-06-27,736.0898
2013-06-28,793.0301
2013-06-29,828.116
2013-06-30,776.6196
2013-07-01,767.5831
2013-07-02,765.1986
2013-07-03,785.4247
2013-07-04,811.6791
2013-07-05,828.7698
2013-07-06,829.6091
2013-07-07,817.6596
2013-07-08,835.975
2013-07-09,833.8191
2013-07-10,791.5869
2013-07-11,812.1994
2013-07-12,821.1412
2013-07-13,842.1868
2013-07-14,837.6235
2013-07-15,831.3703
2013-07-16,800.1359
2013-07-17,806.5716
2013-07-18,820.5608
2013-07-19,815.6777
2013-07-20,805.8284
2013-07-21,812.4064
2013-07-22,814.3312
2013-07-23,820.1347
2013-07-24,814.2613
2013-07-25,809.2325
2013-07-26,793.6944
2013-07-27,760.6445
2013-07-28,770.5239
2013-07-29,793.1738
2013-07-30,754.5184
2013-07-31,760.691
2013-08-01,774.7946
2013-08-02,797.272
2013-08-03,758.5219
2013-08-04,741.6834
2013-08-05,736.4254
2013-08-06,799.8735
2013-08-07,809.47
2013-08-08,772.4829
2013-08-09,763.9271
2013-08-10,786.2658
2013-08-11,806.7576
2013-08-12,809.2477
2013-08-13,799.1486
2013-08-14,766.8543
2013-08-15,790.0576
2013-08-16,829.0902
2013-08-17,834.374
2013-08-18,822.5123
2013-08-19,824.8036
2013-08-20,805.5568
2013-08-21,782.7357
2013-08-22,836.0554
2013-08-23,793.6532
2013-08-24,819.1994
2013-08-25,837.8766
2013-08-26,837.421
2013-08-27,786.8226
2013-08-28,791.5364
2013-08-29,843.3498
2013-08-30,864.9576
2013-08-31,815.9746
2013-09-01,846.8822
2013-09-02,857.835
2013-09-03,798.0402
2013-09-04,790.3383
2013-09-05,844.1346
2013-09-06,869.99
2013-09-07,863.506
2013-09-08,858.9718
2013-09-09,858.2988
2013-09-10,848.8482
2013-09-11,838.8282
2013-09-12,828.6278
2013-09-13,878.8898
2013-09-14,882.9623
2013-09-15,873.589
2013-09-16,865.2292
2013-09-17,850.8807
2013-09-18,871.3485
2013-09-19,861.9968
2013-09-20,860.957
2013-09-21,846.4925
2013-09-22,872.3077
2013-09-23,869.7536
2013-09-24,896.2462
2013-09-25,877.0804
2013-09-26,865.7272
2013-09-27,865.3206
2013-09-28,880.2308
2013-09-29,873.6606
2013-09-30,870.6704
2013-10-01,849.6346
2013-10-02,847.1528
2013-10-03,870.3546
2013-10-04,891.9223
2013-10-05,872.2216
2013-10-06,856.1968
2013-10-07,854.8004
2013-10-08,859.0382
2013-10-09,869.6524
2013-10-10,856.8774
2013-10-11,862.9292
2013-10-12,851.8242
2013-10-13,816.3336
2013-10-14,802.9434
2013-10-15,825.1
2013-10-16,850.156
2013-10-17,823.0747
2013-10-18,837.8173
2013-10-19,824.9184
2013-10-20,804.7768
2013-10-21,789.2608
2013-10-22,798.9986
2013-10-23,826.3535
2013-10-24,813.8814
2013-10-25,804.9113
2013-10-26,793.8281
2013-10-27,770.1664
2013-10-28,773.2882
2013-10-29,781.296
2013-10-30,789.0729
2013-10-31,801.7473
2013-11-01,800.3271
2013-11-02,787.3841
2013-11-03,799.8833
2013-11-04,780.5335
2013-11-05,794.8038
2013-11-06,786.1389
2013-11-07,758.3071
2013-11-08,775.551
2013-11-09,767.1256
2013-11-10,773.5066
2013-11-11,777.7252
2013-11-12,767.7767
2013-11-13,737.6058
2013-11-14,729.6617
2013-11-15,730.5671
2013-11-16,744.8409
2013-11-17,752.4585
2013-11-18,770.3285
2013-11-19,757.7178
2013-11-20,746.0652
2013-11-21,758.4124
2013-11-22,745.1322
2013-11-23,757.3375
2013-11-24,758.0544
2013-11-25,736.9172
2013-11-26,741.5944
2013-11-27,733.7965
2013-11-28,732.5786
2013-11-29,725.1189
2013-11-30,738.4109
2013-12-01,724.1226
2013-12-02,712.4609
2013-12-03,700.3198
2013-12-04,723.2195
2013-12-05,736.1484
2013-12-06,722.681
2013-12-07,738.2565
2013-12-08,723.9304
2013-12-09,704.913
2013-12-10,682.4161
2013-12-11,699.7376
2013-12-12,716.0384
2013-12-13,692.9755
2013-12-14,713.816
2013-12-15,694.8291
2013-12-16,672.8514
2013-12-17,697.5497
2013-12-18,729.0312
2013-12-19,734.3174
2013-12-20,697.8997
2013-12-21,669.8366
2013-12-22,623.9695
2013-12-23,629.3743
2013-12-24,655.0409
2013-12-25,669.6423
2013-12-26,678.9716
2013-12-27,676.8594
2013-12-28,719.5696
2013-12-29,688.2672
2013-12-30,696.5449
2013-12-31,693.6188
2014-01-01,668.5916
2014-01-02,681.2571
2014-01-03,665.3356
2014-01-04,686.1824
2014-01-05,724.7996
2014-01-06,674.308
2014-01-07,605.6596
2014-01-08,670.3591
2014-01-09,673.7402
2014-01-10,692.8583
2014-01-11,682.8814
2014-01-12,676.5627
2014-01-13,679.2347
2014-01-14,668.441
2014-01-15,672.2582
2014-01-16,609.9908
2014-01-17,635.8562
2014-01-18,693.1674
2014-01-19,722.151
2014-01-20,734.319
2014-01-21,722.0929
2014-01-22,738.8787
2014-01-23,749.4961
2014-01-24,726.3822
2014-01-25,673.1354
2014-01-26,733.8575
2014-01-27,720.1343
2014-01-28,714.5537
2014-01-29,742.7152
2014-01-30,749.5712
2014-01-31,743.8222
2014-02-01,720.5285
2014-02-02,705.1785
2014-02-03,701.6172
2014-02-04,705.7316
2014-02-05,748.9132
2014-02-06,720.1804
2014-02-07,712.2106
2014-02-08,716.0395
2014-02-09,718.6149
2014-02-10,664.3754
2014-02-11,730.0452
2014-02-12,736.5429
2014-02-13,737.5135
2014-02-14,783.6217
2014-02-15,772.9672
2014-02-16,750.939
2014-02-17,684.8596
2014-02-18,667.562
2014-02-19,682.667
2014-02-20,673.5675
2014-02-21,740.4524
2014-02-22,719.423
2014-02-23,687.0465
2014-02-24,708.827
2014-02-25,769.0936
2014-02-26,733.1602
2014-02-27,702.4291
2014-02-28,699.8552
2014-03-01,711.1879
2014-03-02,770.651
2014-03-03,790.5334
2014-03-04,750.6224
2014-03-05,730.0649
2014-03-06,771.4609
2014-03-07,797.7233
2014-03-08,791.9173
2014-03-09,806.8317
2014-03-10,829.2234
2014-03-11,844.8537
2014-03-12,826.4083
2014-03-13,827.2468
2014-03-14,829.5248
2014-03-15,858.7771
2014-03-16,767.5305
2014-03-17,802.8669
2014-03-18,850.423
2014-03-19,824.2127
2014-03-20,831.6903
2014-03-21,819.3932
2014-03-22,804.375
2014-03-23,775.1948
2014-03-24,779.0533
2014-03-25,779.5291
2014-03-26,791.3561
2014-03-27,814.1559
2014-03-28,827.9346
2014-03-29,824.1712
2014-03-30,851.3477
2014-03-31,836.1441
2014-04-01,847.3516
2014-04-02,841.6376
2014-04-03,848.6739
2014-04-04,828.5758
2014-04-05,796.1633
2014-04-06,823.2027
2014-04-07,864.9862
2014-04-08,844.9567
2014-04-09,825.8778
2014-04-10,851.6875
2014-04-11,824.3249
2014-04-12,859.0741
2014-04-13,825.6685
2014-04-14,866.6678
2014-04-15,871.5744
2014-04-16,822.2833
2014-04-17,832.4979
2014-04-18,868.0186
2014-04-19,881.2907
2014-04-20,850.9536
2014-04-21,863.7786
2014-04-22,854.3057
2014-04-23,828.9156
2014-04-24,807.1467
2014-04-25,821.5294
2014-04-26,841.2272
2014-04-27,865.0565
2014-04-28,855.0598
2014-04-29,806.0109
2014-04-30,856.6868
2014-05-01,852.8279
2014-05-02,828.2656
2014-05-03,847.7711
2014-05-04,850.1031
2014-05-05,858.8804
2014-05-06,832.1833
2014-05-07,847.4617
2014-05-08,868.622
2014-05-09,854.5446
2014-05-10,823.0256
2014-05-11,780.2048
2014-05-12,812.7457
2014-05-13,792.0693
2014-05-14,803.5615
2014-05-15,818.7026
2014-05-16,840.2525
2014-05-17,820.6981
2014-05-18,842.7778
2014-05-19,837.2291
2014-05-20,816.1042
2014-05-21,795.9683
2014-05-22,805.1921
2014-05-23,784.5385
2014-05-24,818.1114
2014-05-25,836.6537
2014-05-26,822.3161
2014-05-27,812.7294
2014-05-28,783.768
2014-05-29,803.5917
2014-05-30,844.707
2014-05-31,844.3746
2014-06-01,803.072
2014-06-02,801.4615
2014-06-03,814.1537
2014-06-04,816.3528
2014-06-05,815.662
2014-06-06,832.667
2014-06-07,800.0868
2014-06-08,792.662
2014-06-09,801.397
2014-06-10,812.7489
2014-06-11,810.4535
2014-06-12,786.9394
2014-06-13,811.4172
2014-06-14,804.5319
2014-06-15,792.9371
2014-06-16,759.9638
2014-06-17,795.9546
2014-06-18,765.8158
2014-06-19,799.1347
2014-06-20,801.4202
2014-06-21,794.4322
2014-06-22,797.819
2014-06-23,771.9235
2014-06-24,804.3076
2014-06-25,798.6965
2014-06-26,805.168
2014-06-27,788.0868
2014-06-28,783.4063
2014-06-29,786.8754
2014-06-30,809.9647
2014-07-01,821.6397
2014-07-02,819.1612
2014-07-03,786.1747
2014-07-04,778.7946
2014-07-05,783.7364
2014-07-06,775.8546
2014-07-07,797.3886
2014-07-08,778.8878
2014-07-09,760.9183
2014-07-10,809.607
2014-07-11,791.2538
2014-07-12,782.865
2014-07-13,808.1428
2014-07-14,779.441
2014-07-15,796.8123
2014-07-16,790.1381
2014-07-17,791.3391
2014-07-18,783.2477
2014-07-19,798.9255
2014-07-20,799.0165
2014-07-21,769.8359
2014-07-22,706.1334
2014-07-23,698.111
2014-07-24,716.2518
2014-07-25,720.734
2014-07-26,674.4927
2014-07-27,753.8148
2014-07-28,825.3879
2014-07-29,820.3511
2014-07-30,774.5761
2014-07-31,772.7131
2014-08-01,847.6022
2014-08-02,804.6951
2014-08-03,756.2871
2014-08-04,738.9711
2014-08-05,781.2314
2014-08-06,849.6078
2014-08-07,799.6511
2014-08-08,782.2371
2014-08-09,784.3051
2014-08-10,760.0416
2014-08-11,789.2913
2014-08-12,794.0831
2014-08-13,815.843
2014-08-14,813.953
2014-08-15,812.0025
2014-08-16,832.5006
2014-08-17,847.2372
2014-08-18,841.6427
2014-08-19,843.837
2014-08-20,867.3334
2014-08-21,864.2247
2014-08-22,857.5283
2014-08-23,866.9847
2014-08-24,836.1777
2014-08-25,856.0128
2014-08-26,825.7621
2014-08-27,875.8982
2014-08-28,835.693
2014-08-29,830.7162
2014-08-30,852.3322
2014-08-31,838.5616
2014-09-01,846.8882
2014-09-02,845.9747
2014-09-03,849.5461
2014-09-04,857.5649
2014-09-05,849.864
2014-09-06,859.7773
2014-09-07,819.2164
2014-09-08,833.5091
2014-09-09,849.2659
2014-09-10,850.9124
2014-09-11,833.2466
2014-09-12,859.5522
2014-09-13,863.7472
2014-09-14,865.8464
2014-09-15,831.3886
2014-09-16,842.1574
2014-09-17,850.072
2014-09-18,798.5815
2014-09-19,829.2974
2014-09-20,826.4656
2014-09-21,852.4117
2014-09-22,871.9247
2014-09-23,841.4392
2014-09-24,838.5598
2014-09-25,874.6794
2014-09-26,878.7413
2014-09-27,859.0549
2014-09-28,882.477
