 Observation period,Clear sky GHI
2013-01-02,735.9107
2013-01-03,732.0254
2013-01-04,712.5879
2013-01-05,743.8755
2013-01-06,762.624
2013-01-07,693.2553
2013-01-08,701.2011
2013-01-09,720.7762
2013-01-10,763.24
2013-01-11,741.7375
2013-01-12,713.188
2013-01-13,722.7499
2013-01-14,740.6677
2013-01-15,771.0771
2013-01-16,750.5052
2013-01-17,764.511
2013-01-18,769.3391
2013-01-19,764.928
2013-01-20,757.9934
2013-01-21,727.5018
2013-01-22,729.1818
2013-01-23,784.8518
2013-01-24,778.9616
2013-01-25,778.4055
2013-01-26,801.1204
2013-01-27,779.5394
2013-01-28,759.7864
2013-01-29,783.7681
2013-01-30,769.2343
2013-01-31,800.2996
2013-02-01,763.4462
2013-02-02,797.8649
2013-02-03,812.9565
2013-02-04,753.2952
2013-02-05,727.4144
2013-02-06,776.906
2013-02-07,786.2291
2013-02-08,792.843
2013-02-09,819.7756
2013-02-10,839.644
2013-02-11,868.6727
2013-02-12,813.9266
2013-02-13,833.7445
2013-02-14,821.4756
2013-02-15,833.2417
2013-02-16,823.4888
2013-02-17,809.7886
2013-02-18,800.9176
2013-02-19,804.6771
2013-02-20,868.43
2013-02-21,876.6702
2013-02-22,861.1916
2013-02-23,864.9581
2013-02-24,840.4343
2013-02-25,831.6058
2013-02-26,855.4208
2013-02-27,885.6112
2013-02-28,889.5359
2013-03-01,905.9789
2013-03-02,925.1405
2013-03-03,893.8924
2013-03-04,933.4309
2013-03-05,925.843
2013-03-06,925.0167
2013-03-07,889.3981
2013-03-08,916.8498
2013-03-09,945.2705
2013-03-10,981.3452
2013-03-11,924.2443
2013-03-12,890.7476
2013-03-13,915.5276
2013-03-14,923.0428
2013-03-15,932.0429
2013-03-16,929.3535
2013-03-17,923.3083
2013-03-18,863.9683
2013-03-19,833.129
2013-03-20,904.4685
2013-03-21,928.9705
2013-03-22,983.4699
2013-03-23,935.7396
2013-03-24,926.8864
2013-03-25,845.9595
2013-03-26,869.6749
2013-03-27,853.6818
2013-03-28,784.4997
2013-03-29,858.338
2013-03-30,864.5665
2013-03-31,943.2948
2013-04-01,931.0562
2013-04-02,917.6191
2013-04-03,870.915
2013-04-04,871.8073
2013-04-05,969.4953
2013-04-06,986.2699
2013-04-07,956.2735
2013-04-08,886.7973
2013-04-09,854.8958
2013-04-10,851.7152
2013-04-11,897.0391
2013-04-12,918.6136
2013-04-13,922.4436
2013-04-14,952.6484
2013-04-15,900.168
2013-04-16,942.2032
2013-04-17,926.5588
2013-04-18,943.175
2013-04-19,905.2863
2013-04-20,858.7873
2013-04-21,880.9761
2013-04-22,864.0342
2013-04-23,888.3215
2013-04-24,925.0738
2013-04-25,897.0816
2013-04-26,859.4926
2013-04-27,897.6805
2013-04-28,905.9543
2013-04-29,880.2988
2013-04-30,870.201
2013-05-01,892.5077
2013-05-02,925.9045
2013-05-03,910.4104
2013-05-04,908.0261
2013-05-05,911.3856
2013-05-06,936.9344
2013-05-07,929.1686
2013-05-08,905.7269
2013-05-09,863.3015
2013-05-10,777.1238
2013-05-11,807.3492
2013-05-12,889.4517
2013-05-13,875.56
2013-05-14,812.3756
2013-05-15,839.3998
2013-05-16,907.8462
2013-05-17,931.7544
2013-05-18,937.0415
2013-05-19,892.9397
2013-05-20,901.7948
2013-05-21,919.7852
2013-05-22,921.8768
2013-05-23,934.5928
2013-05-24,879.2888
2013-05-25,907.5473
2013-05-26,911.5242
2013-05-27,907.731
2013-05-28,892.1323
2013-05-29,864.2911
2013-05-30,827.8612
2013-05-31,842.1516
2013-06-01,870.3519
2013-06-02,889.1742
2013-06-03,882.9963
2013-06-04,877.7241
2013-06-05,855.7004
2013-06-06,817.0131
2013-06-07,770.0276
2013-06-08,777.5635
2013-06-09,777.9204
2013-06-10,808.6659
2013-06-11,819.5509
2013-06-12,872.9644
2013-06-13,851.4321
2013-06-14,855.6427
2013-06-15,863.4148
2013-06-16,837.5005
2013-06-17,850.4131
2013-06-18,820.6251
2013-06-19,843.2076
2013-06-20,871.0922
2013-06-21,847.9361
2013-06-22,863.7267
2013-06-23,849.8895
2013-06-24,881.0285
2013-06-25,882.3699
2013-06-26,903.1804
2013-06-27,882.8153
2013-06-28,865.6766
2013-06-29,816.8275
2013-06-30,841.6561
2013-07-01,855.7566
2013-07-02,852.1959
2013-07-03,855.7015
2013-07-04,834.4322
2013-07-05,834.9387
2013-07-06,858.801
2013-07-07,880.3104
2013-07-08,866.0394
2013-07-09,859.8258
2013-07-10,896.0228
2013-07-11,862.9544
2013-07-12,890.1343
2013-07-13,834.5194
2013-07-14,822.3669
2013-07-15,831.2892
2013-07-16,856.9583
2013-07-17,880.3106
2013-07-18,852.6936
2013-07-19,851.9111
2013-07-20,826.2826
2013-07-21,858.9512
2013-07-22,833.8713
2013-07-23,819.0316
2013-07-24,820.2614
2013-07-25,801.3722
2013-07-26,858.4873
2013-07-27,819.996
2013-07-28,864.0343
2013-07-29,850.4089
2013-07-30,840.4031
2013-07-31,864.5657
2013-08-01,889.717
2013-08-02,915.5449
2013-08-03,901.9193
2013-08-04,905.4578
2013-08-05,884.2968
2013-08-06,848.6727
2013-08-07,852.3284
2013-08-08,899.9589
2013-08-09,919.384
2013-08-10,908.0916
2013-08-11,927.5157
2013-08-12,898.054
2013-08-13,899.3685
2013-08-14,905.7112
2013-08-15,932.0014
2013-08-16,884.0322
2013-08-17,901.8533
2013-08-18,891.6077
2013-08-19,835.2109
2013-08-20,840.739
2013-08-21,846.2736
2013-08-22,910.0844
2013-08-23,897.7374
2013-08-24,870.5945
2013-08-25,792.8319
2013-08-26,823.9488
2013-08-27,884.9098
2013-08-28,854.6732
2013-08-29,845.5698
2013-08-30,869.1
2013-08-31,904.4614
2013-09-01,875.361
2013-09-02,870.2847
2013-09-03,901.937
2013-09-04,893.396
2013-09-05,883.6403
2013-09-06,900.7135
2013-09-07,901.5514
2013-09-08,867.3279
2013-09-09,873.0269
2013-09-10,861.1768
2013-09-11,878.9857
2013-09-12,903.7499
2013-09-13,891.8256
2013-09-14,849.7391
2013-09-15,834.1644
2013-09-16,875.3561
2013-09-17,857.1491
2013-09-18,846.3814
2013-09-19,826.0126
2013-09-20,830.5616
2013-09-21,861.966
2013-09-22,849.8959
2013-09-23,833.9556
2013-09-24,865.5745
2013-09-25,862.4075
2013-09-26,815.1926
2013-09-27,838.5781
2013-09-28,868.3298
2013-09-29,852.9637
2013-09-30,849.1159
2013-10-01,858.1287
2013-10-02,887.2062
2013-10-03,851.921
2013-10-04,863.1782
2013-10-05,866.8732
2013-10-06,862.5734
2013-10-07,862.4514
2013-10-08,812.6954
2013-10-09,779.334
2013-10-10,783.9626
2013-10-11,827.8671
2013-10-12,853.4769
2013-10-13,825.9065
2013-10-14,787.3932
2013-10-15,795.0466
2013-10-16,773.4308
2013-10-17,772.1025
2013-10-18,817.385
2013-10-19,815.4595
2013-10-20,847.2633
2013-10-21,858.186
2013-10-22,818.4565
2013-10-23,862.3463
2013-10-24,840.5036
2013-10-25,853.9046
2013-10-26,827.0457
2013-10-27,815.0249
2013-10-28,802.973
2013-10-29,752.993
2013-10-30,789.6825
2013-10-31,785.6057
2013-11-01,821.1049
2013-11-02,805.5289
2013-11-03,816.432
2013-11-04,823.4257
2013-11-05,839.8702
2013-11-06,813.3966
2013-11-07,773.7797
2013-11-08,806.6412
2013-11-09,799.9828
2013-11-10,801.6828
2013-11-11,762.8166
2013-11-12,786.7817
2013-11-13,788.2823
2013-11-14,778.4681
2013-11-15,809.9515
2013-11-16,795.3979
2013-11-17,825.9123
2013-11-18,800.3308
2013-11-19,812.0538
2013-11-20,798.942
2013-11-21,792.4382
2013-11-22,795.5861
2013-11-23,775.3572
2013-11-24,809.5845
2013-11-25,785.1925
2013-11-26,765.2399
2013-11-27,786.9479
2013-11-28,793.283
2013-11-29,773.4775
2013-11-30,785.3756
2013-12-01,795.8196
2013-12-02,769.1818
2013-12-03,756.5577
2013-12-04,756.2106
2013-12-05,768.9576
2013-12-06,771.3944
2013-12-07,753.0762
2013-12-08,752.5131
2013-12-09,754.0472
2013-12-10,742.7867
2013-12-11,730.6459
2013-12-12,728.0324
2013-12-13,689.3204
2013-12-14,668.0446
2013-12-15,709.8308
2013-12-16,727.4692
2013-12-17,749.5954
2013-12-18,748.6668
2013-12-19,747.8798
2013-12-20,766.3273
2013-12-21,756.7216
2013-12-22,700.4312
2013-12-23,721.0071
2013-12-24,713.2814
2013-12-25,740.0995
2013-12-26,746.4375
2013-12-27,726.181
2013-12-28,778.1573
2013-12-29,753.9362
2013-12-30,795.2435
2013-12-31,775.2631
2014-01-01,767.1518
2014-01-02,782.2691
2014-01-03,757.0336
2014-01-04,756.2188
2014-01-05,743.0624
2014-01-06,725.1102
2014-01-07,716.7111
2014-01-08,740.842
2014-01-09,751.1431
2014-01-10,754.8774
2014-01-11,747.7003
2014-01-12,737.6525
2014-01-13,739.6992
2014-01-14,756.85
2014-01-15,787.4321
