 Observation period,Clear sky GHI
2013-01-02,740.3455
2013-01-03,746.601
2013-01-04,727.9052
2013-01-05,757.3052
2013-01-06,724.156
2013-01-07,706.1331
2013-01-08,737.3294
2013-01-09,743.1592
2013-01-10,766.528
2013-01-11,770.2139
2013-01-12,755.8128
2013-01-13,727.1976
2013-01-14,763.2726
2013-01-15,806.0873
2013-01-16,766.4512
2013-01-17,760.1009
2013-01-18,764.6674
2013-01-19,778.1193
2013-01-20,730.5364
2013-01-21,686.8708
2013-01-22,689.2458
2013-01-23,787.6991
2013-01-24,790.1175
2013-01-25,776.1666
2013-01-26,778.7501
2013-01-27,750.7734
2013-01-28,745.6668
2013-01-29,761.525
2013-01-30,799.0049
2013-01-31,800.5378
2013-02-01,788.9192
2013-02-02,794.963
2013-02-03,802.4036
2013-02-04,749.3417
2013-02-05,716.1683
2013-02-06,801.992
2013-02-07,783.5909
2013-02-08,810.5084
2013-02-09,817.2692
2013-02-10,790.9596
2013-02-11,866.716
2013-02-12,794.3915
2013-02-13,823.4389
2013-02-14,805.1716
2013-02-15,832.5501
2013-02-16,824.9953
2013-02-17,826.4801
2013-02-18,811.8348
2013-02-19,757.904
2013-02-20,774.4332
2013-02-21,835.8256
2013-02-22,830.518
2013-02-23,848.9522
2013-02-24,855.5006
2013-02-25,846.9922
2013-02-26,832.2336
2013-02-27,845.3762
2013-02-28,874.4868
2013-03-01,897.0852
2013-03-02,895.8957
2013-03-03,896.4584
2013-03-04,914.6401
2013-03-05,897.6664
2013-03-06,893.1656
2013-03-07,875.0415
2013-03-08,901.73
2013-03-09,899.977
2013-03-10,946.0413
2013-03-11,914.7346
2013-03-12,882.6993
2013-03-13,880.4445
2013-03-14,866.4709
2013-03-15,897.3709
2013-03-16,891.3966
2013-03-17,866.7509
2013-03-18,866.01
2013-03-19,833.9457
2013-03-20,854.4518
2013-03-21,842.5007
2013-03-22,862.2172
2013-03-23,878.0246
2013-03-24,876.9787
2013-03-25,868.6002
2013-03-26,841.9119
2013-03-27,866.1847
2013-03-28,831.7568
2013-03-29,827.973
2013-03-30,856.3462
2013-03-31,910.2099
2013-04-01,925.9763
2013-04-02,916.4278
2013-04-03,894.4488
2013-04-04,875.1461
2013-04-05,889.9442
2013-04-06,932.7753
2013-04-07,932.2362
2013-04-08,876.2152
2013-04-09,853.0004
2013-04-10,830.0137
2013-04-11,849.5775
2013-04-12,910.2422
2013-04-13,901.1968
2013-04-14,899.6616
2013-04-15,866.1357
2013-04-16,905.7465
2013-04-17,884.5629
2013-04-18,886.9028
2013-04-19,889.5981
2013-04-20,855.3459
2013-04-21,880.113
2013-04-22,876.7233
2013-04-23,899.4703
2013-04-24,898.6458
2013-04-25,892.4986
2013-04-26,870.5128
2013-04-27,870.6518
2013-04-28,881.2266
2013-04-29,873.2224
2013-04-30,892.2478
2013-05-01,891.4699
2013-05-02,902.4725
2013-05-03,888.4564
2013-05-04,898.6139
2013-05-05,881.9565
2013-05-06,899.8231
2013-05-07,900.9681
2013-05-08,897.0718
2013-05-09,884.9854
2013-05-10,787.4098
2013-05-11,781.1834
2013-05-12,791.3415
2013-05-13,848.8293
2013-05-14,822.7048
2013-05-15,876.6251
2013-05-16,872.5117
2013-05-17,904.1115
2013-05-18,912.6286
2013-05-19,857.9529
2013-05-20,885.3615
2013-05-21,888.4042
2013-05-22,878.1878
2013-05-23,922.5237
2013-05-24,883.64
2013-05-25,895.0144
2013-05-26,879.513
2013-05-27,865.4484
2013-05-28,886.6547
2013-05-29,870.3302
2013-05-30,842.9258
2013-05-31,846.2057
2013-06-01,845.5224
2013-06-02,874.0991
2013-06-03,869.8591
2013-06-04,873.7073
2013-06-05,841.723
2013-06-06,817.107
2013-06-07,759.2618
2013-06-08,822.029
2013-06-09,767.0368
2013-06-10,817.5518
2013-06-11,798.3697
2013-06-12,838.7354
2013-06-13,860.5113
2013-06-14,847.9768
2013-06-15,852.5695
2013-06-16,817.4256
2013-06-17,842.2202
2013-06-18,815.9628
2013-06-19,827.7911
2013-06-20,853.8933
2013-06-21,846.0212
2013-06-22,856.2523
2013-06-23,887.8203
2013-06-24,871.1902
2013-06-25,892.3025
2013-06-26,883.3061
2013-06-27,868.4191
2013-06-28,892.8161
2013-06-29,861.5344
2013-06-30,896.0828
2013-07-01,919.2004
2013-07-02,873.5194
2013-07-03,857.4433
2013-07-04,858.5053
2013-07-05,825.2599
2013-07-06,888.8383
2013-07-07,907.7764
2013-07-08,904.9399
2013-07-09,895.4287
2013-07-10,915.8104
2013-07-11,890.808
2013-07-12,900.6356
2013-07-13,883.4429
2013-07-14,861.6417
2013-07-15,862.6015
2013-07-16,896.4085
2013-07-17,872.3805
2013-07-18,880.9726
2013-07-19,864.3027
2013-07-20,881.6089
2013-07-21,878.9867
2013-07-22,885.0355
2013-07-23,846.9857
2013-07-24,837.6444
2013-07-25,831.583
2013-07-26,868.8445
2013-07-27,847.8745
2013-07-28,866.2261
2013-07-29,869.768
2013-07-30,873.3578
2013-07-31,885.1822
2013-08-01,903.8188
2013-08-02,935.452
2013-08-03,889.6467
2013-08-04,909.4
2013-08-05,901.8769
2013-08-06,864.9459
2013-08-07,856.1812
2013-08-08,915.2638
2013-08-09,909.5984
2013-08-10,880.7566
2013-08-11,884.7219
2013-08-12,908.4782
2013-08-13,874.3774
2013-08-14,852.9566
2013-08-15,902.4434
2013-08-16,932.8604
2013-08-17,908.1688
2013-08-18,917.4728
2013-08-19,897.1846
2013-08-20,904.5998
2013-08-21,894.0101
2013-08-22,924.7657
2013-08-23,900.4348
2013-08-24,885.1602
2013-08-25,807.0568
2013-08-26,883.6256
2013-08-27,883.5398
2013-08-28,887.2441
2013-08-29,875.9405
2013-08-30,901.6763
2013-08-31,941.1177
2013-09-01,890.3568
2013-09-02,918.4644
2013-09-03,929.842
2013-09-04,924.0065
2013-09-05,924.4717
2013-09-06,920.7908
2013-09-07,933.7133
2013-09-08,888.4084
2013-09-09,888.1401
2013-09-10,892.6232
2013-09-11,910.9318
2013-09-12,937.2875
2013-09-13,928.2776
2013-09-14,875.3876
2013-09-15,876.7216
2013-09-16,913.903
2013-09-17,896.4368
2013-09-18,865.3026
2013-09-19,875.7408
2013-09-20,834.7555
2013-09-21,871.9211
2013-09-22,861.8358
2013-09-23,853.3746
2013-09-24,903.3027
2013-09-25,895.069
2013-09-26,865.4086
2013-09-27,841.3208
2013-09-28,875.4093
2013-09-29,884.9654
2013-09-30,864.6105
2013-10-01,882.8378
2013-10-02,900.7941
2013-10-03,868.4733
2013-10-04,873.1282
2013-10-05,900.9299
2013-10-06,882.1345
2013-10-07,875.8036
2013-10-08,828.1194
2013-10-09,843.4429
2013-10-10,815.9858
2013-10-11,837.8726
2013-10-12,859.3752
2013-10-13,866.6461
2013-10-14,808.6906
2013-10-15,850.7407
2013-10-16,828.7356
2013-10-17,818.4319
2013-10-18,856.2256
2013-10-19,826.3234
2013-10-20,856.9008
2013-10-21,873.1695
2013-10-22,851.2068
2013-10-23,848.0935
2013-10-24,832.2669
2013-10-25,838.8816
2013-10-26,824.6727
2013-10-27,828.4425
2013-10-28,832.1476
2013-10-29,783.6928
2013-10-30,801.1959
2013-10-31,782.1642
2013-11-01,817.807
2013-11-02,814.1682
2013-11-03,841.251
2013-11-04,855.8027
2013-11-05,852.652
2013-11-06,836.1265
2013-11-07,790.6935
2013-11-08,807.1099
2013-11-09,809.2323
2013-11-10,820.4036
2013-11-11,787.9508
2013-11-12,793.478
2013-11-13,800.215
2013-11-14,786.4839
2013-11-15,802.7465
2013-11-16,792.679
2013-11-17,826.2717
2013-11-18,806.4142
2013-11-19,824.0413
2013-11-20,810.6772
2013-11-21,789.6758
2013-11-22,803.1315
2013-11-23,797.8487
2013-11-24,805.5564
2013-11-25,797.921
2013-11-26,796.2102
2013-11-27,766.9185
2013-11-28,796.7621
2013-11-29,782.6751
2013-11-30,804.525
2013-12-01,804.8121
2013-12-02,774.9683
2013-12-03,776.0247
2013-12-04,764.4356
2013-12-05,767.0862
2013-12-06,773.1901
2013-12-07,764.0232
2013-12-08,765.4984
2013-12-09,771.9048
2013-12-10,753.1143
2013-12-11,771.0577
2013-12-12,747.013
2013-12-13,715.8077
2013-12-14,723.6342
2013-12-15,720.6323
2013-12-16,742.79
2013-12-17,757.4098
2013-12-18,778.8565
2013-12-19,792.4028
2013-12-20,789.9044
2013-12-21,766.2432
2013-12-22,704.9466
2013-12-23,735.7416
2013-12-24,714.2965
2013-12-25,765.5466
2013-12-26,787.6643
2013-12-27,773.0738
2013-12-28,808.1382
2013-12-29,767.6932
2013-12-30,792.9981
2013-12-31,767.7304
2014-01-01,749.4946
2014-01-02,721.3679
2014-01-03,728.1941
2014-01-04,747.5151
2014-01-05,748.62
2014-01-06,744.6105
2014-01-07,706.1285
2014-01-08,733.9166
2014-01-09,759.5207
2014-01-10,788.9558
2014-01-11,786.8946
2014-01-12,786.2686
2014-01-13,765.6556
2014-01-14,783.1709
2014-01-15,771.4692
2014-01-16,774.0191
2014-01-17,776.6392
2014-01-18,762.7372
2014-01-19,806.1996
2014-01-20,813.3018
2014-01-21,818.8565
2014-01-22,835.6453
2014-01-23,816.7195
2014-01-24,776.3324
2014-01-25,726.833
2014-01-26,811.7048
2014-01-27,799.6395
2014-01-28,797.2857
2014-01-29,807.5426
2014-01-30,768.6294
2014-01-31,757.7618
2014-02-01,697.3747
2014-02-02,745.6592
2014-02-03,761.6055
2014-02-04,775.2078
2014-02-05,800.8063
2014-02-06,802.3847
2014-02-07,856.4454
2014-02-08,817.6351
2014-02-09,804.692
2014-02-10,833.1282
2014-02-11,799.3281
2014-02-12,795.4232
2014-02-13,833.4779
2014-02-14,880.153
2014-02-15,866.3578
2014-02-16,830.3465
2014-02-17,787.1495
2014-02-18,774.6451
2014-02-19,802.8527
2014-02-20,817.3282
2014-02-21,823.5107
2014-02-22,810.5595
2014-02-23,840.6622
2014-02-24,869.7351
2014-02-25,847.3439
2014-02-26,820.8568
2014-02-27,780.5077
2014-02-28,767.3553
2014-03-01,740.2567
2014-03-02,740.7338
2014-03-03,747.4695
2014-03-04,727.6103
2014-03-05,761.3516
2014-03-06,821.299
2014-03-07,846.3851
2014-03-08,831.0565
2014-03-09,890.9099
2014-03-10,945.4062
2014-03-11,886.6727
2014-03-12,882.8619
2014-03-13,941.9827
2014-03-14,935.9692
2014-03-15,898.1225
2014-03-16,899.3697
2014-03-17,911.5376
2014-03-18,871.3585
2014-03-19,869.5187
2014-03-20,871.4287
2014-03-21,867.4924
2014-03-22,901.4418
2014-03-23,863.7955
2014-03-24,815.9505
2014-03-25,849.209
2014-03-26,862.1427
2014-03-27,868.865
2014-03-28,891.9011
2014-03-29,847.1286
2014-03-30,884.2492
2014-03-31,872.8444
2014-04-01,916.2931
2014-04-02,910.2726
