 Observation period,Clear sky GHI
2013-01-02,728.7802
2013-01-03,728.0708
2013-01-04,708.0126
2013-01-05,737.6778
2013-01-06,745.6446
2013-01-07,681.4974
2013-01-08,700.7589
2013-01-09,725.5178
2013-01-10,756.5617
2013-01-11,749.0442
2013-01-12,714.9911
2013-01-13,718.861
2013-01-14,726.5049
2013-01-15,777.7096
2013-01-16,752.6369
2013-01-17,760.8308
2013-01-18,764.0095
2013-01-19,768.2687
2013-01-20,741.5091
2013-01-21,697.3004
2013-01-22,695.8898
2013-01-23,773.1506
2013-01-24,776.1232
2013-01-25,775.9606
2013-01-26,783.8237
2013-01-27,766.3325
2013-01-28,742.6482
2013-01-29,775.0375
2013-01-30,767.7443
2013-01-31,798.5158
2013-02-01,767.9966
2013-02-02,791.5411
2013-02-03,803.8221
2013-02-04,742.7709
2013-02-05,718.1912
2013-02-06,776.1597
2013-02-07,775.295
2013-02-08,795.5442
2013-02-09,808.8454
2013-02-10,820.8831
2013-02-11,863.1821
2013-02-12,805.7012
2013-02-13,829.17
2013-02-14,809.9706
2013-02-15,828.2817
2013-02-16,818.6555
2013-02-17,803.1706
2013-02-18,795.9993
2013-02-19,788.9657
2013-02-20,836.1003
2013-02-21,864.1694
2013-02-22,831.4204
2013-02-23,861.0586
2013-02-24,835.9471
2013-02-25,833.5888
2013-02-26,846.8973
2013-02-27,872.5504
2013-02-28,875.567
2013-03-01,895.4375
2013-03-02,916.8713
2013-03-03,889.2308
2013-03-04,920.6954
2013-03-05,911.398
2013-03-06,917.7032
2013-03-07,878.0098
2013-03-08,908.8727
2013-03-09,928.7768
2013-03-10,969.7696
2013-03-11,919.4809
2013-03-12,884.1118
2013-03-13,888.0846
2013-03-14,900.2806
2013-03-15,911.0369
2013-03-16,916.8718
2013-03-17,903.1817
2013-03-18,859.0464
2013-03-19,832.5286
2013-03-20,892.108
2013-03-21,904.6959
2013-03-22,949.7408
2013-03-23,913.1812
2013-03-24,934.8341
2013-03-25,852.9536
2013-03-26,844.715
2013-03-27,840.0678
2013-03-28,789.3671
2013-03-29,838.1549
2013-03-30,865.5644
2013-03-31,934.684
2013-04-01,931.6188
2013-04-02,909.2029
2013-04-03,866.3016
2013-04-04,869.6371
2013-04-05,934.7622
2013-04-06,963.5015
2013-04-07,951.0704
2013-04-08,889.1902
2013-04-09,855.9211
2013-04-10,830.4573
2013-04-11,857.929
2013-04-12,888.8755
2013-04-13,906.4602
2013-04-14,935.8842
2013-04-15,888.3928
2013-04-16,914.0669
2013-04-17,905.3765
