 Observation period,Clear sky GHI
2013-01-02,745.3176
2013-01-03,735.1604
2013-01-04,716.6188
2013-01-05,728.5076
2013-01-06,750.9558
2013-01-07,700.004
2013-01-08,720.2311
2013-01-09,743.6326
2013-01-10,765.9742
2013-01-11,763.9338
2013-01-12,739.8596
2013-01-13,738.8221
2013-01-14,747.4974
2013-01-15,770.9257
2013-01-16,743.7062
2013-01-17,764.4955
2013-01-18,754.0377
2013-01-19,767.2197
2013-01-20,746.9251
2013-01-21,712.4041
2013-01-22,698.0886
2013-01-23,749.994
2013-01-24,768.3896
2013-01-25,779.3329
2013-01-26,792.1627
2013-01-27,770.3634
2013-01-28,735.7142
2013-01-29,781.6486
2013-01-30,763.6211
2013-01-31,797.0065
2013-02-01,783.4585
2013-02-02,813.1044
2013-02-03,819.2674
2013-02-04,735.3872
2013-02-05,719.3622
2013-02-06,757.7066
2013-02-07,778.0404
2013-02-08,793.8923
2013-02-09,844.682
2013-02-10,840.7209
2013-02-11,872.063
2013-02-12,844.2812
2013-02-13,835.6486
2013-02-14,831.4188
2013-02-15,847.2619
2013-02-16,836.5218
2013-02-17,818.0768
2013-02-18,815.4439
2013-02-19,839.9898
2013-02-20,860.2497
2013-02-21,853.6601
2013-02-22,831.1374
2013-02-23,851.2448
2013-02-24,836.5435
2013-02-25,851.6237
2013-02-26,857.1137
2013-02-27,871.2103
2013-02-28,859.9058
2013-03-01,879.4814
2013-03-02,906.9539
2013-03-03,889.8458
2013-03-04,915.2994
2013-03-05,888.5333
2013-03-06,921.02
2013-03-07,896.3749
2013-03-08,919.2471
2013-03-09,938.4676
2013-03-10,969.3898
2013-03-11,931.1016
2013-03-12,893.0732
2013-03-13,911.1009
2013-03-14,894.5364
2013-03-15,914.9058
2013-03-16,914.6382
2013-03-17,926.0101
2013-03-18,878.5186
2013-03-19,865.8018
2013-03-20,923.7018
2013-03-21,916.7669
2013-03-22,932.3636
2013-03-23,916.7977
2013-03-24,943.8627
2013-03-25,880.1524
2013-03-26,854.0452
2013-03-27,849.8539
2013-03-28,807.7833
2013-03-29,875.8055
2013-03-30,918.2282
2013-03-31,953.1544
2013-04-01,960.6219
2013-04-02,939.2438
2013-04-03,912.5953
2013-04-04,908.8952
2013-04-05,954.3022
2013-04-06,969.3936
2013-04-07,973.7088
2013-04-08,913.6627
2013-04-09,884.2031
2013-04-10,854.9506
2013-04-11,858.1661
2013-04-12,862.0601
2013-04-13,878.2398
2013-04-14,933.1954
2013-04-15,921.1821
2013-04-16,931.8675
2013-04-17,929.9166
2013-04-18,919.5142
2013-04-19,894.1648
2013-04-20,869.7193
2013-04-21,892.0098
2013-04-22,897.9443
2013-04-23,932.4805
2013-04-24,936.0442
2013-04-25,943.8592
2013-04-26,936.87
2013-04-27,941.4608
