 Observation period,Clear sky GHI
2013-01-02,752.7767
2013-01-03,750.6357
2013-01-04,742.7797
2013-01-05,734.9471
2013-01-06,780.6916
2013-01-07,737.5873
2013-01-08,724.4695
2013-01-09,721.3398
2013-01-10,724.8694
2013-01-11,781.3575
2013-01-12,749.2968
2013-01-13,733.4451
2013-01-14,740.6924
2013-01-15,766.2779
2013-01-16,712.1367
2013-01-17,728.065
2013-01-18,743.3889
2013-01-19,734.1119
2013-01-20,732.2333
2013-01-21,715.626
2013-01-22,761.5227
2013-01-23,730.9146
2013-01-24,750.9521
2013-01-25,767.2394
2013-01-26,756.4514
2013-01-27,777.7456
2013-01-28,764.911
2013-01-29,772.0303
2013-01-30,754.3774
2013-01-31,769.3081
2013-02-01,785.5181
2013-02-02,800.6943
2013-02-03,796.172
2013-02-04,688.9824
2013-02-05,697.6357
2013-02-06,727.478
2013-02-07,734.572
2013-02-08,760.7828
2013-02-09,836.5401
2013-02-10,811.3815
2013-02-11,866.2808
2013-02-12,869.1338
2013-02-13,834.78
2013-02-14,860.0114
2013-02-15,882.0768
2013-02-16,875.1234
2013-02-17,834.6934
2013-02-18,833.428
2013-02-19,813.6278
2013-02-20,757.6721
2013-02-21,729.3166
2013-02-22,791.8416
2013-02-23,808.0944
2013-02-24,800.2665
2013-02-25,836.7339
2013-02-26,804.3041
2013-02-27,787.2932
2013-02-28,830.5716
2013-03-01,843.9643
2013-03-02,849.6389
2013-03-03,847.498
2013-03-04,886.8156
2013-03-05,848.2172
2013-03-06,864.7145
2013-03-07,871.7678
2013-03-08,904.4693
2013-03-09,894.9821
2013-03-10,927.7443
2013-03-11,918.9357
2013-03-12,876.6853
2013-03-13,853.196
2013-03-14,845.217
2013-03-15,883.3465
2013-03-16,903.4776
2013-03-17,917.821
2013-03-18,864.009
2013-03-19,829.1858
2013-03-20,850.5374
2013-03-21,828.2217
2013-03-22,849.2706
2013-03-23,820.829
2013-03-24,808.0968
2013-03-25,846.0328
