 Observation period,Clear sky GHI
2013-01-02,723.2629
2013-01-03,746.1713
2013-01-04,735.9499
2013-01-05,743.3194
2013-01-06,700.6378
2013-01-07,624.4196
2013-01-08,672.3933
2013-01-09,708.3743
2013-01-10,702.4035
2013-01-11,696.6522
2013-01-12,767.604
2013-01-13,716.7633
2013-01-14,760.3477
2013-01-15,733.1381
2013-01-16,699.8384
2013-01-17,717.1763
2013-01-18,712.0714
2013-01-19,703.1127
2013-01-20,673.7738
2013-01-21,690.7969
2013-01-22,678.3469
2013-01-23,720.6231
2013-01-24,708.2896
2013-01-25,731.5746
2013-01-26,750.7402
2013-01-27,727.3251
2013-01-28,723.5155
2013-01-29,711.4702
2013-01-30,763.7341
2013-01-31,745.318
2013-02-01,750.6771
2013-02-02,770.0197
2013-02-03,718.7137
2013-02-04,670.7983
2013-02-05,665.077
2013-02-06,684.7764
2013-02-07,728.5262
2013-02-08,734.6373
2013-02-09,741.9305
2013-02-10,708.6366
2013-02-11,715.4233
2013-02-12,676.5774
2013-02-13,722.4501
2013-02-14,740.7436
2013-02-15,775.3026
2013-02-16,758.7096
2013-02-17,769.1536
2013-02-18,763.3756
2013-02-19,733.9728
2013-02-20,761.0019
2013-02-21,757.9931
2013-02-22,787.2281
2013-02-23,797.1012
2013-02-24,826.7948
2013-02-25,806.3484
2013-02-26,797.3688
2013-02-27,787.2245
2013-02-28,804.7956
2013-03-01,817.8922
2013-03-02,830.277
2013-03-03,819.9044
2013-03-04,844.5214
2013-03-05,853.1886
2013-03-06,847.4307
2013-03-07,850.0701
2013-03-08,877.8738
2013-03-09,847.1183
2013-03-10,850.7078
2013-03-11,864.1754
2013-03-12,827.0449
2013-03-13,866.6991
2013-03-14,844.8779
2013-03-15,851.0408
2013-03-16,845.8356
2013-03-17,834.995
2013-03-18,828.7668
2013-03-19,834.7094
2013-03-20,789.4635
2013-03-21,719.3862
2013-03-22,747.1832
2013-03-23,829.0576
2013-03-24,829.2736
2013-03-25,823.1146
2013-03-26,791.8815
2013-03-27,821.0213
2013-03-28,816.6072
2013-03-29,788.0413
2013-03-30,813.593
2013-03-31,848.9774
2013-04-01,877.7459
2013-04-02,884.4864
2013-04-03,874.2334
2013-04-04,832.7256
2013-04-05,859.2345
2013-04-06,870.7797
2013-04-07,889.0173
2013-04-08,831.3992
2013-04-09,820.0344
2013-04-10,813.7285
2013-04-11,837.522
2013-04-12,873.5384
2013-04-13,873.9292
2013-04-14,855.8807
2013-04-15,812.8888
2013-04-16,922.3011
2013-04-17,833.5944
2013-04-18,856.0604
2013-04-19,852.2014
2013-04-20,847.485
2013-04-21,847.8451
2013-04-22,841.847
2013-04-23,877.0737
2013-04-24,859.9963
2013-04-25,828.5286
2013-04-26,802.8131
2013-04-27,825.7034
2013-04-28,818.7401
2013-04-29,870.5468
2013-04-30,847.3691
2013-05-01,837.1043
2013-05-02,841.233
2013-05-03,822.2308
2013-05-04,823.389
2013-05-05,825.6897
2013-05-06,844.685
2013-05-07,847.7119
2013-05-08,858.1646
2013-05-09,853.1893
2013-05-10,803.3588
2013-05-11,697.9777
2013-05-12,709.9602
2013-05-13,761.7242
2013-05-14,826.6274
2013-05-15,859.7921
2013-05-16,874.4106
2013-05-17,840.6641
2013-05-18,851.0239
2013-05-19,814.5487
2013-05-20,851.0695
2013-05-21,822.3654
2013-05-22,840.1605
2013-05-23,877.8183
2013-05-24,837.8094
2013-05-25,835.363
2013-05-26,823.7009
2013-05-27,839.7579
2013-05-28,843.1765
2013-05-29,818.9953
2013-05-30,828.8347
2013-05-31,790.9683
2013-06-01,812.6722
2013-06-02,795.2556
2013-06-03,833.0381
2013-06-04,845.23
2013-06-05,794.9742
2013-06-06,803.8479
2013-06-07,827.4324
2013-06-08,829.053
2013-06-09,751.3427
2013-06-10,778.3668
2013-06-11,784.1888
2013-06-12,812.65
2013-06-13,803.0264
2013-06-14,800.9365
2013-06-15,802.5743
2013-06-16,789.5713
2013-06-17,829.106
2013-06-18,824.8196
2013-06-19,835.4532
2013-06-20,808.4325
2013-06-21,811.3099
2013-06-22,849.0883
2013-06-23,844.6154
2013-06-24,836.6342
2013-06-25,849.1344
2013-06-26,747.0638
2013-06-27,767.6856
2013-06-28,800.2004
2013-06-29,807.6591
2013-06-30,838.4993
2013-07-01,802.2484
2013-07-02,803.49
2013-07-03,802.2995
2013-07-04,830.1134
2013-07-05,845.0129
2013-07-06,866.5774
2013-07-07,868.1806
2013-07-08,853.9493
2013-07-09,872.2244
2013-07-10,848.9489
2013-07-11,855.9964
2013-07-12,836.7298
2013-07-13,862.1045
2013-07-14,851.91
2013-07-15,838.2397
2013-07-16,862.2183
2013-07-17,844.5141
2013-07-18,852.676
2013-07-19,840.9649
2013-07-20,861.4766
2013-07-21,847.3611
2013-07-22,846.7423
2013-07-23,837.1396
2013-07-24,797.4388
2013-07-25,795.7465
2013-07-26,860.7947
2013-07-27,857.0516
2013-07-28,812.612
2013-07-29,835.0976
2013-07-30,840.2434
2013-07-31,791.9247
2013-08-01,828.5909
2013-08-02,846.0116
2013-08-03,804.7911
2013-08-04,801.7208
2013-08-05,858.2418
2013-08-06,857.9224
2013-08-07,853.1457
2013-08-08,841.934
2013-08-09,827.6808
2013-08-10,824.7567
2013-08-11,816.3577
2013-08-12,828.2024
2013-08-13,835.5329
2013-08-14,779.0991
2013-08-15,798.5764
2013-08-16,879.7511
2013-08-17,865.0396
2013-08-18,836.0047
2013-08-19,794.0938
2013-08-20,816.0357
2013-08-21,784.404
2013-08-22,845.5139
2013-08-23,850.1943
2013-08-24,825.8995
2013-08-25,833.4051
2013-08-26,851.3329
2013-08-27,797.3187
2013-08-28,784.0702
2013-08-29,832.5967
2013-08-30,873.991
2013-08-31,862.3829
2013-09-01,858.6047
2013-09-02,869.6505
2013-09-03,824.4726
2013-09-04,825.3885
2013-09-05,879.6302
2013-09-06,886.8771
2013-09-07,894.764
2013-09-08,855.1784
2013-09-09,855.8178
2013-09-10,872.4376
2013-09-11,891.1222
2013-09-12,885.6254
2013-09-13,899.1448
2013-09-14,871.3784
2013-09-15,870.3403
2013-09-16,882.6605
2013-09-17,871.7145
2013-09-18,859.1866
2013-09-19,839.1545
2013-09-20,836.0066
2013-09-21,838.5902
2013-09-22,856.2008
2013-09-23,845.8793
2013-09-24,891.8027
2013-09-25,900.0807
2013-09-26,866.695
2013-09-27,841.1978
2013-09-28,852.9128
2013-09-29,874.2664
2013-09-30,879.6046
2013-10-01,864.5476
2013-10-02,867.1978
2013-10-03,858.8439
2013-10-04,874.0185
2013-10-05,886.4831
2013-10-06,877.3662
2013-10-07,847.9212
2013-10-08,863.0715
2013-10-09,850.9312
2013-10-10,834.2586
2013-10-11,849.0272
2013-10-12,831.2428
2013-10-13,860.9787
2013-10-14,807.339
2013-10-15,814.1076
2013-10-16,861.9244
2013-10-17,838.0173
2013-10-18,840.6476
2013-10-19,829.1532
2013-10-20,824.5709
2013-10-21,822.3981
2013-10-22,820.448
2013-10-23,823.9477
2013-10-24,805.1289
2013-10-25,800.8519
2013-10-26,763.6258
2013-10-27,783.2213
2013-10-28,807.6435
2013-10-29,779.9646
2013-10-30,758.7795
2013-10-31,767.7324
2013-11-01,786.4985
2013-11-02,782.581
2013-11-03,795.9687
2013-11-04,807.2086
2013-11-05,810.6243
2013-11-06,808.8351
2013-11-07,772.1731
2013-11-08,793.7389
2013-11-09,774.5513
2013-11-10,793.9963
2013-11-11,770.9122
2013-11-12,754.1702
2013-11-13,742.4282
2013-11-14,731.516
2013-11-15,740.1993
2013-11-16,744.4028
2013-11-17,777.5362
2013-11-18,774.0994
2013-11-19,790.9713
2013-11-20,757.0542
2013-11-21,771.8447
2013-11-22,750.3002
2013-11-23,773.8202
2013-11-24,760.4553
2013-11-25,755.2858
2013-11-26,744.6906
2013-11-27,738.0431
2013-11-28,755.5092
2013-11-29,723.3671
2013-11-30,763.3462
2013-12-01,735.3484
2013-12-02,725.4175
2013-12-03,732.3125
2013-12-04,720.4605
2013-12-05,751.4381
2013-12-06,733.9633
2013-12-07,745.1199
2013-12-08,729.8508
2013-12-09,725.3846
2013-12-10,707.2722
2013-12-11,733.2457
2013-12-12,729.4272
2013-12-13,696.6063
2013-12-14,707.5443
2013-12-15,706.4568
2013-12-16,733.3398
2013-12-17,735.7078
2013-12-18,773.3353
2013-12-19,793.2668
2013-12-20,746.4796
2013-12-21,720.8502
2013-12-22,658.0569
2013-12-23,673.4406
2013-12-24,678.1934
2013-12-25,689.3577
2013-12-26,718.4728
2013-12-27,701.8375
2013-12-28,716.062
2013-12-29,711.8014
2013-12-30,729.0073
2013-12-31,703.4534
2014-01-01,671.0015
2014-01-02,660.2559
2014-01-03,678.5078
2014-01-04,733.8692
2014-01-05,720.2116
2014-01-06,670.1528
2014-01-07,636.1514
2014-01-08,704.6874
2014-01-09,714.255
2014-01-10,716.2932
2014-01-11,736.7262
2014-01-12,749.5418
2014-01-13,741.6218
2014-01-14,731.565
2014-01-15,684.976
2014-01-16,637.3536
2014-01-17,656.7581
2014-01-18,680.0704
2014-01-19,740.3977
2014-01-20,763.1992
2014-01-21,728.7579
2014-01-22,760.1021
2014-01-23,716.0679
2014-01-24,736.082
2014-01-25,665.8296
2014-01-26,734.884
2014-01-27,742.654
2014-01-28,757.4854
2014-01-29,777.4289
2014-01-30,736.6038
2014-01-31,735.6876
2014-02-01,702.4197
2014-02-02,715.4144
2014-02-03,740.8622
2014-02-04,691.614
2014-02-05,727.565
2014-02-06,720.3287
2014-02-07,768.1086
2014-02-08,740.9564
2014-02-09,726.0748
2014-02-10,694.0749
2014-02-11,723.8264
2014-02-12,708.7637
2014-02-13,744.9902
2014-02-14,818.282
2014-02-15,772.7532
2014-02-16,807.2949
2014-02-17,745.3671
2014-02-18,731.4835
2014-02-19,727.7158
2014-02-20,692.054
2014-02-21,718.385
2014-02-22,720.0836
2014-02-23,713.4688
2014-02-24,719.0572
2014-02-25,776.2875
2014-02-26,735.8858
2014-02-27,700.4152
2014-02-28,720.0883
