 Observation period,Clear sky GHI
2013-01-02,723.4725
2013-01-03,716.3385
2013-01-04,697.2999
2013-01-05,758.5176
2013-01-06,715.5219
2013-01-07,708.7323
2013-01-08,684.9532
2013-01-09,700.6278
2013-01-10,727.7294
2013-01-11,714.0088
2013-01-12,767.301
2013-01-13,697.1915
2013-01-14,718.7033
2013-01-15,734.8702
2013-01-16,673.1437
2013-01-17,743.7421
2013-01-18,704.4329
2013-01-19,717.6121
2013-01-20,693.3622
2013-01-21,677.4236
2013-01-22,685.001
2013-01-23,716.137
2013-01-24,723.2266
2013-01-25,728.189
2013-01-26,754.1828
2013-01-27,737.9403
2013-01-28,748.9387
2013-01-29,691.3427
2013-01-30,767.879
2013-01-31,749.4555
2013-02-01,755.6712
2013-02-02,785.9219
2013-02-03,730.9535
2013-02-04,647.1124
2013-02-05,607.8049
2013-02-06,710.449
2013-02-07,753.1931
2013-02-08,757.0203
2013-02-09,792.5488
2013-02-10,742.2862
2013-02-11,756.3546
2013-02-12,749.1522
2013-02-13,749.5063
2013-02-14,747.9276
2013-02-15,829.0837
2013-02-16,842.9312
2013-02-17,790.485
2013-02-18,791.3434
2013-02-19,764.9968
2013-02-20,713.871
2013-02-21,732.1603
2013-02-22,802.2693
2013-02-23,790.434
2013-02-24,824.0979
2013-02-25,817.066
2013-02-26,775.5594
2013-02-27,788.8973
2013-02-28,813.5505
2013-03-01,825.3677
2013-03-02,854.9459
2013-03-03,845.0937
2013-03-04,872.4406
2013-03-05,850.3912
2013-03-06,847.9824
2013-03-07,846.1617
2013-03-08,870.0706
2013-03-09,855.1309
2013-03-10,865.9926
2013-03-11,886.7145
2013-03-12,857.2508
2013-03-13,878.9725
2013-03-14,849.7831
2013-03-15,869.3485
2013-03-16,864.709
2013-03-17,847.4539
2013-03-18,831.7432
2013-03-19,837.1227
2013-03-20,806.7784
2013-03-21,772.5505
2013-03-22,770.516
2013-03-23,822.2474
2013-03-24,829.6197
2013-03-25,820.8353
2013-03-26,832.8374
2013-03-27,842.4155
2013-03-28,813.6753
2013-03-29,804.9444
2013-03-30,830.1948
2013-03-31,884.4777
2013-04-01,899.5596
2013-04-02,889.468
2013-04-03,916.1517
2013-04-04,851.2836
2013-04-05,851.7405
2013-04-06,879.1157
2013-04-07,901.0634
2013-04-08,853.4356
2013-04-09,827.7145
2013-04-10,832.8379
2013-04-11,804.4114
2013-04-12,863.4559
2013-04-13,877.0538
2013-04-14,872.7246
2013-04-15,844.8669
2013-04-16,871.5326
2013-04-17,850.7948
2013-04-18,869.884
2013-04-19,860.1544
2013-04-20,883.2225
2013-04-21,878.1119
2013-04-22,876.3866
2013-04-23,884.8069
2013-04-24,891.6905
2013-04-25,879.5383
2013-04-26,862.6099
2013-04-27,877.9147
2013-04-28,874.1049
2013-04-29,865.6708
2013-04-30,879.0815
2013-05-01,882.0222
2013-05-02,858.6134
2013-05-03,854.8106
2013-05-04,885.4467
2013-05-05,845.4579
2013-05-06,839.4772
2013-05-07,874.8622
2013-05-08,852.9769
2013-05-09,856.6993
2013-05-10,829.8823
2013-05-11,751.8651
2013-05-12,760.5418
2013-05-13,795.2293
2013-05-14,837.5338
2013-05-15,871.1158
2013-05-16,860.5236
2013-05-17,862.5208
2013-05-18,882.8342
2013-05-19,814.9385
2013-05-20,852.9257
2013-05-21,835.9165
2013-05-22,832.353
2013-05-23,875.5226
2013-05-24,849.8402
2013-05-25,862.3074
2013-05-26,839.5433
2013-05-27,827.4942
2013-05-28,856.488
2013-05-29,842.0072
2013-05-30,802.9048
2013-05-31,810.4309
2013-06-01,830.2162
2013-06-02,821.531
2013-06-03,842.1337
2013-06-04,866.3294
2013-06-05,815.6516
2013-06-06,816.8662
2013-06-07,817.9014
2013-06-08,829.2851
2013-06-09,750.1554
2013-06-10,773.5722
2013-06-11,779.9015
2013-06-12,804.5956
2013-06-13,810.6068
2013-06-14,807.0105
2013-06-15,816.8269
2013-06-16,790.889
2013-06-17,832.1873
2013-06-18,818.7909
2013-06-19,824.1915
2013-06-20,808.2317
2013-06-21,824.5857
2013-06-22,825.6193
2013-06-23,848.8843
2013-06-24,851.047
2013-06-25,855.4849
2013-06-26,795.2459
2013-06-27,783.127
2013-06-28,852.8644
2013-06-29,835.8744
2013-06-30,880.8448
2013-07-01,843.6401
2013-07-02,845.4198
2013-07-03,838.5879
2013-07-04,842.9405
2013-07-05,815.092
2013-07-06,867.5042
2013-07-07,882.7184
2013-07-08,884.962
2013-07-09,885.4741
2013-07-10,897.577
2013-07-11,896.8758
2013-07-12,878.2261
2013-07-13,867.0737
2013-07-14,856.5873
2013-07-15,847.1091
2013-07-16,883.5312
2013-07-17,864.5476
2013-07-18,857.216
2013-07-19,855.1546
2013-07-20,867.7349
2013-07-21,851.162
2013-07-22,843.4108
2013-07-23,846.595
2013-07-24,818.4491
2013-07-25,832.4096
2013-07-26,855.0154
2013-07-27,868.7718
2013-07-28,854.515
2013-07-29,848.8887
2013-07-30,871.2152
