 Observation period,Clear sky GHI
2013-01-02,684.7855
2013-01-03,649.6321
2013-01-04,675.3953
2013-01-05,687.9257
2013-01-06,673.1634
2013-01-07,648.8251
2013-01-08,634.0307
2013-01-09,659.2239
2013-01-10,664.0508
2013-01-11,639.1171
2013-01-12,651.891
2013-01-13,647.0769
2013-01-14,615.8878
2013-01-15,646.6204
2013-01-16,606.3752
2013-01-17,637.0181
2013-01-18,675.9702
2013-01-19,689.1476
2013-01-20,698.5604
2013-01-21,696.9714
2013-01-22,697.1104
2013-01-23,694.1459
2013-01-24,720.4991
2013-01-25,721.4917
2013-01-26,754.7371
2013-01-27,755.3404
2013-01-28,724.9448
2013-01-29,743.1435
2013-01-30,761.997
2013-01-31,730.5982
2013-02-01,716.13
2013-02-02,731.5688
2013-02-03,638.6614
2013-02-04,567.6168
2013-02-05,560.0145
2013-02-06,607.416
2013-02-07,690.8225
2013-02-08,648.4664
2013-02-09,710.2966
2013-02-10,657.2996
2013-02-11,683.6331
2013-02-12,688.6286
2013-02-13,722.8977
2013-02-14,738.449
2013-02-15,769.0118
2013-02-16,782.7232
2013-02-17,757.2322
2013-02-18,789.5231
2013-02-19,761.1346
2013-02-20,757.1119
2013-02-21,805.9409
2013-02-22,799.7785
2013-02-23,791.9022
2013-02-24,791.4932
2013-02-25,806.4918
2013-02-26,784.9646
2013-02-27,782.2653
2013-02-28,794.0066
2013-03-01,816.3626
2013-03-02,851.9387
2013-03-03,817.4301
2013-03-04,845.6642
2013-03-05,842.5953
2013-03-06,840.033
2013-03-07,859.3314
2013-03-08,871.2417
2013-03-09,849.4622
2013-03-10,833.3221
2013-03-11,860.0862
2013-03-12,825.1703
2013-03-13,879.8253
2013-03-14,865.5886
2013-03-15,863.967
2013-03-16,852.4174
2013-03-17,838.8497
2013-03-18,849.9283
2013-03-19,841.3254
2013-03-20,797.5685
2013-03-21,730.8006
2013-03-22,772.4139
2013-03-23,807.0737
2013-03-24,829.7272
2013-03-25,825.8175
2013-03-26,827.3241
2013-03-27,852.8149
2013-03-28,842.9072
2013-03-29,818.49
2013-03-30,816.2504
2013-03-31,857.0981
2013-04-01,869.3176
2013-04-02,893.8151
2013-04-03,885.374
2013-04-04,855.4493
2013-04-05,885.8876
2013-04-06,858.01
2013-04-07,886.9189
2013-04-08,829.2472
2013-04-09,820.8147
2013-04-10,831.4596
2013-04-11,842.7664
2013-04-12,867.295
2013-04-13,870.6709
2013-04-14,876.4477
2013-04-15,840.572
2013-04-16,875.8721
2013-04-17,885.8951
2013-04-18,870.2879
2013-04-19,880.6498
2013-04-20,861.7696
