 Observation period,Clear sky GHI
2013-01-02,741.9997
2013-01-03,728.7351
2013-01-04,723.0193
2013-01-05,737.4318
2013-01-06,751.7039
2013-01-07,726.8902
2013-01-08,707.8384
2013-01-09,705.4693
2013-01-10,713.6446
2013-01-11,770.9347
2013-01-12,758.6465
2013-01-13,726.2424
2013-01-14,734.2167
2013-01-15,755.6309
2013-01-16,694.7769
2013-01-17,737.2734
2013-01-18,727.0555
2013-01-19,740.8514
2013-01-20,722.5899
2013-01-21,686.421
2013-01-22,730.1746
2013-01-23,727.2506
2013-01-24,746.2091
2013-01-25,761.221
2013-01-26,762.7626
2013-01-27,776.7087
2013-01-28,762.538
2013-01-29,753.492
2013-01-30,779.1853
2013-01-31,777.08
2013-02-01,778.7714
2013-02-02,788.0035
2013-02-03,779.0598
2013-02-04,669.376
2013-02-05,655.1947
2013-02-06,720.5402
2013-02-07,746.7233
2013-02-08,753.4554
2013-02-09,791.8931
2013-02-10,761.8815
2013-02-11,841.7123
2013-02-12,832.5752
2013-02-13,818.1267
2013-02-14,830.8604
2013-02-15,874.9385
2013-02-16,874.9362
2013-02-17,817.5333
2013-02-18,796.6843
2013-02-19,764.7982
2013-02-20,705.3621
2013-02-21,716.9427
2013-02-22,789.781
2013-02-23,796.2344
2013-02-24,811.4391
2013-02-25,836.8719
2013-02-26,791.0712
2013-02-27,790.5918
2013-02-28,825.4661
2013-03-01,845.384
2013-03-02,865.1982
2013-03-03,856.1879
2013-03-04,888.2615
2013-03-05,856.2114
2013-03-06,857.3137
2013-03-07,862.424
2013-03-08,879.9591
2013-03-09,877.9988
2013-03-10,906.5372
2013-03-11,899.2822
2013-03-12,871.8108
2013-03-13,860.8922
2013-03-14,855.8099
2013-03-15,890.071
2013-03-16,883.3523
2013-03-17,877.3948
2013-03-18,848.8484
2013-03-19,837.6964
2013-03-20,817.2498
2013-03-21,798.117
2013-03-22,817.2224
2013-03-23,819.03
2013-03-24,817.5123
2013-03-25,828.6029
2013-03-26,861.6028
2013-03-27,852.8177
2013-03-28,810.1928
2013-03-29,818.7808
2013-03-30,892.9609
2013-03-31,927.6407
2013-04-01,944.7772
2013-04-02,932.281
2013-04-03,935.9758
2013-04-04,895.7031
2013-04-05,882.1089
2013-04-06,890.1912
2013-04-07,910.3381
2013-04-08,875.8956
2013-04-09,865.0394
2013-04-10,857.5015
2013-04-11,839.0469
2013-04-12,859.128
2013-04-13,855.7474
2013-04-14,885.4125
2013-04-15,873.8554
2013-04-16,879.6022
2013-04-17,856.4618
2013-04-18,863.3393
2013-04-19,890.8701
2013-04-20,892.5626
2013-04-21,910.0953
2013-04-22,902.5114
2013-04-23,935.163
2013-04-24,928.5461
2013-04-25,938.638
2013-04-26,941.2294
2013-04-27,918.1476
2013-04-28,897.1307
2013-04-29,858.4807
2013-04-30,880.4633
2013-05-01,885.4734
2013-05-02,890.1375
2013-05-03,905.9958
2013-05-04,935.2858
2013-05-05,889.7994
2013-05-06,898.1958
2013-05-07,920.3317
2013-05-08,898.3626
2013-05-09,896.869
2013-05-10,824.9797
2013-05-11,802.4478
2013-05-12,791.4684
2013-05-13,867.0756
2013-05-14,880.8768
2013-05-15,879.4016
2013-05-16,841.6592
2013-05-17,895.3296
2013-05-18,933.8891
2013-05-19,872.4874
2013-05-20,893.5394
2013-05-21,884.1442
2013-05-22,888.6917
2013-05-23,911.9697
2013-05-24,879.2017
2013-05-25,913.1584
2013-05-26,880.4069
2013-05-27,884.0257
2013-05-28,859.4294
2013-05-29,866.5226
2013-05-30,814.9581
2013-05-31,825.2448
2013-06-01,842.7507
2013-06-02,875.1555
2013-06-03,861.166
2013-06-04,876.8154
2013-06-05,836.5626
2013-06-06,832.649
2013-06-07,745.0229
2013-06-08,832.386
2013-06-09,771.9244
2013-06-10,800.5865
2013-06-11,798.6367
2013-06-12,829.0056
2013-06-13,858.9454
2013-06-14,855.1578
2013-06-15,845.9684
2013-06-16,831.1382
2013-06-17,839.5153
2013-06-18,845.5571
2013-06-19,824.9361
2013-06-20,866.6445
2013-06-21,848.5813
2013-06-22,843.2701
2013-06-23,868.1778
2013-06-24,868.3832
2013-06-25,846.9624
2013-06-26,903.1472
2013-06-27,886.145
2013-06-28,904.2593
2013-06-29,862.5366
2013-06-30,872.0529
2013-07-01,922.8528
2013-07-02,853.7638
2013-07-03,839.1368
2013-07-04,856.5231
2013-07-05,824.6914
2013-07-06,842.4462
2013-07-07,903.4278
2013-07-08,901.3117
2013-07-09,889.5008
2013-07-10,917.6338
2013-07-11,903.2726
2013-07-12,899.8831
2013-07-13,881.3865
2013-07-14,846.1024
2013-07-15,860.0381
2013-07-16,895.8847
2013-07-17,877.4009
2013-07-18,862.3653
2013-07-19,860.3937
2013-07-20,866.5148
2013-07-21,854.6248
2013-07-22,864.4739
2013-07-23,846.9525
2013-07-24,835.6003
2013-07-25,799.34
2013-07-26,848.2456
2013-07-27,856.6309
2013-07-28,841.1638
2013-07-29,864.4997
2013-07-30,859.2424
2013-07-31,869.5293
2013-08-01,887.837
2013-08-02,914.7037
2013-08-03,893.8656
2013-08-04,881.5413
2013-08-05,898.8435
2013-08-06,878.642
2013-08-07,863.3067
2013-08-08,885.9171
2013-08-09,911.738
2013-08-10,880.402
2013-08-11,872.7774
2013-08-12,909.493
2013-08-13,927.063
2013-08-14,857.566
2013-08-15,905.5889
2013-08-16,910.9265
2013-08-17,891.4499
2013-08-18,919.0548
2013-08-19,903.2392
2013-08-20,900.5274
2013-08-21,866.6591
2013-08-22,897.0423
2013-08-23,914.7546
2013-08-24,895.8382
2013-08-25,840.9258
2013-08-26,797.3166
2013-08-27,877.3474
2013-08-28,862.0996
2013-08-29,878.1372
2013-08-30,882.5285
2013-08-31,921.9728
2013-09-01,893.9144
2013-09-02,905.35
2013-09-03,918.0052
2013-09-04,891.2318
2013-09-05,931.4567
2013-09-06,891.6367
2013-09-07,919.9827
2013-09-08,894.8373
2013-09-09,864.364
2013-09-10,871.2374
2013-09-11,876.96
2013-09-12,915.138
2013-09-13,895.3586
2013-09-14,876.0504
2013-09-15,838.2325
2013-09-16,889.5222
2013-09-17,888.527
2013-09-18,873.8961
2013-09-19,866.9454
2013-09-20,825.1656
2013-09-21,849.9435
2013-09-22,854.2917
2013-09-23,847.342
2013-09-24,852.7686
2013-09-25,891.6002
2013-09-26,876.449
2013-09-27,835.3324
2013-09-28,871.1954
2013-09-29,869.0526
2013-09-30,848.3123
2013-10-01,855.8121
2013-10-02,877.4924
2013-10-03,868.5612
2013-10-04,837.0456
2013-10-05,885.6248
2013-10-06,869.0782
2013-10-07,873.4805
2013-10-08,829.0949
2013-10-09,839.1512
2013-10-10,818.0928
2013-10-11,784.5437
2013-10-12,820.0132
2013-10-13,843.9344
2013-10-14,830.6057
