 Observation period,Clear sky GHI
2013-01-02,724.3923
2013-01-03,723.1591
2013-01-04,696.7251
2013-01-05,743.4885
2013-01-06,700.4877
2013-01-07,690.7156
2013-01-08,705.1359
2013-01-09,716.5758
2013-01-10,724.447
2013-01-11,738.5532
2013-01-12,750.5162
2013-01-13,695.3727
2013-01-14,726.6083
2013-01-15,765.2178
2013-01-16,714.1405
2013-01-17,745.8599
2013-01-18,719.0463
2013-01-19,742.0728
2013-01-20,703.6315
2013-01-21,675.6122
2013-01-22,674.01
2013-01-23,708.5131
2013-01-24,730.9114
2013-01-25,707.8098
2013-01-26,742.9847
2013-01-27,713.179
2013-01-28,742.3436
2013-01-29,673.3563
2013-01-30,782.2706
2013-01-31,761.7084
2013-02-01,754.142
2013-02-02,772.3899
2013-02-03,752.7365
2013-02-04,686.0721
2013-02-05,632.7557
2013-02-06,747.6224
2013-02-07,746.7408
2013-02-08,761.5945
2013-02-09,784.5209
2013-02-10,734.3328
2013-02-11,789.4136
2013-02-12,756.395
2013-02-13,757.5289
2013-02-14,765.5278
2013-02-15,838.8926
2013-02-16,838.564
2013-02-17,786.201
2013-02-18,771.9603
2013-02-19,734.6748
2013-02-20,690.9275
2013-02-21,725.8215
2013-02-22,784.1584
2013-02-23,793.8516
2013-02-24,818.1255
2013-02-25,818.0869
2013-02-26,770.5543
2013-02-27,788.4911
2013-02-28,814.0775
2013-03-01,832.6018
2013-03-02,848.7962
2013-03-03,848.0729
2013-03-04,877.4138
2013-03-05,851.9455
2013-03-06,843.7417
2013-03-07,843.3118
2013-03-08,864.3113
2013-03-09,850.9038
2013-03-10,880.7707
2013-03-11,881.5049
2013-03-12,855.2703
2013-03-13,864.9388
2013-03-14,836.4086
2013-03-15,863.1118
2013-03-16,855.9493
2013-03-17,840.5281
2013-03-18,833.2698
2013-03-19,829.7288
2013-03-20,792.5453
2013-03-21,778.7173
2013-03-22,784.9901
2013-03-23,824.2421
2013-03-24,829.2405
2013-03-25,823.1801
2013-03-26,830.287
2013-03-27,835.8359
2013-03-28,810.0178
2013-03-29,805.4476
2013-03-30,841.0014
2013-03-31,889.3294
2013-04-01,905.0912
2013-04-02,898.2058
2013-04-03,908.3094
2013-04-04,855.4816
2013-04-05,850.6515
2013-04-06,887.6334
2013-04-07,899.2905
2013-04-08,854.9609
2013-04-09,828.8042
2013-04-10,818.1093
2013-04-11,808.1539
2013-04-12,870.9849
2013-04-13,871.0082
2013-04-14,866.4453
2013-04-15,848.9233
2013-04-16,872.912
2013-04-17,850.8801
2013-04-18,858.7535
2013-04-19,861.6146
2013-04-20,868.8442
2013-04-21,887.9885
2013-04-22,869.5817
2013-04-23,885.4347
2013-04-24,894.5204
2013-04-25,878.8119
2013-04-26,884.0422
2013-04-27,871.0049
2013-04-28,871.1895
2013-04-29,871.4611
2013-04-30,896.0774
2013-05-01,875.7025
2013-05-02,858.8046
2013-05-03,867.4031
2013-05-04,898.0412
2013-05-05,853.5386
2013-05-06,857.0455
2013-05-07,869.7084
2013-05-08,861.5052
2013-05-09,854.9042
2013-05-10,803.8221
2013-05-11,754.3491
2013-05-12,743.4059
2013-05-13,811.8273
2013-05-14,830.8034
2013-05-15,877.9736
2013-05-16,846.9497
2013-05-17,868.4009
2013-05-18,889.2593
2013-05-19,821.6562
2013-05-20,860.6612
2013-05-21,850.4288
2013-05-22,846.7666
2013-05-23,886.9277
2013-05-24,848.6013
2013-05-25,876.0748
2013-05-26,845.3849
2013-05-27,831.1646
2013-05-28,861.2412
2013-05-29,843.2684
2013-05-30,803.1167
2013-05-31,822.4616
2013-06-01,819.8288
2013-06-02,839.6193
2013-06-03,836.5256
2013-06-04,861.8043
2013-06-05,819.1917
2013-06-06,801.6198
2013-06-07,769.0795
2013-06-08,821.6898
2013-06-09,745.7846
2013-06-10,780.1431
2013-06-11,771.2208
2013-06-12,800.4515
2013-06-13,823.2355
2013-06-14,816.8868
2013-06-15,821.5439
2013-06-16,790.8669
2013-06-17,819.4567
2013-06-18,801.9072
2013-06-19,806.5671
2013-06-20,810.156
2013-06-21,819.5333
2013-06-22,821.2392
2013-06-23,853.3446
2013-06-24,839.9841
2013-06-25,850.8054
2013-06-26,846.0699
2013-06-27,826.8342
2013-06-28,870.8633
2013-06-29,846.6227
2013-06-30,894.6119
2013-07-01,881.0281
2013-07-02,843.5579
2013-07-03,833.1406
2013-07-04,835.2438
2013-07-05,795.218
2013-07-06,861.0016
2013-07-07,891.924
2013-07-08,885.6025
2013-07-09,867.2315
2013-07-10,901.3391
2013-07-11,899.1544
2013-07-12,885.1308
2013-07-13,863.1597
2013-07-14,850.3831
2013-07-15,842.9946
2013-07-16,885.226
2013-07-17,859.9427
2013-07-18,860.8847
2013-07-19,844.0595
2013-07-20,865.3428
2013-07-21,852.6216
2013-07-22,853.3694
2013-07-23,837.4055
2013-07-24,811.7045
2013-07-25,822.9197
2013-07-26,848.1957
2013-07-27,851.3613
2013-07-28,846.7314
2013-07-29,846.4709
2013-07-30,863.9603
2013-07-31,852.7674
2013-08-01,886.9715
2013-08-02,916.6619
2013-08-03,852.925
2013-08-04,868.8294
2013-08-05,881.1658
2013-08-06,862.608
2013-08-07,844.6495
2013-08-08,867.0618
2013-08-09,875.6242
2013-08-10,848.1229
2013-08-11,844.5588
2013-08-12,883.5635
2013-08-13,868.6535
2013-08-14,819.8314
2013-08-15,851.4836
2013-08-16,898.3693
2013-08-17,887.1463
2013-08-18,878.3642
2013-08-19,853.2913
2013-08-20,889.873
2013-08-21,892.5115
2013-08-22,896.8867
2013-08-23,868.3059
2013-08-24,853.4859
2013-08-25,808.037
2013-08-26,816.0586
2013-08-27,818.7993
2013-08-28,817.3289
2013-08-29,867.9344
2013-08-30,886.4392
2013-08-31,902.3514
2013-09-01,883.0291
2013-09-02,895.4716
2013-09-03,888.42
2013-09-04,861.2452
2013-09-05,927.1757
2013-09-06,894.7898
2013-09-07,912.176
2013-09-08,875.9982
2013-09-09,874.5021
2013-09-10,866.7045
2013-09-11,876.9384
2013-09-12,910.3879
2013-09-13,895.0001
2013-09-14,859.2679
2013-09-15,881.3412
2013-09-16,905.0556
2013-09-17,886.9568
2013-09-18,854.6865
2013-09-19,858.2215
2013-09-20,817.9614
2013-09-21,838.6292
2013-09-22,837.4746
2013-09-23,834.5862
2013-09-24,863.9242
2013-09-25,894.0768
2013-09-26,868.2491
2013-09-27,834.2045
2013-09-28,862.8691
2013-09-29,859.1934
2013-09-30,848.294
2013-10-01,861.298
2013-10-02,875.637
2013-10-03,846.9866
2013-10-04,848.3986
2013-10-05,884.4368
2013-10-06,849.7765
2013-10-07,840.0713
2013-10-08,813.7681
2013-10-09,863.3956
2013-10-10,824.2477
2013-10-11,818.6354
2013-10-12,840.1179
2013-10-13,854.9465
2013-10-14,810.9423
2013-10-15,812.945
2013-10-16,843.2682
2013-10-17,825.1984
2013-10-18,840.783
2013-10-19,809.0762
2013-10-20,810.1617
2013-10-21,832.2991
2013-10-22,816.5074
2013-10-23,806.6889
2013-10-24,793.6789
2013-10-25,824.1654
2013-10-26,804.5751
2013-10-27,814.1086
2013-10-28,847.8209
2013-10-29,794.7062
2013-10-30,789.986
2013-10-31,761.4288
2013-11-01,788.794
2013-11-02,792.3392
2013-11-03,807.5924
2013-11-04,833.5441
2013-11-05,841.6905
2013-11-06,841.8982
2013-11-07,789.8547
2013-11-08,808.0566
2013-11-09,793.0673
2013-11-10,807.3781
2013-11-11,770.4677
2013-11-12,759.8434
2013-11-13,752.1972
2013-11-14,738.5671
2013-11-15,771.2398
2013-11-16,758.9312
2013-11-17,786.3298
2013-11-18,782.0814
2013-11-19,808.8301
2013-11-20,777.1802
2013-11-21,764.3101
2013-11-22,782.515
2013-11-23,790.6168
2013-11-24,788.757
2013-11-25,770.1136
2013-11-26,780.8999
2013-11-27,741.0448
2013-11-28,773.8097
2013-11-29,764.6968
2013-11-30,791.4127
2013-12-01,801.3812
2013-12-02,756.3828
2013-12-03,751.7843
2013-12-04,734.3392
2013-12-05,757.9558
2013-12-06,769.1584
2013-12-07,766.6728
2013-12-08,760.1614
2013-12-09,726.6871
2013-12-10,746.5877
2013-12-11,751.1744
2013-12-12,725.365
2013-12-13,687.6136
2013-12-14,719.1644
2013-12-15,693.7599
2013-12-16,718.8273
2013-12-17,735.2095
2013-12-18,749.5961
2013-12-19,774.827
2013-12-20,764.6118
2013-12-21,732.5379
2013-12-22,671.047
2013-12-23,699.1006
2013-12-24,694.8416
2013-12-25,732.3454
2013-12-26,761.4314
2013-12-27,761.8561
2013-12-28,776.9665
2013-12-29,738.6893
2013-12-30,776.9659
2013-12-31,750.0347
2014-01-01,740.0209
2014-01-02,722.2537
2014-01-03,710.9862
2014-01-04,749.9999
2014-01-05,716.1258
2014-01-06,726.6289
2014-01-07,677.5154
2014-01-08,696.8474
2014-01-09,706.1104
2014-01-10,744.0042
2014-01-11,757.603
2014-01-12,745.9182
2014-01-13,729.8694
2014-01-14,730.5224
2014-01-15,721.4782
2014-01-16,710.179
2014-01-17,749.961
2014-01-18,714.0345
2014-01-19,770.7252
2014-01-20,767.1629
2014-01-21,734.1084
2014-01-22,795.0127
2014-01-23,761.0794
2014-01-24,715.8342
2014-01-25,653.7583
2014-01-26,778.3772
2014-01-27,767.2904
2014-01-28,751.2406
2014-01-29,785.0445
2014-01-30,743.0952
2014-01-31,716.0817
2014-02-01,688.1342
2014-02-02,756.8346
2014-02-03,758.7597
2014-02-04,749.5984
2014-02-05,768.1393
2014-02-06,747.0903
2014-02-07,817.5487
2014-02-08,787.2322
2014-02-09,771.5214
2014-02-10,793.4046
2014-02-11,751.0589
2014-02-12,764.856
2014-02-13,796.5201
2014-02-14,866.0347
2014-02-15,840.2451
2014-02-16,817.1521
2014-02-17,761.6211
2014-02-18,726.1127
2014-02-19,754.2702
2014-02-20,751.1238
2014-02-21,768.4744
2014-02-22,780.9562
2014-02-23,799.952
2014-02-24,835.4852
2014-02-25,803.6672
2014-02-26,758.1395
2014-02-27,729.9906
2014-02-28,721.4777
2014-03-01,714.6234
2014-03-02,700.0169
2014-03-03,748.5754
2014-03-04,735.2765
2014-03-05,716.8353
2014-03-06,741.9077
2014-03-07,788.4158
2014-03-08,765.9159
