 Observation period,Clear sky GHI
2013-01-02,683.7152
2013-01-03,677.4805
2013-01-04,682.5933
2013-01-05,693.9479
2013-01-06,671.2966
2013-01-07,629.1312
2013-01-08,640.9628
2013-01-09,673.1796
2013-01-10,678.8715
2013-01-11,645.3096
2013-01-12,672.5785
2013-01-13,664.7368
2013-01-14,630.7138
2013-01-15,676.5624
2013-01-16,625.7582
2013-01-17,642.4224
2013-01-18,679.6328
2013-01-19,688.9428
2013-01-20,694.2571
2013-01-21,713.0456
2013-01-22,681.8879
2013-01-23,698.1073
2013-01-24,718.1504
2013-01-25,737.0087
2013-01-26,758.7643
2013-01-27,748.2089
2013-01-28,728.2955
2013-01-29,738.5536
2013-01-30,777.5292
2013-01-31,742.0523
2013-02-01,732.9938
2013-02-02,748.6982
2013-02-03,659.1755
2013-02-04,581.3202
2013-02-05,583.7188
2013-02-06,634.1341
2013-02-07,717.9987
2013-02-08,662.0034
2013-02-09,713.39
2013-02-10,656.304
2013-02-11,689.188
2013-02-12,686.2774
2013-02-13,727.9239
2013-02-14,741.7333
2013-02-15,776.4141
2013-02-16,768.8359
2013-02-17,752.0414
2013-02-18,786.5195
2013-02-19,768.0188
2013-02-20,774.0194
2013-02-21,798.7548
2013-02-22,802.2836
2013-02-23,798.146
2013-02-24,796.6018
2013-02-25,803.1456
2013-02-26,796.7844
2013-02-27,788.8202
2013-02-28,789.4605
2013-03-01,823.5261
2013-03-02,849.9191
2013-03-03,824.4573
2013-03-04,847.0136
2013-03-05,851.7872
2013-03-06,841.7241
2013-03-07,858.8745
2013-03-08,876.4222
2013-03-09,844.8297
2013-03-10,839.0084
2013-03-11,863.4358
2013-03-12,826.5618
2013-03-13,881.2222
2013-03-14,874.5638
2013-03-15,860.934
2013-03-16,854.1433
2013-03-17,842.4749
2013-03-18,854.5083
2013-03-19,843.1367
2013-03-20,801.1697
2013-03-21,718.7971
2013-03-22,765.9656
2013-03-23,820.2284
2013-03-24,836.4298
2013-03-25,829.2029
2013-03-26,819.5443
2013-03-27,850.1614
2013-03-28,836.6826
2013-03-29,817.0489
2013-03-30,820.1989
2013-03-31,859.3372
