 Observation period,Clear sky GHI
2013-01-02,712.0088
2013-01-03,722.444
2013-01-04,718.1845
2013-01-05,729.1952
2013-01-06,695.9724
2013-01-07,647.316
2013-01-08,650.6121
2013-01-09,685.3491
2013-01-10,698.5846
2013-01-11,674.5352
2013-01-12,729.6368
2013-01-13,710.0306
2013-01-14,687.7634
2013-01-15,698.0588
2013-01-16,647.5548
2013-01-17,681.2194
2013-01-18,700.0497
2013-01-19,694.1896
2013-01-20,687.5647
2013-01-21,705.7839
2013-01-22,677.8276
2013-01-23,700.5812
2013-01-24,715.5768
2013-01-25,742.1109
2013-01-26,759.7128
2013-01-27,739.6395
2013-01-28,727.1986
2013-01-29,733.1107
2013-01-30,768.043
2013-01-31,745.976
2013-02-01,737.7408
2013-02-02,771.8538
2013-02-03,708.7342
2013-02-04,620.8258
2013-02-05,614.1049
2013-02-06,641.6754
2013-02-07,718.0465
2013-02-08,686.6766
2013-02-09,733.9167
2013-02-10,677.7629
2013-02-11,704.5379
2013-02-12,693.6622
2013-02-13,733.1825
2013-02-14,743.286
2013-02-15,786.4219
2013-02-16,772.3061
2013-02-17,755.5864
2013-02-18,782.6871
2013-02-19,760.2712
2013-02-20,767.5498
2013-02-21,782.097
2013-02-22,798.931
2013-02-23,791.7282
2013-02-24,808.985
2013-02-25,804.984
2013-02-26,795.6682
2013-02-27,789.2053
2013-02-28,796.8721
2013-03-01,819.8172
2013-03-02,845.9857
2013-03-03,822.441
2013-03-04,851.972
2013-03-05,854.614
2013-03-06,844.2707
2013-03-07,854.1271
2013-03-08,876.9548
2013-03-09,844.4141
2013-03-10,848.1977
2013-03-11,868.0476
2013-03-12,834.6744
2013-03-13,879.9414
2013-03-14,866.002
2013-03-15,854.7913
2013-03-16,852.5356
2013-03-17,838.7313
2013-03-18,846.1487
2013-03-19,842.0759
2013-03-20,802.0637
2013-03-21,733.3458
2013-03-22,766.3454
2013-03-23,832.6194
2013-03-24,838.4662
2013-03-25,831.5921
2013-03-26,822.2056
2013-03-27,850.7364
2013-03-28,832.7936
2013-03-29,807.4825
2013-03-30,821.6738
2013-03-31,858.5961
2013-04-01,887.3082
2013-04-02,893.1025
2013-04-03,899.0386
2013-04-04,851.1337
2013-04-05,877.4744
2013-04-06,864.498
2013-04-07,898.5651
2013-04-08,838.0645
2013-04-09,830.5028
2013-04-10,837.2319
2013-04-11,848.46
2013-04-12,871.2059
2013-04-13,876.1744
2013-04-14,878.1544
2013-04-15,834.0491
2013-04-16,921.8987
2013-04-17,880.9658
2013-04-18,878.3434
2013-04-19,870.8409
2013-04-20,865.2992
2013-04-21,870.8657
2013-04-22,851.4334
2013-04-23,892.6622
2013-04-24,859.21
2013-04-25,841.962
2013-04-26,821.0087
2013-04-27,829.876
2013-04-28,834.1779
2013-04-29,852.2666
2013-04-30,866.613
2013-05-01,865.0596
2013-05-02,867.9193
2013-05-03,834.348
2013-05-04,833.2076
2013-05-05,834.2321
2013-05-06,846.7925
2013-05-07,864.4136
2013-05-08,863.5738
2013-05-09,859.5867
2013-05-10,833.0295
2013-05-11,731.8494
2013-05-12,735.2767
2013-05-13,778.9821
2013-05-14,835.21
2013-05-15,871.6346
2013-05-16,892.1757
2013-05-17,856.0057
2013-05-18,859.4908
2013-05-19,815.7307
2013-05-20,850.9263
2013-05-21,828.9769
2013-05-22,844.2746
2013-05-23,880.6247
2013-05-24,847.213
2013-05-25,835.3967
2013-05-26,835.5728
2013-05-27,842.2764
2013-05-28,834.9575
2013-05-29,830.0304
2013-05-30,831.2485
2013-05-31,809.5663
2013-06-01,822.072
2013-06-02,793.6006
2013-06-03,834.5932
2013-06-04,841.5885
2013-06-05,811.5794
2013-06-06,821.1385
2013-06-07,841.902
2013-06-08,835.1255
2013-06-09,772.7576
2013-06-10,786.9934
2013-06-11,790.157
2013-06-12,814.323
2013-06-13,801.306
2013-06-14,814.3573
2013-06-15,810.1398
2013-06-16,800.5584
2013-06-17,833.5272
2013-06-18,835.3461
2013-06-19,837.3416
2013-06-20,821.292
2013-06-21,819.524
2013-06-22,847.1363
2013-06-23,837.2043
2013-06-24,856.9105
2013-06-25,848.2183
2013-06-26,752.8643
2013-06-27,757.7602
2013-06-28,817.9036
2013-06-29,809.2049
2013-06-30,822.5765
2013-07-01,802.3539
2013-07-02,816.8746
2013-07-03,817.9898
2013-07-04,827.4001
2013-07-05,843.0481
2013-07-06,872.2289
2013-07-07,859.9634
2013-07-08,854.7518
2013-07-09,871.7753
2013-07-10,845.3281
2013-07-11,844.6728
2013-07-12,850.2224
2013-07-13,861.4854
2013-07-14,854.8544
2013-07-15,846.3297
2013-07-16,867.3888
2013-07-17,840.8514
2013-07-18,851.2642
2013-07-19,853.8951
2013-07-20,860.01
2013-07-21,837.0292
2013-07-22,856.9851
2013-07-23,846.7952
2013-07-24,816.6926
2013-07-25,806.2614
2013-07-26,847.9548
2013-07-27,849.7678
2013-07-28,819.509
2013-07-29,840.8737
2013-07-30,829.9859
2013-07-31,783.3155
2013-08-01,830.0981
2013-08-02,865.3362
2013-08-03,806.5329
2013-08-04,785.5682
2013-08-05,840.998
2013-08-06,877.6094
2013-08-07,848.2624
2013-08-08,849.671
2013-08-09,818.9541
2013-08-10,783.1208
2013-08-11,805.6229
2013-08-12,823.5259
2013-08-13,845.0307
2013-08-14,795.1712
2013-08-15,820.5752
2013-08-16,877.3572
2013-08-17,856.4674
2013-08-18,843.9923
2013-08-19,815.6596
2013-08-20,838.8825
2013-08-21,833.8685
2013-08-22,856.1874
2013-08-23,840.6014
2013-08-24,843.597
2013-08-25,849.4854
2013-08-26,866.723
2013-08-27,814.452
2013-08-28,804.3648
2013-08-29,853.6079
2013-08-30,877.6163
2013-08-31,857.2349
2013-09-01,854.9624
2013-09-02,874.7382
2013-09-03,838.0669
2013-09-04,841.0765
2013-09-05,853.9323
2013-09-06,888.8129
2013-09-07,889.0228
2013-09-08,872.4522
2013-09-09,848.7217
2013-09-10,870.8529
2013-09-11,872.4511
2013-09-12,895.1647
2013-09-13,904.4322
2013-09-14,881.9849
2013-09-15,859.5998
2013-09-16,890.3115
2013-09-17,880.5888
2013-09-18,866.0599
2013-09-19,842.4285
2013-09-20,853.5914
2013-09-21,856.3042
2013-09-22,873.6388
2013-09-23,862.356
2013-09-24,893.3569
2013-09-25,901.08
2013-09-26,891.0996
2013-09-27,845.3591
2013-09-28,864.1069
2013-09-29,885.4809
2013-09-30,884.995
2013-10-01,868.2053
2013-10-02,876.9362
2013-10-03,859.9929
2013-10-04,852.6042
2013-10-05,889.0046
2013-10-06,881.3949
2013-10-07,855.438
2013-10-08,866.9268
2013-10-09,878.3268
2013-10-10,855.9084
2013-10-11,863.768
2013-10-12,834.0982
2013-10-13,854.3488
2013-10-14,824.8041
2013-10-15,817.0629
2013-10-16,878.6875
2013-10-17,843.7954
2013-10-18,833.3845
2013-10-19,828.5998
2013-10-20,834.8023
2013-10-21,819.2139
2013-10-22,824.5741
2013-10-23,828.4634
2013-10-24,809.3546
2013-10-25,808.6469
2013-10-26,776.9221
2013-10-27,794.5564
2013-10-28,822.179
2013-10-29,793.8394
2013-10-30,785.1443
2013-10-31,803.0524
2013-11-01,802.2593
2013-11-02,794.2208
2013-11-03,794.7186
2013-11-04,803.7582
2013-11-05,802.3146
2013-11-06,803.642
2013-11-07,784.3762
2013-11-08,790.6362
2013-11-09,774.7833
2013-11-10,785.332
2013-11-11,776.3618
2013-11-12,771.4703
2013-11-13,757.5435
2013-11-14,744.0098
2013-11-15,730.1421
2013-11-16,757.0544
2013-11-17,777.8157
2013-11-18,778.0502
2013-11-19,781.9968
2013-11-20,762.1487
2013-11-21,777.6396
2013-11-22,747.1197
2013-11-23,771.7901
2013-11-24,765.245
2013-11-25,745.6199
2013-11-26,751.1354
2013-11-27,757.1612
2013-11-28,752.9107
2013-11-29,725.8248
2013-11-30,758.4847
2013-12-01,751.7559
2013-12-02,740.5695
2013-12-03,726.2161
2013-12-04,716.3633
2013-12-05,756.6154
2013-12-06,740.7749
2013-12-07,751.5356
2013-12-08,741.282
2013-12-09,708.3254
2013-12-10,704.3384
2013-12-11,734.9118
2013-12-12,724.7072
2013-12-13,707.7635
2013-12-14,718.0287
2013-12-15,699.8229
2013-12-16,702.3156
2013-12-17,742.2168
2013-12-18,757.2455
2013-12-19,781.0892
2013-12-20,724.2524
2013-12-21,693.1693
2013-12-22,638.9247
2013-12-23,632.7748
2013-12-24,667.7678
2013-12-25,688.3329
2013-12-26,700.1671
2013-12-27,698.3801
2013-12-28,720.7001
2013-12-29,699.0239
2013-12-30,703.5638
2013-12-31,682.9034
2014-01-01,684.9615
2014-01-02,673.9729
2014-01-03,669.8735
2014-01-04,697.4116
2014-01-05,718.0635
2014-01-06,674.0822
2014-01-07,606.0873
2014-01-08,668.754
2014-01-09,694.9036
2014-01-10,692.9336
2014-01-11,674.9182
2014-01-12,687.1974
2014-01-13,689.0035
2014-01-14,698.1802
2014-01-15,658.0909
2014-01-16,651.1997
2014-01-17,653.768
2014-01-18,657.8214
2014-01-19,696.5812
2014-01-20,725.988
2014-01-21,721.1551
2014-01-22,754.6601
2014-01-23,715.5131
2014-01-24,730.3926
2014-01-25,682.5494
2014-01-26,726.1663
2014-01-27,769.0339
2014-01-28,761.564
2014-01-29,776.1078
2014-01-30,768.5302
2014-01-31,753.7331
2014-02-01,729.6453
2014-02-02,724.2212
2014-02-03,759.3264
2014-02-04,712.4358
2014-02-05,742.9114
2014-02-06,699.8084
2014-02-07,744.7877
2014-02-08,733.3928
2014-02-09,732.3775
2014-02-10,705.6111
2014-02-11,695.5562
2014-02-12,714.1812
2014-02-13,744.2295
2014-02-14,771.5187
2014-02-15,779.1422
2014-02-16,767.2607
2014-02-17,708.1797
2014-02-18,680.1034
2014-02-19,672.7923
2014-02-20,668.4277
2014-02-21,717.9037
2014-02-22,702.4684
2014-02-23,720.7424
2014-02-24,745.467
2014-02-25,780.9434
2014-02-26,740.9368
2014-02-27,728.662
2014-02-28,734.3058
2014-03-01,725.9732
2014-03-02,717.2101
2014-03-03,723.6992
2014-03-04,711.8312
2014-03-05,704.5699
2014-03-06,757.9711
2014-03-07,802.8807
2014-03-08,801.18
2014-03-09,796.8143
2014-03-10,861.8635
2014-03-11,868.062
2014-03-12,840.5398
2014-03-13,821.0873
2014-03-14,882.4912
2014-03-15,890.1113
2014-03-16,843.3759
2014-03-17,824.4487
2014-03-18,839.3532
2014-03-19,833.7596
2014-03-20,841.7874
2014-03-21,835.3369
2014-03-22,817.7391
2014-03-23,806.7715
2014-03-24,810.7277
2014-03-25,808.729
2014-03-26,830.4299
2014-03-27,841.4164
2014-03-28,854.4089
2014-03-29,835.9028
2014-03-30,869.8976
2014-03-31,842.1201
2014-04-01,866.1833
2014-04-02,877.4392
2014-04-03,869.7996
2014-04-04,859.8668
2014-04-05,846.7029
2014-04-06,857.9215
2014-04-07,870.8544
2014-04-08,865.5552
2014-04-09,845.5718
2014-04-10,851.2922
2014-04-11,862.0234
2014-04-12,864.0219
2014-04-13,847.9346
2014-04-14,864.5697
2014-04-15,860.2855
2014-04-16,853.5728
2014-04-17,890.8953
2014-04-18,862.34
2014-04-19,886.4496
2014-04-20,898.2018
2014-04-21,879.2413
2014-04-22,853.1384
2014-04-23,830.0723
2014-04-24,850.3886
2014-04-25,809.5554
2014-04-26,829.5446
2014-04-27,871.8863
2014-04-28,872.4862
2014-04-29,842.594
2014-04-30,885.4348
2014-05-01,879.3301
2014-05-02,871.5064
2014-05-03,862.0151
2014-05-04,883.7142
2014-05-05,895.991
2014-05-06,857.8755
2014-05-07,887.7168
2014-05-08,895.4623
2014-05-09,889.7324
2014-05-10,843.0603
2014-05-11,806.62
2014-05-12,846.9766
2014-05-13,797.2546
2014-05-14,805.4403
2014-05-15,866.922
2014-05-16,871.4
2014-05-17,853.8826
2014-05-18,868.1142
2014-05-19,877.0961
2014-05-20,832.0782
2014-05-21,798.941
2014-05-22,819.3942
2014-05-23,797.7106
2014-05-24,819.7438
2014-05-25,850.4976
2014-05-26,853.8548
2014-05-27,807.986
2014-05-28,812.17
2014-05-29,826.8915
2014-05-30,861.9742
2014-05-31,890.7634
2014-06-01,849.9562
2014-06-02,834.0636
2014-06-03,855.0086
2014-06-04,858.9193
2014-06-05,845.5916
2014-06-06,876.9774
2014-06-07,837.6799
2014-06-08,814.1168
2014-06-09,801.2205
2014-06-10,804.2304
2014-06-11,840.6132
2014-06-12,823.2646
2014-06-13,844.4894
2014-06-14,846.5864
2014-06-15,807.7504
2014-06-16,791.5898
2014-06-17,823.0248
2014-06-18,806.6595
2014-06-19,841.7196
2014-06-20,845.6486
2014-06-21,829.3729
2014-06-22,843.7474
2014-06-23,803.2631
2014-06-24,801.4216
2014-06-25,811.9894
2014-06-26,838.1586
2014-06-27,852.5642
2014-06-28,831.0247
2014-06-29,836.2034
2014-06-30,843.0839
2014-07-01,847.2377
2014-07-02,854.6924
2014-07-03,843.7525
2014-07-04,829.0341
2014-07-05,830.1775
2014-07-06,821.8975
2014-07-07,823.897
2014-07-08,824.3828
2014-07-09,848.999
2014-07-10,844.2916
2014-07-11,838.2976
2014-07-12,834.0268
2014-07-13,845.2282
2014-07-14,832.1757
2014-07-15,827.719
2014-07-16,816.0204
2014-07-17,799.0389
2014-07-18,827.6525
2014-07-19,848.3147
2014-07-20,834.1245
2014-07-21,816.9423
2014-07-22,762.5334
2014-07-23,766.0048
2014-07-24,748.9685
2014-07-25,747.0338
2014-07-26,763.8284
2014-07-27,827.5745
2014-07-28,856.6859
2014-07-29,864.7993
2014-07-30,824.6708
2014-07-31,823.728
2014-08-01,865.718
2014-08-02,871.9246
2014-08-03,824.4097
2014-08-04,793.4081
2014-08-05,814.7658
2014-08-06,843.896
2014-08-07,866.5211
2014-08-08,847.7375
2014-08-09,829.3826
2014-08-10,823.0724
2014-08-11,797.3225
2014-08-12,830.8054
2014-08-13,871.8846
2014-08-14,838.891
2014-08-15,830.8579
2014-08-16,880.3281
2014-08-17,893.0014
2014-08-18,851.6049
2014-08-19,857.5064
2014-08-20,893.3716
2014-08-21,895.7087
2014-08-22,879.7137
2014-08-23,889.5615
2014-08-24,880.5874
2014-08-25,868.0568
2014-08-26,841.6572
2014-08-27,910.1961
2014-08-28,862.3121
2014-08-29,823.2883
