 Observation period,Clear sky GHI
2013-01-02,721.0465
2013-01-03,726.4656
2013-01-04,716.4764
2013-01-05,736.4191
2013-01-06,701.0196
2013-01-07,666.3061
2013-01-08,643.0101
2013-01-09,677.8588
2013-01-10,694.3607
2013-01-11,674.7828
2013-01-12,738.965
2013-01-13,703.0139
2013-01-14,690.9404
2013-01-15,672.6874
2013-01-16,624.1606
2013-01-17,691.3254
2013-01-18,698.5884
2013-01-19,686.2817
2013-01-20,679.4274
2013-01-21,683.9321
2013-01-22,671.6164
2013-01-23,686.8214
2013-01-24,710.0214
2013-01-25,732.2825
2013-01-26,750.8334
2013-01-27,729.9842
2013-01-28,718.6647
2013-01-29,727.6771
2013-01-30,748.3194
2013-01-31,738.0339
2013-02-01,727.6086
2013-02-02,765.226
2013-02-03,719.2866
2013-02-04,620.685
2013-02-05,593.5822
2013-02-06,626.0703
2013-02-07,687.5356
2013-02-08,680.5825
2013-02-09,740.8575
2013-02-10,676.9648
2013-02-11,701.9759
2013-02-12,691.1104
2013-02-13,728.9378
2013-02-14,735.0718
2013-02-15,779.3619
2013-02-16,776.4639
2013-02-17,741.9169
2013-02-18,773.2237
2013-02-19,752.5056
2013-02-20,739.3022
2013-02-21,765.5182
2013-02-22,787.9864
2013-02-23,773.5146
2013-02-24,804.6312
2013-02-25,795.8334
2013-02-26,778.8194
2013-02-27,776.3469
2013-02-28,790.7353
2013-03-01,806.7638
2013-03-02,842.3671
2013-03-03,812.3549
2013-03-04,845.0228
2013-03-05,840.7942
2013-03-06,835.9971
2013-03-07,839.8276
2013-03-08,865.569
2013-03-09,840.2433
2013-03-10,843.5723
2013-03-11,866.5262
2013-03-12,828.9158
2013-03-13,872.1122
2013-03-14,846.5063
2013-03-15,844.5546
2013-03-16,842.1291
2013-03-17,827.3754
2013-03-18,834.0217
2013-03-19,829.9395
2013-03-20,792.9288
2013-03-21,731.8984
2013-03-22,760.1149
2013-03-23,822.8962
2013-03-24,830.367
2013-03-25,820.4963
2013-03-26,823.433
2013-03-27,846.1549
2013-03-28,824.9269
2013-03-29,793.7106
2013-03-30,813.0772
2013-03-31,851.0247
2013-04-01,878.8294
2013-04-02,877.1426
2013-04-03,900.7532
2013-04-04,835.7477
2013-04-05,863.9789
2013-04-06,851.7295
2013-04-07,886.7288
2013-04-08,823.0276
2013-04-09,812.0125
2013-04-10,825.4402
2013-04-11,825.6305
2013-04-12,856.0787
2013-04-13,864.6467
2013-04-14,870.0127
2013-04-15,817.6547
2013-04-16,896.3978
2013-04-17,871.4109
2013-04-18,871.5376
2013-04-19,851.6128
2013-04-20,852.2214
2013-04-21,866.7809
2013-04-22,841.4744
2013-04-23,884.9471
2013-04-24,856.1278
2013-04-25,840.8306
2013-04-26,814.1829
2013-04-27,838.4761
2013-04-28,833.3225
2013-04-29,851.2904
2013-04-30,868.8908
2013-05-01,864.2472
2013-05-02,859.0322
2013-05-03,832.7377
2013-05-04,833.3121
2013-05-05,828.7607
2013-05-06,836.987
2013-05-07,862.906
2013-05-08,851.3662
2013-05-09,850.712
2013-05-10,826.5474
2013-05-11,723.6455
2013-05-12,734.0582
2013-05-13,761.8778
2013-05-14,818.9276
2013-05-15,864.9003
2013-05-16,882.7836
2013-05-17,855.0278
2013-05-18,852.4768
2013-05-19,802.3418
2013-05-20,838.9214
2013-05-21,821.6121
2013-05-22,835.2529
2013-05-23,872.9074
2013-05-24,844.7842
2013-05-25,828.9058
2013-05-26,830.165
2013-05-27,832.9623
2013-05-28,834.8199
2013-05-29,829.1898
2013-05-30,817.4401
2013-05-31,797.9264
2013-06-01,818.4716
2013-06-02,781.5591
2013-06-03,828.1227
2013-06-04,841.1553
2013-06-05,805.1151
2013-06-06,816.635
2013-06-07,829.4546
2013-06-08,829.1465
2013-06-09,757.8646
2013-06-10,778.0548
2013-06-11,779.7921
2013-06-12,801.8438
2013-06-13,799.734
2013-06-14,805.7436
2013-06-15,806.0778
2013-06-16,798.7828
2013-06-17,833.4697
2013-06-18,831.4025
2013-06-19,836.2192
2013-06-20,810.0409
2013-06-21,816.0134
2013-06-22,838.9209
2013-06-23,833.6111
2013-06-24,854.4368
2013-06-25,848.8612
2013-06-26,756.0004
2013-06-27,758.6979
2013-06-28,817.5338
2013-06-29,802.585
2013-06-30,834.1528
2013-07-01,801.6172
2013-07-02,821.2323
2013-07-03,821.9808
2013-07-04,825.2991
2013-07-05,833.7751
2013-07-06,865.4924
2013-07-07,857.6307
2013-07-08,857.678
2013-07-09,868.428
2013-07-10,847.4374
2013-07-11,851.8434
2013-07-12,849.1218
2013-07-13,853.3853
2013-07-14,849.6279
2013-07-15,841.1063
2013-07-16,872.3558
2013-07-17,842.4203
2013-07-18,843.8073
2013-07-19,851.0176
2013-07-20,854.9391
2013-07-21,838.61
2013-07-22,848.3502
2013-07-23,844.0781
2013-07-24,811.837
2013-07-25,803.3671
2013-07-26,849.464
2013-07-27,857.9855
2013-07-28,822.4291
2013-07-29,835.7662
2013-07-30,843.6099
2013-07-31,780.4222
2013-08-01,843.1345
2013-08-02,877.1647
2013-08-03,802.2257
2013-08-04,788.1948
2013-08-05,857.8481
2013-08-06,877.577
