 Observation period,Clear sky GHI
2013-01-02,725.6637
2013-01-03,720.2348
2013-01-04,720.9315
2013-01-05,746.9106
2013-01-06,705.2355
2013-01-07,695.2589
2013-01-08,655.1878
2013-01-09,673.7384
2013-01-10,701.6363
2013-01-11,683.5563
2013-01-12,746.0006
2013-01-13,700.7578
2013-01-14,697.6462
2013-01-15,662.912
2013-01-16,624.9695
2013-01-17,711.6928
2013-01-18,695.7851
2013-01-19,696.8908
2013-01-20,687.2534
2013-01-21,679.7753
2013-01-22,687.8758
2013-01-23,696.2735
2013-01-24,718.9618
2013-01-25,726.6538
2013-01-26,755.4404
2013-01-27,741.4572
2013-01-28,731.7106
2013-01-29,735.1545
2013-01-30,748.469
2013-01-31,742.0953
2013-02-01,737.3976
2013-02-02,767.155
2013-02-03,718.4327
2013-02-04,618.8142
2013-02-05,581.7328
2013-02-06,632.4048
2013-02-07,690.0043
2013-02-08,689.788
2013-02-09,745.4807
2013-02-10,694.8654
2013-02-11,715.0826
2013-02-12,712.9631
2013-02-13,738.0193
2013-02-14,742.2333
2013-02-15,789.495
2013-02-16,805.2118
2013-02-17,761.6713
2013-02-18,786.5039
2013-02-19,763.3149
2013-02-20,735.0809
2013-02-21,761.127
2013-02-22,799.8627
2013-02-23,782.5228
2013-02-24,811.1816
2013-02-25,806.1854
2013-02-26,780.7859
2013-02-27,785.0016
2013-02-28,800.6971
2013-03-01,813.9286
2013-03-02,851.2595
2013-03-03,822.8483
2013-03-04,854.4352
2013-03-05,840.6293
2013-03-06,840.9618
2013-03-07,845.6713
2013-03-08,872.6493
2013-03-09,848.4771
2013-03-10,848.4167
2013-03-11,876.6104
2013-03-12,836.4515
2013-03-13,879.0543
2013-03-14,850.4262
2013-03-15,856.103
2013-03-16,852.5697
2013-03-17,838.1743
2013-03-18,833.6929
2013-03-19,836.8344
2013-03-20,805.0232
2013-03-21,749.8167
2013-03-22,770.1759
2013-03-23,819.7322
2013-03-24,832.8126
2013-03-25,822.6333
2013-03-26,832.2359
2013-03-27,850.6979
2013-03-28,830.2131
2013-03-29,803.887
2013-03-30,825.5143
2013-03-31,866.7457
2013-04-01,884.0688
2013-04-02,880.6895
2013-04-03,908.652
