 Observation period,Clear sky GHI
2013-01-02,779.1586
2013-01-03,787.346
2013-01-04,793.8443
2013-01-05,801.4131
2013-01-06,799.8688
2013-01-07,797.2678
2013-01-08,782.6807
2013-01-09,766.3338
2013-01-10,754.5508
2013-01-11,802.3586
2013-01-12,789.6212
2013-01-13,788.6237
2013-01-14,834.6378
2013-01-15,824.7741
2013-01-16,808.5322
2013-01-17,782.7037
2013-01-18,806.1471
2013-01-19,829.0271
2013-01-20,777.0549
2013-01-21,759.0991
2013-01-22,765.3736
2013-01-23,830.5742
2013-01-24,788.9904
2013-01-25,793.3431
2013-01-26,794.3751
2013-01-27,768.855
2013-01-28,763.4182
2013-01-29,785.2716
2013-01-30,820.1739
2013-01-31,811.4492
2013-02-01,810.5214
2013-02-02,799.7993
2013-02-03,788.8533
2013-02-04,755.0787
2013-02-05,777.2485
2013-02-06,840.5067
2013-02-07,808.5917
2013-02-08,843.9241
2013-02-09,803.1289
2013-02-10,849.5843
2013-02-11,880.9434
2013-02-12,816.669
2013-02-13,838.2
2013-02-14,822.4482
2013-02-15,821.1642
2013-02-16,844.5384
2013-02-17,865.0637
2013-02-18,829.9583
2013-02-19,790.4634
2013-02-20,850.386
2013-02-21,872.3559
2013-02-22,866.3968
2013-02-23,869.559
2013-02-24,890.0707
2013-02-25,865.1555
2013-02-26,857.9442
2013-02-27,837.8702
2013-02-28,882.9697
2013-03-01,902.8688
2013-03-02,897.4184
2013-03-03,891.2344
2013-03-04,899.1953
2013-03-05,899.9074
2013-03-06,895.4742
2013-03-07,886.5057
2013-03-08,901.7737
2013-03-09,895.6656
2013-03-10,922.8123
2013-03-11,905.3216
2013-03-12,888.8788
2013-03-13,917.9562
2013-03-14,885.5112
2013-03-15,904.4188
2013-03-16,907.0712
2013-03-17,898.3768
2013-03-18,869.0355
2013-03-19,835.8927
2013-03-20,828.5354
2013-03-21,813.7963
2013-03-22,820.7842
2013-03-23,873.3174
2013-03-24,892.9687
2013-03-25,831.2689
2013-03-26,832.4602
2013-03-27,855.5447
2013-03-28,850.2914
2013-03-29,834.1245
2013-03-30,862.2718
2013-03-31,884.3527
2013-04-01,910.2612
2013-04-02,917.6539
2013-04-03,885.7027
2013-04-04,868.7069
2013-04-05,900.8097
2013-04-06,933.0563
2013-04-07,918.9797
2013-04-08,860.7253
2013-04-09,848.3876
2013-04-10,852.8553
2013-04-11,884.7695
2013-04-12,932.2682
2013-04-13,909.8994
2013-04-14,891.9211
2013-04-15,878.9174
2013-04-16,916.3956
2013-04-17,889.7954
2013-04-18,883.8486
2013-04-19,889.919
2013-04-20,882.5056
2013-04-21,887.8618
2013-04-22,872.6597
2013-04-23,901.4858
2013-04-24,873.6273
2013-04-25,895.0529
2013-04-26,844.1923
2013-04-27,861.9078
2013-04-28,860.7962
2013-04-29,885.4454
2013-04-30,877.7242
2013-05-01,886.6824
2013-05-02,899.5279
2013-05-03,860.2103
2013-05-04,870.1616
2013-05-05,878.2142
2013-05-06,904.8882
2013-05-07,890.1286
2013-05-08,895.2593
2013-05-09,900.3437
2013-05-10,798.5108
2013-05-11,731.6328
2013-05-12,768.0965
2013-05-13,810.4567
2013-05-14,882.6878
2013-05-15,911.3018
2013-05-16,901.7098
2013-05-17,902.9299
2013-05-18,888.5957
2013-05-19,875.0919
2013-05-20,887.6974
2013-05-21,871.6288
2013-05-22,877.3296
2013-05-23,917.7438
2013-05-24,876.2051
2013-05-25,892.6754
2013-05-26,864.1963
2013-05-27,873.4013
2013-05-28,886.4542
2013-05-29,856.5276
2013-05-30,868.6755
2013-05-31,844.8067
2013-06-01,852.2993
2013-06-02,881.4823
2013-06-03,879.3191
2013-06-04,875.405
2013-06-05,834.7355
2013-06-06,811.2434
2013-06-07,850.1421
2013-06-08,836.443
2013-06-09,778.5285
2013-06-10,808.292
2013-06-11,823.872
2013-06-12,843.7267
2013-06-13,851.5895
2013-06-14,846.5219
2013-06-15,850.1766
2013-06-16,824.3773
2013-06-17,860.3268
2013-06-18,855.6095
2013-06-19,863.1265
2013-06-20,838.8342
2013-06-21,842.6451
2013-06-22,874.5064
2013-06-23,893.1583
2013-06-24,884.0687
2013-06-25,889.2525
2013-06-26,828.3583
2013-06-27,876.0382
2013-06-28,882.033
2013-06-29,877.4777
2013-06-30,925.9944
2013-07-01,906.5295
2013-07-02,847.0007
2013-07-03,843.2816
2013-07-04,874.5812
2013-07-05,880.3806
2013-07-06,904.2141
2013-07-07,907.1323
2013-07-08,910.0132
2013-07-09,896.6981
2013-07-10,905.1108
2013-07-11,911.4437
2013-07-12,899.2477
2013-07-13,878.9941
2013-07-14,870.6109
2013-07-15,881.1385
2013-07-16,893.2125
2013-07-17,882.0912
2013-07-18,895.7028
2013-07-19,893.2122
2013-07-20,900.4824
2013-07-21,887.7336
2013-07-22,883.6925
2013-07-23,846.8198
2013-07-24,839.6462
2013-07-25,844.681
2013-07-26,879.9245
2013-07-27,876.3227
2013-07-28,890.9913
2013-07-29,867.4659
2013-07-30,875.0691
2013-07-31,905.2127
2013-08-01,912.813
2013-08-02,889.8133
2013-08-03,853.9514
2013-08-04,877.6773
2013-08-05,890.6494
2013-08-06,879.8994
2013-08-07,909.0204
2013-08-08,914.5782
2013-08-09,893.5354
2013-08-10,894.3612
2013-08-11,889.6042
2013-08-12,876.9282
2013-08-13,862.8257
2013-08-14,810.8404
2013-08-15,889.9372
2013-08-16,927.1199
2013-08-17,919.1122
2013-08-18,908.5298
2013-08-19,879.3221
2013-08-20,885.7163
2013-08-21,891.0618
2013-08-22,879.4462
2013-08-23,890.0814
2013-08-24,857.8291
2013-08-25,851.8029
2013-08-26,909.7673
2013-08-27,867.7109
2013-08-28,905.3859
2013-08-29,881.7283
2013-08-30,914.4793
2013-08-31,937.0704
2013-09-01,888.9422
2013-09-02,920.2883
2013-09-03,930.0004
2013-09-04,922.8879
2013-09-05,917.309
2013-09-06,918.3798
2013-09-07,931.4644
2013-09-08,886.4785
2013-09-09,901.8483
2013-09-10,898.5104
2013-09-11,924.0289
2013-09-12,929.9898
2013-09-13,934.8939
2013-09-14,890.9177
2013-09-15,905.9522
2013-09-16,921.2142
2013-09-17,905.8935
2013-09-18,887.8476
2013-09-19,871.3555
2013-09-20,871.4944
2013-09-21,884.1133
2013-09-22,873.2391
2013-09-23,863.1209
2013-09-24,918.4579
2013-09-25,906.001
2013-09-26,863.8024
2013-09-27,849.2654
2013-09-28,880.2442
2013-09-29,887.7153
2013-09-30,892.931
2013-10-01,900.0184
2013-10-02,902.1588
2013-10-03,867.3657
2013-10-04,896.5685
2013-10-05,913.4165
2013-10-06,895.2567
2013-10-07,871.9521
2013-10-08,883.4438
2013-10-09,870.5534
2013-10-10,847.3166
2013-10-11,875.3874
2013-10-12,883.3244
2013-10-13,873.118
2013-10-14,821.5088
2013-10-15,884.9628
2013-10-16,878.9095
2013-10-17,864.3037
2013-10-18,880.6802
2013-10-19,876.1023
2013-10-20,891.2904
2013-10-21,872.2784
2013-10-22,865.7147
2013-10-23,865.7538
2013-10-24,852.1619
2013-10-25,847.3077
2013-10-26,821.3331
2013-10-27,815.5528
2013-10-28,813.214
2013-10-29,795.0109
2013-10-30,800.4136
2013-10-31,811.4605
2013-11-01,820.6456
2013-11-02,851.6041
2013-11-03,859.4473
2013-11-04,876.517
2013-11-05,858.135
2013-11-06,847.7501
2013-11-07,813.7958
2013-11-08,810.5242
2013-11-09,832.2266
2013-11-10,840.6741
2013-11-11,789.7206
2013-11-12,802.4908
2013-11-13,804.8856
2013-11-14,791.1096
2013-11-15,790.9118
2013-11-16,794.7428
2013-11-17,824.8324
2013-11-18,817.7068
2013-11-19,832.3046
2013-11-20,816.145
2013-11-21,815.1318
2013-11-22,811.0456
2013-11-23,822.627
2013-11-24,802.2732
2013-11-25,796.6084
2013-11-26,781.1878
2013-11-27,780.9572
2013-11-28,814.9037
2013-11-29,797.0378
2013-11-30,827.8842
2013-12-01,768.9457
2013-12-02,758.312
2013-12-03,754.7423
2013-12-04,779.846
2013-12-05,771.9015
2013-12-06,769.3989
2013-12-07,766.8646
2013-12-08,750.2645
2013-12-09,779.8671
2013-12-10,742.1752
2013-12-11,769.4643
2013-12-12,741.4128
2013-12-13,731.7617
2013-12-14,758.3919
2013-12-15,748.9699
2013-12-16,780.1198
2013-12-17,788.9678
2013-12-18,816.0123
2013-12-19,816.0614
2013-12-20,815.5084
2013-12-21,772.0654
2013-12-22,743.3319
2013-12-23,760.3162
2013-12-24,753.165
2013-12-25,783.0413
2013-12-26,800.9581
2013-12-27,810.0307
2013-12-28,817.7114
2013-12-29,793.654
2013-12-30,822.7017
2013-12-31,819.0225
2014-01-01,784.4044
2014-01-02,762.0738
2014-01-03,770.3245
2014-01-04,785.9444
2014-01-05,798.863
2014-01-06,799.1841
2014-01-07,757.0777
2014-01-08,802.2798
2014-01-09,814.6921
2014-01-10,830.6683
2014-01-11,797.9507
2014-01-12,813.2156
2014-01-13,804.5364
2014-01-14,812.4213
2014-01-15,799.6292
2014-01-16,743.8507
2014-01-17,804.0312
2014-01-18,808.5292
2014-01-19,828.1784
2014-01-20,846.7857
2014-01-21,838.4488
2014-01-22,863.5692
2014-01-23,854.8406
2014-01-24,830.1966
2014-01-25,806.1983
2014-01-26,839.0156
2014-01-27,790.5596
2014-01-28,827.943
2014-01-29,810.4078
2014-01-30,830.7002
2014-01-31,808.1923
2014-02-01,766.3147
2014-02-02,767.5162
2014-02-03,796.0341
2014-02-04,810.3026
2014-02-05,834.7197
2014-02-06,814.6427
2014-02-07,869.2102
2014-02-08,839.2186
2014-02-09,818.1494
2014-02-10,857.9786
2014-02-11,875.335
2014-02-12,854.1506
2014-02-13,865.1167
2014-02-14,903.0019
2014-02-15,882.6072
2014-02-16,858.4503
2014-02-17,833.4215
2014-02-18,839.384
2014-02-19,890.0314
2014-02-20,880.9292
2014-02-21,824.0721
2014-02-22,811.7708
2014-02-23,876.3583
2014-02-24,881.3452
2014-02-25,843.3931
2014-02-26,834.6803
2014-02-27,788.0771
2014-02-28,815.694
2014-03-01,784.5095
2014-03-02,747.4947
2014-03-03,772.7056
2014-03-04,768.3644
2014-03-05,783.0644
2014-03-06,831.3715
2014-03-07,870.4598
2014-03-08,862.8429
2014-03-09,901.7877
2014-03-10,907.4174
2014-03-11,867.6394
2014-03-12,871.2225
2014-03-13,939.0823
2014-03-14,960.5371
2014-03-15,893.6872
2014-03-16,890.788
2014-03-17,923.3914
2014-03-18,881.873
2014-03-19,881.686
2014-03-20,888.9985
2014-03-21,856.959
2014-03-22,880.5964
2014-03-23,867.9633
2014-03-24,854.3732
2014-03-25,853.0945
2014-03-26,843.9961
2014-03-27,854.9435
2014-03-28,880.6993
2014-03-29,860.1263
2014-03-30,881.3949
2014-03-31,865.0378
2014-04-01,896.6136
2014-04-02,898.3305
2014-04-03,907.89
2014-04-04,887.679
2014-04-05,886.8234
2014-04-06,947.196
2014-04-07,909.2834
2014-04-08,885.9152
2014-04-09,853.0337
2014-04-10,849.3223
2014-04-11,855.3889
2014-04-12,905.0613
2014-04-13,864.7952
2014-04-14,896.2883
2014-04-15,872.4454
2014-04-16,880.77
2014-04-17,905.8892
2014-04-18,848.6374
2014-04-19,907.9122
2014-04-20,922.9554
2014-04-21,902.2954
2014-04-22,874.288
2014-04-23,866.5652
2014-04-24,856.2342
2014-04-25,843.0459
2014-04-26,846.8408
2014-04-27,873.6812
2014-04-28,875.6364
2014-04-29,895.6736
2014-04-30,926.0455
2014-05-01,903.171
2014-05-02,877.2869
2014-05-03,899.952
2014-05-04,935.8094
2014-05-05,913.0122
2014-05-06,899.0585
2014-05-07,917.5043
2014-05-08,907.7082
2014-05-09,848.5049
2014-05-10,836.9109
2014-05-11,868.5411
2014-05-12,843.1718
2014-05-13,803.1269
2014-05-14,851.0156
2014-05-15,891.3047
2014-05-16,874.417
2014-05-17,903.3368
2014-05-18,908.0026
2014-05-19,924.8098
2014-05-20,884.963
2014-05-21,878.5591
2014-05-22,832.955
2014-05-23,819.4972
2014-05-24,875.5102
2014-05-25,881.5236
2014-05-26,882.0204
2014-05-27,826.8313
2014-05-28,869.3682
2014-05-29,850.7775
2014-05-30,906.3816
2014-05-31,900.2581
2014-06-01,895.2549
2014-06-02,883.1872
2014-06-03,864.1704
2014-06-04,864.9368
2014-06-05,883.7859
2014-06-06,876.4571
2014-06-07,853.1953
2014-06-08,831.5476
2014-06-09,826.3706
2014-06-10,829.4754
2014-06-11,861.0745
2014-06-12,834.3857
2014-06-13,888.7739
2014-06-14,856.9331
2014-06-15,823.2739
2014-06-16,833.4114
2014-06-17,859.319
2014-06-18,852.9039
2014-06-19,890.2745
2014-06-20,859.7709
2014-06-21,842.7222
2014-06-22,853.4393
2014-06-23,814.6039
2014-06-24,814.4964
2014-06-25,862.8644
2014-06-26,866.536
2014-06-27,866.3099
2014-06-28,849.2601
2014-06-29,879.5298
2014-06-30,856.6629
2014-07-01,858.4447
2014-07-02,890.6599
2014-07-03,915.862
2014-07-04,868.655
2014-07-05,863.5137
2014-07-06,854.4384
2014-07-07,845.3962
2014-07-08,863.4587
2014-07-09,870.142
2014-07-10,883.2375
2014-07-11,890.0856
2014-07-12,872.6013
2014-07-13,871.9309
2014-07-14,844.5766
2014-07-15,910.3166
2014-07-16,846.7969
2014-07-17,843.8576
2014-07-18,882.1899
2014-07-19,891.1207
2014-07-20,851.3627
2014-07-21,864.2711
2014-07-22,880.1993
2014-07-23,866.4302
2014-07-24,892.8654
2014-07-25,879.587
2014-07-26,903.3486
2014-07-27,879.1985
2014-07-28,889.4363
2014-07-29,911.3464
2014-07-30,903.4869
2014-07-31,866.3652
2014-08-01,882.2806
2014-08-02,909.3402
2014-08-03,899.8612
2014-08-04,884.9831
2014-08-05,896.0274
2014-08-06,889.9416
2014-08-07,917.8352
2014-08-08,908.3632
2014-08-09,896.3323
2014-08-10,900.9396
2014-08-11,878.2832
2014-08-12,886.046
2014-08-13,927.2482
2014-08-14,893.3758
2014-08-15,877.7263
2014-08-16,893.7653
2014-08-17,912.033
2014-08-18,904.4265
2014-08-19,896.033
2014-08-20,905.3228
2014-08-21,909.1127
2014-08-22,928.7778
2014-08-23,935.5895
2014-08-24,940.7381
2014-08-25,905.0364
2014-08-26,852.4842
2014-08-27,933.5586
2014-08-28,897.8478
2014-08-29,883.9699
2014-08-30,889.2039
2014-08-31,881.4974
2014-09-01,907.2633
2014-09-02,923.7569
2014-09-03,892.3149
2014-09-04,864.663
2014-09-05,882.9079
2014-09-06,926.2984
2014-09-07,899.2186
2014-09-08,915.7328
2014-09-09,879.9153
