 Observation period,Clear sky GHI
2013-01-02,673.032
2013-01-03,677.2794
2013-01-04,683.093
2013-01-05,694.826
2013-01-06,647.6711
2013-01-07,650.3317
2013-01-08,679.3928
2013-01-09,688.6013
2013-01-10,687.3813
2013-01-11,671.1213
2013-01-12,658.8498
2013-01-13,651.182
2013-01-14,655.4541
2013-01-15,687.8493
2013-01-16,683.9746
2013-01-17,669.7954
2013-01-18,694.6734
2013-01-19,695.9572
2013-01-20,716.5762
2013-01-21,691.3012
2013-01-22,685.1136
2013-01-23,732.892
2013-01-24,725.5858
2013-01-25,747.0715
2013-01-26,769.1102
2013-01-27,726.1732
2013-01-28,741.893
2013-01-29,743.6448
2013-01-30,781.4089
2013-01-31,766.8113
2013-02-01,741.2722
2013-02-02,730.6157
2013-02-03,655.8224
2013-02-04,685.6066
2013-02-05,683.5715
2013-02-06,706.1835
2013-02-07,748.8214
2013-02-08,746.2314
2013-02-09,720.7164
2013-02-10,659.9658
2013-02-11,713.3209
2013-02-12,727.8044
2013-02-13,755.4398
2013-02-14,724.0286
2013-02-15,743.4014
2013-02-16,734.9741
2013-02-17,756.8882
2013-02-18,783.3688
2013-02-19,747.1094
2013-02-20,781.2523
2013-02-21,741.352
2013-02-22,787.8045
2013-02-23,796.3413
2013-02-24,803.1751
2013-02-25,801.4418
2013-02-26,814.7631
2013-02-27,797.8504
2013-02-28,807.2057
2013-03-01,824.4385
2013-03-02,834.0231
2013-03-03,832.681
2013-03-04,818.5565
2013-03-05,863.37
2013-03-06,838.1417
2013-03-07,847.7391
2013-03-08,853.6343
2013-03-09,841.9835
2013-03-10,818.911
2013-03-11,828.614
2013-03-12,824.8209
2013-03-13,870.5257
2013-03-14,861.8433
2013-03-15,852.1846
2013-03-16,858.2772
2013-03-17,859.9774
2013-03-18,853.0669
2013-03-19,840.7099
2013-03-20,772.3062
2013-03-21,707.4054
2013-03-22,772.2212
2013-03-23,807.8519
2013-03-24,826.5901
2013-03-25,848.6071
2013-03-26,815.809
2013-03-27,839.2582
2013-03-28,828.5917
2013-03-29,822.0555
2013-03-30,820.4606
2013-03-31,854.6919
2013-04-01,856.4965
2013-04-02,902.9665
2013-04-03,891.5009
2013-04-04,892.1479
2013-04-05,870.9394
2013-04-06,865.4808
2013-04-07,883.8122
2013-04-08,854.2541
2013-04-09,829.0801
2013-04-10,840.9371
2013-04-11,867.1256
2013-04-12,872.5077
2013-04-13,884.2529
2013-04-14,865.3036
2013-04-15,846.3021
2013-04-16,884.4083
2013-04-17,882.5531
2013-04-18,901.427
2013-04-19,873.5915
2013-04-20,870.8431
2013-04-21,847.2103
2013-04-22,871.587
2013-04-23,863.3045
2013-04-24,866.4939
2013-04-25,861.5685
2013-04-26,828.9458
2013-04-27,813.3284
2013-04-28,830.6955
2013-04-29,801.8426
2013-04-30,818.0541
2013-05-01,848.2154
2013-05-02,868.7819
2013-05-03,823.22
2013-05-04,818.6491
2013-05-05,831.6171
2013-05-06,852.9443
2013-05-07,842.3688
2013-05-08,839.8046
2013-05-09,843.8422
2013-05-10,818.0865
2013-05-11,811.2354
2013-05-12,789.4365
2013-05-13,813.9223
2013-05-14,818.2449
2013-05-15,841.6292
2013-05-16,861.1867
2013-05-17,821.754
2013-05-18,835.4053
2013-05-19,814.3539
