 Observation period,Clear sky GHI
2013-01-02,748.5238
2013-01-03,745.3425
2013-01-04,737.8714
2013-01-05,720.2313
2013-01-06,771.5317
2013-01-07,715.223
2013-01-08,722.732
2013-01-09,729.4174
2013-01-10,736.6628
2013-01-11,768.8482
2013-01-12,731.7938
2013-01-13,731.8451
2013-01-14,739.3569
2013-01-15,763.2977
2013-01-16,713.0362
2013-01-17,731.0382
2013-01-18,741.0021
2013-01-19,735.8486
2013-01-20,724.0881
2013-01-21,705.7708
2013-01-22,746.6128
2013-01-23,723.0307
2013-01-24,739.1998
2013-01-25,762.2421
2013-01-26,750.6687
2013-01-27,767.8754
2013-01-28,746.5319
2013-01-29,768.2255
2013-01-30,740.8618
2013-01-31,774.0666
2013-02-01,782.1459
2013-02-02,801.8468
2013-02-03,796.2408
2013-02-04,694.5564
2013-02-05,695.0718
2013-02-06,730.9218
2013-02-07,738.7266
2013-02-08,774.7862
2013-02-09,842.279
2013-02-10,823.408
2013-02-11,867.3245
2013-02-12,858.2449
2013-02-13,820.5015
2013-02-14,841.6278
2013-02-15,867.1708
2013-02-16,853.3062
2013-02-17,818.7899
2013-02-18,836.5481
2013-02-19,830.5554
2013-02-20,801.2117
2013-02-21,776.792
2013-02-22,788.8188
2013-02-23,823.4604
2013-02-24,803.9921
2013-02-25,839.0245
2013-02-26,823.5816
2013-02-27,805.0673
2013-02-28,841.4144
2013-03-01,847.8286
2013-03-02,841.9997
2013-03-03,851.4564
2013-03-04,885.5242
2013-03-05,855.1617
2013-03-06,878.943
2013-03-07,874.613
2013-03-08,905.524
2013-03-09,901.898
2013-03-10,933.612
2013-03-11,919.5811
2013-03-12,875.6703
2013-03-13,852.881
2013-03-14,836.2914
2013-03-15,875.0312
2013-03-16,899.9779
2013-03-17,931.3605
2013-03-18,845.4726
2013-03-19,823.0524
2013-03-20,887.025
2013-03-21,846.9433
2013-03-22,866.1468
2013-03-23,842.31
2013-03-24,832.429
2013-03-25,875.2806
2013-03-26,853.0974
2013-03-27,824.6466
2013-03-28,820.1084
2013-03-29,861.7717
2013-03-30,926.1825
2013-03-31,942.3787
2013-04-01,968.3857
2013-04-02,950.4646
2013-04-03,962.1707
2013-04-04,928.6715
2013-04-05,906.5599
2013-04-06,902.1796
2013-04-07,918.6362
2013-04-08,888.0827
2013-04-09,896.3387
2013-04-10,856.1981
2013-04-11,842.1413
2013-04-12,846.6668
2013-04-13,809.821
2013-04-14,879.9608
2013-04-15,868.3065
2013-04-16,899.3402
2013-04-17,854.1475
2013-04-18,867.3706
2013-04-19,890.1942
2013-04-20,883.1007
2013-04-21,892.6832
2013-04-22,895.6655
2013-04-23,938.7555
2013-04-24,944.0724
2013-04-25,947.4362
2013-04-26,966.7612
2013-04-27,926.79
2013-04-28,861.2027
2013-04-29,852.316
2013-04-30,883.9181
2013-05-01,870.4229
2013-05-02,913.144
2013-05-03,918.7745
2013-05-04,942.4877
2013-05-05,900.442
2013-05-06,926.8339
2013-05-07,937.1869
2013-05-08,927.8307
2013-05-09,904.9196
2013-05-10,828.5609
2013-05-11,836.3768
2013-05-12,880.8551
2013-05-13,901.8462
2013-05-14,893.2372
2013-05-15,822.5701
2013-05-16,858.9595
2013-05-17,931.5006
2013-05-18,965.9739
2013-05-19,908.2476
2013-05-20,904.8522
2013-05-21,900.9121
2013-05-22,917.5836
2013-05-23,930.4534
2013-05-24,902.2916
2013-05-25,922.679
2013-05-26,899.4752
2013-05-27,922.0584
2013-05-28,874.906
2013-05-29,884.5516
2013-05-30,834.6857
2013-05-31,847.2473
2013-06-01,866.9297
2013-06-02,894.2078
2013-06-03,893.3646
2013-06-04,887.3386
2013-06-05,858.6102
2013-06-06,833.9656
2013-06-07,773.6701
2013-06-08,809.0824
2013-06-09,799.7817
2013-06-10,831.0037
2013-06-11,835.4132
2013-06-12,865.6757
2013-06-13,885.29
2013-06-14,868.2411
2013-06-15,873.658
2013-06-16,849.1444
2013-06-17,889.832
2013-06-18,887.8198
2013-06-19,877.8811
2013-06-20,889.1838
2013-06-21,872.7364
2013-06-22,867.7112
2013-06-23,878.536
2013-06-24,897.0656
2013-06-25,849.9617
2013-06-26,918.9861
2013-06-27,917.0291
2013-06-28,911.3378
2013-06-29,863.564
2013-06-30,835.2175
2013-07-01,872.5046
2013-07-02,824.0079
2013-07-03,862.2232
2013-07-04,869.2068
2013-07-05,866.1587
2013-07-06,846.851
2013-07-07,874.2154
2013-07-08,876.987
2013-07-09,859.8116
2013-07-10,919.1216
2013-07-11,904.6396
2013-07-12,900.048
2013-07-13,853.6746
2013-07-14,850.3671
2013-07-15,870.7214
2013-07-16,860.7445
2013-07-17,894.0809
2013-07-18,854.4079
2013-07-19,867.0568
2013-07-20,862.701
2013-07-21,841.3464
2013-07-22,874.7282
2013-07-23,846.0477
2013-07-24,843.5383
2013-07-25,826.3388
2013-07-26,852.0383
2013-07-27,852.567
2013-07-28,847.2593
2013-07-29,860.9141
2013-07-30,851.3576
2013-07-31,871.4912
2013-08-01,846.0654
2013-08-02,907.0761
2013-08-03,899.6447
2013-08-04,890.7731
2013-08-05,891.7238
2013-08-06,878.9955
2013-08-07,868.1774
2013-08-08,848.5358
2013-08-09,934.0958
2013-08-10,906.3488
2013-08-11,872.2905
2013-08-12,907.5156
2013-08-13,897.5326
2013-08-14,908.2175
2013-08-15,941.0397
2013-08-16,909.2197
2013-08-17,894.8277
2013-08-18,906.371
2013-08-19,889.9117
2013-08-20,854.9098
2013-08-21,846.5622
2013-08-22,874.0123
2013-08-23,919.0558
2013-08-24,913.1636
2013-08-25,840.6896
2013-08-26,821.2162
2013-08-27,885.89
2013-08-28,897.0517
2013-08-29,874.3939
2013-08-30,876.3386
2013-08-31,900.5346
2013-09-01,873.3275
2013-09-02,897.8191
2013-09-03,920.3142
2013-09-04,924.6697
2013-09-05,908.9598
2013-09-06,866.0259
2013-09-07,895.8758
2013-09-08,891.7149
2013-09-09,879.7089
2013-09-10,879.7587
2013-09-11,869.9309
2013-09-12,882.5799
2013-09-13,904.4754
2013-09-14,874.7898
2013-09-15,847.8227
2013-09-16,870.9122
2013-09-17,865.5059
2013-09-18,873.5671
2013-09-19,882.3958
2013-09-20,852.3243
2013-09-21,884.578
2013-09-22,862.4052
2013-09-23,847.155
2013-09-24,847.7779
2013-09-25,870.9782
2013-09-26,860.3214
2013-09-27,844.6044
2013-09-28,874.9864
2013-09-29,869.4543
2013-09-30,843.4695
2013-10-01,849.9564
2013-10-02,863.5582
2013-10-03,866.8807
2013-10-04,845.6157
2013-10-05,880.3381
2013-10-06,862.5939
2013-10-07,884.1184
2013-10-08,818.5958
2013-10-09,759.8685
2013-10-10,752.1052
2013-10-11,750.2929
2013-10-12,789.2012
2013-10-13,837.181
2013-10-14,783.9822
2013-10-15,776.0853
2013-10-16,810.2334
2013-10-17,759.0082
2013-10-18,765.7358
2013-10-19,798.4739
2013-10-20,803.8398
2013-10-21,831.0415
2013-10-22,821.1178
2013-10-23,836.4342
2013-10-24,861.4044
2013-10-25,862.7453
2013-10-26,848.5805
2013-10-27,824.6308
2013-10-28,848.6858
2013-10-29,812.394
2013-10-30,803.8837
2013-10-31,776.0137
2013-11-01,758.5361
2013-11-02,769.4449
2013-11-03,789.9304
2013-11-04,814.4717
2013-11-05,823.9813
2013-11-06,819.056
2013-11-07,779.2225
2013-11-08,804.6812
2013-11-09,789.1672
2013-11-10,781.4654
2013-11-11,776.9235
2013-11-12,743.6747
2013-11-13,748.8539
2013-11-14,729.8514
2013-11-15,787.7538
2013-11-16,785.9847
2013-11-17,786.6743
2013-11-18,800.5003
2013-11-19,804.207
2013-11-20,793.6973
2013-11-21,781.1908
2013-11-22,798.1201
2013-11-23,767.697
2013-11-24,799.8311
2013-11-25,785.7452
2013-11-26,763.9651
2013-11-27,757.2124
2013-11-28,746.2284
2013-11-29,771.9111
2013-11-30,761.669
2013-12-01,777.915
2013-12-02,766.2889
2013-12-03,758.3466
2013-12-04,749.1353
2013-12-05,745.4291
2013-12-06,755.1589
2013-12-07,758.7028
2013-12-08,773.1161
2013-12-09,745.3033
2013-12-10,729.5359
2013-12-11,724.0219
2013-12-12,702.7183
2013-12-13,662.3066
2013-12-14,669.6726
2013-12-15,688.1556
2013-12-16,698.0309
2013-12-17,711.2665
2013-12-18,724.6016
2013-12-19,735.1505
2013-12-20,734.0101
2013-12-21,727.7841
2013-12-22,654.6727
2013-12-23,665.6787
2013-12-24,701.5409
2013-12-25,720.4892
2013-12-26,732.5189
