 Observation period,Clear sky GHI
2013-01-02,769.2957
2013-01-03,776.3805
2013-01-04,793.3788
2013-01-05,808.1819
2013-01-06,799.6683
2013-01-07,788.6092
2013-01-08,764.5764
2013-01-09,743.2487
2013-01-10,749.2698
2013-01-11,779.974
2013-01-12,776.8821
2013-01-13,776.1723
2013-01-14,827.7106
2013-01-15,793.7546
2013-01-16,807.5763
2013-01-17,761.2773
2013-01-18,804.5185
2013-01-19,821.7015
2013-01-20,770.9455
2013-01-21,761.4027
2013-01-22,753.3535
2013-01-23,815.9406
2013-01-24,744.4929
2013-01-25,778.8003
2013-01-26,772.3238
2013-01-27,733.9768
2013-01-28,744.3273
2013-01-29,753.573
2013-01-30,825.4493
2013-01-31,771.416
2013-02-01,795.726
2013-02-02,767.1418
2013-02-03,707.2511
2013-02-04,735.4767
2013-02-05,794.6915
2013-02-06,838.5006
2013-02-07,777.0553
2013-02-08,811.9468
2013-02-09,725.469
2013-02-10,812.0125
2013-02-11,844.3304
2013-02-12,797.9979
2013-02-13,813.387
2013-02-14,802.0968
2013-02-15,791.3878
2013-02-16,815.1563
2013-02-17,848.2037
2013-02-18,791.5709
2013-02-19,771.0511
2013-02-20,835.5694
2013-02-21,837.7615
2013-02-22,846.0435
2013-02-23,840.9394
2013-02-24,871.7077
2013-02-25,833.5438
2013-02-26,828.3626
2013-02-27,800.6893
2013-02-28,847.8154
2013-03-01,856.5032
2013-03-02,853.3247
2013-03-03,850.9887
2013-03-04,864.4646
2013-03-05,882.7964
2013-03-06,867.6594
2013-03-07,856.8375
2013-03-08,865.3422
2013-03-09,856.0664
2013-03-10,873.957
2013-03-11,868.8965
2013-03-12,849.3743
2013-03-13,880.2241
2013-03-14,875.3947
2013-03-15,875.2381
2013-03-16,872.7139
2013-03-17,882.7145
2013-03-18,842.1238
2013-03-19,822.8279
2013-03-20,741.9181
2013-03-21,735.6368
2013-03-22,783.6562
2013-03-23,826.5854
2013-03-24,847.3763
2013-03-25,800.9838
2013-03-26,803.4608
2013-03-27,816.9123
2013-03-28,822.3855
2013-03-29,806.5334
2013-03-30,820.5861
2013-03-31,860.8664
2013-04-01,905.0638
2013-04-02,893.0218
2013-04-03,887.3334
2013-04-04,890.6324
2013-04-05,886.4064
2013-04-06,894.8289
2013-04-07,891.4652
2013-04-08,828.6852
2013-04-09,820.1612
2013-04-10,834.5733
2013-04-11,883.4366
2013-04-12,903.1556
2013-04-13,875.4902
2013-04-14,865.1096
2013-04-15,873.9948
2013-04-16,907.2852
2013-04-17,907.255
2013-04-18,890.785
2013-04-19,877.4706
2013-04-20,872.9122
2013-04-21,862.8676
2013-04-22,879.9634
2013-04-23,883.8229
2013-04-24,838.6141
2013-04-25,881.3646
2013-04-26,813.0167
2013-04-27,840.4173
2013-04-28,816.8908
2013-04-29,809.5123
2013-04-30,880.37
2013-05-01,865.1956
2013-05-02,857.0053
2013-05-03,839.6078
2013-05-04,858.9456
2013-05-05,882.2906
2013-05-06,885.6179
2013-05-07,876.0257
2013-05-08,887.8946
2013-05-09,896.4449
