 Observation period,Clear sky GHI
2013-01-02,750.3978
2013-01-03,743.4113
2013-01-04,729.04
2013-01-05,756.0962
2013-01-06,768.7734
2013-01-07,733.6379
2013-01-08,719.5837
2013-01-09,725.1318
2013-01-10,770.8052
2013-01-11,744.1057
2013-01-12,722.5475
2013-01-13,737.1843
2013-01-14,775.3054
2013-01-15,780.618
2013-01-16,766.7736
2013-01-17,769.6402
2013-01-18,781.7626
2013-01-19,766.0089
2013-01-20,772.1879
2013-01-21,780.8562
2013-01-22,766.2751
2013-01-23,807.3074
2013-01-24,784.045
2013-01-25,779.6891
2013-01-26,811.1389
2013-01-27,796.4599
2013-01-28,776.6264
2013-01-29,793.0574
2013-01-30,774.4175
2013-01-31,791.5386
2013-02-01,773.0499
2013-02-02,818.5556
2013-02-03,822.5305
2013-02-04,758.3916
2013-02-05,736.1818
2013-02-06,787.6604
2013-02-07,801.0532
2013-02-08,769.9539
2013-02-09,829.9617
2013-02-10,860.6377
2013-02-11,870.0535
2013-02-12,826.3759
2013-02-13,844.0495
2013-02-14,831.6136
2013-02-15,850.4696
2013-02-16,841.8133
2013-02-17,816.0214
2013-02-18,812.046
2013-02-19,818.847
2013-02-20,886.1381
2013-02-21,880.5901
2013-02-22,892.6706
2013-02-23,879.325
2013-02-24,864.2866
2013-02-25,846.9773
2013-02-26,871.7453
2013-02-27,903.9844
2013-02-28,913.5203
2013-03-01,926.6027
2013-03-02,937.4128
2013-03-03,906.4083
2013-03-04,947.1399
2013-03-05,939.4985
2013-03-06,919.1792
2013-03-07,905.5315
2013-03-08,921.3911
2013-03-09,947.7003
2013-03-10,992.2434
2013-03-11,934.4704
2013-03-12,911.7128
2013-03-13,937.8884
2013-03-14,949.643
2013-03-15,960.6522
2013-03-16,942.9136
2013-03-17,940.9643
2013-03-18,853.8865
2013-03-19,824.7848
2013-03-20,905.0819
2013-03-21,935.8132
2013-03-22,975.2786
2013-03-23,909.7189
2013-03-24,903.5024
2013-03-25,858.7199
2013-03-26,841.8096
2013-03-27,881.8453
2013-03-28,852.7076
2013-03-29,928.1266
2013-03-30,913.0792
2013-03-31,937.2939
2013-04-01,931.5471
2013-04-02,914.6466
2013-04-03,883.8856
2013-04-04,884.7933
