 Observation period,Clear sky GHI
2013-01-02,739.9162
2013-01-03,727.4614
2013-01-04,718.8872
2013-01-05,727.6488
2013-01-06,747.3736
2013-01-07,698.0554
2013-01-08,707.9045
2013-01-09,736.7188
2013-01-10,741.7376
2013-01-11,776.0555
2013-01-12,745.8585
2013-01-13,734.9363
2013-01-14,733.264
2013-01-15,772.5831
2013-01-16,730.8468
2013-01-17,759.5034
2013-01-18,748.7081
2013-01-19,754.247
2013-01-20,729.3879
2013-01-21,699.8534
2013-01-22,685.0817
2013-01-23,733.8656
2013-01-24,752.3961
2013-01-25,769.0334
2013-01-26,770.2531
2013-01-27,761.8196
2013-01-28,725.5897
2013-01-29,768.1601
2013-01-30,766.7376
2013-01-31,792.9452
2013-02-01,785.664
2013-02-02,798.9103
2013-02-03,797.0666
2013-02-04,699.3842
2013-02-05,684.9385
2013-02-06,748.3539
2013-02-07,761.6314
2013-02-08,767.9523
2013-02-09,816.368
2013-02-10,806.3469
2013-02-11,860.2767
2013-02-12,837.6486
2013-02-13,835.5908
2013-02-14,825.7973
2013-02-15,858.7236
2013-02-16,843.182
2013-02-17,799.6224
2013-02-18,801.5353
2013-02-19,798.3926
2013-02-20,788.451
2013-02-21,787.7795
2013-02-22,796.4274
2013-02-23,826.3303
2013-02-24,834.207
2013-02-25,857.5131
2013-02-26,833.9563
2013-02-27,827.9263
2013-02-28,856.363
2013-03-01,871.7426
2013-03-02,885.2349
2013-03-03,877.2064
2013-03-04,900.3066
2013-03-05,878.0811
2013-03-06,883.5743
2013-03-07,875.8186
2013-03-08,904.4088
2013-03-09,901.6882
2013-03-10,949.1705
2013-03-11,914.869
2013-03-12,885.9259
2013-03-13,868.4987
2013-03-14,863.4581
2013-03-15,880.488
2013-03-16,893.3704
2013-03-17,891.6727
2013-03-18,850.6322
2013-03-19,830.335
2013-03-20,888.3898
2013-03-21,843.2656
2013-03-22,872.6934
2013-03-23,852.2847
2013-03-24,861.7432
2013-03-25,872.9145
2013-03-26,853.6613
2013-03-27,840.3051
2013-03-28,809.7283
2013-03-29,838.094
2013-03-30,903.0136
2013-03-31,933.9394
2013-04-01,948.749
2013-04-02,932.5562
2013-04-03,930.8691
