T2M,WS10M,date
21.69,3.67,01/01/2013
22.1,3.15,02/01/2013
24.48,2.12,03/01/2013
26.57,0.95,04/01/2013
25.62,2.03,05/01/2013
25.43,2.1,06/01/2013
23.72,2.13,07/01/2013
22.94,2.52,08/01/2013
22.98,3.14,09/01/2013
23.06,3.25,10/01/2013
23.78,2.41,11/01/2013
23.68,3.02,12/01/2013
24.46,2.5,13/01/2013
25.95,1.5,14/01/2013
26.28,2.11,15/01/2013
26.53,1.95,16/01/2013
27.09,1.92,17/01/2013
26.22,2.4,18/01/2013
26.33,1.96,19/01/2013
26.76,1.85,20/01/2013
26.62,1.96,21/01/2013
27.1,2.25,22/01/2013
26.63,2.66,23/01/2013
26.33,2.25,24/01/2013
26.3,2.45,25/01/2013
26.03,2.75,26/01/2013
25.97,2.47,27/01/2013
26.08,1.26,28/01/2013
26.25,1.29,29/01/2013
25.07,1.74,30/01/2013
21.1,4.27,31/01/2013
20.96,4.62,01/02/2013
23.26,2.81,02/02/2013
25.9,1.88,03/02/2013
27.15,1.58,04/02/2013
26.72,1.5,05/02/2013
26.65,2.22,06/02/2013
25.98,1.73,07/02/2013
26.19,1.41,08/02/2013
26.02,2.48,09/02/2013
25.75,2.85,10/02/2013
25.89,2.57,11/02/2013
25.66,2.48,12/02/2013
25.87,2.53,13/02/2013
26.2,2.38,14/02/2013
26.26,2.21,15/02/2013
26.96,2.02,16/02/2013
26.35,3.4,17/02/2013
26.4,2.48,18/02/2013
26.46,2.49,19/02/2013
26.2,2.62,20/02/2013
27.01,2.13,21/02/2013
27.23,2.18,22/02/2013
26.26,2.31,23/02/2013
27.58,2.68,24/02/2013
26.77,3.05,25/02/2013
26.35,2.58,26/02/2013
26.36,2.22,27/02/2013
27.37,2.25,28/02/2013
27.28,2.42,01/03/2013
26.6,2.47,02/03/2013
27.26,2.62,03/03/2013
25.98,3.12,04/03/2013
27.18,2.42,05/03/2013
27.12,2.73,06/03/2013
26.99,2.68,07/03/2013
26.2,2.34,08/03/2013
26.48,2.81,09/03/2013
26.84,2.91,10/03/2013
26.27,2.49,11/03/2013
26.65,2.73,12/03/2013
26.22,2.17,13/03/2013
26.82,2.26,14/03/2013
26.44,2.88,15/03/2013
26.4,2.33,16/03/2013
26.63,2.8,17/03/2013
27.54,1.33,18/03/2013
26.69,1.74,19/03/2013
27.31,2.04,20/03/2013
26.23,3.14,21/03/2013
26.47,2.52,22/03/2013
25.46,2.43,23/03/2013
26.33,2.57,24/03/2013
25.94,2.49,25/03/2013
26.32,2.65,26/03/2013
25.63,2.54,27/03/2013
25.99,2.01,28/03/2013
26.37,2.16,29/03/2013
25.7,2.52,30/03/2013
27.27,1.44,31/03/2013
27.05,1.88,01/04/2013
25.8,2.67,02/04/2013
26.75,2.03,03/04/2013
27.25,2.18,04/04/2013
26.98,2.78,05/04/2013
27.19,2.83,06/04/2013
25.94,2.65,07/04/2013
25.98,2.44,08/04/2013
26.59,2.68,09/04/2013
26.63,1.77,10/04/2013
27.35,1.89,11/04/2013
27.08,2.64,12/04/2013
26.23,2.42,13/04/2013
26.88,1.81,14/04/2013
25.37,2.74,15/04/2013
26.27,2.09,16/04/2013
25.6,2.39,17/04/2013
26.06,2.6,18/04/2013
25.86,2.54,19/04/2013
26.58,2.41,20/04/2013
26.8,1.71,21/04/2013
26.36,2.05,22/04/2013
26.63,1.8,23/04/2013
26.18,1.11,24/04/2013
27.17,1.35,25/04/2013
25.86,2.21,26/04/2013
25.77,2.27,27/04/2013
26.24,1.83,28/04/2013
26.51,2.16,29/04/2013
26.71,2.17,30/04/2013
25.63,2.18,01/05/2013
27.41,1.09,02/05/2013
26.4,2.49,03/05/2013
26.29,2.47,04/05/2013
26.35,2.66,05/05/2013
26.51,2.3,06/05/2013
25.65,2.77,07/05/2013
25.95,2.58,08/05/2013
26.8,2.15,09/05/2013
25.61,3.07,10/05/2013
25.57,1.73,11/05/2013
26.27,1.36,12/05/2013
26.01,1.09,13/05/2013
25.62,1.75,14/05/2013
26.33,2.07,15/05/2013
26.84,1.92,16/05/2013
26.28,2.3,17/05/2013
26.42,2.28,18/05/2013
25.96,1.92,19/05/2013
25.51,2.6,20/05/2013
25.41,1.84,21/05/2013
26.39,2.3,22/05/2013
26.15,2.39,23/05/2013
25.9,1.98,24/05/2013
25.88,2.17,25/05/2013
25.57,2.22,26/05/2013
25.94,2.52,27/05/2013
25.47,2.63,28/05/2013
25.49,1.44,29/05/2013
24.79,2.38,30/05/2013
25.65,2.06,31/05/2013
26.11,2.15,01/06/2013
25.31,2.64,02/06/2013
25.11,2.8,03/06/2013
24.62,2.88,04/06/2013
24.9,1.58,05/06/2013
25.69,2.56,06/06/2013
26.09,2.52,07/06/2013
25.92,2.76,08/06/2013
25.34,2.91,09/06/2013
24.89,2.3,10/06/2013
25.47,2.4,11/06/2013
25.14,2.7,12/06/2013
25.31,2.67,13/06/2013
25.84,2.71,14/06/2013
25.73,2.38,15/06/2013
24.69,2.94,16/06/2013
25.62,3.01,17/06/2013
24.6,3.06,18/06/2013
25.16,3.5,19/06/2013
24.68,2.95,20/06/2013
25.8,2.61,21/06/2013
25.6,2.98,22/06/2013
25.47,3.62,23/06/2013
24.37,2.82,24/06/2013
25.26,2.21,25/06/2013
24.98,2.53,26/06/2013
24.19,3.39,27/06/2013
24.02,3.08,28/06/2013
25.05,1.7,29/06/2013
25.11,2.61,30/06/2013
25.03,2.85,01/07/2013
24.93,3.59,02/07/2013
24.15,3.24,03/07/2013
23.94,3.29,04/07/2013
24.34,3.66,05/07/2013
24.07,2.84,06/07/2013
23.88,2.77,07/07/2013
23.6,2.55,08/07/2013
25.15,1.71,09/07/2013
25.69,2.16,10/07/2013
23.81,3.75,11/07/2013
24.65,2.67,12/07/2013
23.9,3.36,13/07/2013
24.86,2.98,14/07/2013
25.05,1.98,15/07/2013
25.08,2.21,16/07/2013
24.35,3.04,17/07/2013
24.91,3.29,18/07/2013
24.85,3.02,19/07/2013
25.02,3.44,20/07/2013
24.82,3.26,21/07/2013
25.24,2.7,22/07/2013
24.73,3.26,23/07/2013
23.52,3.39,24/07/2013
23.56,2.27,25/07/2013
24.46,2.48,26/07/2013
24.94,2.98,27/07/2013
24.6,4.13,28/07/2013
24.21,3.53,29/07/2013
24.33,2.34,30/07/2013
24.72,3.09,31/07/2013
24.75,3.83,01/08/2013
24.56,3.46,02/08/2013
24.51,3.08,03/08/2013
24.63,3.5,04/08/2013
24.43,3.42,05/08/2013
24.12,3.09,06/08/2013
24.11,3.78,07/08/2013
24.59,3.44,08/08/2013
23.58,2.54,09/08/2013
24.63,2.9,10/08/2013
24.4,3.13,11/08/2013
24.12,3.26,12/08/2013
24.56,2.67,13/08/2013
23.91,3.19,14/08/2013
23.64,4.17,15/08/2013
23.76,2.76,16/08/2013
24.83,3.36,17/08/2013
24.87,2.76,18/08/2013
25.25,2.67,19/08/2013
24.73,3.72,20/08/2013
24.66,3.51,21/08/2013
24.68,1.98,22/08/2013
25.11,3.36,23/08/2013
24.15,3.35,24/08/2013
24.8,3.03,25/08/2013
25.55,2.05,26/08/2013
24.95,1.77,27/08/2013
23.93,2.81,28/08/2013
23.87,2.9,29/08/2013
24.38,2.28,30/08/2013
24.81,3.55,31/08/2013
23.47,3.09,01/09/2013
25.07,1.94,02/09/2013
25.38,1.88,03/09/2013
24.5,2.46,04/09/2013
24.8,3.39,05/09/2013
24.91,2,06/09/2013
24.95,2.77,07/09/2013
24.32,2.66,08/09/2013
24.09,3.37,09/09/2013
24.08,2.44,10/09/2013
24.68,2.3,11/09/2013
24.65,2.55,12/09/2013
23.85,2.83,13/09/2013
24.73,2.46,14/09/2013
24.76,2.04,15/09/2013
24.82,2.6,16/09/2013
25.72,2.4,17/09/2013
25.4,2.6,18/09/2013
25.87,2.38,19/09/2013
24.9,2.7,20/09/2013
25.12,3.15,21/09/2013
24.22,4.42,22/09/2013
24.19,3.62,23/09/2013
24.3,1.84,24/09/2013
25.63,1.56,25/09/2013
26,1.7,26/09/2013
24.5,2.7,27/09/2013
24.78,2.53,28/09/2013
25.38,1.95,29/09/2013
25.45,2.04,30/09/2013
25.92,2.12,01/10/2013
25.12,2.8,02/10/2013
25.1,2.77,03/10/2013
24.23,2.65,04/10/2013
24.62,2.16,05/10/2013
24.23,1.96,06/10/2013
25.27,1.59,07/10/2013
24.62,2.07,08/10/2013
25.66,1.39,09/10/2013
24.82,1.53,10/10/2013
25.25,2.16,11/10/2013
24.61,2.62,12/10/2013
24.9,2.38,13/10/2013
24.76,2.09,14/10/2013
25.64,1.32,15/10/2013
25.19,2.07,16/10/2013
25.95,1.55,17/10/2013
24.33,2.11,18/10/2013
25.17,2.2,19/10/2013
24.8,2.58,20/10/2013
25.07,1.63,21/10/2013
25.01,2.09,22/10/2013
25.94,1.59,23/10/2013
24.35,2.63,24/10/2013
25.36,1.8,25/10/2013
25.39,1.53,26/10/2013
25.62,1.63,27/10/2013
25.03,2.39,28/10/2013
25.4,1.88,29/10/2013
26.05,1.8,30/10/2013
25.48,2.23,31/10/2013
25.53,1.91,01/11/2013
25.63,1.57,02/11/2013
25.6,1.57,03/11/2013
24.82,1.54,04/11/2013
24.64,1.53,05/11/2013
26.07,1.45,06/11/2013
25.62,1.31,07/11/2013
25.5,1.52,08/11/2013
25.54,1.73,09/11/2013
26.07,1.38,10/11/2013
26.24,1.91,11/11/2013
25.55,1.86,12/11/2013
24.91,2.74,13/11/2013
25.1,1.9,14/11/2013
24.63,1.58,15/11/2013
25.38,1.43,16/11/2013
25.77,1.84,17/11/2013
25.68,1.56,18/11/2013
24.68,2.62,19/11/2013
25.42,1.31,20/11/2013
24.92,1.54,21/11/2013
25.76,1.89,22/11/2013
24.62,2.95,23/11/2013
24.61,2.34,24/11/2013
24.15,2.41,25/11/2013
25.14,1.58,26/11/2013
25.88,1.65,27/11/2013
26.61,1.48,28/11/2013
27.18,1.36,29/11/2013
26.79,1.97,30/11/2013
26.89,1.66,01/12/2013
25.51,1.9,02/12/2013
24.96,2.05,03/12/2013
24.87,2.54,04/12/2013
25.56,2.45,05/12/2013
25.56,2.61,06/12/2013
25.35,2.45,07/12/2013
25.58,1.7,08/12/2013
24.52,2.37,09/12/2013
24.8,2.53,10/12/2013
24.53,2.7,11/12/2013
24.99,2.1,12/12/2013
24.9,2.13,13/12/2013
24.04,2.15,14/12/2013
22.81,2.93,15/12/2013
21.64,3.52,16/12/2013
20.6,3.71,17/12/2013
21.33,3.05,18/12/2013
21.95,2.8,19/12/2013
24.1,1.87,20/12/2013
25.75,1.42,21/12/2013
26.88,1.34,22/12/2013
26.71,1.54,23/12/2013
26.28,1.7,24/12/2013
26.51,1.34,25/12/2013
26.3,1.73,26/12/2013
27.15,1.3,27/12/2013
26.78,2.02,28/12/2013
26.26,2.16,29/12/2013
26.09,1.64,30/12/2013
25.3,1.63,31/12/2013
25.76,1.5,01/01/2014
25.7,2.05,02/01/2014
24.88,2.1,03/01/2014
24.51,1.76,04/01/2014
25.78,1.01,05/01/2014
24.91,2.4,06/01/2014
24.16,2.38,07/01/2014
24.19,2.09,08/01/2014
24.91,1.84,09/01/2014
24.81,1.95,10/01/2014
24.52,2.14,11/01/2014
24.29,2.27,12/01/2014
24.76,1.81,13/01/2014
25.27,1.37,14/01/2014
26.62,1.6,15/01/2014
26.16,1.59,16/01/2014
26.6,1.59,17/01/2014
26.48,2.26,18/01/2014
26.23,1.91,19/01/2014
26.39,1.73,20/01/2014
26.51,1.74,21/01/2014
26.58,1.9,22/01/2014
26.28,1.95,23/01/2014
25.83,2.22,24/01/2014
26.49,1.79,25/01/2014
25.87,2.3,26/01/2014
26.09,2.32,27/01/2014
26.58,2.51,28/01/2014
26.01,2.45,29/01/2014
25.83,2.62,30/01/2014
25.83,2.78,31/01/2014
25.37,3.46,01/02/2014
25.86,1.77,02/02/2014
26.02,1.45,03/02/2014
26.5,1.81,04/02/2014
26.38,2.45,05/02/2014
24.92,2.71,06/02/2014
25.93,1.84,07/02/2014
26.75,2.34,08/02/2014
26.34,1.88,09/02/2014
26.98,1.81,10/02/2014
26.73,1.97,11/02/2014
26.74,1.64,12/02/2014
26.4,1.52,13/02/2014
26.51,2.33,14/02/2014
25.26,2.14,15/02/2014
24.65,1.34,16/02/2014
26.48,1.57,17/02/2014
26.3,2.09,18/02/2014
27.02,2.31,19/02/2014
27.16,2.23,20/02/2014
27.77,1.73,21/02/2014
27.65,2.38,22/02/2014
27.37,2.2,23/02/2014
26.83,2.63,24/02/2014
26.36,2.48,25/02/2014
26.22,2.2,26/02/2014
26.27,2.38,27/02/2014
26.54,2.87,28/02/2014
25.83,2.25,01/03/2014
26.69,1.52,02/03/2014
26.54,1.13,03/03/2014
26.73,2.2,04/03/2014
26.19,2.37,05/03/2014
26.12,2.3,06/03/2014
26.48,2.03,07/03/2014
26.37,2.75,08/03/2014
26.43,2.8,09/03/2014
25.78,2.52,10/03/2014
26.51,1.95,11/03/2014
26.25,1.65,12/03/2014
26.66,2.03,13/03/2014
26.64,2.18,14/03/2014
26.79,2.02,15/03/2014
26.94,1.95,16/03/2014
26.69,2.48,17/03/2014
26.45,2.81,18/03/2014
27.13,2.1,19/03/2014
27.23,2.2,20/03/2014
27.34,2.62,21/03/2014
26.87,2.77,22/03/2014
26.49,2.85,23/03/2014
25.9,2.66,24/03/2014
26.17,2.66,25/03/2014
25.69,3.02,26/03/2014
25.73,2.78,27/03/2014
26.05,2.49,28/03/2014
25.97,2.66,29/03/2014
25.85,2.22,30/03/2014
26.19,2.25,31/03/2014
26.94,2.41,01/04/2014
26.98,2.43,02/04/2014
27.15,2.24,03/04/2014
26.62,2.28,04/04/2014
26.33,2.64,05/04/2014
26.46,2.22,06/04/2014
26.38,2.63,07/04/2014
25.64,2.17,08/04/2014
26.89,2.22,09/04/2014
26.46,3.16,10/04/2014
26.84,2.62,11/04/2014
26.69,2.71,12/04/2014
26.65,2.43,13/04/2014
25.08,2.18,14/04/2014
26.02,2.15,15/04/2014
26.67,2.5,16/04/2014
26.69,2.16,17/04/2014
26.27,2.67,18/04/2014
26.34,1.71,19/04/2014
26.15,2.18,20/04/2014
26.09,2.16,21/04/2014
26.33,2.26,22/04/2014
26.3,2.23,23/04/2014
25.9,2.05,24/04/2014
26.09,2.19,25/04/2014
26.05,2.62,26/04/2014
27.07,1.65,27/04/2014
25.43,1.95,28/04/2014
26.75,2.19,29/04/2014
25.32,2.2,30/04/2014
26.19,2.07,01/05/2014
26.7,2.31,02/05/2014
27.11,1.27,03/05/2014
27.74,1.26,04/05/2014
25.86,3.17,05/05/2014
26.06,2.2,06/05/2014
25.85,2.33,07/05/2014
25.51,2.12,08/05/2014
26.85,1.59,09/05/2014
25.44,2.3,10/05/2014
26.51,2.05,11/05/2014
26.49,2.06,12/05/2014
26.15,2.3,13/05/2014
24.51,2.65,14/05/2014
25.93,2.02,15/05/2014
25.61,2.41,16/05/2014
26.37,2.27,17/05/2014
26.67,2.23,18/05/2014
26.17,1.89,19/05/2014
26.41,1.47,20/05/2014
26.28,2.7,21/05/2014
26.08,2.02,22/05/2014
26.47,1.98,23/05/2014
25.84,2.33,24/05/2014
27.05,1.68,25/05/2014
26.4,2.6,26/05/2014
25.94,2.7,27/05/2014
25.73,2.65,28/05/2014
25.61,2.32,29/05/2014
26.18,1.91,30/05/2014
26.82,1.96,31/05/2014
25.94,2.44,01/06/2014
25.75,2.48,02/06/2014
26.34,1.72,03/06/2014
26.63,1.88,04/06/2014
25.92,2.45,05/06/2014
26.44,2.11,06/06/2014
26.42,2.29,07/06/2014
25.72,2.24,08/06/2014
25.97,2.22,09/06/2014
25.95,2.31,10/06/2014
26.01,1.72,11/06/2014
25.33,2.48,12/06/2014
25.4,2.56,13/06/2014
25.63,2.98,14/06/2014
26.4,1.99,15/06/2014
26.64,2.66,16/06/2014
25.51,2.52,17/06/2014
24.53,2.52,18/06/2014
26.31,2.1,19/06/2014
26.64,2.82,20/06/2014
26.05,2.88,21/06/2014
25.22,2.63,22/06/2014
25.22,2.7,23/06/2014
25.73,2.74,24/06/2014
25.44,2.65,25/06/2014
25.98,2.25,26/06/2014
25.35,3.13,27/06/2014
25.01,2.85,28/06/2014
25.62,1.6,29/06/2014
25.6,2.03,30/06/2014
25.1,2.3,01/07/2014
25.79,1.8,02/07/2014
25.54,2.46,03/07/2014
24.8,3.09,04/07/2014
24.53,2.84,05/07/2014
24.93,2.61,06/07/2014
24.65,2.72,07/07/2014
25.28,2.25,08/07/2014
24.61,2.16,09/07/2014
25.76,2.38,10/07/2014
25.84,3.06,11/07/2014
25.53,3.16,12/07/2014
25.23,2.58,13/07/2014
26.31,2.62,14/07/2014
24.66,3.88,15/07/2014
24.69,4.1,16/07/2014
24.58,4.02,17/07/2014
24.73,3.34,18/07/2014
25.2,3.32,19/07/2014
25.42,3.26,20/07/2014
24.92,3.09,21/07/2014
25.09,3.62,22/07/2014
24.73,3.34,23/07/2014
24.65,3.38,24/07/2014
24.55,2.95,25/07/2014
25.25,2.27,26/07/2014
25.25,3.69,27/07/2014
25.03,2.96,28/07/2014
24.76,2.27,29/07/2014
24.89,2.84,30/07/2014
25.23,3.81,31/07/2014
24.51,3.73,01/08/2014
24.63,3.29,02/08/2014
24.4,2.49,03/08/2014
24.5,2.41,04/08/2014
24,3.91,05/08/2014
24.35,3.15,06/08/2014
24.8,3.09,07/08/2014
24.39,3.11,08/08/2014
24.85,2.81,09/08/2014
25.51,2.22,10/08/2014
25.2,3.55,11/08/2014
24.31,3.71,12/08/2014
24.67,3.16,13/08/2014
25.37,2.5,14/08/2014
25.07,3.86,15/08/2014
24.43,3.13,16/08/2014
24.83,2.05,17/08/2014
24.06,2.85,18/08/2014
24.26,2.85,19/08/2014
24.19,2.5,20/08/2014
24.25,2.64,21/08/2014
24.41,3.12,22/08/2014
25.51,1.73,23/08/2014
26.05,1.73,24/08/2014
24.91,3.32,25/08/2014
23.84,3.76,26/08/2014
25.57,1.41,27/08/2014
25.08,3.07,28/08/2014
24.3,3.78,29/08/2014
25.12,3.39,30/08/2014
25.29,3.67,31/08/2014
25.05,3.55,01/09/2014
24.85,3.78,02/09/2014
24.13,2.36,03/09/2014
25.17,2.82,04/09/2014
24.33,3.23,05/09/2014
24.87,1.5,06/09/2014
25.34,1.59,07/09/2014
24.96,3.07,08/09/2014
24.66,2.31,09/09/2014
24.93,2.05,10/09/2014
24.47,2.12,11/09/2014
25.1,2.7,12/09/2014
