T2M,WS10M,date
22.55,2.05,2013-01-01
23.68,1.71,2013-01-02
24.98,1.76,2013-01-03
25.13,1.7,2013-01-04
25.6,1.69,2013-01-05
24.62,2.02,2013-01-06
23.11,2.25,2013-01-07
23.34,2.45,2013-01-08
24.25,2.27,2013-01-09
23.55,2.06,2013-01-10
24.2,2.45,2013-01-11
24.73,2.44,2013-01-12
24.64,2.95,2013-01-13
26.29,2.05,2013-01-14
28.63,1.84,2013-01-15
28.94,1.6,2013-01-16
27.32,1.73,2013-01-17
26.58,2.41,2013-01-18
26.9,2.6,2013-01-19
28.18,2.38,2013-01-20
28.91,2.09,2013-01-21
29.58,1.7,2013-01-22
29.3,2.18,2013-01-23
28.29,3.52,2013-01-24
27.68,3.54,2013-01-25
28.33,3.9,2013-01-26
27.58,3.7,2013-01-27
27.51,2.52,2013-01-28
25.33,2.27,2013-01-29
24.43,3.32,2013-01-30
22.51,3.69,2013-01-31
22.4,2.48,2013-02-01
23.13,2.83,2013-02-02
27.45,2.19,2013-02-03
28.48,1.77,2013-02-04
28.94,2.58,2013-02-05
27.12,2.91,2013-02-06
27.62,1.95,2013-02-07
28.55,1.96,2013-02-08
28.66,2.67,2013-02-09
28.98,1.8,2013-02-10
27.84,2.54,2013-02-11
28.01,2.44,2013-02-12
28.82,2.59,2013-02-13
29.12,2.62,2013-02-14
28.49,2.44,2013-02-15
29.18,2.27,2013-02-16
28.31,2.62,2013-02-17
28.26,3.15,2013-02-18
28.83,2.77,2013-02-19
29.72,2.52,2013-02-20
30.94,2.23,2013-02-21
32.1,1.95,2013-02-22
31.13,2.1,2013-02-23
31.8,2.9,2013-02-24
32.19,2.37,2013-02-25
31.25,2.81,2013-02-26
31.22,2.63,2013-02-27
31.73,2.48,2013-02-28
31.05,2.93,2013-03-01
31.9,2.66,2013-03-02
32.35,3.62,2013-03-03
31.45,4.04,2013-03-04
30.49,4.1,2013-03-05
32.49,3.34,2013-03-06
32.4,4.41,2013-03-07
32.29,3.63,2013-03-08
31.62,3.6,2013-03-09
31.01,3.69,2013-03-10
30.76,2.88,2013-03-11
31.51,3.73,2013-03-12
31.53,4.36,2013-03-13
31.65,3.68,2013-03-14
31.38,3.59,2013-03-15
30.84,5.02,2013-03-16
31.5,3.57,2013-03-17
31.46,3.3,2013-03-18
33.3,1.98,2013-03-19
32.79,3.11,2013-03-20
31.4,4.36,2013-03-21
29.65,4.37,2013-03-22
29.82,3.3,2013-03-23
31.08,3.78,2013-03-24
30.72,4.2,2013-03-25
32.08,3.62,2013-03-26
31.43,4.88,2013-03-27
30.22,4.27,2013-03-28
30.72,3.91,2013-03-29
30.86,5.59,2013-03-30
29.93,4.82,2013-03-31
32.29,1.94,2013-04-01
31.47,4.01,2013-04-02
31.2,4.1,2013-04-03
31.8,3.67,2013-04-04
32.09,3.48,2013-04-05
32.57,4.97,2013-04-06
30.34,5.2,2013-04-07
30.54,4.11,2013-04-08
29.96,3.3,2013-04-09
30.69,4.31,2013-04-10
30.87,3.77,2013-04-11
31.48,3.45,2013-04-12
30.89,2.15,2013-04-13
29.94,2.21,2013-04-14
31.6,2.74,2013-04-15
30.62,3.96,2013-04-16
31.68,4.02,2013-04-17
30.75,4.64,2013-04-18
30.64,4.95,2013-04-19
30.11,3.64,2013-04-20
30.79,3.85,2013-04-21
29.84,2.94,2013-04-22
30.02,2.43,2013-04-23
30.86,2.15,2013-04-24
31.05,3.32,2013-04-25
29.91,2.59,2013-04-26
27.98,4.01,2013-04-27
28.36,3.31,2013-04-28
31.46,2.34,2013-04-29
31.11,2.84,2013-04-30
29.07,3.41,2013-05-01
28.05,3.17,2013-05-02
28.9,2.23,2013-05-03
28.52,2.98,2013-05-04
28.68,2.57,2013-05-05
27.94,2.27,2013-05-06
28.91,2.12,2013-05-07
28.54,3.02,2013-05-08
29.14,3.35,2013-05-09
28.44,3.3,2013-05-10
28.08,3.08,2013-05-11
27.55,2.12,2013-05-12
30.33,2.61,2013-05-13
31.21,2.77,2013-05-14
31.07,3.13,2013-05-15
30.8,2.22,2013-05-16
31.01,2.77,2013-05-17
30.41,2.38,2013-05-18
30.08,2.11,2013-05-19
27.35,2.51,2013-05-20
28.37,2.6,2013-05-21
29.66,2.82,2013-05-22
29.5,3.67,2013-05-23
29.19,3.34,2013-05-24
28.19,2.12,2013-05-25
28.09,1.89,2013-05-26
