T2M,WS10M,date
23.44,2.33,2013-01-01
24.93,1.77,2013-01-02
25.04,1.95,2013-01-03
27.12,1.54,2013-01-04
26.56,2.3,2013-01-05
26.03,2.25,2013-01-06
24.92,1.55,2013-01-07
24.12,2.05,2013-01-08
24.66,2.01,2013-01-09
25.54,1.95,2013-01-10
25.48,1.79,2013-01-11
25.61,2.04,2013-01-12
25.32,2.24,2013-01-13
26.76,1.96,2013-01-14
27.19,2.15,2013-01-15
27.23,1.91,2013-01-16
27.51,2.03,2013-01-17
26.82,2.41,2013-01-18
26.98,1.66,2013-01-19
27.06,1.74,2013-01-20
26.9,1.8,2013-01-21
27.17,2.46,2013-01-22
26.51,2.41,2013-01-23
26.69,2.28,2013-01-24
26.34,2.39,2013-01-25
26.27,2.57,2013-01-26
26.79,1.98,2013-01-27
26.54,1.78,2013-01-28
27.33,1.14,2013-01-29
25.05,2.2,2013-01-30
23.09,3.01,2013-01-31
23.58,2.96,2013-02-01
24.99,2.65,2013-02-02
26.76,1.87,2013-02-03
27.58,1.58,2013-02-04
28.05,1.48,2013-02-05
27.43,2.07,2013-02-06
26.3,1.98,2013-02-07
27.18,1.45,2013-02-08
26.33,2.41,2013-02-09
25.98,2.58,2013-02-10
26.22,2.55,2013-02-11
26.15,2.49,2013-02-12
26.35,2.41,2013-02-13
26.33,2.37,2013-02-14
26.69,2.01,2013-02-15
26.65,1.89,2013-02-16
26.51,2.8,2013-02-17
26.51,2.48,2013-02-18
26.76,2.62,2013-02-19
26.54,2.39,2013-02-20
27.0,2.2,2013-02-21
27.27,2.34,2013-02-22
26.2,2.14,2013-02-23
27.73,2.04,2013-02-24
26.98,2.89,2013-02-25
26.7,2.43,2013-02-26
26.73,2.1,2013-02-27
27.52,2.53,2013-02-28
27.69,2.33,2013-03-01
26.61,2.23,2013-03-02
27.44,2.54,2013-03-03
26.46,3.09,2013-03-04
27.15,2.19,2013-03-05
27.24,2.81,2013-03-06
27.15,2.45,2013-03-07
26.4,1.81,2013-03-08
26.8,3.16,2013-03-09
26.84,3.05,2013-03-10
26.65,2.63,2013-03-11
26.9,2.88,2013-03-12
26.48,1.91,2013-03-13
26.78,1.91,2013-03-14
26.47,2.72,2013-03-15
26.57,2.1,2013-03-16
26.88,2.98,2013-03-17
27.54,1.55,2013-03-18
26.7,1.81,2013-03-19
27.17,2.05,2013-03-20
26.62,3.21,2013-03-21
26.79,2.8,2013-03-22
26.05,2.52,2013-03-23
26.11,2.59,2013-03-24
26.19,2.16,2013-03-25
26.88,2.93,2013-03-26
25.87,2.26,2013-03-27
26.01,2.14,2013-03-28
26.51,1.95,2013-03-29
25.9,2.72,2013-03-30
27.25,1.2,2013-03-31
27.46,1.79,2013-04-01
26.3,2.55,2013-04-02
27.21,1.89,2013-04-03
27.58,2.33,2013-04-04
26.8,2.84,2013-04-05
26.98,2.7,2013-04-06
26.34,2.83,2013-04-07
26.27,2.76,2013-04-08
26.91,2.88,2013-04-09
26.69,2.38,2013-04-10
27.48,2.02,2013-04-11
27.0,2.62,2013-04-12
26.78,2.58,2013-04-13
27.81,1.55,2013-04-14
25.89,3.06,2013-04-15
26.8,1.68,2013-04-16
25.75,2.3,2013-04-17
25.99,2.52,2013-04-18
26.15,2.2,2013-04-19
27.28,1.8,2013-04-20
27.09,1.95,2013-04-21
26.78,2.1,2013-04-22
27.15,1.95,2013-04-23
26.44,1.33,2013-04-24
27.34,1.21,2013-04-25
26.12,2.37,2013-04-26
26.09,2.02,2013-04-27
26.73,1.82,2013-04-28
26.76,2.34,2013-04-29
27.24,2.26,2013-04-30
26.38,2.41,2013-05-01
27.57,1.55,2013-05-02
26.44,2.52,2013-05-03
26.31,2.7,2013-05-04
26.63,2.74,2013-05-05
26.26,2.35,2013-05-06
25.8,2.55,2013-05-07
25.87,2.8,2013-05-08
26.8,2.23,2013-05-09
25.92,3.27,2013-05-10
25.46,2.46,2013-05-11
26.47,1.55,2013-05-12
26.15,1.56,2013-05-13
25.77,2.41,2013-05-14
26.39,2.15,2013-05-15
26.58,2.27,2013-05-16
26.69,2.39,2013-05-17
26.25,2.59,2013-05-18
25.96,2.22,2013-05-19
26.18,2.89,2013-05-20
25.88,1.95,2013-05-21
26.48,2.38,2013-05-22
26.49,2.59,2013-05-23
26.49,2.13,2013-05-24
26.33,2.33,2013-05-25
26.14,2.44,2013-05-26
25.9,2.93,2013-05-27
25.94,2.57,2013-05-28
25.23,2.2,2013-05-29
25.62,2.0,2013-05-30
25.83,1.93,2013-05-31
26.09,2.22,2013-06-01
25.71,2.52,2013-06-02
25.44,2.8,2013-06-03
24.69,2.8,2013-06-04
25.22,2.31,2013-06-05
25.63,3.12,2013-06-06
25.69,2.67,2013-06-07
25.9,2.81,2013-06-08
25.59,3.23,2013-06-09
25.43,2.4,2013-06-10
25.62,2.38,2013-06-11
25.29,2.68,2013-06-12
25.58,2.44,2013-06-13
25.8,3.09,2013-06-14
25.56,2.72,2013-06-15
25.01,2.71,2013-06-16
25.75,3.05,2013-06-17
24.9,2.95,2013-06-18
24.87,3.15,2013-06-19
24.87,2.82,2013-06-20
25.71,2.81,2013-06-21
25.42,3.12,2013-06-22
25.25,3.95,2013-06-23
