T2M,WS10M,date
19.26,4.48,2013-01-01
19.95,4.46,2013-01-02
21.63,3.82,2013-01-03
22.16,3.71,2013-01-04
22.9,3.38,2013-01-05
21.49,4.27,2013-01-06
20.23,4.19,2013-01-07
20.37,4.28,2013-01-08
20.29,4.66,2013-01-09
19.73,4.66,2013-01-10
19.53,4.44,2013-01-11
20.11,4.42,2013-01-12
20.5,4.77,2013-01-13
21.98,3.52,2013-01-14
23.73,3.73,2013-01-15
24.78,4.23,2013-01-16
24.32,4.28,2013-01-17
25.11,3.13,2013-01-18
26.23,1.78,2013-01-19
27.23,2.19,2013-01-20
28.65,2.18,2013-01-21
27.88,3.0,2013-01-22
28.61,2.42,2013-01-23
28.93,2.5,2013-01-24
28.69,2.38,2013-01-25
28.68,2.59,2013-01-26
26.26,2.4,2013-01-27
25.61,3.68,2013-01-28
23.41,4.44,2013-01-29
22.24,5.38,2013-01-30
20.5,6.62,2013-01-31
19.79,5.94,2013-02-01
20.23,4.18,2013-02-02
24.05,2.65,2013-02-03
25.85,3.09,2013-02-04
25.63,4.81,2013-02-05
22.55,5.13,2013-02-06
23.12,4.2,2013-02-07
24.37,4.13,2013-02-08
24.88,4.07,2013-02-09
25.62,4.31,2013-02-10
26.01,4.38,2013-02-11
26.71,3.08,2013-02-12
26.99,2.45,2013-02-13
27.23,2.8,2013-02-14
25.28,3.85,2013-02-15
25.51,4.31,2013-02-16
25.91,4.28,2013-02-17
25.93,2.85,2013-02-18
27.52,2.28,2013-02-19
28.44,2.72,2013-02-20
30.05,2.18,2013-02-21
29.17,3.84,2013-02-22
28.08,4.91,2013-02-23
28.54,5.0,2013-02-24
28.55,3.65,2013-02-25
29.74,2.52,2013-02-26
29.6,2.7,2013-02-27
28.98,3.87,2013-02-28
28.98,3.07,2013-03-01
30.31,2.62,2013-03-02
29.94,2.59,2013-03-03
30.45,3.1,2013-03-04
29.76,2.93,2013-03-05
30.62,2.77,2013-03-06
30.19,2.47,2013-03-07
30.83,3.12,2013-03-08
29.82,2.64,2013-03-09
29.36,3.05,2013-03-10
29.82,2.84,2013-03-11
30.2,2.66,2013-03-12
30.62,2.3,2013-03-13
30.69,2.34,2013-03-14
30.46,3.24,2013-03-15
30.48,3.47,2013-03-16
29.74,2.9,2013-03-17
29.51,3.53,2013-03-18
29.81,3.79,2013-03-19
29.78,2.62,2013-03-20
30.14,2.38,2013-03-21
30.16,2.81,2013-03-22
30.38,2.93,2013-03-23
30.07,2.69,2013-03-24
31.07,2.58,2013-03-25
30.71,2.29,2013-03-26
31.05,3.73,2013-03-27
31.05,2.85,2013-03-28
31.21,3.7,2013-03-29
31.58,5.34,2013-03-30
30.06,3.85,2013-03-31
31.96,2.51,2013-04-01
31.16,3.25,2013-04-02
31.42,3.66,2013-04-03
31.94,2.73,2013-04-04
32.42,2.03,2013-04-05
31.76,2.3,2013-04-06
31.43,4.01,2013-04-07
30.9,4.33,2013-04-08
31.7,3.93,2013-04-09
31.52,3.37,2013-04-10
31.12,2.98,2013-04-11
31.65,3.46,2013-04-12
31.12,4.02,2013-04-13
30.61,3.17,2013-04-14
31.37,3.31,2013-04-15
30.08,2.74,2013-04-16
30.78,2.11,2013-04-17
29.81,2.93,2013-04-18
30.18,2.55,2013-04-19
31.14,2.68,2013-04-20
30.37,2.69,2013-04-21
31.47,2.5,2013-04-22
29.97,3.06,2013-04-23
30.18,4.05,2013-04-24
31.33,3.54,2013-04-25
32.02,3.32,2013-04-26
31.05,3.35,2013-04-27
30.3,4.24,2013-04-28
30.93,3.46,2013-04-29
32.58,3.9,2013-04-30
31.39,3.97,2013-05-01
30.41,3.43,2013-05-02
31.47,4.09,2013-05-03
30.82,4.27,2013-05-04
