T2M,WS10M,date
24.83,2.39,2013-01-01
24.76,2.33,2013-01-02
26.06,1.7,2013-01-03
26.84,2.11,2013-01-04
26.68,2.92,2013-01-05
26.95,2.66,2013-01-06
26.65,2.27,2013-01-07
26.37,1.84,2013-01-08
24.4,2.36,2013-01-09
24.26,2.41,2013-01-10
24.55,2.11,2013-01-11
25.65,1.91,2013-01-12
25.83,1.85,2013-01-13
26.81,2.05,2013-01-14
27.19,2.45,2013-01-15
27.09,2.44,2013-01-16
27.11,2.73,2013-01-17
26.7,2.59,2013-01-18
26.79,2.32,2013-01-19
26.65,1.83,2013-01-20
26.97,2.08,2013-01-21
26.98,2.59,2013-01-22
27.14,2.95,2013-01-23
26.86,2.59,2013-01-24
26.92,2.86,2013-01-25
27.1,3.05,2013-01-26
27.2,3.05,2013-01-27
26.61,1.72,2013-01-28
27.03,1.9,2013-01-29
26.98,1.71,2013-01-30
23.75,3.23,2013-01-31
22.73,3.82,2013-02-01
24.13,1.98,2013-02-02
25.98,1.53,2013-02-03
27.29,1.83,2013-02-04
27.38,1.92,2013-02-05
27.4,2.16,2013-02-06
27.19,1.97,2013-02-07
27.12,2.92,2013-02-08
26.53,2.61,2013-02-09
26.43,2.97,2013-02-10
26.68,2.54,2013-02-11
26.79,2.91,2013-02-12
26.88,2.8,2013-02-13
26.88,2.78,2013-02-14
26.87,2.43,2013-02-15
27.06,2.22,2013-02-16
27.13,3.58,2013-02-17
27.21,2.61,2013-02-18
26.82,2.91,2013-02-19
26.31,2.65,2013-02-20
27.15,1.88,2013-02-21
27.45,2.27,2013-02-22
27.29,2.88,2013-02-23
27.48,3.23,2013-02-24
27.33,3.02,2013-02-25
26.81,2.54,2013-02-26
26.95,2.31,2013-02-27
26.98,2.52,2013-02-28
27.26,2.52,2013-03-01
26.95,2.77,2013-03-02
27.69,2.77,2013-03-03
27.21,3.44,2013-03-04
27.59,2.8,2013-03-05
27.87,3.03,2013-03-06
28.12,2.84,2013-03-07
27.42,2.8,2013-03-08
27.06,3.72,2013-03-09
27.36,3.16,2013-03-10
27.16,2.74,2013-03-11
27.32,2.91,2013-03-12
27.4,2.36,2013-03-13
27.41,2.38,2013-03-14
27.16,3.01,2013-03-15
27.14,2.27,2013-03-16
26.9,3.19,2013-03-17
27.83,1.91,2013-03-18
26.74,2.74,2013-03-19
27.95,2.07,2013-03-20
27.31,3.52,2013-03-21
27.21,2.6,2013-03-22
26.79,2.92,2013-03-23
26.76,2.69,2013-03-24
27.18,2.25,2013-03-25
27.21,2.83,2013-03-26
26.86,2.72,2013-03-27
26.24,2.23,2013-03-28
26.87,1.96,2013-03-29
26.61,2.86,2013-03-30
27.68,1.79,2013-03-31
27.47,2.11,2013-04-01
26.67,2.52,2013-04-02
27.48,2.08,2013-04-03
27.46,2.48,2013-04-04
27.77,2.8,2013-04-05
27.61,2.62,2013-04-06
27.19,2.92,2013-04-07
26.97,3.17,2013-04-08
26.9,2.53,2013-04-09
27.12,1.98,2013-04-10
27.6,1.94,2013-04-11
27.76,2.55,2013-04-12
27.33,2.47,2013-04-13
27.12,2.5,2013-04-14
26.73,2.7,2013-04-15
26.54,2.21,2013-04-16
26.65,2.52,2013-04-17
26.82,2.79,2013-04-18
26.73,2.57,2013-04-19
27.22,2.01,2013-04-20
27.5,1.96,2013-04-21
26.76,2.04,2013-04-22
26.59,2.24,2013-04-23
27.27,1.56,2013-04-24
27.43,1.64,2013-04-25
26.4,2.24,2013-04-26
26.75,2.69,2013-04-27
27.12,1.65,2013-04-28
27.02,1.99,2013-04-29
27.08,2.2,2013-04-30
26.28,2.29,2013-05-01
27.21,1.59,2013-05-02
27.11,2.73,2013-05-03
27.05,2.46,2013-05-04
26.82,2.7,2013-05-05
26.76,2.45,2013-05-06
26.22,2.77,2013-05-07
26.84,2.89,2013-05-08
27.13,2.27,2013-05-09
26.49,3.21,2013-05-10
25.87,2.42,2013-05-11
26.47,1.55,2013-05-12
26.01,2.13,2013-05-13
26.12,2.33,2013-05-14
25.84,1.88,2013-05-15
26.78,2.18,2013-05-16
26.44,2.48,2013-05-17
26.04,2.44,2013-05-18
26.55,1.75,2013-05-19
26.42,2.87,2013-05-20
26.44,2.21,2013-05-21
26.43,2.51,2013-05-22
26.6,2.57,2013-05-23
27.0,2.04,2013-05-24
26.8,2.55,2013-05-25
26.48,2.48,2013-05-26
25.9,2.7,2013-05-27
25.86,2.67,2013-05-28
25.95,2.08,2013-05-29
25.44,2.04,2013-05-30
26.29,1.9,2013-05-31
26.37,2.34,2013-06-01
25.96,3.12,2013-06-02
25.37,2.87,2013-06-03
25.22,2.84,2013-06-04
25.21,2.41,2013-06-05
25.3,2.81,2013-06-06
26.23,2.87,2013-06-07
26.07,2.76,2013-06-08
26.06,3.27,2013-06-09
25.94,2.08,2013-06-10
25.74,2.48,2013-06-11
25.46,3.03,2013-06-12
25.5,3.09,2013-06-13
26.02,3.3,2013-06-14
26.18,3.09,2013-06-15
25.81,3.13,2013-06-16
25.55,3.03,2013-06-17
25.72,3.51,2013-06-18
25.57,3.67,2013-06-19
25.7,3.52,2013-06-20
25.68,3.17,2013-06-21
25.69,3.13,2013-06-22
25.65,3.47,2013-06-23
25.29,3.09,2013-06-24
25.73,2.52,2013-06-25
25.13,2.93,2013-06-26
25.1,3.49,2013-06-27
24.63,3.12,2013-06-28
25.41,2.28,2013-06-29
25.19,3.07,2013-06-30
25.17,2.98,2013-07-01
25.27,3.29,2013-07-02
24.73,4.01,2013-07-03
24.5,3.48,2013-07-04
24.78,4.27,2013-07-05
24.56,3.23,2013-07-06
24.64,3.23,2013-07-07
24.45,3.05,2013-07-08
24.83,3.02,2013-07-09
24.84,3.92,2013-07-10
24.54,4.07,2013-07-11
24.99,3.22,2013-07-12
24.73,2.88,2013-07-13
24.64,3.04,2013-07-14
24.86,2.41,2013-07-15
25.28,2.97,2013-07-16
24.99,2.94,2013-07-17
24.87,3.54,2013-07-18
24.54,3.31,2013-07-19
24.62,3.52,2013-07-20
24.76,3.52,2013-07-21
24.74,3.07,2013-07-22
24.26,3.63,2013-07-23
24.32,4.24,2013-07-24
24.4,2.91,2013-07-25
24.59,3.41,2013-07-26
24.76,3.66,2013-07-27
24.58,4.03,2013-07-28
24.42,3.55,2013-07-29
24.82,2.53,2013-07-30
24.72,3.27,2013-07-31
24.58,3.7,2013-08-01
24.33,3.45,2013-08-02
24.55,3.02,2013-08-03
24.58,3.49,2013-08-04
24.58,3.59,2013-08-05
24.65,3.68,2013-08-06
24.31,4.13,2013-08-07
24.53,3.73,2013-08-08
24.4,3.09,2013-08-09
24.65,3.06,2013-08-10
24.37,3.21,2013-08-11
24.43,3.41,2013-08-12
24.44,2.95,2013-08-13
23.72,3.27,2013-08-14
24.17,4.05,2013-08-15
24.4,3.15,2013-08-16
24.63,3.3,2013-08-17
24.93,3.03,2013-08-18
25.06,2.79,2013-08-19
25.09,3.48,2013-08-20
24.9,3.68,2013-08-21
24.94,3.21,2013-08-22
25.11,3.38,2013-08-23
24.71,3.41,2013-08-24
24.98,3.3,2013-08-25
25.3,2.91,2013-08-26
24.56,2.32,2013-08-27
24.76,3.23,2013-08-28
24.57,3.55,2013-08-29
24.73,3.89,2013-08-30
24.65,3.77,2013-08-31
24.34,3.77,2013-09-01
24.62,3.23,2013-09-02
24.81,2.26,2013-09-03
24.62,3.05,2013-09-04
24.98,3.77,2013-09-05
25.01,3.05,2013-09-06
24.84,3.05,2013-09-07
24.81,3.1,2013-09-08
24.24,3.38,2013-09-09
24.92,3.3,2013-09-10
24.94,3.3,2013-09-11
25.0,3.22,2013-09-12
24.62,3.3,2013-09-13
24.69,2.88,2013-09-14
24.97,2.48,2013-09-15
25.33,2.7,2013-09-16
25.49,2.89,2013-09-17
25.44,2.73,2013-09-18
25.72,3.05,2013-09-19
25.3,3.73,2013-09-20
25.3,3.73,2013-09-21
25.05,4.07,2013-09-22
24.69,4.29,2013-09-23
25.28,3.05,2013-09-24
25.5,2.73,2013-09-25
25.17,2.96,2013-09-26
24.5,3.45,2013-09-27
25.23,2.78,2013-09-28
25.05,2.59,2013-09-29
25.24,2.75,2013-09-30
