T2M,WS10M,date
20.67,4.91,2013-01-01
21.12,5.05,2013-01-02
22.72,3.45,2013-01-03
23.98,2.38,2013-01-04
25.82,1.48,2013-01-05
24.7,2.37,2013-01-06
22.05,4.38,2013-01-07
21.65,3.85,2013-01-08
21.87,4.92,2013-01-09
21.56,4.39,2013-01-10
21.83,4.98,2013-01-11
21.92,4.33,2013-01-12
22.3,5.16,2013-01-13
24.04,2.7,2013-01-14
25.94,1.53,2013-01-15
26.5,1.74,2013-01-16
26.48,1.49,2013-01-17
26.01,1.67,2013-01-18
26.94,2.48,2013-01-19
26.58,2.05,2013-01-20
27.63,1.58,2013-01-21
27.91,1.77,2013-01-22
27.63,2.95,2013-01-23
26.88,3.03,2013-01-24
26.71,3.14,2013-01-25
26.77,3.38,2013-01-26
26.63,3.35,2013-01-27
26.71,1.91,2013-01-28
25.83,2.83,2013-01-29
24.12,3.48,2013-01-30
21.67,6.59,2013-01-31
21.26,6.79,2013-02-01
22.67,4.22,2013-02-02
25.87,1.88,2013-02-03
27.12,1.77,2013-02-04
28.04,1.28,2013-02-05
26.11,3.52,2013-02-06
25.46,3.41,2013-02-07
26.05,2.16,2013-02-08
25.51,2.06,2013-02-09
25.93,1.77,2013-02-10
26.15,1.87,2013-02-11
26.19,2.66,2013-02-12
27.48,2.87,2013-02-13
27.17,3.18,2013-02-14
26.73,2.59,2013-02-15
27.82,2.23,2013-02-16
27.59,2.24,2013-02-17
26.89,2.7,2013-02-18
27.13,2.74,2013-02-19
27.26,2.9,2013-02-20
28.01,2.73,2013-02-21
28.37,3.16,2013-02-22
28.0,2.34,2013-02-23
28.56,2.47,2013-02-24
27.37,3.28,2013-02-25
27.65,3.45,2013-02-26
27.9,3.12,2013-02-27
27.65,3.43,2013-02-28
27.87,3.4,2013-03-01
27.74,3.8,2013-03-02
28.23,3.75,2013-03-03
27.51,4.0,2013-03-04
28.45,3.76,2013-03-05
28.4,4.52,2013-03-06
28.19,4.41,2013-03-07
27.94,4.65,2013-03-08
27.69,4.39,2013-03-09
27.78,4.05,2013-03-10
27.21,4.62,2013-03-11
27.6,3.95,2013-03-12
27.19,3.77,2013-03-13
27.9,3.87,2013-03-14
27.78,4.25,2013-03-15
27.62,4.45,2013-03-16
26.62,4.22,2013-03-17
27.08,2.74,2013-03-18
27.75,3.36,2013-03-19
28.12,3.36,2013-03-20
27.14,4.43,2013-03-21
27.06,3.99,2013-03-22
26.42,4.36,2013-03-23
27.48,3.7,2013-03-24
26.7,4.01,2013-03-25
27.96,4.45,2013-03-26
26.8,4.27,2013-03-27
26.98,3.26,2013-03-28
27.1,3.51,2013-03-29
26.59,4.27,2013-03-30
26.8,3.73,2013-03-31
27.17,3.13,2013-04-01
26.6,3.84,2013-04-02
27.23,3.48,2013-04-03
28.12,3.41,2013-04-04
28.78,4.22,2013-04-05
28.48,4.9,2013-04-06
27.22,4.93,2013-04-07
26.69,3.81,2013-04-08
27.3,3.49,2013-04-09
27.89,4.39,2013-04-10
28.04,3.3,2013-04-11
28.21,4.18,2013-04-12
27.44,3.66,2013-04-13
28.12,2.22,2013-04-14
27.59,4.08,2013-04-15
27.65,3.99,2013-04-16
27.53,4.39,2013-04-17
27.28,3.91,2013-04-18
27.33,4.16,2013-04-19
27.69,2.94,2013-04-20
27.18,2.77,2013-04-21
27.19,2.82,2013-04-22
26.49,2.23,2013-04-23
26.87,2.32,2013-04-24
28.73,1.53,2013-04-25
28.16,3.6,2013-04-26
27.08,3.83,2013-04-27
26.89,2.7,2013-04-28
28.3,2.02,2013-04-29
27.63,2.95,2013-04-30
26.53,3.08,2013-05-01
27.07,2.02,2013-05-02
27.52,3.1,2013-05-03
26.79,3.69,2013-05-04
27.48,3.19,2013-05-05
27.62,3.22,2013-05-06
26.82,3.24,2013-05-07
26.84,3.53,2013-05-08
27.37,2.7,2013-05-09
26.29,3.86,2013-05-10
26.7,2.73,2013-05-11
26.89,1.62,2013-05-12
27.55,1.43,2013-05-13
26.58,2.38,2013-05-14
26.74,2.7,2013-05-15
27.0,2.38,2013-05-16
27.49,2.24,2013-05-17
27.13,2.75,2013-05-18
27.1,3.27,2013-05-19
26.48,3.69,2013-05-20
26.75,3.24,2013-05-21
26.51,3.26,2013-05-22
27.1,3.3,2013-05-23
