T2M,WS10M,date
23.3,2.37,2013-01-01
24.41,2.41,2013-01-02
25.58,2.05,2013-01-03
26.38,1.68,2013-01-04
26.07,1.81,2013-01-05
25.73,1.72,2013-01-06
24.26,2.37,2013-01-07
24.76,2.25,2013-01-08
25.12,2.32,2013-01-09
24.97,2.03,2013-01-10
24.41,2.84,2013-01-11
25.18,2.91,2013-01-12
24.75,3.23,2013-01-13
26.65,2.21,2013-01-14
28.13,2.6,2013-01-15
28.68,2.09,2013-01-16
28.88,1.81,2013-01-17
27.68,2.17,2013-01-18
27.43,2.09,2013-01-19
28.48,1.82,2013-01-20
29.73,1.84,2013-01-21
30.62,1.61,2013-01-22
30.3,1.62,2013-01-23
28.83,2.93,2013-01-24
28.2,2.97,2013-01-25
28.68,3.12,2013-01-26
27.98,3.06,2013-01-27
27.94,2.14,2013-01-28
26.23,2.19,2013-01-29
24.98,2.64,2013-01-30
23.13,3.54,2013-01-31
22.35,2.89,2013-02-01
22.88,2.48,2013-02-02
27.08,2.7,2013-02-03
28.64,1.98,2013-02-04
29.22,2.48,2013-02-05
26.77,3.4,2013-02-06
28.28,1.98,2013-02-07
28.67,2.38,2013-02-08
28.36,3.3,2013-02-09
30.26,2.13,2013-02-10
28.66,2.62,2013-02-11
29.26,2.16,2013-02-12
29.34,2.2,2013-02-13
29.74,2.23,2013-02-14
29.19,2.07,2013-02-15
29.4,2.08,2013-02-16
29.08,2.38,2013-02-17
28.82,2.53,2013-02-18
29.26,2.2,2013-02-19
29.05,2.56,2013-02-20
31.1,2.2,2013-02-21
32.0,2.48,2013-02-22
30.94,3.0,2013-02-23
30.96,3.09,2013-02-24
31.18,2.91,2013-02-25
31.66,2.59,2013-02-26
31.73,2.4,2013-02-27
32.13,1.86,2013-02-28
31.64,2.13,2013-03-01
31.92,1.76,2013-03-02
32.73,2.84,2013-03-03
31.51,3.2,2013-03-04
31.4,3.37,2013-03-05
32.45,2.12,2013-03-06
32.79,2.79,2013-03-07
31.58,2.34,2013-03-08
32.07,2.84,2013-03-09
31.34,2.88,2013-03-10
30.82,2.73,2013-03-11
31.4,2.79,2013-03-12
31.82,3.13,2013-03-13
31.49,2.1,2013-03-14
32.5,3.05,2013-03-15
31.65,3.81,2013-03-16
32.3,2.73,2013-03-17
32.05,2.92,2013-03-18
32.75,2.11,2013-03-19
33.3,2.8,2013-03-20
32.4,2.74,2013-03-21
31.32,3.07,2013-03-22
30.41,2.85,2013-03-23
31.71,2.64,2013-03-24
31.84,2.99,2013-03-25
32.71,2.5,2013-03-26
31.97,3.05,2013-03-27
31.02,2.73,2013-03-28
29.74,3.25,2013-03-29
29.78,3.77,2013-03-30
29.29,4.2,2013-03-31
31.37,3.82,2013-04-01
31.57,3.42,2013-04-02
31.16,2.78,2013-04-03
32.01,2.9,2013-04-04
32.15,2.78,2013-04-05
32.93,3.27,2013-04-06
29.8,3.72,2013-04-07
31.26,2.45,2013-04-08
30.44,2.64,2013-04-09
30.71,3.22,2013-04-10
30.95,2.73,2013-04-11
31.62,2.59,2013-04-12
30.02,2.5,2013-04-13
29.61,1.83,2013-04-14
31.73,2.34,2013-04-15
31.3,3.47,2013-04-16
31.93,3.38,2013-04-17
31.5,3.59,2013-04-18
32.08,3.34,2013-04-19
30.89,3.27,2013-04-20
30.91,2.64,2013-04-21
29.58,2.07,2013-04-22
29.01,2.52,2013-04-23
29.82,2.01,2013-04-24
31.13,2.27,2013-04-25
30.41,2.42,2013-04-26
27.52,2.95,2013-04-27
28.34,1.97,2013-04-28
30.65,2.53,2013-04-29
31.01,2.72,2013-04-30
30.48,2.59,2013-05-01
28.37,2.31,2013-05-02
29.4,1.55,2013-05-03
28.95,2.13,2013-05-04
26.73,2.21,2013-05-05
27.63,2.18,2013-05-06
28.22,1.74,2013-05-07
28.79,1.75,2013-05-08
29.06,2.23,2013-05-09
28.62,2.39,2013-05-10
27.48,2.03,2013-05-11
26.92,1.65,2013-05-12
29.51,2.55,2013-05-13
30.76,3.09,2013-05-14
