T2M,WS10M,date
23.19,2.92,2013-01-01
24.01,2.52,2013-01-02
25.32,1.34,2013-01-03
25.73,1.87,2013-01-04
26.14,1.78,2013-01-05
25.76,1.55,2013-01-06
24.98,2.06,2013-01-07
23.88,1.8,2013-01-08
24.58,1.91,2013-01-09
23.78,2.47,2013-01-10
25.37,1.62,2013-01-11
24.9,1.76,2013-01-12
25.04,1.98,2013-01-13
25.49,2.34,2013-01-14
26.23,1.86,2013-01-15
26.43,1.94,2013-01-16
26.72,1.8,2013-01-17
26.25,1.6,2013-01-18
26.34,1.96,2013-01-19
26.91,1.26,2013-01-20
27.4,1.72,2013-01-21
27.45,1.73,2013-01-22
26.72,2.66,2013-01-23
26.44,2.24,2013-01-24
26.16,2.36,2013-01-25
26.19,2.94,2013-01-26
26.47,2.74,2013-01-27
26.68,1.63,2013-01-28
25.62,2.08,2013-01-29
25.01,1.77,2013-01-30
22.56,3.7,2013-01-31
22.31,4.04,2013-02-01
25.1,2.47,2013-02-02
26.37,1.45,2013-02-03
27.3,1.66,2013-02-04
26.53,2.0,2013-02-05
26.26,2.52,2013-02-06
25.15,2.24,2013-02-07
25.19,2.23,2013-02-08
25.37,1.75,2013-02-09
25.81,2.08,2013-02-10
25.96,2.44,2013-02-11
25.34,2.38,2013-02-12
26.3,1.98,2013-02-13
26.05,2.27,2013-02-14
26.62,2.11,2013-02-15
26.89,2.0,2013-02-16
26.74,2.91,2013-02-17
26.37,2.78,2013-02-18
26.59,2.41,2013-02-19
26.57,2.29,2013-02-20
27.05,2.23,2013-02-21
27.42,2.81,2013-02-22
26.58,2.26,2013-02-23
27.44,2.18,2013-02-24
26.69,2.75,2013-02-25
26.64,2.61,2013-02-26
26.55,2.17,2013-02-27
27.26,2.34,2013-02-28
27.5,2.78,2013-03-01
26.87,3.01,2013-03-02
27.49,2.66,2013-03-03
26.44,3.2,2013-03-04
26.94,2.38,2013-03-05
27.05,2.99,2013-03-06
27.43,2.86,2013-03-07
26.18,3.11,2013-03-08
26.34,2.66,2013-03-09
26.52,2.92,2013-03-10
26.04,2.79,2013-03-11
26.37,2.88,2013-03-12
26.51,2.55,2013-03-13
26.61,2.32,2013-03-14
26.51,2.98,2013-03-15
26.06,2.57,2013-03-16
25.81,2.34,2013-03-17
26.94,1.91,2013-03-18
26.29,1.94,2013-03-19
26.42,1.77,2013-03-20
26.26,3.29,2013-03-21
25.89,2.76,2013-03-22
25.42,2.71,2013-03-23
26.41,2.59,2013-03-24
26.26,2.82,2013-03-25
26.94,2.98,2013-03-26
25.44,2.61,2013-03-27
25.83,2.46,2013-03-28
26.27,2.07,2013-03-29
25.57,2.74,2013-03-30
26.4,1.52,2013-03-31
26.55,2.05,2013-04-01
25.77,2.57,2013-04-02
26.89,2.05,2013-04-03
27.15,2.27,2013-04-04
27.08,3.12,2013-04-05
26.96,3.0,2013-04-06
26.08,3.04,2013-04-07
25.92,2.42,2013-04-08
26.45,2.66,2013-04-09
26.18,2.7,2013-04-10
27.01,2.02,2013-04-11
26.76,2.96,2013-04-12
26.26,2.59,2013-04-13
26.87,1.94,2013-04-14
25.87,2.97,2013-04-15
26.12,1.7,2013-04-16
25.73,2.73,2013-04-17
25.9,2.8,2013-04-18
26.19,2.8,2013-04-19
26.87,2.2,2013-04-20
26.4,1.66,2013-04-21
26.52,1.8,2013-04-22
26.7,1.86,2013-04-23
25.58,1.12,2013-04-24
27.01,1.41,2013-04-25
26.28,2.8,2013-04-26
25.89,2.41,2013-04-27
26.07,2.04,2013-04-28
27.32,2.5,2013-04-29
27.01,2.19,2013-04-30
26.01,2.12,2013-05-01
27.04,1.04,2013-05-02
26.15,2.55,2013-05-03
26.15,2.7,2013-05-04
26.6,3.42,2013-05-05
26.71,2.15,2013-05-06
25.78,2.85,2013-05-07
25.75,2.65,2013-05-08
26.62,2.15,2013-05-09
25.98,3.55,2013-05-10
25.3,2.97,2013-05-11
25.74,1.58,2013-05-12
25.62,1.2,2013-05-13
25.72,1.61,2013-05-14
26.55,2.38,2013-05-15
27.23,1.55,2013-05-16
26.58,2.07,2013-05-17
26.66,2.59,2013-05-18
26.18,2.34,2013-05-19
25.76,2.86,2013-05-20
25.43,2.26,2013-05-21
26.2,2.41,2013-05-22
26.44,2.53,2013-05-23
26.19,2.26,2013-05-24
25.86,2.24,2013-05-25
25.62,2.11,2013-05-26
25.44,2.9,2013-05-27
25.18,2.85,2013-05-28
25.94,1.95,2013-05-29
24.8,2.84,2013-05-30
25.43,1.88,2013-05-31
25.56,2.09,2013-06-01
25.55,2.72,2013-06-02
25.52,2.72,2013-06-03
24.9,3.27,2013-06-04
25.01,2.12,2013-06-05
25.85,2.69,2013-06-06
25.9,2.48,2013-06-07
26.4,2.7,2013-06-08
25.56,3.34,2013-06-09
24.81,2.84,2013-06-10
25.15,2.25,2013-06-11
25.26,2.66,2013-06-12
25.63,2.71,2013-06-13
25.51,2.73,2013-06-14
25.19,2.35,2013-06-15
25.04,2.94,2013-06-16
25.09,2.89,2013-06-17
24.51,3.19,2013-06-18
25.13,3.38,2013-06-19
24.59,3.38,2013-06-20
25.71,2.36,2013-06-21
25.65,3.05,2013-06-22
25.48,3.6,2013-06-23
24.15,3.05,2013-06-24
25.08,2.3,2013-06-25
25.95,1.3,2013-06-26
24.23,3.57,2013-06-27
24.09,2.94,2013-06-28
24.74,1.89,2013-06-29
24.9,2.21,2013-06-30
24.86,2.79,2013-07-01
25.41,3.06,2013-07-02
24.33,4.23,2013-07-03
24.16,3.68,2013-07-04
24.46,3.21,2013-07-05
24.04,3.23,2013-07-06
24.03,2.48,2013-07-07
23.9,2.49,2013-07-08
24.94,1.69,2013-07-09
25.4,2.58,2013-07-10
24.29,3.84,2013-07-11
24.57,2.66,2013-07-12
23.8,3.39,2013-07-13
24.18,3.25,2013-07-14
24.59,2.05,2013-07-15
24.43,2.7,2013-07-16
23.95,3.52,2013-07-17
24.87,3.55,2013-07-18
24.48,2.9,2013-07-19
25.16,3.39,2013-07-20
24.2,3.23,2013-07-21
24.55,2.68,2013-07-22
24.74,3.59,2013-07-23
24.44,3.77,2013-07-24
23.65,2.96,2013-07-25
24.28,2.52,2013-07-26
24.62,3.03,2013-07-27
24.63,4.5,2013-07-28
24.18,4.16,2013-07-29
23.86,2.05,2013-07-30
24.42,2.7,2013-07-31
24.67,4.55,2013-08-01
24.63,3.66,2013-08-02
24.62,3.02,2013-08-03
24.11,3.24,2013-08-04
24.67,4.27,2013-08-05
24.36,3.37,2013-08-06
24.65,4.19,2013-08-07
24.97,3.64,2013-08-08
23.28,2.9,2013-08-09
24.24,2.77,2013-08-10
24.26,3.8,2013-08-11
24.1,3.13,2013-08-12
24.39,2.62,2013-08-13
23.81,2.63,2013-08-14
23.43,4.2,2013-08-15
23.44,2.67,2013-08-16
24.45,3.32,2013-08-17
24.66,3.27,2013-08-18
24.77,3.12,2013-08-19
24.66,3.82,2013-08-20
24.24,3.17,2013-08-21
24.01,1.84,2013-08-22
24.79,3.05,2013-08-23
23.76,3.8,2013-08-24
24.72,3.0,2013-08-25
24.62,2.22,2013-08-26
24.81,1.59,2013-08-27
23.95,3.16,2013-08-28
24.33,3.44,2013-08-29
23.92,2.1,2013-08-30
24.64,2.66,2013-08-31
23.58,3.52,2013-09-01
24.94,1.64,2013-09-02
25.76,1.28,2013-09-03
24.55,2.29,2013-09-04
24.98,3.79,2013-09-05
24.69,1.91,2013-09-06
25.06,2.26,2013-09-07
23.65,2.77,2013-09-08
23.97,3.5,2013-09-09
24.12,2.41,2013-09-10
24.59,1.53,2013-09-11
24.92,2.41,2013-09-12
23.67,2.8,2013-09-13
25.05,2.67,2013-09-14
25.18,2.41,2013-09-15
24.66,2.59,2013-09-16
25.12,2.32,2013-09-17
25.58,2.52,2013-09-18
25.62,2.62,2013-09-19
24.93,3.21,2013-09-20
25.24,2.95,2013-09-21
24.19,4.98,2013-09-22
24.19,3.67,2013-09-23
24.18,1.9,2013-09-24
25.08,1.64,2013-09-25
26.42,1.53,2013-09-26
25.48,3.57,2013-09-27
25.07,2.73,2013-09-28
24.83,1.64,2013-09-29
25.57,2.47,2013-09-30
25.9,2.21,2013-10-01
24.87,2.74,2013-10-02
24.98,2.23,2013-10-03
24.63,3.41,2013-10-04
24.4,2.1,2013-10-05
24.4,1.7,2013-10-06
24.33,2.38,2013-10-07
24.11,2.25,2013-10-08
25.47,1.27,2013-10-09
23.71,2.62,2013-10-10
25.22,1.51,2013-10-11
24.76,2.13,2013-10-12
24.98,2.66,2013-10-13
25.18,2.3,2013-10-14
24.9,2.32,2013-10-15
25.09,2.02,2013-10-16
26.16,1.7,2013-10-17
24.65,2.62,2013-10-18
25.78,1.64,2013-10-19
24.73,2.25,2013-10-20
24.12,1.77,2013-10-21
25.17,2.17,2013-10-22
25.9,1.64,2013-10-23
25.28,2.02,2013-10-24
25.65,1.91,2013-10-25
25.32,1.59,2013-10-26
26.13,1.41,2013-10-27
24.92,3.21,2013-10-28
25.42,2.12,2013-10-29
26.07,1.98,2013-10-30
26.01,1.96,2013-10-31
26.41,2.02,2013-11-01
25.94,1.64,2013-11-02
25.99,1.62,2013-11-03
25.23,1.7,2013-11-04
25.04,1.68,2013-11-05
25.78,1.6,2013-11-06
24.88,1.33,2013-11-07
25.19,1.87,2013-11-08
25.23,1.89,2013-11-09
25.87,1.4,2013-11-10
26.14,1.77,2013-11-11
24.65,2.13,2013-11-12
24.94,1.93,2013-11-13
24.43,1.65,2013-11-14
24.24,1.95,2013-11-15
25.58,1.38,2013-11-16
26.01,1.71,2013-11-17
25.9,1.61,2013-11-18
25.25,1.91,2013-11-19
24.76,1.88,2013-11-20
25.42,1.67,2013-11-21
26.01,2.13,2013-11-22
24.46,2.91,2013-11-23
25.48,1.97,2013-11-24
24.69,2.56,2013-11-25
25.47,1.53,2013-11-26
26.22,1.89,2013-11-27
26.83,2.02,2013-11-28
26.73,2.04,2013-11-29
26.8,2.0,2013-11-30
26.34,2.09,2013-12-01
25.64,2.21,2013-12-02
25.2,2.09,2013-12-03
25.41,2.31,2013-12-04
25.2,2.39,2013-12-05
25.43,2.59,2013-12-06
25.73,2.41,2013-12-07
25.87,1.38,2013-12-08
25.11,1.77,2013-12-09
25.02,2.43,2013-12-10
24.55,3.01,2013-12-11
25.12,1.94,2013-12-12
24.47,2.58,2013-12-13
24.39,1.93,2013-12-14
23.25,2.48,2013-12-15
22.68,3.03,2013-12-16
21.94,2.95,2013-12-17
22.64,2.3,2013-12-18
23.3,1.98,2013-12-19
24.42,2.3,2013-12-20
25.42,1.67,2013-12-21
25.92,1.62,2013-12-22
26.06,1.89,2013-12-23
25.1,2.01,2013-12-24
25.48,1.57,2013-12-25
25.98,1.86,2013-12-26
25.44,2.0,2013-12-27
26.0,2.12,2013-12-28
25.63,1.84,2013-12-29
25.23,1.86,2013-12-30
25.27,1.93,2013-12-31
25.65,1.76,2014-01-01
24.97,2.44,2014-01-02
25.24,2.06,2014-01-03
24.48,1.62,2014-01-04
24.64,1.98,2014-01-05
24.6,2.81,2014-01-06
24.56,2.1,2014-01-07
25.18,1.37,2014-01-08
24.73,1.89,2014-01-09
24.38,2.26,2014-01-10
24.89,2.2,2014-01-11
24.5,2.01,2014-01-12
24.41,1.89,2014-01-13
24.28,1.58,2014-01-14
25.48,1.69,2014-01-15
25.75,1.97,2014-01-16
26.06,1.88,2014-01-17
26.07,2.03,2014-01-18
26.36,1.88,2014-01-19
26.4,1.66,2014-01-20
26.03,1.95,2014-01-21
26.62,1.9,2014-01-22
26.13,1.7,2014-01-23
25.97,1.47,2014-01-24
26.77,1.77,2014-01-25
26.36,2.12,2014-01-26
26.53,2.12,2014-01-27
26.55,2.52,2014-01-28
25.96,2.41,2014-01-29
26.14,2.12,2014-01-30
26.35,2.42,2014-01-31
25.76,3.4,2014-02-01
25.68,1.8,2014-02-02
26.1,1.97,2014-02-03
25.62,2.37,2014-02-04
25.23,2.55,2014-02-05
25.45,2.65,2014-02-06
26.2,2.14,2014-02-07
26.31,2.13,2014-02-08
