T2M,WS10M,date
22.79,2.48,2013-01-01
23.17,2.38,2013-01-02
25.41,1.52,2013-01-03
26.23,1.28,2013-01-04
26.01,1.84,2013-01-05
26.65,1.73,2013-01-06
25.47,1.34,2013-01-07
25.12,1.86,2013-01-08
23.17,2.41,2013-01-09
23.41,2.45,2013-01-10
23.84,2.09,2013-01-11
24.63,1.96,2013-01-12
24.78,2.0,2013-01-13
25.97,1.26,2013-01-14
27.04,1.62,2013-01-15
27.0,1.77,2013-01-16
27.54,1.88,2013-01-17
26.36,1.77,2013-01-18
26.69,1.7,2013-01-19
27.08,1.36,2013-01-20
26.58,1.55,2013-01-21
27.18,1.81,2013-01-22
27.12,2.16,2013-01-23
26.9,1.8,2013-01-24
26.45,1.96,2013-01-25
26.63,2.09,2013-01-26
26.36,1.93,2013-01-27
26.83,1.23,2013-01-28
26.87,1.09,2013-01-29
27.15,1.12,2013-01-30
22.12,2.48,2013-01-31
21.42,3.26,2013-02-01
23.19,2.01,2013-02-02
25.51,1.23,2013-02-03
27.35,1.3,2013-02-04
27.7,1.27,2013-02-05
27.62,1.37,2013-02-06
26.83,1.47,2013-02-07
27.08,1.87,2013-02-08
25.83,1.88,2013-02-09
25.83,1.94,2013-02-10
26.48,1.87,2013-02-11
26.62,2.16,2013-02-12
26.68,1.98,2013-02-13
26.76,1.93,2013-02-14
26.47,1.82,2013-02-15
27.33,1.6,2013-02-16
26.87,2.54,2013-02-17
27.19,1.72,2013-02-18
26.34,1.99,2013-02-19
25.67,1.95,2013-02-20
27.59,1.45,2013-02-21
27.44,1.56,2013-02-22
27.26,1.88,2013-02-23
27.62,2.27,2013-02-24
27.4,2.16,2013-02-25
26.6,1.89,2013-02-26
26.69,1.72,2013-02-27
27.09,1.93,2013-02-28
27.26,1.9,2013-03-01
26.79,1.88,2013-03-02
27.76,1.95,2013-03-03
26.94,2.34,2013-03-04
27.84,1.99,2013-03-05
27.69,2.12,2013-03-06
27.69,2.02,2013-03-07
26.76,1.91,2013-03-08
26.87,2.34,2013-03-09
27.09,2.2,2013-03-10
27.04,1.76,2013-03-11
27.4,2.16,2013-03-12
27.1,1.65,2013-03-13
27.42,1.72,2013-03-14
26.62,2.11,2013-03-15
