T2M,WS10M,date
21.11,4.64,2013-01-01
21.47,4.44,2013-01-02
23.55,3.03,2013-01-03
24.81,1.77,2013-01-04
26.11,1.05,2013-01-05
25.6,1.31,2013-01-06
23.83,3.09,2013-01-07
22.01,2.92,2013-01-08
22.11,4.16,2013-01-09
22.09,4.0,2013-01-10
22.52,3.7,2013-01-11
22.55,3.7,2013-01-12
23.19,3.87,2013-01-13
24.74,1.73,2013-01-14
26.15,1.73,2013-01-15
26.6,1.8,2013-01-16
27.33,1.55,2013-01-17
26.23,1.59,2013-01-18
26.72,2.29,2013-01-19
26.99,1.67,2013-01-20
27.23,1.41,2013-01-21
27.81,2.01,2013-01-22
27.15,2.99,2013-01-23
27.08,2.41,2013-01-24
26.65,2.86,2013-01-25
26.4,3.18,2013-01-26
25.86,2.99,2013-01-27
26.23,1.42,2013-01-28
25.33,2.1,2013-01-29
24.37,2.37,2013-01-30
20.87,5.11,2013-01-31
20.65,5.98,2013-02-01
23.15,2.98,2013-02-02
26.51,1.27,2013-02-03
27.58,1.56,2013-02-04
26.86,1.33,2013-02-05
26.3,2.91,2013-02-06
25.65,2.66,2013-02-07
25.08,1.26,2013-02-08
25.79,1.33,2013-02-09
26.26,1.94,2013-02-10
26.2,2.27,2013-02-11
25.95,2.56,2013-02-12
27.0,2.51,2013-02-13
26.49,2.69,2013-02-14
26.74,2.23,2013-02-15
27.48,1.94,2013-02-16
27.49,3.15,2013-02-17
26.81,2.76,2013-02-18
26.89,2.55,2013-02-19
26.73,2.57,2013-02-20
27.71,2.33,2013-02-21
27.89,2.68,2013-02-22
27.3,2.2,2013-02-23
28.06,2.57,2013-02-24
27.08,3.31,2013-02-25
27.19,3.02,2013-02-26
27.35,2.52,2013-02-27
27.08,2.62,2013-02-28
27.5,2.74,2013-03-01
27.44,2.91,2013-03-02
27.77,3.02,2013-03-03
26.91,3.63,2013-03-04
27.64,2.79,2013-03-05
27.57,3.08,2013-03-06
27.52,3.23,2013-03-07
26.88,3.37,2013-03-08
26.76,2.99,2013-03-09
27.15,3.33,2013-03-10
26.29,3.3,2013-03-11
26.6,3.12,2013-03-12
26.66,2.82,2013-03-13
27.16,2.79,2013-03-14
