T2M,WS10M,date
21.35,3.54,2013-01-01
21.8,3.72,2013-01-02
23.83,2.55,2013-01-03
24.15,2.23,2013-01-04
24.59,1.86,2013-01-05
24.36,2.16,2013-01-06
22.77,3.05,2013-01-07
22.44,2.7,2013-01-08
22.4,3.66,2013-01-09
22.52,3.07,2013-01-10
22.44,3.73,2013-01-11
23.05,2.84,2013-01-12
22.9,3.82,2013-01-13
24.1,2.33,2013-01-14
25.53,1.84,2013-01-15
25.69,2.09,2013-01-16
25.98,1.98,2013-01-17
25.89,2.05,2013-01-18
26.34,2.91,2013-01-19
25.59,2.02,2013-01-20
26.96,2.07,2013-01-21
27.51,2.55,2013-01-22
27.15,3.16,2013-01-23
26.51,3.33,2013-01-24
25.86,3.29,2013-01-25
26.06,3.82,2013-01-26
25.71,3.88,2013-01-27
25.44,1.66,2013-01-28
24.54,2.44,2013-01-29
24.58,2.23,2013-01-30
21.37,4.12,2013-01-31
20.79,5.65,2013-02-01
21.77,3.76,2013-02-02
25.58,1.83,2013-02-03
26.82,2.0,2013-02-04
26.93,2.16,2013-02-05
25.65,3.09,2013-02-06
25.7,2.34,2013-02-07
25.62,2.05,2013-02-08
25.65,2.17,2013-02-09
26.05,2.08,2013-02-10
25.13,2.11,2013-02-11
26.19,2.84,2013-02-12
27.13,3.56,2013-02-13
26.78,3.33,2013-02-14
26.37,2.78,2013-02-15
27.56,2.3,2013-02-16
28.0,2.73,2013-02-17
27.15,2.69,2013-02-18
26.81,3.18,2013-02-19
26.05,2.91,2013-02-20
27.85,2.31,2013-02-21
27.87,2.82,2013-02-22
27.59,2.06,2013-02-23
28.1,3.19,2013-02-24
27.35,3.72,2013-02-25
27.24,3.62,2013-02-26
27.53,3.16,2013-02-27
27.8,3.41,2013-02-28
27.62,3.74,2013-03-01
27.66,3.59,2013-03-02
27.94,3.63,2013-03-03
27.12,3.89,2013-03-04
28.11,3.47,2013-03-05
28.37,4.32,2013-03-06
27.58,4.25,2013-03-07
28.11,4.64,2013-03-08
27.67,4.55,2013-03-09
27.55,3.93,2013-03-10
26.81,4.51,2013-03-11
27.36,3.36,2013-03-12
26.54,3.48,2013-03-13
27.75,3.91,2013-03-14
26.99,4.34,2013-03-15
27.54,4.64,2013-03-16
26.72,4.02,2013-03-17
26.55,2.68,2013-03-18
27.51,3.89,2013-03-19
26.88,3.77,2013-03-20
26.74,4.67,2013-03-21
26.37,4.18,2013-03-22
26.51,4.29,2013-03-23
26.45,3.67,2013-03-24
27.24,3.55,2013-03-25
27.58,4.35,2013-03-26
26.63,4.42,2013-03-27
25.83,2.72,2013-03-28
26.82,3.52,2013-03-29
26.41,4.13,2013-03-30
27.32,3.55,2013-03-31
27.17,2.77,2013-04-01
26.17,3.73,2013-04-02
26.88,3.71,2013-04-03
28.16,3.52,2013-04-04
28.99,3.92,2013-04-05
28.06,4.54,2013-04-06
27.23,4.82,2013-04-07
26.3,3.88,2013-04-08
27.0,3.79,2013-04-09
27.05,3.95,2013-04-10
28.05,3.02,2013-04-11
27.8,3.78,2013-04-12
