T2M,WS10M,date
20.8,3.07,2013-01-01
21.37,3.04,2013-01-02
22.98,2.61,2013-01-03
24.06,1.87,2013-01-04
23.23,1.83,2013-01-05
24.7,1.52,2013-01-06
23.49,2.22,2013-01-07
24.12,1.78,2013-01-08
22.98,2.45,2013-01-09
22.83,2.73,2013-01-10
23.15,2.71,2013-01-11
22.61,2.58,2013-01-12
22.76,3.0,2013-01-13
24.79,1.66,2013-01-14
24.55,2.16,2013-01-15
25.25,2.16,2013-01-16
24.68,1.88,2013-01-17
25.14,1.94,2013-01-18
24.93,3.33,2013-01-19
25.73,1.56,2013-01-20
26.76,1.96,2013-01-21
27.05,2.14,2013-01-22
25.5,3.14,2013-01-23
25.27,3.24,2013-01-24
24.89,3.23,2013-01-25
24.89,3.36,2013-01-26
23.57,3.27,2013-01-27
25.57,1.37,2013-01-28
25.34,1.04,2013-01-29
23.67,1.84,2013-01-30
21.75,3.79,2013-01-31
20.73,4.24,2013-02-01
21.58,2.93,2013-02-02
24.28,1.17,2013-02-03
26.25,1.57,2013-02-04
25.58,2.02,2013-02-05
26.05,1.52,2013-02-06
25.76,1.85,2013-02-07
25.15,2.35,2013-02-08
25.37,1.73,2013-02-09
23.83,2.06,2013-02-10
25.42,1.73,2013-02-11
25.22,3.1,2013-02-12
24.38,3.04,2013-02-13
25.73,3.23,2013-02-14
25.56,2.96,2013-02-15
27.36,1.7,2013-02-16
24.94,3.88,2013-02-17
25.2,2.09,2013-02-18
24.47,2.94,2013-02-19
24.44,3.05,2013-02-20
26.41,2.09,2013-02-21
25.5,2.36,2013-02-22
27.18,2.04,2013-02-23
26.23,3.52,2013-02-24
26.26,3.59,2013-02-25
25.89,3.52,2013-02-26
25.25,3.01,2013-02-27
27.16,2.69,2013-02-28
26.48,3.91,2013-03-01
26.32,3.21,2013-03-02
25.99,3.34,2013-03-03
25.64,3.57,2013-03-04
26.46,2.99,2013-03-05
26.5,3.91,2013-03-06
26.23,4.09,2013-03-07
26.73,3.88,2013-03-08
26.44,3.91,2013-03-09
25.77,3.6,2013-03-10
25.29,3.55,2013-03-11
26.19,3.64,2013-03-12
25.9,2.89,2013-03-13
26.88,3.41,2013-03-14
26.38,3.96,2013-03-15
25.67,4.16,2013-03-16
25.3,3.49,2013-03-17
26.68,2.3,2013-03-18
26.57,3.64,2013-03-19
26.7,3.85,2013-03-20
26.39,4.45,2013-03-21
26.87,3.99,2013-03-22
25.85,4.18,2013-03-23
25.37,3.64,2013-03-24
25.58,3.17,2013-03-25
25.54,3.82,2013-03-26
25.4,4.02,2013-03-27
25.51,2.98,2013-03-28
26.37,3.3,2013-03-29
25.58,3.77,2013-03-30
26.74,3.4,2013-03-31
26.15,2.34,2013-04-01
24.83,2.86,2013-04-02
26.0,3.38,2013-04-03
26.3,3.5,2013-04-04
27.15,3.5,2013-04-05
26.97,4.22,2013-04-06
26.47,4.1,2013-04-07
26.26,4.0,2013-04-08
25.84,3.8,2013-04-09
25.41,3.34,2013-04-10
25.76,3.12,2013-04-11
26.87,3.51,2013-04-12
26.3,3.81,2013-04-13
27.09,3.25,2013-04-14
26.13,2.6,2013-04-15
25.82,3.67,2013-04-16
25.75,3.61,2013-04-17
25.12,3.48,2013-04-18
24.93,3.51,2013-04-19
25.69,1.59,2013-04-20
26.44,1.69,2013-04-21
26.0,2.95,2013-04-22
25.87,2.82,2013-04-23
26.87,2.22,2013-04-24
26.96,2.09,2013-04-25
24.57,2.3,2013-04-26
25.33,3.0,2013-04-27
26.34,1.58,2013-04-28
25.23,2.12,2013-04-29
24.76,2.51,2013-04-30
24.76,2.95,2013-05-01
25.75,1.65,2013-05-02
25.74,2.88,2013-05-03
24.87,3.64,2013-05-04
25.08,2.57,2013-05-05
25.12,3.07,2013-05-06
25.21,2.94,2013-05-07
24.8,3.16,2013-05-08
25.74,2.56,2013-05-09
25.25,2.97,2013-05-10
23.83,3.68,2013-05-11
25.48,1.92,2013-05-12
25.97,2.2,2013-05-13
24.51,1.61,2013-05-14
25.2,1.94,2013-05-15
25.83,2.09,2013-05-16
25.57,2.34,2013-05-17
24.89,2.22,2013-05-18
25.33,2.2,2013-05-19
25.44,3.24,2013-05-20
24.54,2.95,2013-05-21
25.44,2.89,2013-05-22
25.29,3.73,2013-05-23
25.09,2.9,2013-05-24
25.42,3.3,2013-05-25
25.64,1.92,2013-05-26
24.02,2.76,2013-05-27
24.26,2.79,2013-05-28
25.33,1.98,2013-05-29
25.06,2.35,2013-05-30
25.19,2.68,2013-05-31
24.01,2.84,2013-06-01
23.77,3.99,2013-06-02
23.98,3.09,2013-06-03
24.27,3.88,2013-06-04
23.66,2.58,2013-06-05
24.34,1.95,2013-06-06
25.12,2.27,2013-06-07
25.39,1.84,2013-06-08
25.29,3.66,2013-06-09
24.61,2.61,2013-06-10
24.62,2.28,2013-06-11
24.73,3.61,2013-06-12
24.49,3.76,2013-06-13
24.84,3.61,2013-06-14
24.78,3.02,2013-06-15
24.54,2.75,2013-06-16
24.73,3.05,2013-06-17
25.01,3.59,2013-06-18
24.31,3.66,2013-06-19
24.3,4.54,2013-06-20
24.64,3.12,2013-06-21
25.03,3.22,2013-06-22
24.84,3.4,2013-06-23
23.58,3.65,2013-06-24
24.12,2.23,2013-06-25
24.62,1.97,2013-06-26
23.1,3.72,2013-06-27
23.9,2.88,2013-06-28
23.7,1.95,2013-06-29
23.81,2.53,2013-06-30
24.08,3.03,2013-07-01
24.05,2.41,2013-07-02
23.42,3.25,2013-07-03
22.88,3.46,2013-07-04
