T2M,WS10M,date
20.98,4.31,2013-01-01
21.31,4.35,2013-01-02
23.48,3.05,2013-01-03
24.5,1.98,2013-01-04
25.56,1.25,2013-01-05
25.27,1.85,2013-01-06
23.56,2.76,2013-01-07
21.77,2.98,2013-01-08
21.77,4.12,2013-01-09
21.87,3.9,2013-01-10
22.15,3.98,2013-01-11
22.51,3.49,2013-01-12
22.8,3.92,2013-01-13
24.52,1.72,2013-01-14
25.61,1.96,2013-01-15
26.22,2.09,2013-01-16
26.96,1.79,2013-01-17
25.73,1.95,2013-01-18
26.3,2.44,2013-01-19
26.37,1.62,2013-01-20
26.78,1.85,2013-01-21
27.42,2.29,2013-01-22
26.75,3.2,2013-01-23
26.56,2.66,2013-01-24
26.09,2.91,2013-01-25
26.05,3.35,2013-01-26
25.4,2.98,2013-01-27
25.75,1.38,2013-01-28
25.09,1.91,2013-01-29
24.73,2.09,2013-01-30
20.3,4.57,2013-01-31
20.35,5.89,2013-02-01
22.67,3.39,2013-02-02
25.83,1.61,2013-02-03
26.92,1.73,2013-02-04
26.76,1.81,2013-02-05
26.02,2.71,2013-02-06
25.34,2.45,2013-02-07
25.77,1.32,2013-02-08
25.94,1.8,2013-02-09
26.03,2.53,2013-02-10
25.62,2.43,2013-02-11
25.72,2.82,2013-02-12
26.55,2.94,2013-02-13
26.16,2.73,2013-02-14
26.34,2.53,2013-02-15
27.19,2.09,2013-02-16
26.99,3.59,2013-02-17
26.55,2.74,2013-02-18
26.33,2.66,2013-02-19
25.94,2.79,2013-02-20
27.37,2.08,2013-02-21
27.44,2.5,2013-02-22
27.11,2.17,2013-02-23
27.51,3.21,2013-02-24
26.74,3.48,2013-02-25
26.38,3.08,2013-02-26
26.87,2.7,2013-02-27
26.67,2.71,2013-02-28
27.15,2.74,2013-03-01
27.09,2.8,2013-03-02
27.23,2.82,2013-03-03
26.59,3.45,2013-03-04
27.22,2.87,2013-03-05
27.26,3.12,2013-03-06
27.02,3.26,2013-03-07
26.61,3.27,2013-03-08
26.49,3.16,2013-03-09
26.82,3.37,2013-03-10
26.06,3.3,2013-03-11
26.4,3.05,2013-03-12
26.23,2.71,2013-03-13
26.8,2.74,2013-03-14
26.5,3.48,2013-03-15
26.56,3.38,2013-03-16
26.36,3.04,2013-03-17
26.9,1.7,2013-03-18
26.59,2.77,2013-03-19
27.2,2.25,2013-03-20
26.56,3.88,2013-03-21
26.08,3.07,2013-03-22
25.5,2.98,2013-03-23
26.37,2.69,2013-03-24
26.31,2.67,2013-03-25
26.65,3.16,2013-03-26
25.7,3.21,2013-03-27
25.96,2.03,2013-03-28
26.51,2.7,2013-03-29
25.83,3.16,2013-03-30
27.03,2.16,2013-03-31
26.51,2.14,2013-04-01
25.75,3.17,2013-04-02
26.18,2.67,2013-04-03
27.06,2.6,2013-04-04
27.47,2.98,2013-04-05
27.15,3.42,2013-04-06
25.92,3.3,2013-04-07
25.73,2.81,2013-04-08
26.53,2.95,2013-04-09
26.66,2.97,2013-04-10
27.29,2.23,2013-04-11
27.16,2.79,2013-04-12
26.3,2.98,2013-04-13
27.0,1.98,2013-04-14
26.14,3.02,2013-04-15
26.51,2.77,2013-04-16
25.63,2.96,2013-04-17
26.33,2.89,2013-04-18
26.37,3.23,2013-04-19
26.26,2.66,2013-04-20
26.76,1.77,2013-04-21
25.31,2.02,2013-04-22
25.9,2.12,2013-04-23
26.14,1.66,2013-04-24
26.81,1.28,2013-04-25
26.87,2.48,2013-04-26
26.39,2.84,2013-04-27
26.3,1.98,2013-04-28
26.8,2.06,2013-04-29
26.44,2.52,2013-04-30
25.37,2.7,2013-05-01
27.25,1.16,2013-05-02
26.86,2.63,2013-05-03
26.05,2.93,2013-05-04
26.3,2.91,2013-05-05
26.66,2.14,2013-05-06
26.15,2.87,2013-05-07
25.99,2.74,2013-05-08
26.77,2.12,2013-05-09
25.71,3.85,2013-05-10
25.11,2.44,2013-05-11
