T2M,WS10M,date
21.42,3.05,2013-01-01
21.86,3.58,2013-01-02
22.76,2.98,2013-01-03
22.66,2.95,2013-01-04
22.9,2.98,2013-01-05
22.86,2.9,2013-01-06
22.62,2.85,2013-01-07
22.35,2.26,2013-01-08
22.45,2.93,2013-01-09
22.19,3.12,2013-01-10
22.41,3.26,2013-01-11
22.88,2.38,2013-01-12
22.75,3.98,2013-01-13
22.6,3.24,2013-01-14
24.22,2.7,2013-01-15
24.65,3.29,2013-01-16
24.62,2.6,2013-01-17
26.04,1.55,2013-01-18
25.01,1.59,2013-01-19
25.62,1.34,2013-01-20
27.23,1.1,2013-01-21
27.48,1.62,2013-01-22
25.27,2.02,2013-01-23
25.33,1.82,2013-01-24
24.7,1.94,2013-01-25
25.25,1.95,2013-01-26
24.42,2.3,2013-01-27
25.86,1.35,2013-01-28
23.37,2.89,2013-01-29
23.5,2.82,2013-01-30
21.42,4.95,2013-01-31
21.37,4.29,2013-02-01
20.92,4.23,2013-02-02
23.54,2.56,2013-02-03
25.57,2.47,2013-02-04
25.44,3.22,2013-02-05
23.5,3.77,2013-02-06
23.16,2.65,2013-02-07
24.81,2.82,2013-02-08
24.53,2.7,2013-02-09
23.94,2.86,2013-02-10
24.07,3.41,2013-02-11
25.81,1.43,2013-02-12
25.96,1.96,2013-02-13
26.2,1.59,2013-02-14
26.3,1.53,2013-02-15
26.97,2.17,2013-02-16
26.08,1.97,2013-02-17
25.94,1.38,2013-02-18
25.8,1.91,2013-02-19
25.07,1.62,2013-02-20
27.03,1.66,2013-02-21
26.61,1.98,2013-02-22
27.06,2.49,2013-02-23
27.48,2.45,2013-02-24
27.05,1.72,2013-02-25
26.56,1.65,2013-02-26
26.4,1.98,2013-02-27
27.62,2.14,2013-02-28
27.17,2.02,2013-03-01
26.36,2.2,2013-03-02
27.01,2.06,2013-03-03
26.27,2.22,2013-03-04
26.88,2.07,2013-03-05
27.63,2.42,2013-03-06
26.82,2.54,2013-03-07
27.63,2.27,2013-03-08
27.01,2.32,2013-03-09
26.62,2.83,2013-03-10
26.4,2.12,2013-03-11
27.13,2.48,2013-03-12
26.59,2.26,2013-03-13
26.96,2.24,2013-03-14
26.26,2.48,2013-03-15
27.16,3.06,2013-03-16
26.52,2.66,2013-03-17
27.11,1.77,2013-03-18
27.31,2.31,2013-03-19
26.94,2.27,2013-03-20
26.77,2.8,2013-03-21
27.05,2.91,2013-03-22
26.73,2.23,2013-03-23
26.22,2.61,2013-03-24
26.76,2.38,2013-03-25
27.26,2.96,2013-03-26
27.12,2.95,2013-03-27
25.84,1.92,2013-03-28
26.8,1.95,2013-03-29
26.16,2.59,2013-03-30
27.15,2.27,2013-03-31
27.83,1.5,2013-04-01
27.0,2.07,2013-04-02
26.76,1.9,2013-04-03
27.47,2.05,2013-04-04
29.02,2.12,2013-04-05
28.09,2.71,2013-04-06
27.4,2.85,2013-04-07
26.58,2.59,2013-04-08
26.84,2.34,2013-04-09
26.13,2.34,2013-04-10
26.92,2.09,2013-04-11
27.69,2.51,2013-04-12
27.19,2.35,2013-04-13
27.59,1.92,2013-04-14
27.72,2.22,2013-04-15
27.73,2.67,2013-04-16
27.37,2.48,2013-04-17
26.15,2.36,2013-04-18
26.01,2.07,2013-04-19
26.28,1.93,2013-04-20
26.37,1.62,2013-04-21
26.68,1.85,2013-04-22
26.19,1.96,2013-04-23
26.43,1.88,2013-04-24
28.19,0.94,2013-04-25
27.7,2.07,2013-04-26
27.12,1.68,2013-04-27
26.05,1.62,2013-04-28
26.8,2.06,2013-04-29
27.07,1.82,2013-04-30
25.68,2.34,2013-05-01
26.61,1.93,2013-05-02
26.63,1.88,2013-05-03
25.59,2.26,2013-05-04
26.21,1.8,2013-05-05
25.87,2.53,2013-05-06
26.41,1.74,2013-05-07
26.41,2.27,2013-05-08
25.08,1.77,2013-05-09
26.12,1.84,2013-05-10
25.01,3.03,2013-05-11
26.04,1.75,2013-05-12
26.68,1.9,2013-05-13
26.05,1.52,2013-05-14
25.34,1.57,2013-05-15
26.62,1.66,2013-05-16
26.97,1.61,2013-05-17
26.33,1.68,2013-05-18
26.74,2.41,2013-05-19
26.23,2.42,2013-05-20
25.87,2.33,2013-05-21
25.97,2.04,2013-05-22
25.72,2.3,2013-05-23
26.26,1.82,2013-05-24
26.51,2.45,2013-05-25
25.9,1.41,2013-05-26
25.15,1.86,2013-05-27
25.04,2.33,2013-05-28
25.22,1.62,2013-05-29
25.51,1.45,2013-05-30
26.24,1.9,2013-05-31
26.07,2.05,2013-06-01
24.99,2.63,2013-06-02
24.76,2.2,2013-06-03
25.25,2.76,2013-06-04
24.61,2.44,2013-06-05
24.98,2.26,2013-06-06
25.4,1.68,2013-06-07
26.12,1.76,2013-06-08
25.08,2.39,2013-06-09
25.31,1.59,2013-06-10
24.44,1.91,2013-06-11
25.69,2.38,2013-06-12
25.77,2.68,2013-06-13
25.1,3.1,2013-06-14
25.32,2.2,2013-06-15
24.98,1.61,2013-06-16
25.12,2.01,2013-06-17
25.5,1.46,2013-06-18
24.78,2.48,2013-06-19
24.83,3.34,2013-06-20
25.08,2.16,2013-06-21
25.88,2.02,2013-06-22
24.77,2.25,2013-06-23
23.78,2.97,2013-06-24
23.88,1.66,2013-06-25
24.56,1.96,2013-06-26
24.8,1.99,2013-06-27
23.77,1.95,2013-06-28
23.93,2.16,2013-06-29
24.46,1.32,2013-06-30
24.93,2.73,2013-07-01
24.95,2.3,2013-07-02
24.51,1.98,2013-07-03
23.09,2.92,2013-07-04
23.35,2.44,2013-07-05
24.04,2.06,2013-07-06
24.1,1.88,2013-07-07
23.87,2.22,2013-07-08
23.68,2.15,2013-07-09
25.4,1.46,2013-07-10
24.46,2.53,2013-07-11
23.98,2.42,2013-07-12
24.33,1.62,2013-07-13
24.72,2.33,2013-07-14
24.42,2.45,2013-07-15
23.95,2.3,2013-07-16
24.82,2.09,2013-07-17
24.65,2.1,2013-07-18
