T2M,WS10M,date
20.28,4.94,2013-01-01
21.03,4.84,2013-01-02
22.37,3.91,2013-01-03
22.9,3.8,2013-01-04
23.3,3.53,2013-01-05
22.26,4.71,2013-01-06
20.86,4.59,2013-01-07
21.41,4.87,2013-01-08
21.46,5.05,2013-01-09
20.98,4.99,2013-01-10
21.19,4.82,2013-01-11
21.55,4.91,2013-01-12
21.84,5.12,2013-01-13
23.57,3.34,2013-01-14
24.75,3.55,2013-01-15
26.21,4.48,2013-01-16
25.76,4.98,2013-01-17
25.52,3.55,2013-01-18
25.85,1.84,2013-01-19
27.65,1.46,2013-01-20
29.1,1.5,2013-01-21
28.75,2.86,2013-01-22
28.94,1.63,2013-01-23
30.19,1.76,2013-01-24
28.8,1.72,2013-01-25
28.75,1.92,2013-01-26
27.4,1.91,2013-01-27
26.79,3.77,2013-01-28
25.12,4.99,2013-01-29
23.73,5.96,2013-01-30
21.76,6.73,2013-01-31
21.5,6.16,2013-02-01
22.67,3.95,2013-02-02
26.11,2.87,2013-02-03
26.94,2.66,2013-02-04
27.47,5.43,2013-02-05
24.64,5.95,2013-02-06
25.24,4.93,2013-02-07
26.55,4.96,2013-02-08
27.08,4.91,2013-02-09
27.73,4.84,2013-02-10
27.8,5.29,2013-02-11
27.74,3.5,2013-02-12
28.37,2.53,2013-02-13
28.32,2.85,2013-02-14
26.92,4.4,2013-02-15
27.51,4.75,2013-02-16
27.43,5.07,2013-02-17
27.43,3.94,2013-02-18
28.57,2.67,2013-02-19
29.66,2.26,2013-02-20
31.74,1.38,2013-02-21
31.01,3.07,2013-02-22
29.8,5.05,2013-02-23
31.05,5.88,2013-02-24
30.35,3.61,2013-02-25
30.98,2.2,2013-02-26
30.83,2.52,2013-02-27
30.98,3.77,2013-02-28
30.21,2.83,2013-03-01
30.94,2.27,2013-03-02
31.69,2.79,2013-03-03
31.73,1.98,2013-03-04
30.76,2.74,2013-03-05
31.84,2.13,2013-03-06
32.02,1.84,2013-03-07
31.73,2.43,2013-03-08
30.74,2.42,2013-03-09
30.09,1.95,2013-03-10
31.03,2.69,2013-03-11
31.23,2.01,2013-03-12
30.98,1.97,2013-03-13
31.57,1.96,2013-03-14
30.96,2.79,2013-03-15
31.62,2.65,2013-03-16
31.3,1.62,2013-03-17
31.24,2.44,2013-03-18
31.22,3.94,2013-03-19
31.31,2.59,2013-03-20
31.89,1.71,2013-03-21
31.44,2.24,2013-03-22
31.72,2.59,2013-03-23
31.77,2.41,2013-03-24
32.07,1.87,2013-03-25
31.83,1.89,2013-03-26
31.68,3.03,2013-03-27
30.16,3.87,2013-03-28
29.87,4.22,2013-03-29
31.21,6.33,2013-03-30
28.77,5.07,2013-03-31
31.76,3.18,2013-04-01
30.43,3.68,2013-04-02
31.84,3.85,2013-04-03
32.41,2.67,2013-04-04
33.21,1.49,2013-04-05
32.69,2.22,2013-04-06
32.09,4.6,2013-04-07
30.73,5.97,2013-04-08
31.69,3.69,2013-04-09
32.14,2.02,2013-04-10
31.19,2.88,2013-04-11
32.57,2.43,2013-04-12
31.27,3.73,2013-04-13
31.52,2.38,2013-04-14
31.92,3.06,2013-04-15
30.62,2.51,2013-04-16
31.59,3.26,2013-04-17
31.67,3.34,2013-04-18
29.68,4.63,2013-04-19
31.01,3.83,2013-04-20
31.07,2.32,2013-04-21
31.02,4.73,2013-04-22
30.33,4.2,2013-04-23
31.2,3.77,2013-04-24
32.23,3.03,2013-04-25
33.08,3.01,2013-04-26
31.9,4.53,2013-04-27
29.66,4.7,2013-04-28
31.17,3.42,2013-04-29
32.9,3.51,2013-04-30
30.8,5.6,2013-05-01
30.23,4.2,2013-05-02
31.1,4.62,2013-05-03
29.56,4.31,2013-05-04
30.73,4.34,2013-05-05
29.37,3.76,2013-05-06
30.65,4.59,2013-05-07
29.58,5.43,2013-05-08
29.4,4.3,2013-05-09
30.12,4.34,2013-05-10
29.91,4.86,2013-05-11
28.2,3.48,2013-05-12
31.08,3.3,2013-05-13
32.69,3.3,2013-05-14
31.99,4.15,2013-05-15
32.8,4.52,2013-05-16
33.26,4.3,2013-05-17
31.9,4.37,2013-05-18
32.01,4.46,2013-05-19
30.65,5.55,2013-05-20
30.72,4.96,2013-05-21
31.3,5.17,2013-05-22
30.69,5.54,2013-05-23
29.76,5.36,2013-05-24
29.88,5.24,2013-05-25
29.26,2.95,2013-05-26
30.79,4.22,2013-05-27
28.26,5.41,2013-05-28
27.16,4.38,2013-05-29
30.46,3.58,2013-05-30
30.66,5.05,2013-05-31
30.1,4.3,2013-06-01
29.36,4.56,2013-06-02
27.8,4.73,2013-06-03
28.09,4.83,2013-06-04
28.02,5.21,2013-06-05
29.07,3.9,2013-06-06
29.76,3.22,2013-06-07
29.23,4.39,2013-06-08
28.61,4.81,2013-06-09
27.37,3.18,2013-06-10
27.55,4.29,2013-06-11
28.43,5.01,2013-06-12
28.05,5.27,2013-06-13
27.2,5.47,2013-06-14
27.82,3.48,2013-06-15
28.94,2.84,2013-06-16
29.15,4.04,2013-06-17
28.4,4.02,2013-06-18
29.32,5.23,2013-06-19
28.47,5.57,2013-06-20
28.28,4.25,2013-06-21
29.21,2.88,2013-06-22
28.51,3.2,2013-06-23
26.05,2.79,2013-06-24
26.06,1.54,2013-06-25
26.59,1.52,2013-06-26
28.89,2.86,2013-06-27
26.5,4.52,2013-06-28
26.38,3.43,2013-06-29
28.03,3.34,2013-06-30
27.87,3.63,2013-07-01
28.25,3.55,2013-07-02
27.84,2.9,2013-07-03
26.8,4.07,2013-07-04
26.8,4.27,2013-07-05
26.14,3.35,2013-07-06
26.42,3.75,2013-07-07
24.85,3.23,2013-07-08
27.01,2.39,2013-07-09
27.32,2.65,2013-07-10
26.77,4.09,2013-07-11
25.24,3.59,2013-07-12
26.38,2.91,2013-07-13
26.9,3.55,2013-07-14
26.33,4.58,2013-07-15
25.64,3.99,2013-07-16
26.19,2.71,2013-07-17
26.36,2.3,2013-07-18
25.93,2.15,2013-07-19
25.58,2.25,2013-07-20
25.15,3.13,2013-07-21
26.13,2.89,2013-07-22
26.23,3.79,2013-07-23
24.87,3.65,2013-07-24
24.46,2.34,2013-07-25
24.8,2.45,2013-07-26
25.43,3.27,2013-07-27
24.72,3.63,2013-07-28
24.29,3.2,2013-07-29
25.26,2.95,2013-07-30
24.98,3.77,2013-07-31
24.7,4.21,2013-08-01
23.38,3.0,2013-08-02
24.08,2.88,2013-08-03
24.67,2.84,2013-08-04
24.59,3.62,2013-08-05
23.62,2.86,2013-08-06
24.09,3.64,2013-08-07
24.19,2.98,2013-08-08
25.05,2.33,2013-08-09
24.69,2.81,2013-08-10
24.64,2.95,2013-08-11
24.18,2.52,2013-08-12
24.58,2.59,2013-08-13
24.51,2.66,2013-08-14
24.39,3.22,2013-08-15
24.48,2.98,2013-08-16
24.01,2.57,2013-08-17
24.62,2.01,2013-08-18
25.09,1.68,2013-08-19
24.79,2.28,2013-08-20
24.12,2.96,2013-08-21
24.39,2.08,2013-08-22
24.6,2.7,2013-08-23
24.32,1.66,2013-08-24
23.87,2.93,2013-08-25
25.18,1.2,2013-08-26
26.19,1.13,2013-08-27
25.1,1.77,2013-08-28
24.61,2.54,2013-08-29
24.23,3.73,2013-08-30
24.36,1.59,2013-08-31
24.55,1.7,2013-09-01
23.69,2.28,2013-09-02
24.9,1.2,2013-09-03
25.73,1.4,2013-09-04
25.96,1.94,2013-09-05
24.32,2.69,2013-09-06
24.73,1.69,2013-09-07
24.44,1.76,2013-09-08
25.14,1.98,2013-09-09
23.52,3.13,2013-09-10
23.61,3.06,2013-09-11
25.1,1.73,2013-09-12
25.41,2.09,2013-09-13
24.98,1.66,2013-09-14
25.28,1.88,2013-09-15
25.48,2.27,2013-09-16
25.73,2.63,2013-09-17
25.8,2.91,2013-09-18
26.23,2.48,2013-09-19
26.58,1.99,2013-09-20
25.58,2.26,2013-09-21
25.62,2.19,2013-09-22
24.59,2.97,2013-09-23
25.19,2.95,2013-09-24
25.12,2.82,2013-09-25
25.98,1.48,2013-09-26
26.58,1.88,2013-09-27
25.9,2.77,2013-09-28
25.05,2.69,2013-09-29
25.62,2.73,2013-09-30
25.86,2.09,2013-10-01
25.45,2.24,2013-10-02
25.55,2.51,2013-10-03
25.97,2.27,2013-10-04
25.05,2.34,2013-10-05
25.01,2.54,2013-10-06
24.78,1.58,2013-10-07
25.4,2.07,2013-10-08
26.05,1.76,2013-10-09
26.25,1.65,2013-10-10
26.08,1.59,2013-10-11
25.55,2.12,2013-10-12
24.63,2.96,2013-10-13
23.9,2.21,2013-10-14
25.65,1.58,2013-10-15
26.8,2.09,2013-10-16
25.37,2.05,2013-10-17
25.02,2.34,2013-10-18
25.62,1.65,2013-10-19
25.74,1.79,2013-10-20
25.37,2.61,2013-10-21
24.55,2.45,2013-10-22
25.61,2.27,2013-10-23
25.01,2.75,2013-10-24
25.43,2.52,2013-10-25
25.71,2.91,2013-10-26
25.05,2.61,2013-10-27
27.0,1.69,2013-10-28
27.26,1.84,2013-10-29
27.13,2.13,2013-10-30
27.46,2.0,2013-10-31
25.79,3.59,2013-11-01
25.9,3.12,2013-11-02
24.51,3.64,2013-11-03
24.24,4.2,2013-11-04
24.19,3.53,2013-11-05
25.01,3.48,2013-11-06
25.47,3.48,2013-11-07
25.38,3.38,2013-11-08
25.4,3.31,2013-11-09
24.84,3.24,2013-11-10
25.24,2.29,2013-11-11
25.76,2.71,2013-11-12
26.67,2.02,2013-11-13
26.72,1.88,2013-11-14
26.75,1.5,2013-11-15
27.34,2.59,2013-11-16
26.34,3.73,2013-11-17
25.94,3.3,2013-11-18
25.92,3.68,2013-11-19
26.07,2.8,2013-11-20
26.81,2.08,2013-11-21
25.95,1.73,2013-11-22
27.25,1.68,2013-11-23
26.41,1.4,2013-11-24
26.02,2.3,2013-11-25
28.13,1.86,2013-11-26
27.37,3.38,2013-11-27
26.6,4.26,2013-11-28
26.44,3.88,2013-11-29
25.89,2.41,2013-11-30
27.09,2.85,2013-12-01
29.3,1.92,2013-12-02
28.47,2.97,2013-12-03
27.95,3.05,2013-12-04
27.39,2.3,2013-12-05
27.08,2.0,2013-12-06
27.77,2.61,2013-12-07
27.88,2.84,2013-12-08
27.65,4.62,2013-12-09
27.76,2.46,2013-12-10
27.15,2.62,2013-12-11
26.35,5.46,2013-12-12
23.82,5.76,2013-12-13
21.55,6.09,2013-12-14
20.38,5.76,2013-12-15
20.08,5.31,2013-12-16
19.96,5.34,2013-12-17
20.23,5.0,2013-12-18
20.09,4.38,2013-12-19
22.26,3.19,2013-12-20
23.45,3.84,2013-12-21
25.18,3.84,2013-12-22
25.29,4.14,2013-12-23
26.01,4.56,2013-12-24
24.79,5.02,2013-12-25
24.53,4.75,2013-12-26
24.9,4.09,2013-12-27
25.19,4.88,2013-12-28
24.51,5.45,2013-12-29
24.0,4.42,2013-12-30
23.71,3.76,2013-12-31
24.06,3.95,2014-01-01
24.53,4.74,2014-01-02
24.19,5.42,2014-01-03
23.81,5.35,2014-01-04
23.83,5.05,2014-01-05
23.26,5.45,2014-01-06
23.18,5.23,2014-01-07
23.9,5.7,2014-01-08
23.7,5.45,2014-01-09
23.44,5.95,2014-01-10
23.57,5.9,2014-01-11
23.58,4.98,2014-01-12
23.5,4.42,2014-01-13
23.55,3.02,2014-01-14
24.67,2.25,2014-01-15
25.55,3.92,2014-01-16
26.06,4.89,2014-01-17
26.02,5.52,2014-01-18
26.4,4.64,2014-01-19
25.87,3.91,2014-01-20
25.65,3.8,2014-01-21
25.37,4.1,2014-01-22
25.94,2.79,2014-01-23
