T2M,WS10M,date
22.15,3.39,2013-01-01
22.46,3.12,2013-01-02
24.9,1.93,2013-01-03
26.36,1.16,2013-01-04
25.69,2.12,2013-01-05
25.95,2.1,2013-01-06
24.4,2.0,2013-01-07
24.14,2.4,2013-01-08
22.87,3.27,2013-01-09
23.09,3.25,2013-01-10
23.68,2.6,2013-01-11
23.98,2.8,2013-01-12
24.5,2.62,2013-01-13
25.94,1.4,2013-01-14
26.57,2.04,2013-01-15
26.64,1.98,2013-01-16
27.32,2.0,2013-01-17
26.28,2.26,2013-01-18
26.44,1.98,2013-01-19
26.93,1.66,2013-01-20
26.58,1.95,2013-01-21
27.08,2.18,2013-01-22
26.83,2.59,2013-01-23
26.6,2.15,2013-01-24
26.36,2.38,2013-01-25
26.28,2.57,2013-01-26
26.1,2.49,2013-01-27
26.23,1.3,2013-01-28
26.63,1.14,2013-01-29
26.08,1.7,2013-01-30
21.51,3.73,2013-01-31
21.19,4.49,2013-02-01
23.01,2.7,2013-02-02
25.53,1.61,2013-02-03
27.14,1.46,2013-02-04
26.9,1.48,2013-02-05
27.12,1.84,2013-02-06
26.48,1.67,2013-02-07
26.76,1.83,2013-02-08
26.18,2.52,2013-02-09
25.81,2.69,2013-02-10
26.09,2.4,2013-02-11
26.21,2.55,2013-02-12
26.4,2.43,2013-02-13
26.56,2.27,2013-02-14
26.4,2.18,2013-02-15
27.19,1.92,2013-02-16
26.62,3.33,2013-02-17
26.65,2.2,2013-02-18
26.3,2.42,2013-02-19
25.84,2.45,2013-02-20
27.08,1.84,2013-02-21
27.28,1.93,2013-02-22
26.65,2.19,2013-02-23
27.58,2.7,2013-02-24
26.97,2.73,2013-02-25
26.48,2.47,2013-02-26
26.58,2.11,2013-02-27
27.26,2.26,2013-02-28
27.21,2.3,2013-03-01
26.59,2.28,2013-03-02
27.46,2.34,2013-03-03
26.26,2.89,2013-03-04
27.47,2.34,2013-03-05
27.44,2.56,2013-03-06
27.13,2.45,2013-03-07
26.56,2.29,2013-03-08
26.66,2.74,2013-03-09
27.03,2.74,2013-03-10
26.62,2.06,2013-03-11
26.95,2.62,2013-03-12
26.6,2.05,2013-03-13
26.98,2.12,2013-03-14
26.57,2.69,2013-03-15
26.47,2.2,2013-03-16
26.68,2.61,2013-03-17
27.85,1.29,2013-03-18
26.72,2.19,2013-03-19
27.73,1.68,2013-03-20
26.53,2.84,2013-03-21
26.65,2.29,2013-03-22
25.78,2.27,2013-03-23
26.56,2.24,2013-03-24
26.58,2.19,2013-03-25
26.56,2.37,2013-03-26
25.9,2.27,2013-03-27
26.23,1.81,2013-03-28
26.3,2.04,2013-03-29
25.88,2.4,2013-03-30
27.6,1.49,2013-03-31
27.32,1.73,2013-04-01
26.05,2.47,2013-04-02
26.83,1.91,2013-04-03
27.38,2.23,2013-04-04
27.5,2.51,2013-04-05
27.43,2.59,2013-04-06
26.18,2.38,2013-04-07
26.26,2.34,2013-04-08
