T2M,WS10M,date
18.13,3.25,2013-01-01
19.09,2.98,2013-01-02
20.3,2.73,2013-01-03
21.21,2.66,2013-01-04
22.3,2.61,2013-01-05
20.51,3.34,2013-01-06
19.83,2.88,2013-01-07
19.7,3.13,2013-01-08
19.22,3.35,2013-01-09
18.23,3.34,2013-01-10
18.11,3.43,2013-01-11
18.38,3.15,2013-01-12
19.01,3.34,2013-01-13
20.34,2.62,2013-01-14
22.51,2.85,2013-01-15
24.19,3.24,2013-01-16
23.77,2.95,2013-01-17
24.33,2.4,2013-01-18
23.97,1.39,2013-01-19
26.05,1.38,2013-01-20
27.47,1.55,2013-01-21
27.54,2.12,2013-01-22
27.05,2.23,2013-01-23
27.8,2.13,2013-01-24
28.26,1.77,2013-01-25
27.58,1.34,2013-01-26
26.45,1.58,2013-01-27
24.3,2.88,2013-01-28
23.11,3.23,2013-01-29
21.79,3.84,2013-01-30
18.76,4.38,2013-01-31
17.73,4.16,2013-02-01
18.8,3.17,2013-02-02
21.8,2.05,2013-02-03
24.1,2.09,2013-02-04
24.26,3.56,2013-02-05
21.17,3.54,2013-02-06
21.81,2.8,2013-02-07
22.58,2.96,2013-02-08
23.08,2.69,2013-02-09
23.98,2.76,2013-02-10
24.79,3.17,2013-02-11
25.01,2.52,2013-02-12
25.87,1.94,2013-02-13
25.5,2.33,2013-02-14
24.48,3.29,2013-02-15
24.87,3.2,2013-02-16
25.06,2.7,2013-02-17
27.64,1.97,2013-02-18
26.67,2.28,2013-02-19
27.92,2.09,2013-02-20
29.18,1.69,2013-02-21
28.19,3.43,2013-02-22
28.36,3.85,2013-02-23
28.59,3.63,2013-02-24
28.72,3.16,2013-02-25
29.12,2.84,2013-02-26
29.69,2.83,2013-02-27
29.97,3.49,2013-02-28
29.34,3.24,2013-03-01
28.81,3.1,2013-03-02
29.89,3.09,2013-03-03
30.01,2.8,2013-03-04
29.43,2.52,2013-03-05
28.96,2.78,2013-03-06
28.93,3.14,2013-03-07
28.23,2.66,2013-03-08
27.95,2.98,2013-03-09
28.47,3.16,2013-03-10
28.9,3.02,2013-03-11
29.08,1.68,2013-03-12
29.98,2.03,2013-03-13
29.73,2.19,2013-03-14
29.7,2.45,2013-03-15
29.39,2.35,2013-03-16
27.44,2.99,2013-03-17
28.5,2.84,2013-03-18
30.19,3.52,2013-03-19
29.3,2.74,2013-03-20
28.67,2.32,2013-03-21
28.12,1.95,2013-03-22
28.6,2.91,2013-03-23
29.18,2.3,2013-03-24
30.08,2.09,2013-03-25
30.73,1.73,2013-03-26
31.54,1.66,2013-03-27
30.28,1.7,2013-03-28
32.4,2.56,2013-03-29
32.51,3.34,2013-03-30
31.21,3.46,2013-03-31
31.65,2.64,2013-04-01
30.97,2.79,2013-04-02
31.93,2.53,2013-04-03
31.28,2.33,2013-04-04
30.64,2.64,2013-04-05
31.37,2.33,2013-04-06
31.96,1.73,2013-04-07
32.31,3.19,2013-04-08
33.05,2.07,2013-04-09
30.94,2.33,2013-04-10
30.32,2.54,2013-04-11
30.95,2.54,2013-04-12
29.96,3.02,2013-04-13
30.98,3.42,2013-04-14
29.95,2.7,2013-04-15
29.29,2.6,2013-04-16
28.82,2.08,2013-04-17
30.37,2.26,2013-04-18
30.42,3.27,2013-04-19
29.68,3.08,2013-04-20
32.11,2.35,2013-04-21
32.05,2.28,2013-04-22
31.23,1.34,2013-04-23
31.47,1.5,2013-04-24
31.23,3.16,2013-04-25
31.56,2.5,2013-04-26
32.09,2.45,2013-04-27
32.64,2.38,2013-04-28
33.0,1.85,2013-04-29
33.88,2.38,2013-04-30
33.94,2.46,2013-05-01
33.35,2.91,2013-05-02
33.43,2.2,2013-05-03
34.01,2.2,2013-05-04
33.57,2.74,2013-05-05
32.97,2.34,2013-05-06
33.7,1.99,2013-05-07
33.1,2.95,2013-05-08
32.4,2.75,2013-05-09
32.44,1.45,2013-05-10
31.72,1.88,2013-05-11
30.84,3.48,2013-05-12
31.89,3.23,2013-05-13
33.55,2.62,2013-05-14
33.28,1.18,2013-05-15
32.65,1.52,2013-05-16
33.85,1.98,2013-05-17
33.88,2.8,2013-05-18
33.75,2.09,2013-05-19
33.51,2.14,2013-05-20
33.48,2.2,2013-05-21
33.83,2.56,2013-05-22
34.01,2.11,2013-05-23
34.09,2.64,2013-05-24
33.98,3.13,2013-05-25
31.19,2.77,2013-05-26
33.32,2.38,2013-05-27
33.05,3.24,2013-05-28
33.05,3.45,2013-05-29
32.87,2.07,2013-05-30
32.69,2.42,2013-05-31
32.86,2.45,2013-06-01
31.69,2.85,2013-06-02
31.76,3.25,2013-06-03
32.2,2.99,2013-06-04
30.0,3.29,2013-06-05
31.06,2.55,2013-06-06
31.94,2.09,2013-06-07
33.35,2.16,2013-06-08
33.72,2.68,2013-06-09
31.88,2.51,2013-06-10
31.67,1.8,2013-06-11
32.01,2.27,2013-06-12
31.06,2.54,2013-06-13
30.4,3.17,2013-06-14
30.88,1.7,2013-06-15
31.02,1.92,2013-06-16
32.19,2.06,2013-06-17
32.86,2.0,2013-06-18
32.2,2.17,2013-06-19
30.8,3.05,2013-06-20
30.67,2.71,2013-06-21
31.25,2.16,2013-06-22
31.12,1.77,2013-06-23
28.25,2.3,2013-06-24
28.12,1.88,2013-06-25
29.48,1.74,2013-06-26
30.91,1.93,2013-06-27
31.15,2.3,2013-06-28
29.57,2.02,2013-06-29
30.9,1.74,2013-06-30
31.26,2.19,2013-07-01
31.03,2.25,2013-07-02
31.34,2.04,2013-07-03
31.38,2.45,2013-07-04
31.14,2.02,2013-07-05
29.88,2.0,2013-07-06
29.32,2.17,2013-07-07
29.41,2.76,2013-07-08
29.4,1.88,2013-07-09
31.06,1.96,2013-07-10
31.76,2.27,2013-07-11
29.8,2.27,2013-07-12
29.55,1.87,2013-07-13
30.37,1.62,2013-07-14
30.44,1.96,2013-07-15
27.99,2.34,2013-07-16
29.43,1.65,2013-07-17
29.22,1.85,2013-07-18
28.28,1.75,2013-07-19
28.44,2.38,2013-07-20
29.69,1.85,2013-07-21
28.4,1.98,2013-07-22
28.54,2.27,2013-07-23
27.15,1.84,2013-07-24
26.66,1.96,2013-07-25
27.26,2.24,2013-07-26
28.38,2.12,2013-07-27
27.19,2.61,2013-07-28
26.3,1.99,2013-07-29
25.79,2.38,2013-07-30
27.73,2.17,2013-07-31
26.9,2.23,2013-08-01
26.04,2.04,2013-08-02
26.8,1.34,2013-08-03
27.13,1.35,2013-08-04
26.94,1.8,2013-08-05
25.98,2.09,2013-08-06
26.51,1.07,2013-08-07
25.3,1.59,2013-08-08
24.78,1.61,2013-08-09
27.13,1.45,2013-08-10
25.48,1.44,2013-08-11
24.67,1.49,2013-08-12
26.4,1.72,2013-08-13
26.16,1.73,2013-08-14
26.8,1.32,2013-08-15
26.32,1.3,2013-08-16
25.71,1.2,2013-08-17
26.29,1.36,2013-08-18
