T2M,WS10M,date
17.03,5.76,2013-01-01
17.97,5.62,2013-01-02
19.34,4.55,2013-01-03
19.54,4.36,2013-01-04
20.86,3.07,2013-01-05
19.78,4.73,2013-01-06
18.7,4.82,2013-01-07
18.37,5.27,2013-01-08
18.26,5.9,2013-01-09
18.37,5.7,2013-01-10
18.08,5.89,2013-01-11
18.35,5.73,2013-01-12
18.91,6.23,2013-01-13
20.3,3.94,2013-01-14
21.03,4.54,2013-01-15
22.32,5.17,2013-01-16
21.97,4.79,2013-01-17
22.96,3.1,2013-01-18
22.75,2.73,2013-01-19
24.08,1.67,2013-01-20
25.19,1.71,2013-01-21
24.76,3.17,2013-01-22
24.5,3.19,2013-01-23
25.09,1.91,2013-01-24
23.8,2.11,2013-01-25
24.39,2.14,2013-01-26
23.83,2.5,2013-01-27
23.47,3.75,2013-01-28
21.55,5.07,2013-01-29
20.43,6.09,2013-01-30
17.9,8.11,2013-01-31
17.33,7.6,2013-02-01
18.8,4.46,2013-02-02
21.46,2.71,2013-02-03
23.62,2.5,2013-02-04
23.38,5.29,2013-02-05
21.05,6.22,2013-02-06
20.73,5.29,2013-02-07
22.26,4.84,2013-02-08
23.06,4.03,2013-02-09
22.94,3.95,2013-02-10
23.19,4.57,2013-02-11
23.81,2.83,2013-02-12
25.3,2.07,2013-02-13
25.42,1.66,2013-02-14
24.65,2.63,2013-02-15
23.65,4.3,2013-02-16
24.01,3.47,2013-02-17
23.98,2.8,2013-02-18
24.58,2.83,2013-02-19
25.0,2.08,2013-02-20
26.14,2.12,2013-02-21
25.31,3.71,2013-02-22
25.48,5.13,2013-02-23
25.94,5.02,2013-02-24
26.78,4.04,2013-02-25
27.05,1.86,2013-02-26
26.07,2.14,2013-02-27
26.98,3.28,2013-02-28
26.76,2.22,2013-03-01
27.05,1.77,2013-03-02
27.42,1.84,2013-03-03
26.29,2.17,2013-03-04
26.99,2.44,2013-03-05
26.93,2.58,2013-03-06
27.05,2.48,2013-03-07
27.05,2.62,2013-03-08
26.48,2.44,2013-03-09
26.41,2.09,2013-03-10
26.93,2.02,2013-03-11
27.14,1.7,2013-03-12
26.98,2.09,2013-03-13
27.58,1.87,2013-03-14
27.07,2.13,2013-03-15
26.93,2.18,2013-03-16
25.49,1.49,2013-03-17
26.76,3.25,2013-03-18
27.64,3.71,2013-03-19
27.36,2.42,2013-03-20
27.3,2.2,2013-03-21
27.21,2.71,2013-03-22
27.78,1.98,2013-03-23
26.2,3.35,2013-03-24
27.51,1.93,2013-03-25
27.48,4.02,2013-03-26
27.37,3.41,2013-03-27
25.99,3.44,2013-03-28
27.92,3.4,2013-03-29
26.12,4.51,2013-03-30
25.66,3.98,2013-03-31
27.3,2.55,2013-04-01
27.55,2.12,2013-04-02
27.87,2.63,2013-04-03
28.37,2.18,2013-04-04
29.2,1.81,2013-04-05
28.55,2.69,2013-04-06
28.72,3.44,2013-04-07
28.67,3.3,2013-04-08
26.62,3.98,2013-04-09
28.62,1.91,2013-04-10
28.58,1.58,2013-04-11
29.01,2.3,2013-04-12
28.25,3.05,2013-04-13
28.98,2.81,2013-04-14
29.03,2.46,2013-04-15
27.73,2.45,2013-04-16
27.19,3.58,2013-04-17
27.35,3.32,2013-04-18
26.22,2.62,2013-04-19
26.83,1.54,2013-04-20
27.62,1.68,2013-04-21
27.76,2.54,2013-04-22
26.6,2.38,2013-04-23
27.49,1.92,2013-04-24
28.05,2.2,2013-04-25
28.74,2.7,2013-04-26
27.29,2.66,2013-04-27
26.61,1.87,2013-04-28
27.44,1.86,2013-04-29
27.98,2.24,2013-04-30
26.3,3.05,2013-05-01
28.08,2.84,2013-05-02
27.72,3.47,2013-05-03
25.99,3.27,2013-05-04
27.83,2.54,2013-05-05
26.39,3.61,2013-05-06
27.51,2.62,2013-05-07
26.2,3.42,2013-05-08
26.44,3.16,2013-05-09
26.93,2.61,2013-05-10
24.91,3.56,2013-05-11
26.48,1.97,2013-05-12
27.05,2.46,2013-05-13
27.05,2.07,2013-05-14
25.91,2.38,2013-05-15
27.48,2.05,2013-05-16
28.28,2.45,2013-05-17
27.4,2.34,2013-05-18
27.95,2.73,2013-05-19
27.6,4.14,2013-05-20
26.21,3.37,2013-05-21
27.48,3.14,2013-05-22
27.26,4.22,2013-05-23
28.33,3.27,2013-05-24
28.3,3.94,2013-05-25
26.9,2.48,2013-05-26
26.59,2.45,2013-05-27
25.93,3.3,2013-05-28
26.15,3.03,2013-05-29
26.37,2.48,2013-05-30
27.49,2.8,2013-05-31
26.99,2.94,2013-06-01
25.15,2.77,2013-06-02
24.72,3.5,2013-06-03
25.81,4.48,2013-06-04
24.39,3.7,2013-06-05
25.74,3.0,2013-06-06
27.19,1.91,2013-06-07
25.6,3.03,2013-06-08
25.08,3.68,2013-06-09
25.84,2.07,2013-06-10
25.27,2.94,2013-06-11
25.13,3.66,2013-06-12
