T2M,WS10M,date
17.16,2.91,2013-01-01
18.17,2.72,2013-01-02
19.41,2.56,2013-01-03
20.37,2.48,2013-01-04
21.23,2.24,2013-01-05
19.66,3.05,2013-01-06
19.12,2.7,2013-01-07
19.01,2.8,2013-01-08
18.53,3.09,2013-01-09
17.73,3.09,2013-01-10
17.45,3.21,2013-01-11
17.76,2.94,2013-01-12
18.3,3.11,2013-01-13
19.32,2.52,2013-01-14
21.46,2.63,2013-01-15
22.98,2.89,2013-01-16
22.86,2.73,2013-01-17
23.48,2.23,2013-01-18
22.99,1.66,2013-01-19
26.07,1.42,2013-01-20
27.25,1.52,2013-01-21
27.23,1.67,2013-01-22
26.3,2.22,2013-01-23
27.11,1.94,2013-01-24
27.6,1.5,2013-01-25
27.62,0.97,2013-01-26
26.11,1.3,2013-01-27
23.45,2.62,2013-01-28
22.57,2.95,2013-01-29
21.34,3.54,2013-01-30
18.52,4.28,2013-01-31
16.99,3.95,2013-02-01
17.91,3.0,2013-02-02
20.78,1.88,2013-02-03
23.48,1.94,2013-02-04
23.31,3.16,2013-02-05
20.38,3.33,2013-02-06
20.9,2.62,2013-02-07
21.7,2.71,2013-02-08
22.23,2.5,2013-02-09
23.21,2.5,2013-02-10
24.06,3.03,2013-02-11
24.19,2.28,2013-02-12
25.25,1.72,2013-02-13
25.01,2.16,2013-02-14
23.35,2.97,2013-02-15
23.87,2.77,2013-02-16
24.37,2.46,2013-02-17
27.15,1.71,2013-02-18
26.07,2.03,2013-02-19
27.3,1.86,2013-02-20
27.73,1.76,2013-02-21
27.12,3.05,2013-02-22
27.22,3.32,2013-02-23
27.39,3.12,2013-02-24
27.73,2.87,2013-02-25
28.2,2.51,2013-02-26
28.75,2.52,2013-02-27
28.98,3.15,2013-02-28
28.37,3.01,2013-03-01
27.61,2.77,2013-03-02
28.85,2.88,2013-03-03
29.01,2.7,2013-03-04
28.76,2.35,2013-03-05
28.33,2.51,2013-03-06
27.94,2.84,2013-03-07
27.36,2.46,2013-03-08
26.86,2.68,2013-03-09
27.11,2.57,2013-03-10
27.83,2.69,2013-03-11
28.73,1.46,2013-03-12
29.19,1.45,2013-03-13
29.1,1.88,2013-03-14
28.54,2.3,2013-03-15
28.82,2.11,2013-03-16
26.39,2.16,2013-03-17
27.55,2.5,2013-03-18
29.21,3.15,2013-03-19
28.4,2.55,2013-03-20
27.7,2.38,2013-03-21
27.32,1.98,2013-03-22
28.07,2.48,2013-03-23
28.2,2.02,2013-03-24
28.94,2.05,2013-03-25
29.8,1.75,2013-03-26
30.29,1.98,2013-03-27
29.6,1.68,2013-03-28
32.09,2.72,2013-03-29
31.37,3.48,2013-03-30
30.08,3.65,2013-03-31
31.13,2.52,2013-04-01
30.4,2.38,2013-04-02
30.9,2.34,2013-04-03
30.96,2.0,2013-04-04
30.05,2.4,2013-04-05
31.33,1.59,2013-04-06
31.91,1.67,2013-04-07
30.98,2.7,2013-04-08
32.46,2.12,2013-04-09
30.33,2.45,2013-04-10
29.49,2.42,2013-04-11
29.95,2.45,2013-04-12
28.99,2.52,2013-04-13
29.93,3.27,2013-04-14
29.22,2.48,2013-04-15
28.1,2.18,2013-04-16
28.37,1.83,2013-04-17
29.89,2.15,2013-04-18
29.03,3.03,2013-04-19
28.75,2.45,2013-04-20
30.87,2.19,2013-04-21
30.87,2.06,2013-04-22
30.08,1.47,2013-04-23
30.05,1.34,2013-04-24
29.83,2.84,2013-04-25
30.69,1.91,2013-04-26
31.38,2.27,2013-04-27
31.52,2.24,2013-04-28
32.07,1.82,2013-04-29
33.32,2.19,2013-04-30
33.03,1.69,2013-05-01
32.49,2.78,2013-05-02
32.58,2.05,2013-05-03
32.55,1.74,2013-05-04
32.4,2.59,2013-05-05
32.26,2.08,2013-05-06
32.98,1.79,2013-05-07
31.99,2.88,2013-05-08
31.74,2.46,2013-05-09
31.15,2.01,2013-05-10
29.99,2.2,2013-05-11
30.51,2.8,2013-05-12
31.19,2.79,2013-05-13
32.56,2.41,2013-05-14
32.37,1.62,2013-05-15
31.62,1.66,2013-05-16
32.79,1.59,2013-05-17
33.09,2.57,2013-05-18
32.61,2.35,2013-05-19
32.39,1.77,2013-05-20
32.51,2.21,2013-05-21
32.67,2.37,2013-05-22
33.2,1.95,2013-05-23
33.43,2.27,2013-05-24
33.27,2.39,2013-05-25
30.72,2.47,2013-05-26
32.54,2.27,2013-05-27
32.33,2.72,2013-05-28
33.3,2.83,2013-05-29
32.38,1.85,2013-05-30
31.8,2.23,2013-05-31
31.73,2.03,2013-06-01
30.77,2.83,2013-06-02
30.96,3.09,2013-06-03
31.52,2.95,2013-06-04
29.19,3.37,2013-06-05
30.57,2.28,2013-06-06
31.33,2.09,2013-06-07
32.88,1.87,2013-06-08
32.58,2.32,2013-06-09
30.44,2.12,2013-06-10
31.22,2.03,2013-06-11
30.96,2.49,2013-06-12
30.4,2.66,2013-06-13
29.87,3.07,2013-06-14
29.85,1.64,2013-06-15
30.49,1.81,2013-06-16
31.37,1.83,2013-06-17
32.02,1.84,2013-06-18
31.23,2.12,2013-06-19
30.33,3.05,2013-06-20
29.23,2.73,2013-06-21
30.65,1.88,2013-06-22
30.5,1.62,2013-06-23
27.52,2.06,2013-06-24
27.85,1.61,2013-06-25
29.01,1.72,2013-06-26
30.4,1.59,2013-06-27
30.17,2.15,2013-06-28
28.72,1.76,2013-06-29
30.22,1.29,2013-06-30
30.3,2.09,2013-07-01
30.37,1.95,2013-07-02
30.38,1.83,2013-07-03
30.63,2.22,2013-07-04
