T2M,WS10M,date
18.15,5.24,2013-01-01
19.4,4.46,2013-01-02
21.17,4.05,2013-01-03
22.02,3.78,2013-01-04
22.68,3.59,2013-01-05
20.3,6.2,2013-01-06
20.28,4.95,2013-01-07
20.99,5.08,2013-01-08
19.9,5.36,2013-01-09
18.82,5.9,2013-01-10
18.76,5.87,2013-01-11
19.33,5.4,2013-01-12
20.08,5.6,2013-01-13
21.36,4.38,2013-01-14
24.15,4.37,2013-01-15
25.07,4.75,2013-01-16
24.89,4.5,2013-01-17
25.05,3.83,2013-01-18
25.48,3.61,2013-01-19
26.95,2.61,2013-01-20
28.97,1.3,2013-01-21
28.56,2.9,2013-01-22
28.48,3.03,2013-01-23
29.09,2.44,2013-01-24
28.25,2.08,2013-01-25
28.22,1.91,2013-01-26
26.87,3.66,2013-01-27
25.66,4.7,2013-01-28
23.91,5.3,2013-01-29
22.77,6.41,2013-01-30
19.18,7.62,2013-01-31
17.94,7.03,2013-02-01
19.0,5.47,2013-02-02
22.29,3.22,2013-02-03
23.94,2.88,2013-02-04
24.32,5.58,2013-02-05
21.3,5.99,2013-02-06
22.18,4.48,2013-02-07
23.13,4.2,2013-02-08
24.26,4.15,2013-02-09
25.99,4.01,2013-02-10
25.87,4.93,2013-02-11
25.87,3.48,2013-02-12
26.79,2.32,2013-02-13
26.26,3.7,2013-02-14
24.96,5.59,2013-02-15
25.62,4.91,2013-02-16
26.32,4.12,2013-02-17
27.02,3.6,2013-02-18
27.51,3.87,2013-02-19
27.9,3.9,2013-02-20
29.83,1.88,2013-02-21
28.9,5.05,2013-02-22
28.66,5.61,2013-02-23
29.17,5.02,2013-02-24
30.08,4.41,2013-02-25
30.26,4.53,2013-02-26
30.46,4.07,2013-02-27
31.12,5.02,2013-02-28
30.75,5.38,2013-03-01
30.48,5.2,2013-03-02
31.24,4.88,2013-03-03
31.48,4.8,2013-03-04
31.26,4.78,2013-03-05
30.4,4.46,2013-03-06
30.27,4.5,2013-03-07
29.92,4.55,2013-03-08
29.35,4.84,2013-03-09
29.44,4.75,2013-03-10
29.94,4.55,2013-03-11
30.4,2.45,2013-03-12
30.71,2.96,2013-03-13
30.69,2.34,2013-03-14
30.82,2.85,2013-03-15
30.26,2.52,2013-03-16
29.5,4.91,2013-03-17
29.81,3.98,2013-03-18
30.62,4.95,2013-03-19
30.34,4.41,2013-03-20
30.29,4.3,2013-03-21
29.56,2.98,2013-03-22
29.9,3.61,2013-03-23
30.1,2.85,2013-03-24
30.8,2.52,2013-03-25
31.67,2.34,2013-03-26
31.72,2.4,2013-03-27
31.62,3.63,2013-03-28
32.61,4.66,2013-03-29
31.8,2.91,2013-03-30
31.09,5.2,2013-03-31
31.43,2.9,2013-04-01
32.26,2.47,2013-04-02
31.79,3.19,2013-04-03
31.92,3.08,2013-04-04
32.03,3.27,2013-04-05
32.56,2.79,2013-04-06
32.74,1.91,2013-04-07
31.52,4.02,2013-04-08
32.26,3.84,2013-04-09
31.55,2.52,2013-04-10
31.48,3.88,2013-04-11
31.83,4.52,2013-04-12
31.05,5.1,2013-04-13
30.33,6.13,2013-04-14
30.26,3.8,2013-04-15
30.1,3.53,2013-04-16
29.76,2.4,2013-04-17
32.04,2.05,2013-04-18
28.76,3.74,2013-04-19
28.84,2.46,2013-04-20
29.15,1.73,2013-04-21
30.62,3.16,2013-04-22
28.94,3.09,2013-04-23
28.6,2.05,2013-04-24
29.0,3.21,2013-04-25
31.44,2.24,2013-04-26
31.9,2.78,2013-04-27
30.97,4.61,2013-04-28
32.69,2.15,2013-04-29
34.17,2.38,2013-04-30
34.21,3.27,2013-05-01
33.37,3.32,2013-05-02
33.88,2.26,2013-05-03
32.16,2.75,2013-05-04
32.58,2.71,2013-05-05
31.83,3.31,2013-05-06
31.82,3.31,2013-05-07
30.62,3.44,2013-05-08
30.76,3.06,2013-05-09
31.44,2.89,2013-05-10
29.94,2.9,2013-05-11
29.35,3.27,2013-05-12
31.38,4.09,2013-05-13
32.93,3.4,2013-05-14
31.83,2.73,2013-05-15
31.36,2.66,2013-05-16
32.88,2.97,2013-05-17
32.83,2.65,2013-05-18
32.64,3.8,2013-05-19
32.16,3.2,2013-05-20
32.46,2.66,2013-05-21
33.16,2.83,2013-05-22
33.74,2.31,2013-05-23
34.18,2.72,2013-05-24
33.97,3.41,2013-05-25
32.81,4.57,2013-05-26
33.26,3.33,2013-05-27
32.73,4.24,2013-05-28
32.89,3.06,2013-05-29
32.76,3.6,2013-05-30
33.04,2.99,2013-05-31
32.76,3.48,2013-06-01
31.11,5.37,2013-06-02
31.58,5.1,2013-06-03
32.4,4.78,2013-06-04
31.88,4.56,2013-06-05
31.14,3.39,2013-06-06
32.2,3.16,2013-06-07
33.12,2.69,2013-06-08
32.93,3.36,2013-06-09
31.08,3.55,2013-06-10
32.63,3.27,2013-06-11
31.37,3.04,2013-06-12
32.37,2.81,2013-06-13
31.77,5.03,2013-06-14
30.67,3.66,2013-06-15
30.96,2.53,2013-06-16
32.0,2.7,2013-06-17
31.09,3.45,2013-06-18
30.65,3.01,2013-06-19
30.65,4.16,2013-06-20
29.99,5.06,2013-06-21
30.84,3.02,2013-06-22
31.0,2.94,2013-06-23
28.75,3.95,2013-06-24
28.42,3.18,2013-06-25
30.3,2.45,2013-06-26
30.38,2.77,2013-06-27
30.87,3.57,2013-06-28
28.02,3.38,2013-06-29
29.0,2.7,2013-06-30
29.53,3.14,2013-07-01
30.75,2.78,2013-07-02
30.08,2.37,2013-07-03
29.88,2.94,2013-07-04
29.8,3.23,2013-07-05
29.55,2.3,2013-07-06
28.65,3.18,2013-07-07
28.03,2.16,2013-07-08
28.86,2.71,2013-07-09
30.6,2.41,2013-07-10
30.51,2.79,2013-07-11
28.69,4.03,2013-07-12
27.18,3.4,2013-07-13
28.97,2.06,2013-07-14
28.32,3.72,2013-07-15
27.79,4.11,2013-07-16
28.57,3.48,2013-07-17
28.75,2.43,2013-07-18
29.4,2.62,2013-07-19
28.49,1.91,2013-07-20
28.98,2.54,2013-07-21
28.44,2.68,2013-07-22
28.23,4.12,2013-07-23
27.98,4.13,2013-07-24
28.15,2.96,2013-07-25
