T2M,WS10M,date
19.77,3.75,2013-01-01
21.2,3.46,2013-01-02
22.35,3.05,2013-01-03
22.81,3.43,2013-01-04
22.11,3.38,2013-01-05
21.83,3.94,2013-01-06
22.29,3.8,2013-01-07
23.1,3.55,2013-01-08
22.2,3.87,2013-01-09
21.62,4.27,2013-01-10
21.54,4.25,2013-01-11
22.21,4.02,2013-01-12
21.94,3.79,2013-01-13
23.79,2.87,2013-01-14
25.66,2.88,2013-01-15
25.62,3.37,2013-01-16
26.62,3.3,2013-01-17
26.72,3.01,2013-01-18
26.87,2.12,2013-01-19
28.69,1.35,2013-01-20
28.34,1.55,2013-01-21
29.47,1.62,2013-01-22
29.93,1.98,2013-01-23
29.44,2.21,2013-01-24
29.33,1.41,2013-01-25
29.34,1.89,2013-01-26
26.69,2.82,2013-01-27
26.22,3.71,2013-01-28
26.18,3.72,2013-01-29
25.33,4.34,2013-01-30
22.14,5.97,2013-01-31
20.45,5.34,2013-02-01
21.56,3.33,2013-02-02
23.68,2.18,2013-02-03
24.38,2.98,2013-02-04
25.3,3.97,2013-02-05
24.72,4.57,2013-02-06
24.77,3.85,2013-02-07
25.28,3.44,2013-02-08
25.26,3.15,2013-02-09
27.61,3.09,2013-02-10
26.56,3.04,2013-02-11
26.98,3.05,2013-02-12
26.97,2.77,2013-02-13
26.55,2.7,2013-02-14
27.58,2.3,2013-02-15
27.37,2.77,2013-02-16
27.91,2.66,2013-02-17
28.51,1.88,2013-02-18
28.89,2.7,2013-02-19
30.51,2.66,2013-02-20
31.51,2.09,2013-02-21
30.48,3.62,2013-02-22
29.87,2.76,2013-02-23
31.01,2.28,2013-02-24
31.9,2.0,2013-02-25
31.65,2.35,2013-02-26
31.63,2.45,2013-02-27
32.36,1.86,2013-02-28
31.41,2.98,2013-03-01
31.94,2.37,2013-03-02
30.29,2.06,2013-03-03
31.61,2.49,2013-03-04
30.38,1.85,2013-03-05
31.62,2.98,2013-03-06
31.82,2.47,2013-03-07
31.27,2.93,2013-03-08
30.43,3.85,2013-03-09
31.05,2.69,2013-03-10
31.62,2.34,2013-03-11
31.69,2.08,2013-03-12
32.83,1.55,2013-03-13
32.65,2.19,2013-03-14
34.54,1.05,2013-03-15
32.69,2.44,2013-03-16
32.31,2.88,2013-03-17
32.46,2.3,2013-03-18
32.1,2.95,2013-03-19
31.57,2.73,2013-03-20
32.25,2.22,2013-03-21
32.41,2.03,2013-03-22
33.55,2.51,2013-03-23
32.76,2.71,2013-03-24
34.26,1.82,2013-03-25
33.81,3.27,2013-03-26
33.06,3.49,2013-03-27
31.54,3.64,2013-03-28
33.12,3.12,2013-03-29
33.19,1.62,2013-03-30
32.11,4.28,2013-03-31
33.94,2.77,2013-04-01
34.98,2.14,2013-04-02
33.63,2.06,2013-04-03
33.85,2.7,2013-04-04
34.87,2.59,2013-04-05
34.73,3.56,2013-04-06
35.11,2.82,2013-04-07
34.4,1.11,2013-04-08
32.34,3.77,2013-04-09
32.5,2.58,2013-04-10
34.23,1.81,2013-04-11
34.26,2.76,2013-04-12
33.7,2.96,2013-04-13
33.7,2.73,2013-04-14
33.16,3.16,2013-04-15
33.28,2.33,2013-04-16
31.12,3.52,2013-04-17
31.44,2.23,2013-04-18
29.38,2.39,2013-04-19
28.48,2.22,2013-04-20
30.33,2.3,2013-04-21
31.17,3.3,2013-04-22
30.83,3.45,2013-04-23
30.56,3.52,2013-04-24
31.94,2.19,2013-04-25
31.02,3.62,2013-04-26
31.86,3.34,2013-04-27
32.08,3.93,2013-04-28
32.79,3.23,2013-04-29
33.46,2.94,2013-04-30
29.25,3.16,2013-05-01
33.82,1.91,2013-05-02
34.92,3.07,2013-05-03
34.56,3.62,2013-05-04
32.27,2.91,2013-05-05
32.67,3.04,2013-05-06
32.33,2.8,2013-05-07
32.44,3.85,2013-05-08
31.08,2.49,2013-05-09
32.2,2.18,2013-05-10
30.78,2.63,2013-05-11
31.94,3.38,2013-05-12
31.94,3.63,2013-05-13
32.15,3.39,2013-05-14
31.04,3.59,2013-05-15
32.75,2.43,2013-05-16
33.87,2.97,2013-05-17
33.17,4.08,2013-05-18
33.74,2.74,2013-05-19
34.74,2.77,2013-05-20
34.61,3.62,2013-05-21
34.01,3.4,2013-05-22
33.41,3.09,2013-05-23
33.73,2.91,2013-05-24
33.48,3.91,2013-05-25
31.22,3.82,2013-05-26
31.41,2.83,2013-05-27
31.87,3.52,2013-05-28
31.07,3.21,2013-05-29
30.86,3.27,2013-05-30
31.79,2.77,2013-05-31
31.88,3.17,2013-06-01
29.08,4.52,2013-06-02
31.48,3.05,2013-06-03
31.42,4.15,2013-06-04
30.1,4.28,2013-06-05
29.79,3.31,2013-06-06
30.29,2.89,2013-06-07
32.01,3.19,2013-06-08
31.41,3.72,2013-06-09
30.44,2.26,2013-06-10
32.51,2.62,2013-06-11
32.41,2.82,2013-06-12
31.33,3.12,2013-06-13
31.27,3.41,2013-06-14
29.13,2.62,2013-06-15
30.45,2.36,2013-06-16
31.05,3.23,2013-06-17
31.12,3.77,2013-06-18
31.53,3.01,2013-06-19
29.62,3.59,2013-06-20
28.77,3.55,2013-06-21
30.36,2.7,2013-06-22
30.68,3.15,2013-06-23
28.78,3.6,2013-06-24
27.58,2.01,2013-06-25
27.77,1.61,2013-06-26
27.58,1.41,2013-06-27
26.76,2.43,2013-06-28
26.48,2.28,2013-06-29
27.21,2.63,2013-06-30
28.87,2.2,2013-07-01
30.39,2.06,2013-07-02
30.55,2.66,2013-07-03
28.9,3.07,2013-07-04
27.24,2.33,2013-07-05
26.96,2.42,2013-07-06
26.9,2.2,2013-07-07
26.58,2.16,2013-07-08
26.58,1.98,2013-07-09
28.3,1.72,2013-07-10
29.2,1.95,2013-07-11
27.88,3.05,2013-07-12
27.56,2.16,2013-07-13
27.88,1.82,2013-07-14
27.33,2.98,2013-07-15
27.47,2.36,2013-07-16
27.83,2.2,2013-07-17
28.33,2.35,2013-07-18
27.86,1.62,2013-07-19
28.19,1.73,2013-07-20
28.08,2.05,2013-07-21
27.87,1.53,2013-07-22
28.3,2.35,2013-07-23
26.84,2.55,2013-07-24
26.25,2.03,2013-07-25
27.29,2.17,2013-07-26
28.9,2.59,2013-07-27
28.12,2.62,2013-07-28
27.51,2.41,2013-07-29
27.35,2.22,2013-07-30
27.29,2.48,2013-07-31
27.15,2.53,2013-08-01
25.9,2.64,2013-08-02
27.17,1.48,2013-08-03
27.66,1.56,2013-08-04
27.8,2.28,2013-08-05
27.04,2.64,2013-08-06
26.58,1.6,2013-08-07
24.3,1.99,2013-08-08
25.91,1.45,2013-08-09
25.96,1.58,2013-08-10
26.72,1.34,2013-08-11
24.98,1.79,2013-08-12
26.23,1.61,2013-08-13
26.3,1.84,2013-08-14
25.42,1.58,2013-08-15
27.07,1.16,2013-08-16
25.01,2.0,2013-08-17
25.77,1.15,2013-08-18
27.43,1.2,2013-08-19
27.44,1.17,2013-08-20
25.4,2.55,2013-08-21
25.68,1.7,2013-08-22
26.44,2.02,2013-08-23
26.75,1.61,2013-08-24
26.21,1.23,2013-08-25
25.71,1.6,2013-08-26
25.23,1.37,2013-08-27
27.14,1.12,2013-08-28
24.93,1.88,2013-08-29
24.63,1.9,2013-08-30
26.19,1.36,2013-08-31
26.61,0.84,2013-09-01
24.37,1.29,2013-09-02
25.51,1.2,2013-09-03
27.47,1.51,2013-09-04
25.55,1.46,2013-09-05
25.99,1.52,2013-09-06
26.58,1.34,2013-09-07
26.93,1.32,2013-09-08
26.51,1.5,2013-09-09
26.11,1.27,2013-09-10
24.79,1.46,2013-09-11
24.63,2.37,2013-09-12
27.25,1.23,2013-09-13
25.28,1.59,2013-09-14
26.89,1.14,2013-09-15
26.98,1.19,2013-09-16
27.97,1.5,2013-09-17
27.73,1.83,2013-09-18
27.57,1.61,2013-09-19
26.98,1.66,2013-09-20
26.8,1.44,2013-09-21
27.44,1.99,2013-09-22
26.89,1.92,2013-09-23
25.41,2.45,2013-09-24
25.98,1.45,2013-09-25
28.12,1.56,2013-09-26
28.86,1.52,2013-09-27
27.62,2.15,2013-09-28
27.08,1.74,2013-09-29
26.62,1.48,2013-09-30
26.81,1.62,2013-10-01
27.94,1.56,2013-10-02
27.03,2.02,2013-10-03
27.7,1.77,2013-10-04
28.08,1.61,2013-10-05
26.35,1.89,2013-10-06
25.27,1.76,2013-10-07
26.23,1.72,2013-10-08
26.73,1.41,2013-10-09
27.23,1.48,2013-10-10
27.05,1.9,2013-10-11
26.08,2.26,2013-10-12
26.57,2.02,2013-10-13
27.8,2.48,2013-10-14
26.84,3.48,2013-10-15
27.21,2.06,2013-10-16
26.93,2.12,2013-10-17
26.19,2.2,2013-10-18
25.28,2.48,2013-10-19
25.23,2.34,2013-10-20
25.55,2.59,2013-10-21
26.76,2.02,2013-10-22
26.99,1.9,2013-10-23
26.56,2.11,2013-10-24
25.87,2.59,2013-10-25
25.88,2.38,2013-10-26
26.4,2.22,2013-10-27
27.23,2.38,2013-10-28
27.29,2.31,2013-10-29
27.63,2.28,2013-10-30
27.38,2.3,2013-10-31
27.28,3.21,2013-11-01
25.83,2.97,2013-11-02
26.51,3.48,2013-11-03
25.01,3.43,2013-11-04
24.38,2.86,2013-11-05
25.19,2.84,2013-11-06
26.31,2.7,2013-11-07
27.13,2.88,2013-11-08
27.23,2.65,2013-11-09
27.21,2.99,2013-11-10
26.57,2.47,2013-11-11
26.62,2.5,2013-11-12
26.69,2.35,2013-11-13
27.12,2.3,2013-11-14
28.09,2.13,2013-11-15
28.23,2.86,2013-11-16
26.83,2.77,2013-11-17
26.16,2.98,2013-11-18
27.87,2.55,2013-11-19
26.05,2.45,2013-11-20
27.06,2.57,2013-11-21
26.55,2.48,2013-11-22
27.99,1.66,2013-11-23
29.2,1.41,2013-11-24
29.98,0.88,2013-11-25
28.78,1.56,2013-11-26
28.84,2.59,2013-11-27
28.08,3.15,2013-11-28
27.48,3.56,2013-11-29
26.27,2.8,2013-11-30
27.75,2.0,2013-12-01
28.36,1.9,2013-12-02
28.26,2.94,2013-12-03
27.83,3.42,2013-12-04
28.06,3.16,2013-12-05
26.83,2.67,2013-12-06
25.82,2.17,2013-12-07
26.37,2.25,2013-12-08
27.1,2.34,2013-12-09
27.08,2.38,2013-12-10
27.08,2.47,2013-12-11
26.84,3.56,2013-12-12
25.91,4.23,2013-12-13
23.63,4.77,2013-12-14
21.01,4.66,2013-12-15
21.12,4.69,2013-12-16
20.4,4.54,2013-12-17
20.51,4.0,2013-12-18
21.64,3.55,2013-12-19
22.22,3.35,2013-12-20
23.05,3.1,2013-12-21
25.44,2.84,2013-12-22
24.89,3.27,2013-12-23
25.59,3.07,2013-12-24
26.44,3.87,2013-12-25
26.15,3.72,2013-12-26
25.66,3.05,2013-12-27
25.12,3.3,2013-12-28
25.05,3.86,2013-12-29
25.03,3.7,2013-12-30
24.69,3.41,2013-12-31
23.81,3.63,2014-01-01
23.35,3.97,2014-01-02
23.59,4.48,2014-01-03
23.98,4.09,2014-01-04
23.37,3.93,2014-01-05
23.46,4.3,2014-01-06
23.3,3.73,2014-01-07
24.06,4.09,2014-01-08
24.07,4.05,2014-01-09
23.48,4.2,2014-01-10
23.03,4.57,2014-01-11
23.08,3.94,2014-01-12
23.26,3.77,2014-01-13
22.8,3.02,2014-01-14
24.2,2.49,2014-01-15
24.58,3.45,2014-01-16
26.9,3.19,2014-01-17
27.33,3.37,2014-01-18
27.04,2.16,2014-01-19
27.44,3.27,2014-01-20
25.43,3.23,2014-01-21
25.61,3.5,2014-01-22
26.02,3.11,2014-01-23
26.37,3.24,2014-01-24
24.9,3.41,2014-01-25
25.72,3.52,2014-01-26
27.05,3.43,2014-01-27
26.3,3.22,2014-01-28
28.97,2.51,2014-01-29
30.44,2.55,2014-01-30
27.93,2.08,2014-01-31
24.65,4.52,2014-02-01
23.49,3.7,2014-02-02
25.12,3.09,2014-02-03
26.46,4.52,2014-02-04
26.45,5.91,2014-02-05
27.43,5.12,2014-02-06
27.62,4.01,2014-02-07
27.51,4.01,2014-02-08
27.53,4.28,2014-02-09
27.73,3.48,2014-02-10
27.6,4.05,2014-02-11
26.98,4.4,2014-02-12
25.81,4.82,2014-02-13
24.34,5.36,2014-02-14
23.86,4.71,2014-02-15
24.33,3.93,2014-02-16
26.73,3.87,2014-02-17
27.33,3.7,2014-02-18
27.69,2.87,2014-02-19
27.98,2.81,2014-02-20
27.88,3.28,2014-02-21
28.72,3.08,2014-02-22
29.1,3.65,2014-02-23
29.41,3.94,2014-02-24
28.9,3.62,2014-02-25
28.92,3.25,2014-02-26
31.04,2.28,2014-02-27
27.96,3.75,2014-02-28
26.26,3.19,2014-03-01
25.86,3.12,2014-03-02
26.73,3.06,2014-03-03
28.17,2.66,2014-03-04
28.81,2.57,2014-03-05
29.56,2.79,2014-03-06
28.62,2.61,2014-03-07
29.26,3.99,2014-03-08
28.67,2.99,2014-03-09
27.44,3.88,2014-03-10
28.44,4.04,2014-03-11
28.98,4.16,2014-03-12
30.11,3.69,2014-03-13
30.62,3.43,2014-03-14
31.27,2.83,2014-03-15
32.22,3.3,2014-03-16
31.56,3.07,2014-03-17
32.04,2.05,2014-03-18
32.73,3.04,2014-03-19
31.51,3.75,2014-03-20
32.16,2.65,2014-03-21
33.68,2.01,2014-03-22
32.53,3.02,2014-03-23
32.05,2.34,2014-03-24
31.84,3.24,2014-03-25
32.62,1.9,2014-03-26
33.02,1.94,2014-03-27
33.07,2.05,2014-03-28
31.4,3.72,2014-03-29
33.64,1.77,2014-03-30
33.23,2.2,2014-03-31
31.69,2.8,2014-04-01
32.8,3.08,2014-04-02
32.65,2.88,2014-04-03
32.63,3.31,2014-04-04
31.59,2.4,2014-04-05
32.27,3.46,2014-04-06
33.35,3.52,2014-04-07
33.23,4.1,2014-04-08
33.48,1.84,2014-04-09
32.77,3.19,2014-04-10
32.71,2.77,2014-04-11
34.02,1.89,2014-04-12
33.86,2.18,2014-04-13
33.16,3.78,2014-04-14
33.62,2.97,2014-04-15
34.8,2.6,2014-04-16
35.18,3.11,2014-04-17
34.69,4.61,2014-04-18
34.19,3.02,2014-04-19
34.33,3.7,2014-04-20
35.24,2.8,2014-04-21
35.54,2.59,2014-04-22
35.31,2.19,2014-04-23
34.55,3.21,2014-04-24
33.6,3.81,2014-04-25
31.4,3.21,2014-04-26
30.52,2.95,2014-04-27
30.51,2.71,2014-04-28
30.58,3.53,2014-04-29
31.19,2.62,2014-04-30
31.37,2.62,2014-05-01
32.75,3.24,2014-05-02
31.25,3.9,2014-05-03
31.38,3.09,2014-05-04
31.13,2.78,2014-05-05
30.39,2.86,2014-05-06
31.25,3.2,2014-05-07
29.4,3.09,2014-05-08
31.19,2.98,2014-05-09
32.26,2.67,2014-05-10
31.64,2.69,2014-05-11
33.48,1.93,2014-05-12
32.28,2.95,2014-05-13
30.91,2.46,2014-05-14
32.26,1.96,2014-05-15
32.37,1.9,2014-05-16
33.33,2.48,2014-05-17
32.26,2.68,2014-05-18
33.52,3.74,2014-05-19
33.41,2.89,2014-05-20
34.62,2.38,2014-05-21
33.49,3.36,2014-05-22
33.93,3.54,2014-05-23
33.3,3.48,2014-05-24
32.68,3.25,2014-05-25
34.55,1.78,2014-05-26
34.69,2.72,2014-05-27
31.74,4.16,2014-05-28
30.51,3.48,2014-05-29
31.01,2.37,2014-05-30
33.07,2.42,2014-05-31
33.12,3.83,2014-06-01
31.34,3.95,2014-06-02
32.29,2.91,2014-06-03
31.66,3.77,2014-06-04
32.02,3.45,2014-06-05
31.83,2.65,2014-06-06
32.4,2.25,2014-06-07
32.54,3.02,2014-06-08
32.23,3.57,2014-06-09
30.53,3.16,2014-06-10
30.79,1.8,2014-06-11
32.96,1.98,2014-06-12
33.54,3.0,2014-06-13
33.16,3.56,2014-06-14
32.15,2.92,2014-06-15
31.4,2.64,2014-06-16
