T2M,WS10M,date
22.57,3.24,2013-01-01
23.14,3.43,2013-01-02
24.59,2.6,2013-01-03
24.79,2.27,2013-01-04
25.27,1.92,2013-01-05
25.54,2.16,2013-01-06
24.51,2.79,2013-01-07
23.96,2.32,2013-01-08
23.9,3.19,2013-01-09
23.71,2.81,2013-01-10
23.79,3.32,2013-01-11
24.22,2.54,2013-01-12
24.24,3.42,2013-01-13
25.15,2.39,2013-01-14
26.26,1.99,2013-01-15
26.48,1.89,2013-01-16
26.89,1.9,2013-01-17
27.13,2.28,2013-01-18
27.09,3.2,2013-01-19
26.48,1.98,2013-01-20
27.87,2.19,2013-01-21
28.34,2.67,2013-01-22
27.74,3.23,2013-01-23
27.29,3.47,2013-01-24
26.44,3.18,2013-01-25
26.65,3.66,2013-01-26
25.9,3.77,2013-01-27
26.33,1.79,2013-01-28
25.29,2.37,2013-01-29
25.75,1.85,2013-01-30
23.2,3.29,2013-01-31
22.21,5.08,2013-02-01
22.67,3.66,2013-02-02
25.94,1.93,2013-02-03
27.7,1.91,2013-02-04
27.9,2.07,2013-02-05
26.76,2.82,2013-02-06
26.24,2.05,2013-02-07
26.61,2.14,2013-02-08
27.08,2.08,2013-02-09
26.87,2.02,2013-02-10
26.44,2.26,2013-02-11
27.12,3.24,2013-02-12
27.59,3.36,2013-02-13
27.4,3.36,2013-02-14
27.17,2.9,2013-02-15
28.19,2.45,2013-02-16
28.67,3.48,2013-02-17
27.87,2.5,2013-02-18
27.01,3.32,2013-02-19
26.4,2.95,2013-02-20
28.01,2.36,2013-02-21
28.15,2.77,2013-02-22
28.25,2.27,2013-02-23
28.62,3.2,2013-02-24
27.95,3.41,2013-02-25
27.77,3.6,2013-02-26
27.75,3.24,2013-02-27
28.3,3.53,2013-02-28
28.16,3.77,2013-03-01
28.21,3.59,2013-03-02
28.43,3.73,2013-03-03
27.79,3.79,2013-03-04
28.51,3.17,2013-03-05
29.09,4.51,2013-03-06
28.55,4.37,2013-03-07
28.88,4.55,2013-03-08
28.23,4.59,2013-03-09
27.94,3.61,2013-03-10
27.3,4.37,2013-03-11
28.09,3.36,2013-03-12
27.32,3.42,2013-03-13
28.37,3.81,2013-03-14
27.52,4.27,2013-03-15
