T2M,WS10M,date
20.41,3.7,2013-01-01
21.44,3.43,2013-01-02
22.59,3.25,2013-01-03
23.01,2.82,2013-01-04
23.83,2.46,2013-01-05
23.08,2.95,2013-01-06
23.03,3.03,2013-01-07
23.64,2.54,2013-01-08
22.25,3.31,2013-01-09
22.78,3.54,2013-01-10
22.32,2.7,2013-01-11
22.52,3.07,2013-01-12
22.46,3.12,2013-01-13
25.13,1.23,2013-01-14
25.66,2.19,2013-01-15
25.69,2.72,2013-01-16
26.8,1.0,2013-01-17
26.69,1.66,2013-01-18
26.4,4.06,2013-01-19
26.5,2.41,2013-01-20
28.03,2.27,2013-01-21
28.7,2.28,2013-01-22
28.19,3.01,2013-01-23
27.45,3.33,2013-01-24
26.76,3.75,2013-01-25
26.58,4.1,2013-01-26
25.69,3.72,2013-01-27
26.97,2.36,2013-01-28
25.78,2.06,2013-01-29
24.76,2.59,2013-01-30
22.12,4.84,2013-01-31
21.15,4.49,2013-02-01
21.51,2.81,2013-02-02
24.72,1.34,2013-02-03
26.37,1.89,2013-02-04
25.67,2.95,2013-02-05
25.25,2.26,2013-02-06
25.61,2.57,2013-02-07
26.58,1.75,2013-02-08
26.11,2.16,2013-02-09
25.73,2.34,2013-02-10
26.78,2.52,2013-02-11
26.72,2.09,2013-02-12
27.19,2.77,2013-02-13
27.55,3.05,2013-02-14
28.14,3.34,2013-02-15
29.25,1.72,2013-02-16
26.91,3.91,2013-02-17
26.71,2.31,2013-02-18
25.94,3.3,2013-02-19
27.53,4.03,2013-02-20
28.72,2.45,2013-02-21
27.98,2.91,2013-02-22
28.73,2.63,2013-02-23
28.07,3.01,2013-02-24
28.26,3.98,2013-02-25
28.14,4.45,2013-02-26
27.6,3.38,2013-02-27
29.06,2.98,2013-02-28
28.54,4.5,2013-03-01
28.4,3.98,2013-03-02
27.55,3.87,2013-03-03
27.61,4.11,2013-03-04
28.97,2.89,2013-03-05
29.5,3.66,2013-03-06
29.54,4.12,2013-03-07
29.15,4.05,2013-03-08
28.12,4.81,2013-03-09
