T2M,WS10M,date
24.17,2.89,2013-01-01
24.71,2.55,2013-01-02
25.97,1.8,2013-01-03
25.89,1.62,2013-01-04
26.14,2.02,2013-01-05
26.0,2.06,2013-01-06
25.93,2.09,2013-01-07
27.04,1.65,2013-01-08
26.58,1.77,2013-01-09
26.03,1.66,2013-01-10
26.15,1.41,2013-01-11
26.36,1.33,2013-01-12
25.16,1.77,2013-01-13
26.97,1.85,2013-01-14
27.41,1.91,2013-01-15
27.31,2.02,2013-01-16
27.3,2.65,2013-01-17
26.95,2.83,2013-01-18
26.96,3.48,2013-01-19
27.12,2.3,2013-01-20
27.46,2.51,2013-01-21
27.44,2.59,2013-01-22
27.31,4.41,2013-01-23
26.9,3.0,2013-01-24
27.23,3.55,2013-01-25
27.08,3.75,2013-01-26
26.95,2.82,2013-01-27
27.09,1.88,2013-01-28
27.11,1.65,2013-01-29
26.89,1.69,2013-01-30
26.1,2.61,2013-01-31
24.87,2.93,2013-02-01
25.19,2.04,2013-02-02
25.4,2.12,2013-02-03
26.02,1.77,2013-02-04
26.6,1.72,2013-02-05
27.12,2.27,2013-02-06
27.19,2.45,2013-02-07
26.57,3.25,2013-02-08
25.97,2.66,2013-02-09
26.47,3.3,2013-02-10
26.56,3.0,2013-02-11
26.91,3.56,2013-02-12
27.12,3.32,2013-02-13
27.26,3.24,2013-02-14
27.15,3.22,2013-02-15
27.4,2.99,2013-02-16
26.98,3.97,2013-02-17
27.05,2.78,2013-02-18
26.8,3.16,2013-02-19
26.55,3.04,2013-02-20
27.12,2.14,2013-02-21
27.48,2.12,2013-02-22
27.68,3.23,2013-02-23
27.5,4.22,2013-02-24
27.33,3.78,2013-02-25
27.06,3.41,2013-02-26
27.08,2.92,2013-02-27
27.5,3.16,2013-02-28
27.42,3.16,2013-03-01
27.37,3.51,2013-03-02
27.93,3.79,2013-03-03
27.54,3.88,2013-03-04
27.76,3.41,2013-03-05
27.94,3.65,2013-03-06
28.0,3.72,2013-03-07
27.87,3.93,2013-03-08
27.61,4.61,2013-03-09
27.65,3.2,2013-03-10
27.61,3.58,2013-03-11
27.5,3.27,2013-03-12
27.41,2.98,2013-03-13
27.78,3.2,2013-03-14
27.86,4.1,2013-03-15
27.52,3.66,2013-03-16
26.96,3.57,2013-03-17
27.69,2.7,2013-03-18
27.8,3.16,2013-03-19
27.55,3.4,2013-03-20
27.44,3.78,2013-03-21
27.69,3.88,2013-03-22
27.19,4.27,2013-03-23
27.3,3.41,2013-03-24
27.57,2.93,2013-03-25
27.48,3.37,2013-03-26
27.19,3.48,2013-03-27
26.69,2.98,2013-03-28
27.01,3.12,2013-03-29
27.19,3.45,2013-03-30
27.43,2.93,2013-03-31
27.43,2.67,2013-04-01
27.21,2.48,2013-04-02
27.14,2.85,2013-04-03
27.33,3.21,2013-04-04
27.69,3.11,2013-04-05
27.55,3.7,2013-04-06
27.5,3.83,2013-04-07
27.3,3.95,2013-04-08
26.87,3.37,2013-04-09
27.28,2.19,2013-04-10
27.49,2.35,2013-04-11
27.67,3.16,2013-04-12
27.76,3.05,2013-04-13
27.54,3.56,2013-04-14
27.18,2.75,2013-04-15
27.28,3.48,2013-04-16
27.37,3.26,2013-04-17
27.0,3.74,2013-04-18
27.17,3.16,2013-04-19
27.34,2.13,2013-04-20
27.8,2.34,2013-04-21
27.28,1.83,2013-04-22
27.26,2.8,2013-04-23
27.64,2.37,2013-04-24
27.75,2.3,2013-04-25
27.55,2.4,2013-04-26
27.4,2.9,2013-04-27
27.65,1.59,2013-04-28
27.21,2.26,2013-04-29
27.4,2.48,2013-04-30
26.55,2.95,2013-05-01
27.11,1.93,2013-05-02
27.48,3.1,2013-05-03
27.42,3.29,2013-05-04
27.63,2.61,2013-05-05
27.23,2.56,2013-05-06
27.08,3.04,2013-05-07
27.44,2.89,2013-05-08
27.18,2.25,2013-05-09
27.05,3.7,2013-05-10
26.0,2.33,2013-05-11
26.54,1.87,2013-05-12
26.12,2.55,2013-05-13
26.07,2.21,2013-05-14
26.48,2.1,2013-05-15
26.71,2.02,2013-05-16
27.05,3.03,2013-05-17
26.53,2.9,2013-05-18
26.59,2.27,2013-05-19
26.87,3.06,2013-05-20
26.83,2.41,2013-05-21
27.08,3.08,2013-05-22
26.94,2.86,2013-05-23
27.02,2.57,2013-05-24
27.09,3.2,2013-05-25
26.8,3.09,2013-05-26
25.95,3.25,2013-05-27
26.06,3.05,2013-05-28
26.43,2.57,2013-05-29
26.03,2.63,2013-05-30
26.19,2.68,2013-05-31
26.18,3.16,2013-06-01
25.73,3.73,2013-06-02
25.62,3.1,2013-06-03
25.66,3.46,2013-06-04
25.69,3.09,2013-06-05
25.37,3.33,2013-06-06
26.08,2.48,2013-06-07
26.4,3.57,2013-06-08
26.25,3.98,2013-06-09
26.29,2.34,2013-06-10
26.05,2.54,2013-06-11
26.15,3.88,2013-06-12
26.12,3.49,2013-06-13
26.06,3.36,2013-06-14
25.98,3.27,2013-06-15
25.8,3.34,2013-06-16
26.12,3.66,2013-06-17
26.12,4.29,2013-06-18
25.91,4.12,2013-06-19
26.18,4.53,2013-06-20
26.26,3.77,2013-06-21
26.23,3.78,2013-06-22
26.06,4.03,2013-06-23
25.84,4.18,2013-06-24
25.92,2.98,2013-06-25
26.1,3.42,2013-06-26
25.23,4.12,2013-06-27
25.37,3.62,2013-06-28
24.94,2.58,2013-06-29
25.23,3.41,2013-06-30
25.53,3.28,2013-07-01
25.42,3.9,2013-07-02
25.19,4.56,2013-07-03
24.58,3.81,2013-07-04
24.87,4.49,2013-07-05
24.85,3.83,2013-07-06
24.88,3.77,2013-07-07
24.4,3.62,2013-07-08
25.06,3.34,2013-07-09
25.05,3.76,2013-07-10
24.99,4.34,2013-07-11
24.76,3.43,2013-07-12
24.87,3.19,2013-07-13
24.31,3.48,2013-07-14
24.72,2.86,2013-07-15
24.94,2.95,2013-07-16
24.94,3.97,2013-07-17
24.57,3.84,2013-07-18
24.78,3.81,2013-07-19
24.65,3.75,2013-07-20
24.26,3.75,2013-07-21
24.62,3.41,2013-07-22
24.61,4.56,2013-07-23
24.4,4.62,2013-07-24
24.01,3.4,2013-07-25
24.64,3.73,2013-07-26
24.66,4.63,2013-07-27
24.5,4.89,2013-07-28
24.43,4.34,2013-07-29
24.54,3.16,2013-07-30
24.55,3.86,2013-07-31
24.27,4.35,2013-08-01
24.12,4.0,2013-08-02
24.21,3.5,2013-08-03
24.08,3.98,2013-08-04
24.19,4.33,2013-08-05
24.51,4.42,2013-08-06
23.86,5.13,2013-08-07
23.9,4.29,2013-08-08
23.62,3.3,2013-08-09
23.77,3.45,2013-08-10
23.81,3.6,2013-08-11
24.05,3.89,2013-08-12
23.94,3.4,2013-08-13
23.84,3.77,2013-08-14
23.8,4.9,2013-08-15
24.19,3.71,2013-08-16
24.23,3.84,2013-08-17
24.61,3.48,2013-08-18
24.7,3.54,2013-08-19
24.47,4.13,2013-08-20
24.65,4.19,2013-08-21
24.73,3.4,2013-08-22
24.76,3.77,2013-08-23
24.73,3.59,2013-08-24
24.34,3.68,2013-08-25
24.83,3.52,2013-08-26
24.7,3.17,2013-08-27
24.94,3.79,2013-08-28
24.53,3.7,2013-08-29
24.76,4.23,2013-08-30
24.73,4.66,2013-08-31
24.18,4.3,2013-09-01
24.8,3.65,2013-09-02
25.2,2.49,2013-09-03
24.98,3.16,2013-09-04
24.79,4.15,2013-09-05
24.94,3.95,2013-09-06
25.06,3.07,2013-09-07
24.64,3.25,2013-09-08
24.93,3.9,2013-09-09
24.83,4.2,2013-09-10
25.13,4.62,2013-09-11
24.94,4.19,2013-09-12
25.22,3.41,2013-09-13
24.64,3.5,2013-09-14
24.98,3.02,2013-09-15
25.16,2.94,2013-09-16
25.73,3.2,2013-09-17
25.76,3.03,2013-09-18
25.92,3.62,2013-09-19
