T2M,WS10M,date
20.24,4.11,2013-01-01
21.57,4.11,2013-01-02
22.6,3.45,2013-01-03
23.04,3.51,2013-01-04
23.42,3.71,2013-01-05
23.03,3.45,2013-01-06
23.33,3.77,2013-01-07
23.75,3.04,2013-01-08
22.48,3.95,2013-01-09
21.87,4.38,2013-01-10
22.37,3.59,2013-01-11
22.42,3.98,2013-01-12
22.57,3.52,2013-01-13
24.15,1.93,2013-01-14
26.69,2.4,2013-01-15
26.58,2.97,2013-01-16
25.9,3.15,2013-01-17
26.94,2.78,2013-01-18
27.3,2.41,2013-01-19
28.78,2.44,2013-01-20
29.26,2.04,2013-01-21
30.17,1.51,2013-01-22
30.62,1.65,2013-01-23
29.49,2.12,2013-01-24
28.61,2.35,2013-01-25
29.5,2.42,2013-01-26
28.26,2.02,2013-01-27
27.79,3.07,2013-01-28
25.8,3.25,2013-01-29
25.08,4.1,2013-01-30
22.94,6.71,2013-01-31
21.63,5.91,2013-02-01
21.55,4.05,2013-02-02
24.49,1.78,2013-02-03
25.91,2.59,2013-02-04
25.71,4.3,2013-02-05
25.1,3.51,2013-02-06
24.98,3.63,2013-02-07
25.94,2.92,2013-02-08
26.96,2.53,2013-02-09
27.27,3.64,2013-02-10
28.19,1.64,2013-02-11
28.1,2.0,2013-02-12
28.01,2.06,2013-02-13
27.8,1.74,2013-02-14
27.63,1.87,2013-02-15
28.48,2.84,2013-02-16
28.44,3.36,2013-02-17
28.84,3.8,2013-02-18
28.4,3.34,2013-02-19
29.8,3.35,2013-02-20
31.01,2.34,2013-02-21
30.59,3.15,2013-02-22
29.73,3.53,2013-02-23
28.9,3.37,2013-02-24
30.44,2.38,2013-02-25
30.87,2.85,2013-02-26
30.61,3.05,2013-02-27
31.67,2.52,2013-02-28
31.34,3.01,2013-03-01
31.73,2.8,2013-03-02
30.98,2.85,2013-03-03
31.24,3.12,2013-03-04
31.9,1.84,2013-03-05
33.05,2.05,2013-03-06
32.32,2.03,2013-03-07
32.23,2.38,2013-03-08
31.88,3.75,2013-03-09
31.96,3.63,2013-03-10
32.33,2.98,2013-03-11
32.3,3.41,2013-03-12
32.47,2.75,2013-03-13
32.26,3.39,2013-03-14
33.13,3.59,2013-03-15
31.53,2.45,2013-03-16
31.87,3.52,2013-03-17
32.79,2.26,2013-03-18
31.97,2.65,2013-03-19
32.55,2.55,2013-03-20
32.15,3.0,2013-03-21
32.8,3.48,2013-03-22
32.92,3.1,2013-03-23
30.99,3.39,2013-03-24
32.69,3.52,2013-03-25
31.57,3.92,2013-03-26
31.87,4.37,2013-03-27
30.4,3.25,2013-03-28
33.13,3.29,2013-03-29
33.16,4.88,2013-03-30
32.73,4.7,2013-03-31
