T2M,WS10M,date
19.55,4.3,2013-01-01
20.61,4.19,2013-01-02
21.93,3.16,2013-01-03
21.96,3.02,2013-01-04
22.52,2.35,2013-01-05
22.39,3.8,2013-01-06
20.69,3.9,2013-01-07
20.76,3.98,2013-01-08
20.61,4.42,2013-01-09
20.95,4.49,2013-01-10
20.9,3.72,2013-01-11
20.73,4.21,2013-01-12
21.11,4.14,2013-01-13
22.29,2.59,2013-01-14
23.17,3.23,2013-01-15
23.75,3.64,2013-01-16
24.0,3.03,2013-01-17
24.87,2.33,2013-01-18
25.55,1.8,2013-01-19
26.15,1.67,2013-01-20
27.43,1.68,2013-01-21
28.16,1.48,2013-01-22
26.67,1.93,2013-01-23
25.92,1.83,2013-01-24
25.83,1.55,2013-01-25
26.3,2.11,2013-01-26
25.95,2.95,2013-01-27
26.08,2.26,2013-01-28
24.13,3.73,2013-01-29
22.32,3.92,2013-01-30
20.64,6.3,2013-01-31
19.45,5.39,2013-02-01
20.53,3.46,2013-02-02
23.13,1.73,2013-02-03
25.01,2.34,2013-02-04
24.36,3.79,2013-02-05
23.11,4.09,2013-02-06
23.37,3.53,2013-02-07
23.49,3.09,2013-02-08
24.5,2.46,2013-02-09
24.25,2.94,2013-02-10
25.19,2.06,2013-02-11
25.81,1.7,2013-02-12
27.37,1.34,2013-02-13
26.76,0.95,2013-02-14
26.87,0.98,2013-02-15
25.75,2.3,2013-02-16
24.45,1.83,2013-02-17
25.71,1.62,2013-02-18
25.45,2.09,2013-02-19
26.55,2.56,2013-02-20
28.19,1.47,2013-02-21
27.19,1.84,2013-02-22
27.01,2.71,2013-02-23
27.23,2.46,2013-02-24
27.87,1.43,2013-02-25
27.52,2.11,2013-02-26
26.65,1.65,2013-02-27
28.59,1.72,2013-02-28
27.9,2.3,2013-03-01
28.12,1.73,2013-03-02
26.94,1.61,2013-03-03
26.75,1.91,2013-03-04
28.27,1.77,2013-03-05
29.14,1.74,2013-03-06
28.44,1.92,2013-03-07
29.06,1.74,2013-03-08
28.33,2.13,2013-03-09
28.31,2.63,2013-03-10
28.3,2.31,2013-03-11
28.45,2.4,2013-03-12
28.22,2.32,2013-03-13
29.07,1.88,2013-03-14
27.64,2.27,2013-03-15
27.98,2.05,2013-03-16
27.28,2.25,2013-03-17
28.8,1.7,2013-03-18
28.27,1.9,2013-03-19
28.69,1.61,2013-03-20
28.67,2.23,2013-03-21
29.26,2.3,2013-03-22
29.36,2.59,2013-03-23
28.49,2.63,2013-03-24
28.69,2.53,2013-03-25
29.11,2.78,2013-03-26
27.8,3.23,2013-03-27
27.76,2.5,2013-03-28
29.74,2.62,2013-03-29
28.44,3.76,2013-03-30
28.67,3.46,2013-03-31
28.1,1.53,2013-04-01
28.57,2.8,2013-04-02
28.94,2.7,2013-04-03
29.62,1.86,2013-04-04
30.02,1.8,2013-04-05
30.22,2.73,2013-04-06
30.22,2.53,2013-04-07
30.09,1.95,2013-04-08
28.48,2.88,2013-04-09
29.01,2.45,2013-04-10
29.28,2.44,2013-04-11
27.94,2.48,2013-04-12
29.34,2.83,2013-04-13
30.29,2.86,2013-04-14
29.44,2.52,2013-04-15
29.4,2.71,2013-04-16
29.06,2.98,2013-04-17
29.22,3.22,2013-04-18
28.76,2.45,2013-04-19
27.72,1.46,2013-04-20
28.92,1.1,2013-04-21
29.32,2.37,2013-04-22
28.54,2.08,2013-04-23
28.98,2.15,2013-04-24
29.64,1.55,2013-04-25
29.33,2.97,2013-04-26
28.61,2.1,2013-04-27
27.99,2.79,2013-04-28
