T2M,WS10M,date
24.38,1.39,2013-01-01
24.54,1.32,2013-01-02
25.11,1.36,2013-01-03
25.85,1.23,2013-01-04
24.75,1.43,2013-01-05
26.09,1.07,2013-01-06
25.94,1.17,2013-01-07
26.37,1.0,2013-01-08
25.07,1.11,2013-01-09
24.65,1.4,2013-01-10
24.96,1.2,2013-01-11
24.76,1.32,2013-01-12
25.02,1.27,2013-01-13
26.01,0.99,2013-01-14
26.51,1.48,2013-01-15
26.52,1.42,2013-01-16
26.48,1.62,2013-01-17
26.59,1.65,2013-01-18
26.41,1.77,2013-01-19
27.0,1.54,2013-01-20
27.25,1.61,2013-01-21
27.05,1.66,2013-01-22
26.73,2.12,2013-01-23
26.43,1.72,2013-01-24
26.66,1.95,2013-01-25
26.79,2.06,2013-01-26
26.52,1.37,2013-01-27
26.32,1.05,2013-01-28
26.41,1.16,2013-01-29
26.53,1.3,2013-01-30
25.19,1.69,2013-01-31
23.12,1.88,2013-02-01
23.72,1.44,2013-02-02
24.62,1.38,2013-02-03
25.86,1.19,2013-02-04
26.23,1.38,2013-02-05
27.12,1.55,2013-02-06
27.04,1.4,2013-02-07
26.75,2.04,2013-02-08
25.81,1.55,2013-02-09
26.29,1.88,2013-02-10
26.28,1.72,2013-02-11
26.77,2.12,2013-02-12
26.76,1.95,2013-02-13
26.94,1.91,2013-02-14
26.61,1.77,2013-02-15
27.17,1.72,2013-02-16
26.36,2.09,2013-02-17
26.71,1.6,2013-02-18
26.51,1.85,2013-02-19
26.28,1.95,2013-02-20
27.01,1.21,2013-02-21
26.77,1.37,2013-02-22
27.54,1.89,2013-02-23
27.2,2.18,2013-02-24
27.05,2.09,2013-02-25
26.68,1.77,2013-02-26
26.8,1.68,2013-02-27
27.27,1.77,2013-02-28
27.18,1.73,2013-03-01
26.9,1.81,2013-03-02
27.61,1.96,2013-03-03
27.15,2.12,2013-03-04
27.25,1.96,2013-03-05
27.69,2.07,2013-03-06
27.66,1.99,2013-03-07
27.73,2.1,2013-03-08
27.35,2.44,2013-03-09
27.42,1.95,2013-03-10
27.18,1.95,2013-03-11
27.15,1.99,2013-03-12
27.24,1.77,2013-03-13
27.25,1.74,2013-03-14
27.3,2.12,2013-03-15
27.19,1.92,2013-03-16
26.4,2.07,2013-03-17
27.19,1.57,2013-03-18
27.33,1.91,2013-03-19
27.1,1.68,2013-03-20
27.12,2.03,2013-03-21
27.28,2.02,2013-03-22
26.72,2.09,2013-03-23
26.75,1.76,2013-03-24
26.94,1.56,2013-03-25
26.89,1.81,2013-03-26
26.8,1.84,2013-03-27
26.19,1.54,2013-03-28
26.73,1.75,2013-03-29
26.54,1.74,2013-03-30
27.08,1.43,2013-03-31
27.05,1.56,2013-04-01
26.71,1.63,2013-04-02
26.6,1.62,2013-04-03
27.04,1.8,2013-04-04
27.39,1.8,2013-04-05
27.24,1.94,2013-04-06
27.11,1.98,2013-04-07
26.72,1.95,2013-04-08
26.51,1.8,2013-04-09
26.69,1.41,2013-04-10
27.12,1.52,2013-04-11
27.34,1.74,2013-04-12
27.51,1.73,2013-04-13
27.44,1.7,2013-04-14
26.76,1.61,2013-04-15
26.79,1.91,2013-04-16
26.92,1.76,2013-04-17
26.87,2.06,2013-04-18
26.54,1.74,2013-04-19
26.87,1.38,2013-04-20
27.42,1.44,2013-04-21
26.75,1.2,2013-04-22
26.8,1.69,2013-04-23
27.19,1.33,2013-04-24
27.33,1.31,2013-04-25
26.58,1.53,2013-04-26
26.86,1.7,2013-04-27
26.98,1.12,2013-04-28
26.91,1.42,2013-04-29
26.76,1.61,2013-04-30
26.06,1.72,2013-05-01
26.98,1.18,2013-05-02
27.01,1.69,2013-05-03
26.78,1.61,2013-05-04
26.8,1.47,2013-05-05
26.54,1.46,2013-05-06
26.34,1.76,2013-05-07
26.64,1.76,2013-05-08
26.98,1.31,2013-05-09
26.1,2.0,2013-05-10
25.38,1.25,2013-05-11
26.02,1.04,2013-05-12
25.83,1.41,2013-05-13
25.93,1.46,2013-05-14
25.77,1.24,2013-05-15
26.73,1.4,2013-05-16
26.9,1.66,2013-05-17
26.17,1.62,2013-05-18
26.19,1.27,2013-05-19
26.46,1.73,2013-05-20
26.51,1.48,2013-05-21
26.64,1.79,2013-05-22
26.51,1.74,2013-05-23
26.5,1.54,2013-05-24
26.74,1.65,2013-05-25
26.54,1.7,2013-05-26
25.48,1.87,2013-05-27
25.28,1.51,2013-05-28
25.9,1.43,2013-05-29
25.39,1.59,2013-05-30
26.24,1.45,2013-05-31
25.98,1.73,2013-06-01
25.5,2.1,2013-06-02
25.32,1.65,2013-06-03
25.23,2.02,2013-06-04
25.05,1.56,2013-06-05
24.88,1.65,2013-06-06
25.94,1.6,2013-06-07
26.42,1.95,2013-06-08
25.93,2.03,2013-06-09
25.89,1.45,2013-06-10
25.97,1.62,2013-06-11
25.57,1.97,2013-06-12
25.55,1.82,2013-06-13
25.57,1.84,2013-06-14
25.64,1.73,2013-06-15
25.58,1.82,2013-06-16
26.08,1.9,2013-06-17
25.92,2.16,2013-06-18
25.6,2.11,2013-06-19
25.71,2.27,2013-06-20
25.97,1.91,2013-06-21
25.98,2.09,2013-06-22
25.81,2.16,2013-06-23
25.3,2.08,2013-06-24
25.66,1.66,2013-06-25
25.95,1.85,2013-06-26
24.8,2.13,2013-06-27
25.07,1.97,2013-06-28
24.45,1.37,2013-06-29
24.93,1.79,2013-06-30
25.39,1.94,2013-07-01
25.2,2.07,2013-07-02
24.69,2.39,2013-07-03
24.11,2.0,2013-07-04
24.44,2.3,2013-07-05
24.64,1.95,2013-07-06
24.69,2.08,2013-07-07
24.15,1.92,2013-07-08
24.86,1.94,2013-07-09
24.86,2.07,2013-07-10
24.71,2.44,2013-07-11
24.58,1.77,2013-07-12
24.8,1.76,2013-07-13
23.88,1.8,2013-07-14
24.68,1.56,2013-07-15
24.85,1.73,2013-07-16
24.94,2.12,2013-07-17
24.7,2.08,2013-07-18
24.56,2.18,2013-07-19
24.48,2.05,2013-07-20
24.16,1.89,2013-07-21
24.65,1.93,2013-07-22
24.51,2.24,2013-07-23
24.37,2.48,2013-07-24
24.15,1.8,2013-07-25
24.4,1.95,2013-07-26
24.51,2.41,2013-07-27
24.04,2.34,2013-07-28
24.27,2.27,2013-07-29
24.76,1.83,2013-07-30
24.75,2.05,2013-07-31
24.53,2.29,2013-08-01
24.11,2.05,2013-08-02
24.44,1.87,2013-08-03
24.26,2.16,2013-08-04
24.22,2.29,2013-08-05
24.55,2.37,2013-08-06
23.62,2.52,2013-08-07
24.19,2.41,2013-08-08
24.0,2.0,2013-08-09
24.06,2.02,2013-08-10
24.1,2.02,2013-08-11
24.09,2.13,2013-08-12
23.93,1.92,2013-08-13
23.95,2.17,2013-08-14
23.94,2.62,2013-08-15
24.35,2.02,2013-08-16
24.15,2.12,2013-08-17
24.69,1.94,2013-08-18
24.95,1.97,2013-08-19
24.58,2.13,2013-08-20
24.51,2.27,2013-08-21
24.8,1.91,2013-08-22
24.83,1.98,2013-08-23
24.68,2.0,2013-08-24
24.15,1.95,2013-08-25
24.8,1.88,2013-08-26
24.58,1.43,2013-08-27
24.6,1.91,2013-08-28
24.43,1.99,2013-08-29
24.77,2.09,2013-08-30
24.58,2.21,2013-08-31
24.1,2.25,2013-09-01
24.29,1.93,2013-09-02
25.17,1.61,2013-09-03
24.73,1.73,2013-09-04
24.29,2.19,2013-09-05
24.78,1.99,2013-09-06
24.97,1.75,2013-09-07
24.52,1.77,2013-09-08
24.81,2.04,2013-09-09
24.38,1.99,2013-09-10
24.8,2.24,2013-09-11
24.79,2.13,2013-09-12
24.91,1.98,2013-09-13
24.68,1.79,2013-09-14
24.61,1.55,2013-09-15
25.48,1.8,2013-09-16
25.71,1.89,2013-09-17
25.8,1.64,2013-09-18
25.8,1.78,2013-09-19
25.4,1.93,2013-09-20
25.3,1.81,2013-09-21
25.18,2.55,2013-09-22
24.68,2.74,2013-09-23
24.95,2.01,2013-09-24
25.41,1.8,2013-09-25
25.65,1.77,2013-09-26
24.9,1.95,2013-09-27
25.02,1.73,2013-09-28
25.5,1.72,2013-09-29
25.89,1.66,2013-09-30
25.49,1.81,2013-10-01
25.13,1.8,2013-10-02
24.87,1.95,2013-10-03
24.66,1.41,2013-10-04
25.51,1.8,2013-10-05
25.71,1.59,2013-10-06
25.82,1.16,2013-10-07
25.38,1.6,2013-10-08
25.31,1.49,2013-10-09
24.97,1.85,2013-10-10
25.69,1.13,2013-10-11
26.01,1.54,2013-10-12
25.73,1.72,2013-10-13
25.68,1.49,2013-10-14
25.63,1.55,2013-10-15
26.14,1.26,2013-10-16
25.99,1.42,2013-10-17
26.23,1.59,2013-10-18
26.22,1.69,2013-10-19
25.98,1.78,2013-10-20
25.78,1.59,2013-10-21
25.53,1.5,2013-10-22
26.06,1.42,2013-10-23
26.01,1.6,2013-10-24
25.76,1.62,2013-10-25
26.05,1.6,2013-10-26
26.09,1.76,2013-10-27
25.99,1.7,2013-10-28
25.31,1.47,2013-10-29
25.96,1.49,2013-10-30
26.3,1.51,2013-10-31
26.32,1.41,2013-11-01
26.45,1.49,2013-11-02
25.9,1.23,2013-11-03
26.37,1.2,2013-11-04
25.85,1.47,2013-11-05
26.02,1.41,2013-11-06
26.43,1.28,2013-11-07
26.13,1.26,2013-11-08
25.87,1.53,2013-11-09
26.53,1.42,2013-11-10
26.64,1.75,2013-11-11
26.13,1.59,2013-11-12
26.0,1.79,2013-11-13
25.58,1.8,2013-11-14
26.14,1.57,2013-11-15
26.4,1.42,2013-11-16
26.56,1.5,2013-11-17
26.54,1.55,2013-11-18
26.44,1.76,2013-11-19
25.98,1.62,2013-11-20
26.1,1.5,2013-11-21
26.58,1.78,2013-11-22
25.99,1.98,2013-11-23
25.75,1.82,2013-11-24
25.58,1.86,2013-11-25
26.44,1.4,2013-11-26
26.46,1.49,2013-11-27
27.07,1.1,2013-11-28
27.18,1.3,2013-11-29
27.14,1.81,2013-11-30
26.68,1.7,2013-12-01
26.79,1.54,2013-12-02
25.79,1.46,2013-12-03
